Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
37440,20100404,beckj002,BOS,15,34,0,0,0,2,3,0,0,1,0,12,1,7,0,6,0,6,27,8,1,0,9,0,5,7,0,1,4,1,AL,AL,51,parkc002,BOS07,papej001,,sabac001,1,9,0,7,NYA,9,37,0,0,0,1,2,1,2,0,12,2,8,0,1,5,24,6,0,2,2,8,0,0,6,1,okajh001,0.32432432432432434,0.35294117647058826,0.4186046511627907,0.41025641025641024,0.5405405405405406,0.5882352941176471,0.9591451917033313,0.9984917043740573,1.0,
38000,20100406,lestj001,BOS,12,35,0,0,0,1,3,1,1,2,1,9,1,5,0,7,0,5,27,4,1,0,4,2,8,5,0,0,1,0,AL,AL,54,okajh001,BOS07,rivem002,,burna001,2,10,0,6,NYA,5,35,0,0,0,1,4,3,1,2,9,1,3,0,0,6,27,6,1,0,7,3,0,0,5,0,aceva001,0.2571428571428571,0.2571428571428571,0.37209302325581395,0.2894736842105263,0.45714285714285713,0.42857142857142855,0.829235880398671,0.7180451127819549,0.0,1.0
38238,20100407,lackj001,BOS,15,35,0,0,0,1,2,0,2,3,1,7,0,3,0,8,0,5,30,1,0,0,1,0,5,3,0,0,3,0,AL,AL,60,papej001,BOS07,rivem002,,petta001,3,7,0,3,NYA,10,34,0,0,1,2,1,0,1,1,6,1,1,0,0,3,30,3,0,2,7,1,0,0,5,0,parkc002,0.17647058823529413,0.2,0.3,0.28205128205128205,0.29411764705882354,0.2571428571428571,0.5941176470588235,0.5391941391941392,0.0,0.0
21091,20100409,davik002,KCA,10,30,0,0,0,1,3,1,0,4,0,8,2,3,0,5,0,6,27,4,0,1,4,2,7,3,0,0,2,0,AL,AL,51,bardd001,KAN06,sorij001,,waket001,4,8,1,3,BOS,7,33,0,0,1,0,2,0,1,0,9,1,4,0,0,3,24,3,0,0,8,4,0,0,4,0,parrj003,0.2727272727272727,0.26666666666666666,0.35135135135135137,0.3125,0.42424242424242425,0.5666666666666667,0.7755937755937756,0.8791666666666667,0.0,0.0
37505,20100410,greiz001,KCA,11,34,0,0,0,1,4,0,2,5,0,9,0,8,0,5,0,4,27,2,0,0,3,1,4,8,0,0,1,0,AL,AL,54,greiz001,KAN06,,,beckj002,5,5,0,8,BOS,9,37,0,0,0,2,1,0,1,2,12,5,3,0,0,3,27,8,1,1,6,3,0,0,0,0,beckj002,0.32432432432432434,0.2647058823529412,0.35,0.2857142857142857,0.7567567567567568,0.38235294117647056,1.1067567567567567,0.6680672268907563,1.0,0.0
19240,20100411,mechg001,KCA,4,35,0,0,0,2,1,1,1,6,0,10,2,8,0,6,0,5,27,5,0,1,6,2,2,8,0,0,3,1,AL,AL,54,mechg001,KAN06,papej001,,buchc001,6,8,0,8,BOS,11,37,0,0,0,2,4,1,1,0,12,1,5,0,0,5,27,7,0,2,7,5,0,0,6,1,buchc001,0.32432432432432434,0.2857142857142857,0.4186046511627907,0.34210526315789475,0.5135135135135135,0.4857142857142857,0.9321181646763042,0.8278195488721805,1.0,1.0
38145,20100412,pavac001,MIN,10,36,0,0,0,1,2,0,0,8,0,12,1,2,0,11,0,4,27,5,0,0,5,3,7,2,0,0,4,0,AL,AL,51,lestj001,MIN04,raucj001,,lestj001,7,4,0,2,BOS,9,31,0,0,1,0,4,0,1,0,7,0,5,0,0,3,24,2,1,0,6,5,0,0,1,0,pavac001,0.22580645161290322,0.3333333333333333,0.24242424242424243,0.4,0.3548387096774194,0.4722222222222222,0.5972629521016618,0.8722222222222222,0.0,1.0
38164,20100414,slowk001,MIN,9,34,0,0,0,0,2,0,2,9,0,9,1,6,1,11,0,4,27,3,0,0,3,0,2,6,0,0,7,1,AL,AL,54,slowk001,MIN04,papej001,,lackj001,8,9,0,6,BOS,9,36,0,0,1,2,4,0,0,0,10,1,3,1,1,4,27,6,0,0,10,3,0,0,6,1,lackj001,0.2777777777777778,0.2647058823529412,0.38095238095238093,0.3902439024390244,0.4722222222222222,0.4117647058823529,0.8531746031746031,0.8020086083213773,1.0,0.0
38341,20100415,lirif001,MIN,11,39,0,0,0,1,5,0,0,10,0,15,1,0,1,10,0,3,27,7,1,0,8,0,4,0,0,0,2,0,AL,AL,51,waket001,MIN04,,,waket001,9,8,0,0,BOS,6,32,0,0,0,0,1,3,1,0,6,0,7,0,0,3,24,0,0,0,10,7,0,0,3,1,lirif001,0.1875,0.38461538461538464,0.2571428571428571,0.40476190476190477,0.21875,0.5897435897435898,0.4758928571428571,0.9945054945054945,0.0,1.0
37022,20100417,buchc001,BOS,6,38,0,0,0,0,3,2,0,11,0,11,3,1,0,8,0,3,27,5,0,0,5,0,8,1,0,0,2,1,AL,AL,54,buchc001,BOS07,sorir001,,shiej002,11,5,0,6,TBA,8,34,0,0,0,0,3,0,0,0,5,1,5,0,0,5,27,5,0,2,11,5,0,0,4,0,shiej002,0.14705882352941177,0.2894736842105263,0.23684210526315788,0.325,0.3235294117647059,0.6052631578947368,0.5603715170278638,0.9302631578947369,0.0,0.0
37143,20100418,lestj001,BOS,15,27,0,0,0,2,2,1,3,12,0,5,0,7,0,2,0,3,27,1,1,0,1,0,5,7,0,0,2,0,AL,AL,54,lestj001,BOS07,,,garzm001,12,5,1,7,TBA,13,32,0,0,0,3,2,0,2,0,7,2,1,0,0,2,27,7,0,3,6,1,0,0,6,0,garzm001,0.21875,0.18518518518518517,0.34210526315789475,0.23333333333333334,0.46875,0.25925925925925924,0.8108552631578947,0.4925925925925926,0.0,0.0
37609,20100419,lackj001,BOS,10,30,0,0,0,1,1,1,1,13,0,5,1,8,0,5,0,4,27,2,0,1,2,0,4,8,0,0,3,0,AL,AL,54,lackj001,BOS07,,,niemj001,13,5,1,8,TBA,9,35,0,0,0,1,4,0,1,0,12,1,2,0,0,2,27,8,1,1,5,2,0,1,3,0,niemj001,0.34285714285714286,0.16666666666666666,0.38461538461538464,0.24242424242424243,0.6,0.3,0.9846153846153847,0.5424242424242425,0.0,0.0
37614,20100420,waket001,BOS,6,38,0,1,0,1,3,0,0,14,1,13,2,6,1,12,0,4,27,7,0,1,7,0,7,6,0,0,5,2,AL,AL,53,franf001,BOS07,,,lewic001,13,11,0,6,TEX,7,34,0,0,0,0,2,1,0,1,8,0,7,1,1,5,26,5,0,9,5,7,0,0,9,0,papej001,0.23529411764705882,0.34210526315789475,0.4090909090909091,0.4318181818181818,0.29411764705882354,0.5789473684210527,0.7032085561497327,1.0107655502392345,1.0,0.0
37518,20100421,beckj002,BOS,15,43,0,0,0,2,2,0,1,15,0,9,3,7,1,6,0,4,36,8,0,0,8,0,12,7,0,0,6,0,AL,AL,71,nippd001,BOS07,,,harrm001,14,4,1,7,TEX,11,40,0,0,0,1,2,0,1,0,8,1,8,0,0,6,35,7,1,3,10,8,0,1,5,0,okajh001,0.2,0.20930232558139536,0.2826086956521739,0.30612244897959184,0.375,0.46511627906976744,0.6576086956521738,0.7712387280493593,1.0,1.0
37417,20100422,buchc001,BOS,8,31,0,0,0,1,0,2,2,16,0,6,0,3,0,6,0,3,27,0,0,0,0,0,4,3,0,0,2,0,AL,AL,54,buchc001,BOS07,olivd001,,wilsc004,15,5,0,3,TEX,17,33,0,0,0,2,3,0,1,0,7,0,0,1,0,3,27,3,0,2,11,0,0,0,2,0,wilsc004,0.21212121212121213,0.1935483870967742,0.2571428571428571,0.24242424242424243,0.30303030303030304,0.1935483870967742,0.5601731601731601,0.4359726295210166,0.0,1.0
37367,20100423,lestj001,BOS,14,26,0,0,0,1,0,0,3,17,0,6,1,3,1,7,0,5,27,3,1,1,4,0,0,3,0,0,7,1,AL,AL,51,albem001,BOS07,papej001,,guthj001,17,12,0,3,BAL,11,34,0,0,1,3,2,2,1,1,9,1,4,1,0,6,24,3,0,1,9,4,0,0,7,0,delcm001,0.2647058823529412,0.23076923076923078,0.40476190476190477,0.38235294117647056,0.4117647058823529,0.34615384615384615,0.8165266106442577,0.7285067873303167,1.0,0.0
38017,20100424,lackj001,BOS,12,32,0,0,0,2,1,1,1,18,0,9,3,6,0,5,0,4,27,7,0,0,7,1,8,6,0,0,4,0,AL,AL,51,albem001,BOS07,papej001,,matub001,18,11,0,6,BAL,7,42,0,0,0,1,2,0,2,0,17,2,7,0,0,4,24,5,0,0,6,7,0,0,2,0,lackj001,0.40476190476190477,0.28125,0.4318181818181818,0.3611111111111111,0.5952380952380952,0.59375,1.027056277056277,0.9548611111111112,1.0,1.0
37102,20100425,waket001,BOS,5,41,0,0,0,0,4,1,0,19,0,13,0,7,0,10,0,6,30,6,1,1,6,0,6,7,0,0,3,0,AL,AL,60,atchs001,BOS07,merec001,,hernd002,19,10,0,7,BAL,7,45,0,0,0,0,4,0,0,0,14,1,6,0,0,6,30,7,0,1,10,6,0,0,2,1,johnj010,0.3111111111111111,0.3170731707317073,0.3404255319148936,0.35555555555555557,0.4666666666666667,0.4146341463414634,0.8070921985815602,0.770189701897019,0.0,1.0
13847,20100426,eveld001,TOR,8,42,0,0,0,0,4,0,0,20,0,16,2,13,0,8,0,6,27,12,1,0,12,0,9,13,0,2,4,2,AL,AL,54,camps002,TOR02,papej001,,beckj002,20,10,0,13,BOS,4,45,0,0,0,0,4,0,0,1,18,0,12,0,0,7,27,12,0,2,11,12,0,0,4,0,schos001,0.4,0.38095238095238093,0.46,0.425531914893617,0.4888888888888889,0.7142857142857143,0.9488888888888889,1.1398176291793314,1.0,0.0
14776,20100427,marcs001,TOR,11,34,0,0,0,1,1,0,0,21,0,7,0,2,0,8,0,3,27,1,0,0,1,0,4,2,0,0,2,0,AL,AL,54,downs001,TOR02,ramir003,,buchc001,21,9,0,2,BOS,10,33,0,0,0,0,1,1,1,0,7,0,1,0,0,2,27,2,0,0,7,1,0,0,5,0,buchc001,0.21212121212121213,0.20588235294117646,0.3157894736842105,0.25,0.24242424242424243,0.23529411764705882,0.5582137161084529,0.4852941176470588,1.0,1.0
15276,20100428,cecib001,TOR,8,28,0,0,1,1,2,0,0,22,0,2,0,2,0,3,0,4,27,0,0,0,0,0,15,2,0,0,2,0,AL,AL,54,cecib001,TOR02,papej001,,lestj001,22,6,0,2,BOS,8,33,0,0,0,0,4,0,1,0,8,0,0,0,0,3,27,2,1,1,6,0,0,0,1,0,lestj001,0.24242424242424243,0.07142857142857142,0.2571428571428571,0.13333333333333333,0.36363636363636365,0.14285714285714285,0.6207792207792208,0.2761904761904762,1.0,1.0
30668,20100430,hernd002,BAL,11,35,0,0,2,3,2,0,1,23,0,9,1,4,1,6,0,7,30,4,1,0,5,0,10,4,0,0,4,0,AL,AL,59,ramir003,BAL12,,,lackj001,23,11,0,4,BOS,10,35,0,0,1,2,0,2,1,0,8,3,4,0,0,5,29,4,0,0,8,4,0,0,10,0,albem001,0.22857142857142856,0.2571428571428571,0.4,0.325,0.4857142857142857,0.4,0.8857142857142857,0.7250000000000001,0.0,1.0
35164,20100501,bergb002,BAL,12,34,0,0,1,0,1,0,1,24,0,12,5,9,0,1,0,5,27,12,0,0,12,0,6,9,0,0,3,0,AL,AL,51,matsd001,BAL12,simoa001,,matsd001,24,4,0,9,BOS,11,39,0,0,0,1,3,1,0,0,12,4,11,0,0,3,24,9,0,0,6,11,0,0,1,0,bergb002,0.3076923076923077,0.35294117647058826,0.325,0.40540540540540543,0.6923076923076923,0.8235294117647058,1.0173076923076922,1.2289348171701113,0.0,0.0
34255,20100502,millk004,BAL,12,34,0,0,1,3,3,0,1,25,2,10,0,2,1,9,0,3,30,3,0,1,3,0,8,2,0,0,2,0,AL,AL,57,papej001,BAL12,,,beckj002,25,5,1,2,BOS,9,31,0,0,1,1,0,1,2,0,7,2,2,0,0,3,27,2,0,1,7,2,0,0,5,0,albem001,0.22580645161290322,0.29411764705882354,0.3333333333333333,0.3684210526315789,0.41935483870967744,0.38235294117647056,0.7526881720430108,0.7507739938080495,0.0,0.0
