teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev
BOS,AL,9,1,34,12,3,1,1,8,4,5,6,6,7,7,0,0.35294117647058826,0.41025641025641024,0.5882352941176471,0.9984917043740572,1.0,
BOS,AL,4,1,35,9,3,0,1,4,1,8,7,5,5,5,1,0.2571428571428571,0.2894736842105263,0.42857142857142855,0.7180451127819549,0.0,1.0
BOS,AL,1,1,35,7,2,0,0,1,3,5,8,5,3,3,0,0.2,0.28205128205128205,0.2571428571428571,0.5391941391941392,0.0,0.0
BOS,AL,3,0,33,9,2,0,1,3,4,8,8,3,4,4,0,0.2727272727272727,0.35135135135135137,0.42424242424242425,0.7755937755937756,0.0,0.0
BOS,AL,8,0,37,12,1,0,5,8,0,6,5,3,3,3,0,0.32432432432432434,0.35,0.7567567567567568,1.1067567567567569,1.0,0.0
BOS,AL,8,0,37,12,4,0,1,7,6,7,8,5,5,5,1,0.32432432432432434,0.4186046511627907,0.5135135135135135,0.9321181646763042,1.0,1.0
BOS,AL,2,0,31,7,4,0,0,2,1,6,4,3,5,5,0,0.2258064516129032,0.24242424242424246,0.3548387096774194,0.5972629521016618,0.0,1.0
BOS,AL,6,0,36,10,4,0,1,6,6,10,9,4,3,3,0,0.2777777777777778,0.3809523809523809,0.4722222222222222,0.8531746031746031,1.0,0.0
BOS,AL,0,0,32,6,1,0,0,0,3,10,8,3,7,7,3,0.1875,0.2571428571428571,0.21875,0.4758928571428571,0.0,1.0
BOS,AL,5,1,38,11,3,0,3,5,2,8,8,3,1,1,2,0.2894736842105263,0.325,0.6052631578947368,0.9302631578947368,0.0,0.0
BOS,AL,1,1,27,5,2,0,0,1,2,5,2,3,7,7,1,0.1851851851851852,0.2333333333333333,0.25925925925925924,0.4925925925925926,0.0,0.0
BOS,AL,2,1,30,5,1,0,1,2,3,4,5,4,8,8,1,0.16666666666666666,0.24242424242424246,0.3,0.5424242424242425,0.0,0.0
BOS,AL,7,1,38,13,3,0,2,7,5,7,12,4,6,6,0,0.34210526315789475,0.4318181818181818,0.5789473684210527,1.0107655502392343,1.0,0.0
BOS,AL,8,1,43,9,2,0,3,8,6,12,6,4,7,7,0,0.20930232558139536,0.30612244897959184,0.4651162790697674,0.7712387280493593,1.0,1.0
BOS,AL,0,1,31,6,0,0,0,0,2,4,6,3,3,3,2,0.1935483870967742,0.24242424242424246,0.1935483870967742,0.4359726295210166,0.0,1.0
BOS,AL,4,1,26,6,0,0,1,3,7,0,7,5,3,3,0,0.2307692307692308,0.38235294117647056,0.3461538461538461,0.7285067873303167,1.0,0.0
BOS,AL,7,1,32,9,1,0,3,7,4,8,5,4,6,6,1,0.28125,0.3611111111111111,0.59375,0.9548611111111112,1.0,1.0
BOS,AL,6,1,41,13,4,0,0,6,3,6,10,6,7,7,1,0.3170731707317073,0.3555555555555556,0.4146341463414634,0.770189701897019,0.0,1.0
BOS,AL,13,0,45,18,4,0,0,12,4,11,10,7,12,12,0,0.4,0.46,0.4888888888888889,0.9488888888888888,1.0,0.0
BOS,AL,2,0,33,7,1,0,0,2,5,7,9,2,1,1,1,0.21212121212121213,0.3157894736842105,0.24242424242424246,0.5582137161084529,1.0,1.0
BOS,AL,2,0,33,8,4,0,0,2,1,6,6,3,0,0,0,0.24242424242424246,0.2571428571428571,0.3636363636363637,0.6207792207792208,1.0,1.0
BOS,AL,4,0,35,8,0,0,3,4,10,8,11,5,4,4,2,0.22857142857142854,0.4,0.4857142857142857,0.8857142857142857,0.0,1.0
BOS,AL,9,0,39,12,3,0,4,9,1,6,4,3,11,11,1,0.3076923076923077,0.325,0.6923076923076923,1.0173076923076922,0.0,0.0
BOS,AL,2,0,31,7,0,0,2,2,5,7,5,3,2,2,1,0.2258064516129032,0.3333333333333333,0.41935483870967744,0.7526881720430108,0.0,0.0
BOS,AL,17,1,43,20,7,0,4,17,6,6,9,4,8,8,1,0.4651162790697674,0.54,0.9069767441860463,1.4469767441860464,1.0,0.0
BOS,AL,5,1,34,11,6,0,0,5,5,8,10,2,1,1,0,0.3235294117647059,0.41025641025641024,0.5,0.9102564102564102,1.0,1.0
BOS,AL,3,1,32,11,1,0,2,3,4,8,9,3,1,1,0,0.34375,0.4166666666666667,0.5625,0.9791666666666669,1.0,1.0
BOS,AL,11,1,36,11,3,1,1,11,8,5,10,4,6,6,0,0.3055555555555556,0.4444444444444444,0.5277777777777778,0.9722222222222222,1.0,1.0
BOS,AL,3,1,34,9,1,0,0,3,3,9,8,3,10,10,0,0.2647058823529412,0.3157894736842105,0.29411764705882354,0.609907120743034,0.0,1.0
BOS,AL,3,1,34,8,0,0,2,3,4,9,9,6,13,13,1,0.2352941176470588,0.3333333333333333,0.4117647058823529,0.7450980392156863,0.0,0.0
BOS,AL,9,1,34,10,5,0,1,8,4,7,6,3,3,3,0,0.29411764705882354,0.35897435897435903,0.5294117647058824,0.8883861236802413,1.0,0.0
BOS,AL,7,1,33,8,1,0,0,6,7,9,9,4,6,6,1,0.24242424242424246,0.375,0.2727272727272727,0.6477272727272727,1.0,1.0
BOS,AL,6,1,30,8,2,0,1,5,8,7,10,3,1,1,0,0.26666666666666666,0.425,0.43333333333333335,0.8583333333333334,1.0,1.0
