Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20130401,KCA,AL,1,CHA,AL,1,0,1,51,CHI12,39012,0,00001000x,32,7,0,0,0,0,0,0,0,3,0,9,2,0,2,0,8,3,1,1,0,0,24,6,0,0,0,0,32,8,0,0,1,1,0,0,0,1,0,9,1,0,0,0,8,4,0,0,1,0,27,12,0,0,2,0,salec001,shiej002,reeda001,shiej002,salec001,,1,Apr 1,1,KCR,"W,1-0",9,7,0,0,0,3,9,0,0,0,35,128,85,3,0,2,0,32,0,0,0,0,0,0,2,4,Jerry Layne,"C.Sale (99-71-W), N.Jones (99), M.Thornton (99-H), A.Reed (99-Sv)"
20130403,KCA,AL,2,CHA,AL,2,2,5,51,CHI12,14213,1001000,01120010x,34,5,2,0,0,1,0,0,0,1,0,7,0,0,0,0,6,3,5,5,0,0,24,9,0,0,1,0,29,8,1,0,4,5,1,0,0,2,0,8,0,0,1,0,3,6,1,1,0,0,27,11,3,0,0,0,peavj001,sante001,reeda001,sante001,peavj001,,2,Apr 3,1,KCR,"W,5-2",9,5,2,1,1,1,7,0,0,0.5,35,157,108,5,0,0,0,34,2,0,0,0,0,2,0,6,Brian O'Nora,"J.Peavy (99-64-W), J.Crain (99-H), D.Veal (99-H), M.Lindstrom (99-H), M.Thornton (1-H), A.Reed (1-Sv)"
20130404,KCA,AL,3,CHA,AL,3,3,1,54,CHI12,15036,30000,10000,30,5,2,0,0,3,0,0,1,2,0,7,0,0,2,0,3,4,1,1,0,0,27,8,0,0,1,0,34,8,0,0,0,1,0,0,1,2,0,12,0,0,1,0,9,2,2,2,0,0,27,14,1,0,2,0,guthj001,floyg001,hollg001,guthj001,floyg001,,3,Apr 4,1,KCR,"L,1-3",9,5,3,2,1,2,7,0,1,1,33,142,94,0,0,0,0,30,2,0,0,0,0,0,2,2,Hunter Wendelstedt,"G.Floyd (99-58-L), H.Santiago (99)"
20130405,SEA,AL,5,CHA,AL,4,8,7,60,CHI12,15312,1000500002,1401001,38,12,4,1,1,8,1,0,0,3,0,9,1,1,2,0,4,6,7,7,1,0,30,11,1,0,0,0,40,10,1,0,2,7,0,1,0,3,0,5,3,0,0,0,7,5,7,7,0,0,30,15,1,0,2,0,loe-k001,jonen001,wilht001,beavb001,quinj001,,4,Apr 5,1,SEA,"L,7-8",10,12,8,7,1,3,9,1,0,2.43,42,152,96,2,0,1,1,38,4,1,0,1,0,1,2,5,Vic Carapazza,"J.Quintana (99-25), M.Lindstrom (1), D.Veal (1), J.Crain (1), N.Jones (3-L)"
20130406,SEA,AL,6,CHA,AL,5,3,4,51,CHI12,22461,10000020,00001210x,33,6,1,0,1,2,0,0,0,3,0,8,0,0,1,0,6,3,4,4,1,0,24,8,1,0,1,0,28,6,1,1,1,4,0,2,0,2,1,5,0,0,1,0,4,6,2,2,0,0,27,8,1,1,1,0,veald001,hernf002,reeda001,hernf002,axeld001,,5,Apr 6,1,SEA,"W,4-3",9,6,3,2,1,3,8,1,0,2.35,36,155,92,4,1,0,0,33,1,0,0,0,0,1,1,6,Jeff Nelson,"D.Axelrod (99-62), D.Veal (0-W), N.Jones (0-H), M.Thornton (2-H), J.Crain (0-H), A.Reed (2-Sv)"
20130407,SEA,AL,7,CHA,AL,6,3,4,58,CHI12,18708,2000010000,2000001001,37,7,3,0,2,3,0,0,0,3,1,11,0,0,0,0,7,5,4,4,1,0,28,8,0,0,1,0,33,5,1,0,3,4,0,0,0,0,0,5,0,0,1,0,1,4,3,3,0,0,30,6,1,0,0,0,reeda001,loe-k001,,iwakh001,salec001,,6,Apr 7,1,SEA,"W,4-3",10,7,3,3,0,3,11,2,0,2.41,40,158,96,0,0,0,0,37,3,0,1,0,0,1,0,4,Kerwin Danley,"C.Sale (5-60), M.Lindstrom (1), J.Crain (0), A.Reed (0-W)"
20130409,CHA,AL,7,WAS,NL,7,7,8,51,WAS11,24412,100001302,00011411x,36,11,2,0,2,6,0,1,0,3,0,11,1,0,0,0,6,5,7,7,0,0,24,10,1,0,2,0,32,13,1,0,4,8,0,1,0,3,0,8,0,1,1,0,4,5,7,7,0,1,27,5,1,0,1,0,stamc001,peavj001,sorir001,peavj001,gonzg003,,7,Apr 9,@,WSN,"L,7-8",8,13,8,7,1,3,8,4,0,3.09,36,145,91,3,1,0,1,32,1,0,0,0,1,0,1,5,Phil Cuzzi,"J.Peavy (5-32-L), N.Jones (2), D.Veal (2), M.Lindstrom (1), M.Thornton (2)"
20130410,CHA,AL,8,WAS,NL,8,2,5,51,WAS11,24586,100001000,00021200x,34,9,2,0,0,2,0,0,0,0,0,5,1,1,1,0,5,4,5,5,1,0,24,11,0,0,2,0,31,11,3,1,1,5,2,0,0,3,1,11,0,0,2,0,7,3,2,2,0,0,27,15,0,0,1,0,zimmj003,floyg001,sorir001,floyg001,zimmj003,,8,Apr 10,@,WSN,"L,2-5",8,11,5,5,0,3,11,1,0,3.38,36,119,78,4,1,0,0,31,3,1,1,2,0,0,2,4,Chris Guccione,"G.Floyd (5-34-L), D.Veal (0), N.Jones (0), H.Santiago (5)"
20130411,CHA,AL,9,WAS,NL,9,4,7,51,WAS11,24785,10201000,10230001x,40,13,5,0,0,4,0,0,1,1,0,9,1,0,0,0,11,4,7,7,1,0,24,9,1,0,1,0,31,10,2,0,0,6,0,1,1,6,1,6,2,0,1,0,8,4,4,4,1,0,27,6,0,0,0,0,hared001,axeld001,sorir001,axeld001,hared001,,9,Apr 11,@,WSN,"L,4-7",8,10,7,7,0,6,6,0,1,3.83,39,160,95,1,0,2,0,31,2,0,1,0,1,0,1,4,Tom Hallion,"D.Axelrod (4-21-L), H.Santiago (0), M.Lindstrom (1), J.Crain (3)"
20130412,CHA,AL,10,CLE,AL,9,0,1,53,CLE08,11864,0,1,30,5,2,0,0,0,0,0,0,1,0,7,0,1,1,0,4,3,1,1,0,0,26,8,0,0,0,0,29,3,2,0,0,1,0,0,1,1,1,8,0,0,0,0,4,1,0,0,0,0,27,14,1,0,1,0,mastj001,craij001,,quinj001,mastj001,,10,Apr 12,@,CLE,"L,0-1",8.2,3,1,1,0,1,8,0,1,3.55,31,125,74,0,0,0,0,29,2,0,1,0,0,0,0,3,Jim Wolf,"J.Quintana (6-82), M.Thornton (2), J.Crain (0-L)"
