Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID
20150406,CHA,AL,1,KCA,AL,1,1,10,51,KAN06,40085,100,01201051x,28,5,1,0,1,1,0,0,1,2,0,3,0,0,3,0,3,3,10,10,1,0,24,7,0,0,2,0,34,13,3,0,2,9,1,0,2,5,1,3,2,0,1,0,8,4,1,1,0,0,27,16,0,0,3,0,venty001,samaj001,,samaj001,venty001
20150408,CHA,AL,2,KCA,AL,2,5,7,51,KAN06,23385,30101000,10301002x,34,10,3,0,1,5,0,1,0,0,0,10,0,1,0,0,3,4,7,7,0,0,24,10,0,0,1,0,37,14,1,0,2,7,0,0,2,2,0,5,2,0,1,0,10,5,5,5,0,0,27,9,0,0,0,0,daviw001,putnz001,hollg001,quinj001,duffd001
20150409,CHA,AL,3,KCA,AL,3,1,4,51,KAN06,20236,100,10000300x,30,4,2,0,0,1,0,0,1,1,0,7,0,0,0,0,4,4,4,4,1,0,24,10,1,0,0,0,31,8,3,1,1,4,2,0,0,2,0,2,2,0,0,0,7,2,1,1,0,0,27,11,0,0,1,0,volqe001,dankj001,hollg001,dankj001,volqe001
20150410,MIN,AL,4,CHA,AL,4,6,0,54,CHI12,38533,100011003,0,36,10,1,0,1,5,0,0,1,9,3,9,1,0,0,0,13,2,0,0,0,0,27,10,0,0,1,0,28,3,2,0,0,0,0,0,0,2,0,7,0,1,0,0,3,4,5,5,2,1,27,9,1,0,0,0,milot001,noesh001,duenb001,milot001,noesh001
20150411,MIN,AL,5,CHA,AL,5,4,5,51,CHI12,22317,40000000,02110001x,35,8,2,1,0,4,0,0,0,1,0,10,2,1,0,0,5,4,4,4,0,0,24,13,1,0,1,0,33,10,2,0,2,5,0,0,1,1,0,5,0,0,1,0,6,3,4,4,0,0,27,11,2,0,0,0,dukez001,boyeb001,robed002,pelfm001,samaj001
20150412,MIN,AL,6,CHA,AL,6,2,6,51,CHI12,23057,1000010,20100003x,34,7,2,0,0,2,0,0,0,2,0,10,0,0,1,0,7,4,6,6,0,0,24,5,2,0,0,0,37,12,1,0,2,6,0,0,0,0,0,7,1,0,0,0,7,5,2,2,0,0,27,8,0,0,1,0,salec001,hughp001,,hughp001,salec001
20150414,CHA,AL,7,CLE,AL,7,4,1,54,CLE08,10642,200110000,100000,33,8,1,0,1,4,0,0,0,2,0,5,0,1,0,0,4,4,0,0,0,0,27,8,2,1,1,0,31,3,1,0,0,1,0,0,0,3,0,14,1,0,0,0,6,5,4,4,2,0,27,12,0,0,0,0,quinj001,carrc003,robed002,quinj001,carrc003
20150415,CHA,AL,8,CLE,AL,8,2,4,51,CLE08,11042,2000,00121000x,33,6,1,0,0,2,0,0,1,5,0,14,0,0,0,0,10,4,4,4,0,0,24,7,0,0,1,0,30,8,3,0,0,4,2,0,0,2,0,9,1,0,1,0,6,5,2,2,0,0,27,4,0,0,0,0,bauet001,dankj001,allec002,dankj001,bauet001
20150417,CHA,AL,9,DET,AL,10,1,2,52,DET05,33084,10000000,100001,30,4,0,0,1,1,0,0,0,2,0,9,0,0,1,0,4,2,2,2,0,0,25,10,1,0,1,0,34,10,3,0,1,2,1,0,0,0,0,7,0,0,1,0,8,2,1,1,0,0,27,14,0,0,1,0,sorij001,dukez001,,samaj001,pricd001
20150418,CHA,AL,10,DET,AL,11,12,3,54,DET05,39877,4710000,100100010,42,17,5,0,2,12,0,1,0,5,0,6,1,0,1,0,9,3,3,3,0,0,27,10,1,0,0,0,34,7,1,0,1,3,0,0,0,2,0,7,0,0,0,0,6,6,12,12,1,0,27,10,0,0,1,0,salec001,sanca004,,salec001,sanca004
