Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20180329","CHA","AL",1,"KCA","AL",1,14,7,54,"KAN06",36517,"000530330","400000012",39,14,3,0,6,14,0,0,1,7,0,7,0,0,1,0,6,5,6,6,2,0,27,11,1,0,0,0,36,9,3,0,1,6,0,0,1,2,0,2,0,0,0,0,5,9,14,14,0,0,27,9,0,1,1,0,"shiej002","duffd001","","shiej002","duffd001",
"20180331","CHA","AL",2,"KCA","AL",2,4,3,54,"KAN06",17564,"100000030","201000000",34,8,1,0,1,4,0,0,0,3,0,8,1,0,1,0,6,4,3,3,1,0,27,9,0,1,1,0,31,6,0,1,0,3,0,1,1,5,0,5,1,0,1,0,8,4,4,4,0,0,27,8,0,0,1,0,"farqd001","maurb001","sorij001","gioll001","kenni001",
"20180402","CHA","AL",3,"TOR","AL",5,2,4,51,"TOR02",16629,"000100100","00000121x",30,6,1,0,2,2,0,0,2,3,0,10,1,0,2,0,6,4,4,4,0,0,24,6,1,0,1,0,28,4,0,0,3,4,0,0,0,4,0,6,0,0,1,0,4,4,2,2,0,0,27,17,2,0,3,0,"oh--s001","farqd001","osunr001","loper003","garcj004",
"20180403","CHA","AL",4,"TOR","AL",6,5,14,51,"TOR02",17451,"010111010","00330107x",37,10,0,0,3,5,0,0,1,2,0,14,2,0,1,0,8,4,13,13,0,0,24,10,1,0,0,0,38,15,7,1,2,13,0,1,1,5,1,6,0,0,0,0,7,5,5,5,0,0,27,11,2,0,1,0,"happj001","gonzm003","","gonzm003","happj001",
"20180404","CHA","AL",5,"TOR","AL",7,4,3,54,"TOR02",17268,"010020010","000102000",31,8,1,0,2,4,0,0,3,2,0,11,0,0,4,0,5,5,2,2,0,0,27,10,1,0,0,0,34,6,2,0,0,3,0,0,0,1,0,10,0,0,0,0,5,4,4,4,0,0,27,12,0,0,4,0,"jonen001","teper001","sorij001","fulmc001","sanca006",
"20180405","DET","AL",6,"CHA","AL",6,9,7,60,"CHI12",33318,"0101100132","2110201000",45,17,3,0,1,9,0,1,0,2,0,6,1,1,2,0,9,5,7,7,0,0,30,10,0,0,0,0,39,11,4,2,0,7,0,1,1,5,0,12,1,0,0,0,9,7,9,9,0,0,30,9,1,0,2,0,"jimej003","infag001","grees005","zimmj003","shiej002",
"20180407","DET","AL",7,"CHA","AL",7,6,1,54,"CHI12",16625,"002012001","000000100",33,6,2,0,0,6,0,0,4,8,0,9,4,0,0,0,12,5,1,1,1,0,27,7,1,0,1,0,34,8,3,0,0,1,0,1,0,4,0,7,0,0,1,0,11,4,6,6,0,0,27,4,0,0,0,0,"fulmm001","gioll001","","fulmm001","gioll001",
"20180408","DET","AL",8,"CHA","AL",8,1,0,54,"CHI12",11131,"100000000","000000000",27,2,0,0,0,1,0,1,0,5,0,9,2,1,0,0,5,5,0,0,0,0,27,8,1,0,3,0,28,3,0,0,0,0,0,0,1,2,0,9,1,1,2,0,4,3,0,0,0,0,27,7,0,1,0,0,"fierm001","loper003","grees005","fierm001","loper003",
"20180409","TBA","AL",10,"CHA","AL",9,5,4,54,"CHI12",10377,"100121000","100021000",39,14,2,1,1,5,0,0,0,3,0,7,3,1,0,0,10,5,3,3,2,0,27,5,1,0,0,0,35,9,2,0,1,4,1,1,1,5,0,12,3,0,0,0,12,6,5,5,3,0,27,9,1,0,0,0,"archc001","gonzm003","coloa001","archc001","gonzm003",
"20180410","TBA","AL",11,"CHA","AL",10,6,5,54,"CHI12",10069,"002111001","000010004",34,11,0,0,1,5,0,1,2,10,0,9,0,2,1,0,14,5,3,2,1,0,27,12,1,0,0,0,33,6,3,0,1,5,0,1,0,7,0,11,1,0,0,0,9,4,5,5,1,1,27,7,1,0,1,0,"snelb001","fulmc001","coloa001","snelb001","fulmc001",
"20180411","TBA","AL",12,"CHA","AL",11,1,2,51,"CHI12",10431,"000010000","00000002x",29,4,1,0,0,1,1,0,0,6,0,11,0,1,0,0,8,4,2,2,0,0,24,11,2,0,0,0,31,8,1,0,1,2,0,0,2,2,0,9,0,1,0,0,9,4,1,1,0,0,27,9,0,0,0,0,"rondb001","pruia001","jonen001","chiry001","shiej002",
"20180412","CHA","AL",12,"MIN","AL",11,0,4,51,"MIN04",15474,"000000000","00200020x",30,3,0,0,0,0,0,0,1,0,0,13,0,0,1,0,4,3,3,3,1,0,24,7,2,0,2,0,30,7,3,0,0,4,0,0,0,6,0,6,3,0,1,0,8,3,0,0,0,0,27,8,1,0,1,0,"berrj001","gioll001","","gioll001","berrj001",
"20180416","CHA","AL",13,"OAK","AL",17,1,8,51,"OAK01",7479,"000000001","00011033x",31,6,0,0,1,1,1,0,0,1,0,8,1,0,0,0,5,5,6,6,1,0,24,7,4,0,1,0,32,8,3,0,1,6,1,0,0,7,0,11,0,0,1,0,8,2,1,1,0,0,27,13,0,0,1,0,"mengd001","loper003","","loper003","mengd001",
"20180417","CHA","AL",14,"OAK","AL",18,2,10,51,"OAK01",46028,"000000020","50030020x",34,8,1,0,1,2,0,0,0,3,0,14,2,0,2,0,8,5,10,10,0,0,24,6,0,0,1,0,33,13,5,0,1,10,0,2,0,6,0,8,0,1,1,0,7,3,2,2,2,0,27,13,0,0,2,0,"cahit001","gonzm003","","gonzm003","cahit001",
