Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
38935.0,20100405,buehm001,CHA,9,28,0,0,1,1,2,0,1,1,2,6,2,0,0,5,0,3,27,4,0,0,6,0,4,0,0,0,5,0,AL,AL,51,westj001,CHI12,,,westj001,1,4,0,0,CLE,14,30,0,0,0,1,0,0,1,0,4,0,6,0,0,4,24,0,0,0,7,6,0,0,1,4,buehm001,0.13333333333333333,0.21428571428571427,0.16129032258064516,0.37142857142857144,0.13333333333333333,0.5,0.2946236559139785,0.8714285714285714,1.0,
19514.0,20100407,peavj001,CHA,9,26,0,0,0,0,0,0,2,2,0,2,1,5,0,4,0,5,27,3,1,0,3,2,2,5,0,0,7,0,AL,AL,54,willr003,CHI12,perec002,,carmf001,2,12,0,5,CLE,12,36,0,0,1,2,2,0,0,2,10,0,3,1,0,4,27,5,0,3,8,3,0,0,6,0,carmf001,0.2777777777777778,0.07692307692307693,0.4090909090909091,0.2647058823529412,0.3333333333333333,0.19230769230769232,0.7424242424242424,0.4570135746606335,0.0,1.0
18637.0,20100408,floyg001,CHA,12,37,0,0,0,1,0,2,0,3,1,6,1,5,1,11,0,6,33,3,0,2,3,1,12,5,0,0,7,1,AL,AL,66,putzj001,CHI12,perec002,,mastj001,3,10,3,5,CLE,12,41,0,0,0,0,4,0,1,0,11,0,3,1,0,7,33,5,0,1,16,3,0,0,4,1,lewij003,0.2682926829268293,0.16216216216216217,0.3333333333333333,0.3111111111111111,0.36585365853658536,0.24324324324324326,0.6991869918699187,0.5543543543543543,0.0,0.0
21416.0,20100409,dankj001,CHA,16,39,0,0,2,1,2,2,2,4,0,10,0,3,0,8,0,6,33,2,0,0,3,0,5,3,0,0,5,0,AL,AL,66,penat003,CHI12,raucj001,,lirif001,5,13,2,4,MIN,18,41,0,0,1,2,1,0,0,0,10,0,3,1,0,5,33,3,0,1,12,3,0,0,7,1,duenb001,0.24390243902439024,0.2564102564102564,0.3541666666666667,0.3409090909090909,0.2682926829268293,0.3076923076923077,0.622459349593496,0.6486013986013985,0.0,0.0
28337.0,20100410,garcf002,CHA,11,31,0,0,0,1,3,0,0,5,0,6,0,2,0,6,0,3,27,1,0,1,1,0,3,2,0,0,2,0,AL,AL,54,garcf002,CHI12,raucj001,,bakes002,6,8,1,2,MIN,7,30,0,0,0,1,1,0,0,0,5,1,1,1,0,4,27,2,0,0,5,1,0,0,6,0,bakes002,0.16666666666666666,0.1935483870967742,0.3055555555555556,0.24242424242424243,0.3,0.2903225806451613,0.6055555555555556,0.5327468230694037,0.0,0.0
25550.0,20100411,buehm001,CHA,17,31,0,0,0,3,1,0,2,6,1,9,3,4,0,4,0,2,27,5,0,0,5,0,0,4,0,0,1,1,AL,AL,51,blacn001,CHI12,jenkb001,,blacn001,7,4,1,4,MIN,14,32,0,0,0,2,3,1,3,0,10,0,5,0,0,3,24,4,0,0,2,5,0,0,2,0,buehm001,0.3125,0.2903225806451613,0.35294117647058826,0.3333333333333333,0.40625,0.6129032258064516,0.7591911764705883,0.946236559139785,1.0,0.0
46321.0,20100412,tallb001,TOR,16,41,0,0,0,4,3,1,0,7,1,8,2,8,0,8,0,5,33,7,0,0,7,1,11,8,0,0,6,0,AL,AL,66,accaj001,TOR02,jenkb001,,peavj001,7,8,0,8,CHA,10,44,0,0,0,0,0,0,4,2,14,3,7,0,0,6,33,8,0,4,4,7,0,1,3,0,thorm001,0.3181818181818182,0.1951219512195122,0.3877551020408163,0.3125,0.5681818181818182,0.4146341463414634,0.9559369202226345,0.7271341463414633,1.0,1.0
12167.0,20100413,romer002,TOR,11,34,0,0,0,0,4,0,0,8,0,10,0,2,0,8,0,2,27,4,0,0,4,1,6,2,0,0,2,1,AL,AL,51,floyg001,TOR02,gregk001,,floyg001,8,2,0,2,CHA,5,28,0,0,0,0,0,0,0,1,1,1,4,0,0,2,24,2,0,0,14,4,0,0,2,0,romer002,0.03571428571428571,0.29411764705882354,0.12903225806451613,0.3333333333333333,0.14285714285714285,0.4117647058823529,0.271889400921659,0.7450980392156863,0.0,1.0
10610.0,20100414,morrb001,TOR,11,29,0,0,0,2,0,0,1,9,0,2,0,11,0,4,0,5,27,1,0,0,1,1,8,11,0,0,3,0,AL,AL,54,morrb001,TOR02,,,dankj001,9,7,0,11,CHA,8,40,0,0,0,1,4,1,2,1,15,2,1,0,0,2,27,10,0,1,4,1,0,0,4,0,dankj001,0.375,0.06896551724137931,0.4444444444444444,0.15625,0.625,0.06896551724137931,1.0694444444444444,0.2252155172413793,1.0,0.0
10744.0,20100415,eveld001,TOR,12,34,0,0,0,1,5,0,0,10,0,12,1,3,1,10,0,4,27,7,1,0,7,2,15,3,0,0,6,0,AL,AL,51,garcf002,TOR02,,,garcf002,10,4,0,3,CHA,5,31,0,0,0,1,0,0,0,0,5,2,7,0,0,5,24,3,0,0,8,7,0,0,3,0,eveld001,0.16129032258064516,0.35294117647058826,0.23529411764705882,0.43902439024390244,0.3548387096774194,0.5882352941176471,0.5901328273244781,1.0272596843615496,0.0,1.0
