Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20110401","PIT","NL",1,"CHN","NL",1,6,3,54,"CHI11",41358,"000040200","101000100",32,7,3,0,2,6,1,0,0,7,0,9,2,0,0,0,7,5,2,2,1,0,27,10,1,0,0,0,38,11,0,0,0,2,0,0,0,2,0,8,0,1,0,0,10,4,6,6,0,0,27,11,0,0,1,0,"corrk001","Kevin Correia","dempr002","Ryan Dempster","hanrj001","Joel Hanrahan","corrk001","Kevin Correia","dempr002","Ryan Dempster",
"20110402","PIT","NL",2,"CHN","NL",2,3,5,51,"CHI11",35782,"101000100","00000005x",30,5,1,0,1,3,1,0,0,4,0,10,0,0,1,0,5,4,2,2,2,0,24,10,1,0,1,0,33,9,4,0,0,4,0,0,0,4,0,3,0,0,1,0,8,4,3,3,0,0,27,7,0,0,1,0,"marss002","Sean Marshall","meeke001","Evan Meek","marmc001","Carlos Marmol","mahop002","Paul Maholm","zambc001","Carlos Zambrano",
"20110403","PIT","NL",3,"CHN","NL",3,5,4,54,"CHI11",30857,"011010002","000211000",40,16,0,0,0,5,1,0,0,1,0,13,0,1,1,0,10,4,4,4,1,0,27,9,1,0,2,0,33,9,1,2,1,4,1,1,0,4,1,5,0,0,2,0,8,3,5,5,0,0,27,11,1,0,2,0,"karsj001","Jeff Karstens","marmc001","Carlos Marmol","hanrj001","Joel Hanrahan","ohler001","Ross Ohlendorf","garzm001","Matt Garza",
"20110404","ARI","NL",3,"CHN","NL",4,1,4,51,"CHI11",26292,"100000000","00110002x",33,8,0,0,1,1,0,0,0,6,1,8,2,1,1,0,11,4,4,4,1,0,24,7,0,0,0,0,31,8,3,0,1,4,0,1,0,3,1,4,0,0,0,0,7,6,1,1,0,0,27,9,1,0,1,0,"wellr001","Randy Wells","saunj001","Joe Saunders","marmc001","Carlos Marmol","saunj001","Joe Saunders","wellr001","Randy Wells",
"20110405","ARI","NL",4,"CHN","NL",5,5,6,51,"CHI11",27039,"001000301","02200020x",33,7,0,0,1,5,0,0,0,4,0,7,1,0,1,0,5,5,6,6,0,0,24,7,1,0,1,0,31,10,2,0,1,5,1,0,0,6,1,6,0,0,1,0,8,5,5,5,0,0,27,14,0,0,1,0,"russj003","James Russell","demes001","Sam Demel","marss002","Sean Marshall","enrib001","Barry Enright","casha001","Andrew Cashner",
"20110406","ARI","NL",5,"CHN","NL",6,6,4,54,"CHI11",32272,"002030010","000200110",39,12,3,1,1,5,0,0,0,0,0,8,1,0,0,0,6,3,4,4,0,0,27,8,0,0,0,0,32,6,0,0,2,4,1,0,0,3,0,7,0,0,0,0,5,3,5,5,0,0,27,11,3,0,0,0,"galaa002","Armando Galarraga","dempr002","Ryan Dempster","putzj001","J.J. Putz","galaa002","Armando Galarraga","dempr002","Ryan Dempster",
"20110408","CHN","NL",7,"MIL","NL",8,7,4,54,"MIL06",34310,"000501001","020110000",40,12,2,0,2,7,0,0,0,1,0,8,0,0,1,0,7,4,4,4,0,0,27,9,0,0,0,0,32,8,0,0,1,4,1,1,0,4,0,8,0,0,0,0,7,4,3,3,1,0,27,11,2,0,1,0,"zambc001","Carlos Zambrano","wolfr001","Randy Wolf","marmc001","Carlos Marmol","zambc001","Carlos Zambrano","wolfr001","Randy Wolf",
"20110409","CHN","NL",8,"MIL","NL",9,0,6,51,"MIL06",42478,"000000000","20201001x",32,6,1,0,0,0,0,0,0,2,0,10,0,0,2,0,7,4,6,6,0,0,24,7,0,0,0,0,30,8,4,1,0,6,2,0,0,7,1,12,2,0,0,0,9,3,0,0,1,0,27,9,0,0,2,0,"narvc001","Chris Narveson","garzm001","Matt Garza","","(none)","garzm001","Matt Garza","narvc001","Chris Narveson",
"20110410","CHN","NL",9,"MIL","NL",10,5,6,51,"MIL06",37193,"211000100","20200002x",33,11,6,0,0,5,2,0,0,6,0,4,0,1,2,0,9,4,6,6,0,0,24,11,0,0,0,0,31,11,2,0,3,6,3,0,1,2,0,4,0,1,0,0,7,6,5,5,1,0,27,13,0,0,2,0,"loe-k001","Kameron Loe","woodk002","Kerry Wood","axfoj001","John Axford","colec001","Casey Coleman","gally001","Yovani Gallardo",
"20110411","CHN","NL",10,"HOU","NL",10,5,4,54,"HOU03",20175,"220100000","000010300",34,8,1,1,0,5,0,0,0,6,0,7,1,0,0,0,8,4,4,4,0,0,27,9,1,0,0,0,37,10,1,0,2,4,1,0,0,5,0,13,1,0,0,0,12,6,5,5,1,0,27,13,0,0,1,0,"dempr002","Ryan Dempster","figun001","Nelson Figueroa","marmc001","Carlos Marmol","dempr002","Ryan Dempster","figun001","Nelson Figueroa",
