Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20170402","CHN","NL",1,"SLN","NL",1,3,4,53,"STL10",47566,"000000003","001000021",34,8,1,0,1,3,0,0,2,0,0,12,0,0,1,0,6,5,4,4,1,0,26,8,0,0,1,0,35,11,2,0,1,4,0,1,0,8,1,8,2,0,1,0,14,2,3,3,0,0,27,5,0,0,1,0,"oh--s001","montm002","","lestj001","martc006",
"20170404","CHN","NL",2,"SLN","NL",2,2,1,54,"STL10",46760,"000200000","000010000",31,5,1,0,0,2,2,0,1,4,1,8,0,0,0,0,9,4,0,0,2,0,27,10,2,0,0,0,31,4,0,0,0,0,0,0,1,3,0,8,0,0,0,0,7,5,2,2,1,0,27,6,0,0,0,0,"arrij001","waina001","daviw001","arrij001","waina001",
"20170406","CHN","NL",3,"SLN","NL",3,6,4,54,"STL10",44039,"000011400","300010000",38,10,1,0,1,6,0,0,1,3,0,7,0,0,0,0,9,5,3,3,1,0,27,12,2,0,1,0,34,7,2,0,0,4,0,1,0,3,0,11,0,0,1,0,7,5,6,6,1,0,27,8,1,0,0,0,"lackj001","cecib001","daviw001","lackj001","lynnl001",
"20170407","CHN","NL",4,"MIL","NL",5,1,2,64,"MIL06",28728,"01000000000","00000100001",36,6,0,0,1,1,0,0,1,6,0,12,1,1,3,0,9,5,2,2,2,0,31,10,0,0,0,0,38,7,1,0,0,1,0,0,1,3,0,10,0,0,0,0,9,6,1,1,0,1,33,13,1,0,3,0,"hughj001","montm002","","andeb004","nelsj004",
"20170408","CHN","NL",5,"MIL","NL",6,11,6,54,"MIL06",43080,"003120140","200200002",43,17,6,0,0,11,0,0,0,6,1,8,0,0,1,0,11,3,6,6,1,0,27,7,0,0,0,0,34,7,1,0,3,6,0,0,0,3,0,13,1,0,0,0,4,5,10,10,2,0,27,11,0,1,1,0,"hendk001","marij001","","hendk001","milot001",
"20170409","CHN","NL",6,"MIL","NL",7,7,4,54,"MIL06",38483,"410000200","003000001",37,11,1,1,2,7,0,0,0,5,0,8,2,0,2,0,8,4,4,4,1,0,27,8,0,0,0,0,31,4,2,0,2,4,0,0,0,2,0,13,0,0,0,0,2,4,6,6,0,0,27,9,2,0,2,0,"arrij001","daviz001","","arrij001","daviz001",
"20170410","LAN","NL",8,"CHN","NL",7,2,3,53,"CHI11",41166,"000001010","001100001",32,6,1,0,0,1,0,0,1,3,0,10,0,1,1,1,8,6,2,2,0,0,26,6,2,0,0,0,32,6,2,0,0,3,0,0,0,7,1,10,1,0,0,0,10,6,1,1,0,0,27,7,3,0,2,0,"daviw001","romos001","","wooda002","lestj001",
"20170412","LAN","NL",9,"CHN","NL",8,2,0,54,"CHI11",40844,"100000001","000000000",32,5,1,0,1,1,0,0,0,6,0,14,0,0,1,0,9,4,0,0,0,0,27,13,1,0,3,0,28,5,0,0,0,0,1,0,0,3,0,9,1,1,3,0,5,4,1,1,0,0,27,8,0,0,1,0,"mccab001","lackj001","jansk001","mccab001","lackj001",
"20170413","LAN","NL",10,"CHN","NL",9,0,4,51,"CHI11",38379,"000000000","10012000x",32,6,2,0,0,0,0,0,0,4,0,5,0,0,0,0,9,4,4,4,0,0,24,8,0,0,1,0,29,8,1,0,2,4,0,0,1,4,1,9,0,0,1,0,6,4,0,0,0,0,27,12,0,0,1,0,"andeb004","ryu-h001","","ryu-h001","andeb004",
"20170414","PIT","NL",10,"CHN","NL",10,4,2,54,"CHI11",40430,"010003000","000110000",34,10,4,0,0,4,0,0,0,2,1,6,2,0,2,0,5,4,2,2,0,0,27,8,1,0,0,0,35,7,3,0,0,2,0,0,2,3,0,7,2,0,0,0,11,5,4,4,0,0,27,18,1,0,2,0,"coleg001","hendk001","watst001","coleg001","hendk001",
"20170415","PIT","NL",11,"CHN","NL",11,8,7,54,"CHI11",41814,"011001500","402000001",36,10,0,1,4,8,0,0,0,2,0,9,2,0,1,0,3,5,5,5,0,0,27,11,1,1,0,0,37,9,3,1,2,7,0,0,1,3,0,11,0,1,0,0,7,5,8,8,0,0,27,11,0,0,1,0,"willt002","strop001","watst001","glast001","arrij001",
"20170416","PIT","NL",12,"CHN","NL",12,6,1,54,"CHI11",39422,"000000033","000000100",30,6,1,1,1,5,0,0,2,6,0,4,1,2,2,0,5,3,0,0,0,0,27,12,1,0,2,0,33,7,2,0,0,1,0,0,0,3,0,7,0,0,1,0,8,4,5,5,1,0,27,16,2,0,3,0,"tailj001","uehak001","","tailj001","lestj001",
"20170417","MIL","NL",14,"CHN","NL",13,6,3,54,"CHI11",38636,"211000020","120000000",36,10,3,0,3,5,0,0,0,1,0,5,2,0,1,0,4,5,2,2,0,0,27,7,0,1,1,0,34,9,1,0,0,3,0,0,0,3,0,11,1,0,1,0,7,3,5,5,0,0,27,13,1,0,1,0,"andec001","lackj001","felin001","andec001","lackj001",
"20170418","MIL","NL",15,"CHN","NL",14,7,9,51,"CHI11",39026,"302110000","00220401x",36,10,5,0,2,7,0,1,0,1,0,12,1,0,0,0,4,3,9,9,1,0,24,13,0,0,1,0,36,14,3,1,2,8,1,0,0,3,1,6,1,0,1,0,7,6,7,7,0,0,27,10,0,0,0,0,"grimj002","hughj001","daviw001","nelsj004","andeb004",
"20170419","MIL","NL",16,"CHN","NL",15,4,7,53,"CHI11",34864,"210100000","010001014",32,6,0,0,2,4,0,0,0,7,0,9,0,0,1,0,8,5,7,7,0,0,26,6,1,0,0,0,36,9,1,0,2,7,0,0,0,4,0,12,2,0,0,0,7,5,4,4,1,0,27,12,0,0,1,0,"daviw001","felin001","","milot001","hendk001",
