Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
53081,20100405,lowed001,ATL,13,35,0,0,0,2,1,0,0,1,1,12,2,5,0,6,0,4,27,14,0,2,16,1,8,5,0,1,8,0,NL,NL,51,zambc001,ATL02,,,zambc001,1,1,0,5,CHN,8,30,0,0,0,0,1,2,0,0,5,2,14,0,0,6,24,5,0,0,7,14,0,0,3,0,lowed001,0.16666666666666666,0.34285714285714286,0.24242424242424243,0.4772727272727273,0.4,0.6,0.6424242424242425,1.0772727272727272,0.0,
36170,20100407,jurrj001,ATL,8,29,0,0,0,3,2,1,0,2,1,5,1,0,1,5,0,4,27,3,0,0,3,1,12,0,0,0,2,0,NL,NL,51,grabj002,ATL02,wagnb001,,dempr002,2,6,0,2,CHN,8,31,0,0,0,0,1,0,2,0,7,0,3,0,0,4,24,1,1,1,7,3,0,0,3,0,moylp001,0.22580645161290322,0.1724137931034483,0.2857142857142857,0.25,0.25806451612903225,0.3448275862068966,0.543778801843318,0.5948275862068966,0.0,0.0
27443,20100408,hanst001,ATL,4,33,0,0,0,0,1,0,3,3,0,8,0,2,0,10,0,3,27,0,0,0,0,0,4,2,0,0,4,0,NL,NL,54,hanst001,ATL02,marmc001,,wellr001,3,5,1,2,CHN,15,30,0,0,0,3,0,1,0,0,4,2,0,0,0,5,27,2,0,0,9,0,0,0,3,0,wellr001,0.13333333333333333,0.24242424242424243,0.21212121212121213,0.32432432432432434,0.3333333333333333,0.2727272727272727,0.5454545454545454,0.597051597051597,1.0,0.0
24419,20100409,bailh001,CIN,9,28,0,1,0,0,1,2,0,4,0,5,1,4,0,2,0,3,27,5,1,0,5,0,4,4,0,1,2,2,NL,NL,51,carie001,CIN09,cordf002,,silvc001,4,13,2,4,CHN,9,36,0,0,0,0,0,0,0,3,11,1,5,0,0,3,24,4,1,0,7,5,0,0,2,0,owinm001,0.3055555555555556,0.17857142857142858,0.38095238095238093,0.22580645161290322,0.3888888888888889,0.39285714285714285,0.7698412698412698,0.618663594470046,0.0,1.0
27235,20100410,haraa001,CIN,10,32,0,0,1,0,1,0,1,5,0,7,1,4,0,5,0,3,27,3,0,1,3,0,13,4,0,0,2,1,NL,NL,54,rhoda001,CIN09,marmc001,,zambc001,5,0,0,4,CHN,11,30,0,0,1,1,0,1,0,0,5,3,3,0,0,3,27,4,0,0,8,3,0,0,1,1,zambc001,0.16666666666666666,0.21875,0.1935483870967742,0.2647058823529412,0.4666666666666667,0.34375,0.6602150537634408,0.6084558823529411,1.0,0.0
26945,20100411,leakm001,CIN,7,30,0,0,1,0,0,0,0,6,0,7,0,1,0,8,0,4,27,3,1,0,3,2,10,1,0,0,4,2,NL,NL,51,grabj002,CIN09,cordf002,,gorzt001,6,12,1,1,CHN,8,31,0,0,0,0,1,1,0,0,5,0,2,0,0,5,24,1,0,0,9,2,0,0,8,0,massn001,0.16129032258064516,0.23333333333333334,0.3333333333333333,0.3142857142857143,0.1935483870967742,0.23333333333333334,0.5268817204301075,0.5476190476190477,0.0,1.0
41306,20100412,dempr002,CHN,11,36,0,0,0,2,1,0,0,7,0,13,3,5,0,7,0,4,27,9,0,1,9,4,10,5,0,0,3,0,NL,NL,51,david002,CHI11,,,david002,7,6,0,5,MIL,13,32,0,0,1,1,2,1,1,1,8,1,8,0,0,5,24,5,0,0,8,8,0,1,5,0,dempr002,0.25,0.3611111111111111,0.3684210526315789,0.41025641025641024,0.46875,0.6388888888888888,0.837171052631579,1.049145299145299,1.0,0.0
39565,20100414,wellr001,CHN,9,32,0,0,0,1,2,1,2,8,1,12,1,6,0,8,0,5,27,7,1,1,7,2,4,6,0,0,4,0,NL,NL,51,hawkl001,CHI11,marmc001,,bushd001,8,7,1,6,MIL,12,37,0,0,0,2,3,0,1,0,13,0,7,0,0,4,24,6,0,0,10,7,0,2,2,0,grayj002,0.35135135135135137,0.375,0.38461538461538464,0.4473684210526316,0.5405405405405406,0.53125,0.9251559251559252,0.9786184210526316,1.0,1.0
38026,20100415,zambc001,CHN,9,36,0,0,0,0,4,3,0,9,0,10,3,6,0,7,0,4,27,6,0,0,6,0,9,6,0,0,4,2,NL,NL,54,samaj001,CHI11,hofft001,,suppj001,9,15,1,8,MIL,10,41,0,0,0,0,2,0,0,2,14,2,6,0,0,4,27,8,1,2,8,6,0,0,5,0,narvc001,0.34146341463414637,0.2777777777777778,0.42857142857142855,0.35,0.5365853658536586,0.6388888888888888,0.9651567944250872,0.9888888888888888,0.0,1.0
37291,20100416,silvc001,CHN,9,32,0,0,0,1,4,1,2,10,0,11,1,0,0,5,0,3,27,7,1,0,7,1,4,0,0,1,3,0,NL,NL,51,paulf001,CHI11,,,paulf001,10,5,1,2,HOU,12,32,0,0,0,2,0,0,1,1,6,0,7,0,0,4,24,2,0,0,8,7,0,1,0,0,silvc001,0.1875,0.34375,0.21212121212121213,0.3888888888888889,0.25,0.625,0.46212121212121215,1.0138888888888888,1.0,0.0
40471,20100417,gorzt001,CHN,13,38,0,0,0,0,4,1,0,11,0,9,0,4,0,8,0,5,27,3,0,0,3,0,9,4,0,0,0,0,NL,NL,54,gorzt001,CHI11,lindm001,,oswar001,11,4,1,4,HOU,8,33,0,0,0,0,0,2,0,0,6,1,3,0,0,4,27,4,0,0,3,3,0,0,1,1,oswar001,0.18181818181818182,0.23684210526315788,0.20588235294117646,0.23684210526315788,0.2727272727272727,0.34210526315789475,0.47860962566844917,0.5789473684210527,0.0,1.0
