Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20110331","MIL","NL",1,"CIN","NL",1,6,7,53,"CIN09",42398,"310010100","100100104",35,9,2,0,3,6,0,1,0,5,2,7,1,0,0,0,8,4,7,7,0,0,26,8,0,0,0,0,35,12,1,0,3,7,2,2,0,4,0,10,0,0,0,0,10,5,6,6,1,1,27,11,1,0,0,0,"ondrl001","Logan Ondrusek","axfoj001","John Axford","","(none)","gally001","Yovani Gallardo","volqe001","Edinson Volquez",
"20110402","MIL","NL",2,"CIN","NL",2,2,4,51,"CIN09",37967,"000010001","22000000x",33,7,0,0,1,2,0,0,0,0,0,10,0,0,1,0,4,4,3,3,0,0,24,10,1,0,1,0,27,5,0,1,1,3,1,0,0,5,0,8,1,1,1,0,5,3,2,2,0,0,27,10,0,0,1,0,"woodt004","Travis Wood","marcs001","Shaun Marcum","cordf002","Francisco Cordero","marcs001","Shaun Marcum","woodt004","Travis Wood",
"20110403","MIL","NL",3,"CIN","NL",3,3,12,51,"CIN09",24805,"101001000","02041410x",35,7,4,0,2,3,0,0,1,0,0,9,0,0,0,0,6,6,9,8,0,1,24,8,1,0,1,0,41,19,3,0,4,12,1,1,0,4,0,6,2,0,1,0,11,3,3,3,1,0,27,9,0,0,0,0,"arrob001","Bronson Arroyo","wolfr001","Randy Wolf","","(none)","wolfr001","Randy Wolf","arrob001","Bronson Arroyo",
"20110405","HOU","NL",4,"CIN","NL",4,2,8,51,"CIN09",11821,"000020000","32021000x",31,5,1,0,0,2,1,0,1,2,0,7,0,0,0,0,6,5,8,8,0,0,24,7,0,0,0,0,33,10,1,0,0,8,0,1,1,5,0,5,2,0,0,0,8,3,2,2,0,0,27,7,0,0,0,0,"leakm001","Mike Leake","happj001","J.A. Happ","","(none)","happj001","J.A. Happ","leakm001","Mike Leake",
"20110406","HOU","NL",5,"CIN","NL",5,4,12,51,"CIN09",17719,"400000000","01500402x",33,7,1,0,0,4,0,0,0,6,0,12,2,0,1,0,8,4,8,8,0,0,24,10,5,0,2,0,41,14,3,0,0,11,0,0,0,3,0,5,3,0,2,0,8,5,4,4,0,1,27,9,0,0,1,0,"volqe001","Edinson Volquez","figun001","Nelson Figueroa","","(none)","figun001","Nelson Figueroa","volqe001","Edinson Volquez",
"20110407","HOU","NL",6,"CIN","NL",6,3,2,54,"CIN09",20104,"100100001","010000100",33,8,1,1,0,3,1,0,0,3,0,9,1,0,1,0,7,4,2,2,0,0,27,7,0,0,1,0,36,10,1,0,1,2,0,0,0,4,1,4,0,0,1,0,11,3,3,3,0,0,27,11,0,0,1,0,"abadf001","Fernando Abad","massn001","Nick Masset","lyonb003","Brandon Lyon","myerb001","Brett Myers","lecus001","Sam LeCure",
"20110408","CIN","NL",7,"ARI","NL",6,2,13,51,"PHO01",48027,"001000001","21000316x",31,8,2,0,1,2,1,1,0,2,0,9,0,0,1,0,6,4,13,13,1,0,24,9,0,0,0,0,34,13,6,0,3,12,2,1,0,4,0,7,0,0,0,0,4,2,2,2,0,0,27,7,0,0,1,0,"kenni001","Ian Kennedy","woodt004","Travis Wood","","(none)","woodt004","Travis Wood","kenni001","Ian Kennedy",
"20110409","CIN","NL",8,"ARI","NL",7,6,1,54,"PHO01",20719,"200000004","000001000",31,7,1,0,0,6,0,1,0,5,0,10,0,1,0,0,4,4,0,0,0,0,27,9,1,0,0,0,36,9,1,0,0,1,0,0,0,0,0,9,3,0,0,0,8,4,5,5,0,0,27,8,2,0,2,0,"arrob001","Bronson Arroyo","hudsd001","Daniel Hudson","","(none)","arrob001","Bronson Arroyo","hudsd001","Daniel Hudson",
"20110410","CIN","NL",9,"ARI","NL",8,8,10,51,"PHO01",19718,"311000201","00105004x",36,13,3,0,1,7,0,2,0,5,1,7,2,0,1,0,8,5,10,10,0,0,24,9,2,0,1,0,35,13,1,0,2,10,0,1,0,6,0,7,1,2,0,0,8,4,7,7,0,0,27,8,1,0,1,0,"heila001","Aaron Heilman","massn001","Nick Masset","putzj001","J.J. Putz","leakm001","Mike Leake","saunj001","Joe Saunders",
"20110411","CIN","NL",10,"SDN","NL",9,3,2,54,"SAN02",18022,"000120000","200000000",31,5,0,0,2,3,0,0,1,3,0,12,1,1,0,0,5,4,2,2,0,0,27,14,0,0,3,0,27,5,1,0,0,2,0,1,1,3,0,8,2,2,2,0,3,4,3,3,0,0,27,5,0,0,0,0,"volqe001","Edinson Volquez","latom001","Mat Latos","cordf002","Francisco Cordero","volqe001","Edinson Volquez","latom001","Mat Latos",
