Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20140331","SLN","NL",1,"CIN","NL",1,1,0,54,"CIN09",43134,"000000100","000000000",32,5,1,0,1,1,0,0,0,2,0,9,0,0,0,0,6,5,0,0,1,0,27,11,3,0,1,0,31,3,0,0,0,0,0,0,0,5,1,12,1,0,1,0,9,3,1,1,0,0,27,11,0,0,0,0,"waina001","cuetj001","roset001","waina001","cuetj001",
"20140402","SLN","NL",2,"CIN","NL",2,0,1,52,"CIN09",36189,"000000000","000000001",30,3,1,0,0,0,0,0,0,3,0,12,0,0,0,0,6,3,1,1,0,0,25,8,1,0,0,0,31,6,1,0,0,1,1,0,1,3,1,7,0,0,0,0,10,3,0,0,0,0,27,5,1,0,0,0,"hoovj002","martc006","","wachm001","cingt001",
"20140403","SLN","NL",3,"CIN","NL",3,7,6,54,"CIN09",16857,"020110300","300000300",36,11,4,0,1,6,0,0,0,6,1,5,0,1,0,0,8,5,6,6,1,0,27,7,1,0,0,0,38,10,1,0,3,6,0,0,0,3,0,11,0,0,0,0,8,5,7,7,1,0,27,14,0,0,1,0,"lynnl001","bailh001","roset001","lynnl001","bailh001",
"20140404","CIN","NL",4,"NYN","NL",4,3,4,51,"NYC20",35845,"001000200","00020200x",34,8,0,0,1,3,0,0,0,6,0,11,0,1,1,0,10,3,4,4,0,0,24,9,0,0,0,0,30,6,1,0,2,4,0,0,0,3,0,4,0,0,0,0,5,4,3,3,0,0,27,11,1,0,1,0,"mejij001","leakm001","valvj001","leakm001","mejij001",
"20140405","CIN","NL",5,"NYN","NL",5,3,6,51,"NYC20",25424,"000010020","000002004",33,7,1,0,2,3,1,0,0,1,0,7,0,0,0,0,5,3,6,6,0,1,24,6,1,0,1,0,30,6,1,0,2,6,1,0,0,5,1,10,0,0,1,0,6,3,3,3,0,0,27,6,0,0,0,0,"torrc001","hoovj002","","cuetj001","gee-d001",
"20140406","CIN","NL",6,"NYN","NL",6,2,1,54,"NYC20",26928,"000002000","010000000",33,8,0,0,0,2,0,1,0,3,0,9,1,1,0,0,8,2,1,1,0,0,27,13,0,0,0,0,30,4,2,0,0,1,0,0,1,1,0,8,0,1,0,0,4,4,2,2,0,0,27,9,0,0,0,0,"simoa001","niesj001","parrm001","simoa001","niesj001",
"20140407","CIN","NL",7,"SLN","NL",7,3,5,51,"STL10",47492,"000010002","30000020x",32,10,4,0,0,3,1,1,0,3,0,6,0,1,2,0,7,4,5,5,0,0,24,9,1,0,1,0,32,9,3,0,0,5,1,0,0,6,1,6,1,0,1,0,10,4,3,3,0,0,27,14,0,0,2,0,"wachm001","cingt001","","cingt001","wachm001",
"20140408","CIN","NL",8,"SLN","NL",8,5,7,51,"STL10",40672,"310010000","04000210x",35,9,3,1,0,5,0,1,1,0,0,9,0,0,0,0,5,4,7,7,0,0,24,8,1,0,1,0,35,13,3,1,1,7,1,0,1,4,0,7,1,0,1,0,10,4,5,5,0,0,27,8,0,0,0,0,"lynnl001","ondrl001","roset001","bailh001","lynnl001",
"20140409","CIN","NL",9,"SLN","NL",9,4,0,54,"STL10",41137,"000210001","000000000",36,10,0,1,1,4,0,1,0,3,0,7,3,0,1,0,9,2,0,0,0,0,27,19,0,0,3,0,28,4,1,0,0,0,0,0,0,1,0,3,0,0,3,0,2,4,4,4,0,0,27,9,1,0,1,0,"leakm001","mills001","","leakm001","mills001",
"20140411","TBA","AL",11,"CIN","NL",10,2,1,54,"CIN09",30502,"101000000","000000001",32,6,1,0,1,2,0,0,0,6,0,8,1,0,0,0,9,2,1,1,1,0,27,5,0,0,0,0,30,4,2,0,1,1,1,0,0,4,0,12,0,0,0,0,7,3,2,2,0,0,27,13,0,0,0,0,"pricd001","cuetj001","balfg001","pricd001","cuetj001",
