Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,PIT,NL,1,CIN,NL,1,2,5,51,CIN09,43633,20,00110003x,34,7,1,0,1,2,0,0,0,1,0,13,0,0,0,0,6,2,5,5,0,1,24,10,0,0,0,0,29,5,0,0,2,4,0,0,0,3,0,8,1,0,0,0,3,5,2,2,0,0,27,7,0,0,0,0,diazj005,watst001,chapa001,lirif001,cuetj001,1,Apr 6,1,PIT,"W,5-2",9,7,2,2,0,1,13,1,0,2,35,132,97,1,0,0,0,34,1,0,0,0,0,0,0,5,John Hirschbeck,"J.Cueto (99-78), K.Gregg (99-BSv), M.Parra (99), J.Diaz (99-W), A.Chapman (99-Sv)"
20150408,PIT,NL,2,CIN,NL,2,4,5,65,CIN09,30859,1011010000,10110010001,39,8,3,0,0,4,1,1,0,7,2,9,1,0,0,0,11,8,5,5,2,0,32,14,1,0,1,0,42,11,1,0,1,4,1,0,1,3,0,14,4,0,1,0,10,6,4,4,1,1,33,14,0,0,0,0,hoovj002,liz-r001,,coleg001,leakm001,2,Apr 8,1,PIT,"W,5-4",11,8,4,4,0,7,9,0,0,2.7,48,189,108,4,1,1,0,39,3,0,2,1,1,0,0,6,Sam Holbrook,"M.Leake (99-47), T.Cingrani (99), B.Badenhop (99), J.Diaz (1), A.Chapman (1), J.Hoover (99-W)"
20150409,PIT,NL,3,CIN,NL,3,2,3,52,CIN09,15616,11000,2001,31,6,1,0,1,2,1,0,1,2,0,11,1,0,1,0,6,5,2,2,0,0,25,11,1,0,1,0,31,6,1,0,1,2,0,0,0,2,1,9,2,0,1,0,5,4,2,2,0,0,27,4,0,0,1,0,chapa001,scahr001,,burna001,desca001,3,Apr 9,1,PIT,"W,3-2",9,6,2,2,0,2,11,1,1,2.48,35,113,74,0,0,1,0,31,1,0,0,1,0,0,1,4,Bill Welke,"A.DeSclafani (99-59), B.Badenhop (0), J.Diaz (0), A.Chapman (0-W)"
20150410,SLN,NL,3,CIN,NL,4,4,5,51,CIN09,30808,120000100,20200001x,36,10,2,0,1,4,0,0,0,3,1,12,0,0,0,0,8,3,5,5,1,1,24,7,0,0,1,0,26,4,0,0,2,5,0,1,0,4,1,3,2,0,1,0,2,5,4,4,1,0,27,12,0,0,0,0,hoovj002,waldj001,chapa001,lackj001,marqj001,4,Apr 10,1,STL,"W,5-4",9,10,4,4,0,3,12,1,0,2.84,39,161,94,4,1,0,0,36,2,0,1,0,0,0,0,5,D.J. Reyburn,"J.Marquis (99-55), K.Gregg (3-H), M.Parra (3-BSv), J.Hoover (1-W), A.Chapman (0-Sv)"
20150411,SLN,NL,4,CIN,NL,5,4,1,54,CIN09,41525,10100002,100000000,33,8,0,0,1,4,0,1,1,1,0,5,1,0,2,0,5,6,1,1,2,0,27,12,1,0,0,0,32,6,1,0,1,1,1,0,0,1,0,6,1,0,0,0,6,3,3,3,0,0,27,10,2,0,2,0,wachm001,cuetj001,roset001,wachm001,cuetj001,5,Apr 11,1,STL,"L,1-4",9,8,4,3,1,1,5,1,1,2.87,36,118,78,2,0,1,0,33,0,0,0,0,1,2,2,3,Joe West,"J.Cueto (4-66-L), B.Badenhop (1), M.Parra (0)"
20150412,SLN,NL,5,CIN,NL,6,7,5,66,CIN09,41446,3002002,1001030000,39,10,3,0,2,7,2,0,1,6,0,8,0,0,1,0,8,8,5,5,1,0,33,9,0,0,0,0,43,11,1,0,2,5,1,0,1,8,0,17,0,0,0,0,15,5,7,7,1,0,33,11,0,1,1,0,villc001,gregk001,,martc006,igler001,6,Apr 12,1,STL,"L,5-7",11,10,7,7,0,6,8,2,1,3.41,48,183,107,0,0,0,0,39,3,0,0,2,0,0,1,5,Kerwin Danley,"R.Iglesias (99-47), T.Cingrani (3), J.Diaz (2-BSv), A.Chapman (1), K.Gregg (1-L)"
20150413,CIN,NL,7,CHN,NL,6,6,7,58,CHI11,26390,3000030000,3000010201,42,13,4,1,0,6,0,0,0,0,0,7,1,0,0,0,6,5,7,7,1,0,28,15,0,0,0,0,36,10,1,0,3,7,1,0,0,5,1,4,0,0,0,0,7,5,6,6,0,0,30,11,1,1,0,0,rondh001,parrm001,,leakm001,lestj001,7,Apr 13,@,CHC,"L,6-7",9.1,10,7,7,0,5,4,3,0,3.88,42,168,107,3,1,0,0,36,1,0,1,1,0,0,0,5,Jerry Meals,"M.Leake (4-50), J.Diaz (0-BSv), J.Hoover (2), M.Parra (1-L), B.Badenhop (1)"
20150414,CIN,NL,8,CHN,NL,7,3,2,54,CHI11,27525,300000,20,33,7,2,0,0,3,0,0,0,2,0,8,1,0,0,0,5,4,2,2,0,0,27,9,0,0,1,0,31,5,0,0,1,2,0,0,0,5,0,9,1,0,1,0,7,3,3,3,0,0,27,14,0,0,0,0,desca001,arrij001,chapa001,desca001,arrij001,8,Apr 14,@,CHC,"W,3-2",9,5,2,2,0,5,9,1,0,3.66,36,146,87,0,0,1,0,31,0,0,0,0,0,0,1,4,Paul Emmel,"A.DeSclafani (4-76-W), K.Gregg (1-H), T.Cingrani (1-H), A.Chapman (1-Sv)"
20150415,CIN,NL,9,CHN,NL,8,0,5,51,CHI11,29205,0,22010000x,30,4,0,0,0,0,0,0,0,3,0,8,0,0,1,0,6,4,4,4,0,0,24,9,2,0,1,0,32,11,2,0,1,5,1,1,1,4,1,6,1,1,1,0,10,4,0,0,0,0,27,9,0,0,1,0,woodt004,marqj001,,marqj001,woodt004,9,Apr 15,@,CHC,"L,0-5",8,11,5,4,1,4,6,1,1,3.74,39,132,83,0,0,1,1,32,2,0,1,1,1,2,1,4,Andy Fletcher,"J.Marquis (4-33-L), B.Badenhop (1), M.Parra (1), P.Villarreal (99)"
20150417,CIN,NL,10,SLN,NL,9,1,6,51,STL10,46462,100000000,10000032x,33,6,1,0,1,1,1,0,1,2,0,7,0,0,0,0,9,2,5,5,0,0,24,6,1,0,1,0,29,7,4,0,0,6,0,2,0,2,1,10,0,0,1,0,3,2,1,1,0,0,27,9,2,0,0,0,wachm001,cuetj001,siegk001,cuetj001,wachm001,10,Apr 17,@,STL,"L,1-6",8,7,6,5,1,2,10,0,0,3.9,33,120,82,0,0,0,0,29,4,0,1,0,2,1,1,2,Clint Fagan,"J.Cueto (5-58-L), J.Hoover (3)"
