Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20170403,PHI,NL,1,CIN,NL,1,4,3,54,CIN09,43804,210001000,1000002,35,10,4,1,2,4,0,0,0,5,1,8,0,1,2,0,9,5,3,3,0,0,27,7,0,0,3,0,32,9,1,1,1,3,1,1,1,2,0,6,0,0,2,0,7,6,4,4,1,0,27,8,1,0,2,0,hellj001,felds001,gomej002,hellj001,felds001,,1,Apr 3,1,PHI,"L,3-4",9,10,4,4,0,5,8,2,0,4,40,170,99,2,0,0,1,35,4,1,1,0,0,1,2,6,Tom Hallion,"S.Feldman (99-42-L), B.Astin (99), B.Wood (99), D.Storen (99), M.Lorenzen (99), R.Iglesias (99)"
20170405,PHI,NL,2,CIN,NL,2,0,2,51,CIN09,19944,0,00000020x,31,4,0,0,0,0,0,0,0,1,0,13,1,0,0,0,5,3,2,2,0,0,24,9,0,0,1,0,28,5,2,0,1,2,0,0,0,1,0,8,1,0,1,0,3,3,0,0,0,0,27,11,0,0,0,0,finnb001,eickj001,igler001,eickj001,finnb001,,2,Apr 5,1,PHI,"W,2-0",9,4,0,0,0,1,13,0,0,2,32,133,87,0,0,1,0,31,0,0,0,0,0,0,0,3,Phil Cuzzi,"B.Finnegan (99-83-W), M.Lorenzen (1-H), R.Iglesias (1-Sv)"
20170406,PHI,NL,3,CIN,NL,3,4,7,51,CIN09,10586,103000000,01030120x,30,6,1,0,2,3,0,0,0,6,0,12,0,0,2,0,5,3,7,7,0,0,24,8,0,0,1,0,34,13,2,0,2,7,0,2,0,2,0,6,1,0,1,0,7,6,4,4,1,0,27,9,0,0,2,0,reedc002,morga001,stord001,buchc001,davir004,,3,Apr 6,1,PHI,"W,7-4",9,6,4,4,0,6,12,2,0,2.67,36,162,94,0,0,0,0,30,1,0,0,0,0,0,2,6,Vic Carapazza,"R.Davis (99-35), W.Peralta (99), C.Reed (99-W), T.Cingrani (99-H), B.Wood (2-H), D.Storen (2-Sv)"
20170407,CIN,NL,4,SLN,NL,4,2,0,54,STL10,44653,1001,0,32,7,2,0,1,2,0,0,0,3,0,7,2,1,0,0,6,3,0,0,0,0,27,9,0,0,0,0,28,2,0,0,0,0,0,0,0,3,0,8,0,1,0,0,4,2,2,2,0,0,27,9,0,0,0,0,garra001,leakm001,igler001,garra001,leakm001,,4,Apr 7,@,STL,"W,2-0",9,2,0,0,0,3,8,0,0,2,31,120,81,0,0,0,1,28,0,0,0,0,0,0,0,3,Joe West,"A.Garrett (99-70-W), M.Lorenzen (1-H), R.Iglesias (1-Sv)"
20170408,CIN,NL,5,SLN,NL,5,4,10,51,STL10,46558,100021,20040301x,33,7,2,1,2,4,0,0,0,1,0,10,0,0,1,0,3,4,10,10,0,1,24,12,0,0,0,0,33,10,2,0,2,10,1,0,0,12,1,7,0,0,0,0,12,4,4,4,0,0,27,10,0,0,1,0,wachm001,arrob001,,arrob001,wachm001,,5,Apr 8,@,STL,"L,4-10",8,10,10,10,0,12,7,2,0,3.68,46,176,94,2,0,0,0,33,2,0,1,1,0,0,0,4,Hunter Wendelstedt,"B.Arroyo (99-26-L), R.Stephenson (99), W.Peralta (1), D.Storen (1)"
20170409,CIN,NL,6,SLN,NL,6,8,0,54,STL10,45200,10014101,0,36,11,3,1,2,6,1,0,2,4,0,3,0,1,1,0,8,3,0,0,0,0,27,11,0,0,2,0,31,6,2,0,0,0,0,0,0,1,0,9,0,0,2,0,5,5,7,7,1,0,27,11,3,0,2,0,felds001,martc006,,felds001,martc006,,6,Apr 9,@,STL,"W,8-0",9,6,0,0,0,1,9,0,0,3.06,32,134,92,2,0,0,0,31,2,0,0,0,0,0,2,3,Andy Fletcher,"S.Feldman (5-69-W), B.Wood (2), T.Cingrani (2)"
20170410,CIN,NL,7,PIT,NL,6,7,1,54,PIT08,28264,320010010,1000000,35,8,0,0,2,7,1,0,0,6,0,3,5,0,0,0,8,4,1,1,0,0,27,9,0,0,0,0,31,4,0,0,0,1,0,0,0,5,0,13,0,0,0,0,8,3,7,7,0,0,27,9,2,0,0,0,lorem002,glast001,,finnb001,glast001,,7,Apr 10,@,PIT,"W,7-1",9,4,1,1,0,5,13,0,0,2.76,36,149,90,3,0,0,0,31,0,0,0,0,0,0,0,4,D.J. Reyburn,"B.Finnegan (4-43), M.Lorenzen (2-W), C.Reed (3), W.Peralta (1)"
20170411,CIN,NL,8,PIT,NL,7,6,2,54,PIT08,11027,10100130,1001000,36,10,2,0,2,6,1,0,1,1,0,8,1,0,0,0,6,6,1,1,1,0,27,14,1,0,0,0,34,6,0,0,0,0,0,0,1,5,0,6,2,0,0,0,11,3,6,6,0,0,27,9,0,0,0,0,stord001,nicaj001,igler001,davir004,tailj001,,8,Apr 11,@,PIT,"W,6-2",9,6,2,1,1,5,6,0,1,2.54,40,157,98,2,0,2,0,34,0,0,0,0,0,1,0,6,Mike DiMuro,"R.Davis (4-53), T.Cingrani (1), D.Storen (2-BW), W.Peralta (0-H), B.Wood (1), R.Iglesias (3-Sv)"
20170412,CIN,NL,9,PIT,NL,8,9,2,54,PIT08,12327,40410,200,41,15,5,0,0,9,0,0,0,3,0,5,1,0,2,0,8,3,2,2,0,0,27,11,0,0,1,0,33,7,3,0,1,2,0,0,1,1,0,10,0,0,1,0,6,5,8,8,0,0,27,13,1,0,2,0,garra001,novai001,,garra001,novai001,,9,Apr 12,@,PIT,"W,9-2",9,7,2,2,0,1,10,1,1,2.48,35,130,88,1,0,0,0,33,3,0,0,0,0,0,1,3,Tripp Gibson,"A.Garrett (4-61-W), B.Wood (0), R.Stephenson (3)"
20170413,MIL,NL,10,CIN,NL,10,5,1,54,CIN09,13574,4010000,100000000,33,10,1,0,2,5,1,0,1,1,0,5,0,2,1,0,4,3,1,1,0,0,27,7,0,0,0,0,30,5,0,0,0,1,1,1,0,0,0,6,2,0,0,0,4,3,5,5,0,0,27,12,0,0,1,0,nelsj004,arrob001,,nelsj004,arrob001,,10,Apr 13,1,MIL,"L,1-5",9,10,5,5,0,1,5,2,1,2.73,36,119,80,0,0,0,2,33,1,0,0,1,0,0,1,3,Brian Gorman,"B.Arroyo (4-40-L), D.Storen (1), B.Astin (9)"
20170414,MIL,NL,11,CIN,NL,11,10,4,54,CIN09,23850,204400,21000001,38,12,4,1,1,10,0,0,1,6,0,9,5,0,1,0,8,4,3,3,0,0,27,10,1,0,0,0,35,8,0,0,2,3,0,0,1,1,0,9,0,0,0,0,6,5,10,10,1,1,27,11,0,0,1,0,milot001,woodb004,,milot001,felds001,,11,Apr 14,1,MIL,"L,4-10",9,12,10,10,0,6,9,1,1,3.4,45,184,115,1,1,5,0,38,4,1,0,0,0,0,1,5,Gary Cederstrom,"S.Feldman (4-49), B.Wood (1-BL), W.Peralta (2), M.Lorenzen (3), C.Reed (3)"
20170415,MIL,NL,12,CIN,NL,12,5,7,51,CIN09,31008,201001100,03000310x,32,7,2,0,3,5,1,0,0,6,0,12,0,0,0,0,7,4,7,7,0,0,24,9,0,0,0,0,33,11,5,2,1,7,2,0,0,5,2,5,0,0,0,0,9,6,5,5,1,1,27,6,0,0,0,0,igler001,torrc001,lorem002,daviz001,finnb001,,12,Apr 15,1,MIL,"W,7-5",9,7,5,5,0,6,12,3,0,3.53,39,154,94,1,0,0,0,32,2,0,0,1,0,0,0,6,Eric Cooper,"B.Finnegan (4-41), R.Stephenson (2), R.Iglesias (3-W), T.Cingrani (3-H), D.Storen (1-H), M.Lorenzen (0-Sv)"
20170416,MIL,NL,13,CIN,NL,13,4,2,54,CIN09,12625,3000100,200000,32,5,1,0,3,4,1,0,1,4,0,10,1,0,0,0,7,4,2,2,0,0,27,10,0,0,1,0,30,5,0,0,1,2,0,0,1,3,0,6,0,1,1,0,5,4,3,3,0,0,27,8,2,0,0,0,peraw001,romas001,felin001,peraw001,romas001,,13,Apr 16,1,MIL,"L,2-4",9,5,4,3,1,4,10,3,1,3.49,38,166,95,0,0,1,0,32,1,0,0,1,0,1,0,4,Adrian Johnson,"S.Romano (99-41-L), T.Adleman (99), B.Wood (1), W.Peralta (1)"
20170418,BAL,AL,12,CIN,NL,14,3,9,51,CIN09,16018,10020000,25200000x,34,7,2,0,1,3,0,0,0,2,0,10,0,0,0,0,6,4,9,9,0,0,24,10,1,1,0,0,35,11,3,0,2,9,0,1,1,6,1,8,2,0,0,0,10,5,3,3,0,0,27,10,0,0,0,0,arrob001,gausk001,,gausk001,arrob001,,14,Apr 18,1,BAL,"W,9-3",9,7,3,3,0,2,10,1,0,3.46,36,133,94,0,0,0,0,34,2,0,0,0,0,0,0,5,Jerry Layne,"B.Arroyo (4-47-W), B.Wood (1), C.Reed (3), T.Cingrani (2), D.Storen (2)"
20170419,BAL,AL,13,CIN,NL,15,2,0,54,CIN09,15083,10010000,0,33,9,2,0,0,2,0,1,0,1,0,16,0,1,1,0,6,3,0,0,0,0,27,13,0,0,0,0,29,2,0,0,0,0,0,0,0,4,0,4,2,0,0,0,6,3,2,2,0,0,27,6,0,0,2,0,jimeu001,garra001,bracb001,jimeu001,garra001,,15,Apr 19,1,BAL,"L,0-2",9,9,2,2,0,1,16,0,0,3.36,35,119,88,0,0,0,1,33,2,0,0,0,1,0,1,3,Dan Bellino,"A.Garrett (6-66-L), M.Lorenzen (3), W.Peralta (2)"
20170420,BAL,AL,14,CIN,NL,16,2,1,60,CIN09,11910,100000001,1000000,33,5,1,0,1,2,0,0,0,2,0,9,0,0,0,0,3,3,1,1,0,0,30,11,0,0,1,0,31,2,1,0,1,1,0,0,0,1,0,14,0,0,1,0,1,3,2,2,0,0,30,12,0,0,0,0,odayd001,woodb004,bracb001,milew001,felds001,,16,Apr 20,1,BAL,"L,1-2",10,5,2,2,0,2,9,1,0,3.25,35,143,93,0,0,0,0,33,1,0,0,0,0,0,0,3,Toby Basner,"S.Feldman (5-69), R.Iglesias (4), B.Wood (1-L)"
20170421,CHN,NL,16,CIN,NL,17,6,5,66,CIN09,29350,11000301,31100000,41,10,2,0,3,6,0,1,2,4,0,11,0,0,0,0,9,7,5,5,0,0,33,13,0,0,2,0,41,10,3,0,1,5,0,0,0,6,1,12,1,0,1,0,9,5,6,6,0,0,33,10,0,0,0,0,edwac001,stepr002,daviw001,lestj001,adlet001,,17,Apr 21,1,CHC,"L,5-6",11,10,6,6,0,4,11,3,2,3.37,48,179,118,0,0,0,0,41,2,0,0,0,1,0,0,5,Jeff Nelson,"T.Adleman (4-61), D.Storen (2-H), M.Lorenzen (1-BSv), W.Peralta (1), R.Stephenson (5-L)"
20170422,CHN,NL,17,CIN,NL,18,12,8,54,CIN09,27189,340013001,410000012,36,9,3,1,3,12,0,0,1,8,1,13,0,0,0,0,6,5,7,7,1,0,27,9,1,0,1,0,41,14,3,0,3,8,0,0,0,0,0,13,0,0,0,0,6,3,12,12,4,0,27,5,0,1,0,0,arrij001,reedc002,,arrij001,reedc002,,18,Apr 22,1,CHC,"L,8-12",9,9,12,12,0,8,13,3,1,3.84,45,192,111,0,0,0,0,36,3,1,1,0,0,0,0,3,Laz Diaz,"C.Reed (3-18-L), L.Bonilla (99), R.Stephenson (0)"
20170423,CHN,NL,18,CIN,NL,19,5,7,51,CIN09,32670,200102,11010400x,35,9,1,0,1,5,0,0,0,0,0,10,0,0,1,0,3,2,5,5,0,0,24,9,2,0,0,0,31,6,2,0,1,6,0,1,0,3,0,8,2,0,0,0,4,4,4,4,0,0,27,9,1,0,1,0,arrob001,lackj001,,lackj001,arrob001,,19,Apr 23,1,CHC,"W,7-5",9,9,5,4,1,0,10,1,0,3.85,35,119,82,2,1,0,0,35,1,0,0,0,0,0,1,4,Doug Eddings,"B.Arroyo (4-65-W), B.Wood (2), W.Peralta (1), R.Iglesias (2)"
20170424,CIN,NL,20,MIL,NL,21,7,11,51,MIL06,23943,13001011,42220001x,38,9,5,1,1,7,0,0,0,6,0,9,2,0,0,0,10,4,10,10,2,0,24,14,1,0,0,0,35,9,2,0,3,11,0,0,0,5,1,8,2,0,0,0,5,6,3,3,0,0,27,6,4,0,0,0,torrc001,garra001,,garra001,garzm001,,20,Apr 24,@,MIL,"L,7-11",8,9,11,10,1,5,8,3,0,4.18,40,144,89,1,0,2,0,35,2,0,1,0,0,1,0,4,Sam Holbrook,"A.Garrett (4-3-L), A.Hernandez (99), D.Storen (2), M.Lorenzen (2)"
20170425,CIN,NL,21,MIL,NL,22,1,9,51,MIL06,28449,10,01030500x,35,8,1,0,1,1,0,0,0,3,0,9,0,0,1,0,10,4,8,8,0,0,24,8,1,0,1,0,34,10,1,2,2,9,0,0,0,7,1,6,3,1,0,0,8,3,1,1,0,0,27,7,1,0,1,0,daviz001,felds001,milot001,felds001,daviz001,,21,Apr 25,@,MIL,"L,1-9",8,10,9,8,1,7,6,2,0,4.38,41,153,92,2,0,3,1,34,1,2,1,0,0,1,0,4,Jim Wolf,"S.Feldman (4-41-L), R.Stephenson (2), B.Astin (11), B.Wood (1)"
20170426,CIN,NL,22,MIL,NL,23,4,9,51,MIL06,19062,100201000,51210000x,35,8,1,0,4,4,0,0,0,3,0,9,0,0,2,0,7,6,8,8,0,0,24,10,1,0,1,0,36,14,3,0,1,8,0,1,0,4,1,8,1,0,1,0,8,5,4,4,0,0,27,9,3,0,2,0,peraw001,davir004,,davir004,peraw001,,22,Apr 26,@,MIL,"L,4-9",8,14,9,8,1,4,8,1,0,4.57,41,142,83,1,0,1,0,36,3,0,1,0,1,0,1,6,Chad Whitson,"R.Davis (14-7-L), B.Astin (0), C.Reed (3), D.Storen (1), W.Peralta (2), M.Lorenzen (1)"
