Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
42493,20100405,haraa001,CIN,10,39,0,0,0,0,1,1,1,1,0,11,2,10,0,8,0,5,27,6,0,0,6,1,7,10,0,0,2,0,NL,NL,54,haraa001,CIN09,,,carpc002,1,7,1,11,SLN,13,38,0,0,0,1,0,2,0,2,12,4,5,1,0,5,27,10,0,0,5,5,0,0,4,0,carpc002,0.3157894736842105,0.28205128205128205,0.4090909090909091,0.3170731707317073,0.631578947368421,0.46153846153846156,1.0406698564593302,0.7786116322701688,0.0,
28132,20100407,cuetj001,CIN,10,31,0,0,1,0,2,0,0,2,0,6,1,6,0,4,0,6,27,3,0,1,3,1,9,6,0,0,2,0,NL,NL,54,herrd001,CIN09,franr001,,waina001,2,10,1,6,SLN,9,36,0,0,0,0,2,0,0,1,10,0,3,0,0,4,27,6,0,2,8,3,0,0,5,0,waina001,0.2777777777777778,0.1935483870967742,0.38095238095238093,0.24242424242424243,0.3333333333333333,0.3548387096774194,0.7142857142857142,0.5972629521016618,0.0,0.0
13445,20100408,arrob001,CIN,10,31,0,0,0,1,1,2,2,3,0,8,1,1,0,7,0,2,27,2,0,0,2,0,5,1,0,0,3,0,NL,NL,52,mottj001,CIN09,,,pennb002,3,6,0,1,SLN,15,31,0,0,0,2,0,0,0,0,4,1,2,0,0,4,25,1,0,0,8,2,0,0,3,0,cordf002,0.12903225806451613,0.25806451612903225,0.20588235294117646,0.3235294117647059,0.22580645161290322,0.3870967741935484,0.43168880455407965,0.7106261859582543,1.0,0.0
24419,20100409,bailh001,CIN,9,28,0,1,0,0,1,2,0,4,0,5,1,4,0,2,0,3,27,5,1,0,5,0,4,4,0,1,2,2,NL,NL,51,carie001,CIN09,cordf002,,silvc001,4,13,2,4,CHN,9,36,0,0,0,0,0,0,0,3,11,1,5,0,0,3,24,4,1,0,7,5,0,0,2,0,owinm001,0.3055555555555556,0.17857142857142858,0.38095238095238093,0.22580645161290322,0.3888888888888889,0.39285714285714285,0.7698412698412698,0.618663594470046,1.0,1.0
27235,20100410,haraa001,CIN,10,32,0,0,1,0,1,0,1,5,0,7,1,4,0,5,0,3,27,3,0,1,3,0,13,4,0,0,2,1,NL,NL,54,rhoda001,CIN09,marmc001,,zambc001,5,0,0,4,CHN,11,30,0,0,1,1,0,1,0,0,5,3,3,0,0,3,27,4,0,0,8,3,0,0,1,1,zambc001,0.16666666666666666,0.21875,0.1935483870967742,0.2647058823529412,0.4666666666666667,0.34375,0.6602150537634408,0.6084558823529411,0.0,1.0
26945,20100411,leakm001,CIN,7,30,0,0,1,0,0,0,0,6,0,7,0,1,0,8,0,4,27,3,1,0,3,2,10,1,0,0,4,2,NL,NL,51,grabj002,CIN09,cordf002,,gorzt001,6,12,1,1,CHN,8,31,0,0,0,0,1,1,0,0,5,0,2,0,0,5,24,1,0,0,9,2,0,0,8,0,massn001,0.16129032258064516,0.23333333333333334,0.3333333333333333,0.3142857142857143,0.1935483870967742,0.23333333333333334,0.5268817204301075,0.5476190476190477,1.0,0.0
10119,20100412,nolar001,FLO,10,42,0,0,0,1,4,1,1,7,1,13,0,6,0,11,0,6,30,4,0,0,5,0,6,6,0,0,3,0,NL,NL,60,badeb001,MIA01,cordf002,,cuetj001,7,7,1,6,CIN,18,39,0,1,1,1,1,0,0,0,11,3,5,0,0,6,30,6,0,1,7,5,0,0,3,1,massn001,0.28205128205128205,0.30952380952380953,0.3333333333333333,0.3695652173913043,0.5384615384615384,0.40476190476190477,0.8717948717948718,0.7743271221532091,1.0,1.0
10681,20100413,roben001,FLO,11,44,0,0,0,2,3,1,0,8,1,11,1,7,0,7,0,6,33,8,0,0,8,0,12,7,0,0,3,0,NL,NL,66,meyed002,MIA01,cordf002,,arrob001,8,8,1,10,CIN,12,43,0,0,0,0,4,0,2,1,13,2,8,1,0,6,33,10,0,0,8,8,0,0,6,0,owinm001,0.3023255813953488,0.25,0.4,0.3125,0.5348837209302325,0.38636363636363635,0.9348837209302325,0.6988636363636364,1.0,1.0
14390,20100414,volsc001,FLO,9,32,0,0,0,0,2,0,2,9,1,9,2,3,0,10,0,3,27,5,0,0,5,1,5,3,0,0,6,0,NL,NL,51,bailh001,MIA01,badeb001,,bailh001,9,6,0,3,CIN,14,32,0,0,0,2,1,1,0,0,5,1,5,0,0,3,24,3,0,2,8,5,0,0,4,0,volsc001,0.15625,0.28125,0.25,0.41025641025641024,0.28125,0.53125,0.53125,0.9415064102564102,0.0,1.0
12912,20100415,johnj009,FLO,6,38,0,0,0,0,6,1,1,10,0,15,1,2,0,10,0,3,27,10,1,0,10,0,8,2,0,0,5,0,NL,NL,51,haraa001,MIA01,,,haraa001,10,7,0,2,CIN,12,34,0,1,0,1,1,0,0,0,7,0,10,0,0,4,24,2,0,3,14,10,0,1,2,2,johnj009,0.20588235294117646,0.39473684210526316,0.25,0.45454545454545453,0.29411764705882354,0.631578947368421,0.5441176470588236,1.0861244019138756,0.0,0.0
14758,20100416,dukez001,PIT,16,30,0,0,0,2,0,0,1,10,0,9,0,3,0,9,0,5,27,3,1,3,4,1,5,3,0,0,5,0,NL,NL,53,massn001,PIT08,,,leakm001,11,9,0,3,CIN,15,31,0,0,0,2,1,2,2,0,7,0,4,0,0,3,26,3,1,2,4,4,0,1,7,0,doteo001,0.22580645161290322,0.3,0.358974358974359,0.3888888888888889,0.3225806451612903,0.3,0.6815550041356493,0.6888888888888889,0.0,0.0
25196,20100417,mccud001,PIT,8,31,0,0,1,0,2,0,1,11,0,7,1,4,1,9,0,4,27,5,0,0,5,0,6,4,0,0,9,0,NL,NL,53,cordf002,PIT08,,,cuetj001,12,4,0,4,CIN,11,30,0,0,1,1,3,1,0,0,6,0,5,0,0,5,26,4,2,1,6,5,0,0,3,0,tascj001,0.2,0.22580645161290322,0.2571428571428571,0.4,0.3,0.3870967741935484,0.5571428571428572,0.7870967741935484,0.0,0.0
13860,20100418,mahop002,PIT,5,29,0,0,0,0,1,1,0,12,1,5,0,3,0,4,0,4,27,5,0,0,5,1,8,3,0,0,3,0,NL,NL,51,arrob001,PIT08,doteo001,,arrob001,13,5,0,3,CIN,5,33,0,0,0,0,1,1,0,0,5,2,5,0,0,2,24,3,0,0,9,5,0,0,2,0,mahop002,0.15151515151515152,0.1724137931034483,0.2,0.2727272727272727,0.36363636363636365,0.20689655172413793,0.5636363636363637,0.4796238244514106,0.0,0.0
12965,20100420,bailh001,CIN,9,31,0,0,1,0,1,0,1,14,0,11,2,9,0,2,0,7,27,9,2,1,11,1,3,9,0,1,3,1,NL,NL,51,tronr001,CIN09,cordf002,,billc001,13,8,0,9,LAN,11,39,0,0,1,1,3,2,0,0,13,1,8,0,0,4,24,9,0,2,10,8,0,1,5,0,lincm001,0.3333333333333333,0.3548387096774194,0.4090909090909091,0.3888888888888889,0.5384615384615384,0.6451612903225806,0.9475524475524475,1.0340501792114696,1.0,0.0
12203,20100421,haraa001,CIN,15,36,0,0,0,1,0,0,1,15,0,9,2,13,0,7,1,5,27,6,0,0,6,0,5,13,0,0,4,2,NL,NL,54,haraa001,CIN09,,,kuroh001,14,10,1,14,LAN,11,43,0,0,0,1,2,2,1,1,18,2,3,0,0,5,27,14,0,1,5,3,0,1,6,0,kuroh001,0.4186046511627907,0.25,0.5,0.325,0.6511627906976745,0.4166666666666667,1.1511627906976745,0.7416666666666667,0.0,1.0
13261,20100422,leakm001,CIN,14,36,0,0,0,1,2,0,0,16,0,12,1,5,1,9,0,3,27,8,1,1,8,0,10,5,0,0,3,0,NL,NL,51,kuo-h001,CIN09,cordf002,,padiv001,15,5,0,5,LAN,6,35,0,0,1,0,0,2,0,0,9,2,6,0,0,5,24,5,0,0,8,6,0,0,2,0,leakm001,0.2571428571428571,0.3333333333333333,0.2972972972972973,0.375,0.42857142857142855,0.4722222222222222,0.7258687258687259,0.8472222222222222,1.0,0.0
15183,20100423,arrob001,CIN,7,32,0,0,0,0,2,0,1,17,2,7,0,10,0,8,0,4,27,4,1,0,4,0,11,10,0,0,4,0,NL,NL,54,arrob001,CIN09,,,corrk001,16,8,0,10,SDN,13,42,0,0,0,1,2,0,0,1,15,2,4,0,0,4,27,10,0,1,8,4,0,0,2,0,corrk001,0.35714285714285715,0.21875,0.4,0.3333333333333333,0.5476190476190477,0.28125,0.9476190476190477,0.6145833333333333,0.0,1.0
19999,20100424,cuetj001,CIN,11,28,0,0,2,1,1,0,0,18,0,4,0,5,0,3,0,3,27,0,0,0,0,0,7,5,0,0,2,1,NL,NL,54,cuetj001,CIN09,,,leblw001,17,2,0,5,SDN,12,32,0,0,1,0,2,0,0,1,7,2,0,0,0,3,27,5,0,0,6,0,0,0,1,0,leblw001,0.21875,0.14285714285714285,0.2647058823529412,0.2,0.46875,0.17857142857142858,0.7334558823529411,0.37857142857142856,0.0,0.0
