teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev
CIN,NL,6,1,39,11,1,0,2,6,2,7,8,5,10,10,1,0.28205128205128205,0.3170731707317073,0.46153846153846156,0.7786116322701688,0.0,
CIN,NL,3,1,31,6,2,0,1,3,2,9,4,6,6,6,0,0.1935483870967742,0.24242424242424243,0.3548387096774194,0.5972629521016618,0.0,0.0
CIN,NL,2,1,31,8,1,0,1,2,3,5,7,2,1,1,2,0.25806451612903225,0.3235294117647059,0.3870967741935484,0.7106261859582543,1.0,0.0
CIN,NL,5,1,28,5,1,1,1,5,2,4,2,3,4,4,2,0.17857142857142858,0.22580645161290322,0.39285714285714285,0.618663594470046,1.0,1.0
CIN,NL,3,1,32,7,1,0,1,3,2,13,5,3,4,4,0,0.21875,0.2647058823529412,0.34375,0.6084558823529411,0.0,1.0
CIN,NL,3,1,30,7,0,0,0,3,4,10,8,4,1,1,0,0.23333333333333334,0.3142857142857143,0.23333333333333334,0.5476190476190477,1.0,0.0
CIN,NL,6,0,39,11,1,0,3,6,3,7,7,6,5,5,0,0.28205128205128205,0.3333333333333333,0.5384615384615384,0.8717948717948718,1.0,1.0
CIN,NL,10,0,43,13,4,0,2,10,6,8,8,6,8,8,0,0.3023255813953488,0.4,0.5348837209302325,0.9348837209302325,1.0,1.0
CIN,NL,3,0,32,5,1,0,1,3,4,8,6,3,5,5,1,0.15625,0.25,0.28125,0.53125,0.0,1.0
CIN,NL,2,0,34,7,1,1,0,2,2,14,7,4,10,10,0,0.20588235294117646,0.25,0.29411764705882354,0.5441176470588236,0.0,0.0
CIN,NL,3,0,31,7,1,1,0,3,7,4,9,3,4,4,2,0.22580645161290322,0.358974358974359,0.3225806451612903,0.6815550041356493,0.0,0.0
CIN,NL,4,0,30,6,3,0,0,4,3,6,4,5,5,5,1,0.2,0.2571428571428571,0.3,0.5571428571428572,0.0,0.0
CIN,NL,3,0,33,5,1,0,2,3,2,9,5,2,5,5,1,0.15151515151515152,0.2,0.36363636363636365,0.5636363636363637,0.0,0.0
CIN,NL,11,1,31,11,1,1,2,9,3,3,2,7,9,9,0,0.3548387096774194,0.3888888888888889,0.6451612903225806,1.0340501792114696,1.0,0.0
CIN,NL,6,1,36,9,0,0,2,6,4,5,7,5,13,13,0,0.25,0.325,0.4166666666666667,0.7416666666666667,0.0,1.0
CIN,NL,8,1,36,12,2,0,1,8,3,10,9,3,5,5,0,0.3333333333333333,0.375,0.4722222222222222,0.8472222222222222,1.0,0.0
CIN,NL,4,1,32,7,2,0,0,4,4,11,8,4,10,10,0,0.21875,0.3333333333333333,0.28125,0.6145833333333333,0.0,1.0
CIN,NL,0,1,28,4,1,0,0,0,2,7,3,3,5,5,0,0.14285714285714285,0.2,0.17857142857142858,0.37857142857142856,0.0,0.0
CIN,NL,5,1,32,10,3,0,1,4,7,3,10,4,4,4,1,0.3125,0.4358974358974359,0.5,0.9358974358974359,1.0,0.0
CIN,NL,6,0,33,9,0,0,0,5,6,8,9,4,2,2,1,0.2727272727272727,0.3902439024390244,0.2727272727272727,0.6629711751662971,1.0,1.0
CIN,NL,6,0,35,8,3,1,0,3,5,5,7,4,4,4,0,0.22857142857142856,0.325,0.37142857142857144,0.6964285714285714,1.0,1.0
CIN,NL,4,0,34,10,1,1,2,3,6,9,9,4,2,2,0,0.29411764705882354,0.4,0.5588235294117647,0.9588235294117647,1.0,1.0
CIN,NL,3,0,30,8,2,0,0,3,5,6,6,6,2,2,0,0.26666666666666666,0.37142857142857144,0.3333333333333333,0.7047619047619047,1.0,1.0
CIN,NL,3,0,32,7,0,1,0,3,2,11,6,5,5,5,1,0.21875,0.25,0.28125,0.53125,0.0,1.0
CIN,NL,0,0,29,3,1,0,0,0,3,10,7,4,6,6,0,0.10344827586206896,0.21212121212121213,0.13793103448275862,0.3500522466039707,0.0,0.0
CIN,NL,3,1,40,10,0,0,2,3,5,6,11,6,1,1,2,0.25,0.3333333333333333,0.4,0.7333333333333334,1.0,0.0
CIN,NL,4,1,33,6,1,0,3,3,2,6,4,3,5,5,0,0.18181818181818182,0.22857142857142856,0.48484848484848486,0.7134199134199134,0.0,1.0
CIN,NL,5,1,38,13,0,0,3,5,0,8,6,5,4,4,0,0.34210526315789475,0.34210526315789475,0.5789473684210527,0.9210526315789473,1.0,0.0
CIN,NL,7,1,42,16,4,0,1,7,2,10,10,4,14,14,0,0.38095238095238093,0.4090909090909091,0.5476190476190477,0.9567099567099568,0.0,1.0
CIN,NL,14,1,39,15,4,0,2,14,4,11,7,5,2,2,0,0.38461538461538464,0.4444444444444444,0.6410256410256411,1.0854700854700856,1.0,0.0
CIN,NL,5,1,30,6,3,0,1,5,4,7,6,3,3,3,0,0.2,0.29411764705882354,0.4,0.6941176470588235,1.0,1.0
CIN,NL,2,0,32,7,4,0,0,2,4,4,8,3,1,1,0,0.21875,0.3055555555555556,0.34375,0.6493055555555556,1.0,1.0
CIN,NL,9,0,40,15,4,1,1,9,4,7,9,1,0,0,0,0.375,0.4222222222222222,0.6,1.0222222222222221,1.0,1.0
CIN,NL,5,0,34,10,3,0,2,5,2,8,5,1,0,0,0,0.29411764705882354,0.3333333333333333,0.5588235294117647,0.892156862745098,1.0,1.0
CIN,NL,3,1,34,8,1,0,1,3,1,7,6,4,4,4,0,0.23529411764705882,0.2777777777777778,0.35294117647058826,0.630718954248366,0.0,1.0
CIN,NL,4,1,29,8,2,1,1,4,5,8,7,4,3,3,0,0.27586206896551724,0.38235294117647056,0.5172413793103449,0.8995943204868154,1.0,0.0
CIN,NL,7,1,36,13,4,0,1,7,2,11,8,1,2,2,0,0.3611111111111111,0.38461538461538464,0.5555555555555556,0.9401709401709402,1.0,1.0
CIN,NL,6,1,28,9,2,1,1,6,7,5,8,4,3,3,1,0.32142857142857145,0.4594594594594595,0.5714285714285714,1.0308880308880308,1.0,1.0
CIN,NL,5,1,34,10,2,0,2,5,5,7,10,4,4,4,0,0.29411764705882354,0.38461538461538464,0.5294117647058824,0.914027149321267,1.0,1.0
CIN,NL,4,0,37,11,4,0,1,4,3,10,10,4,5,5,0,0.2972972972972973,0.35,0.4864864864864865,0.8364864864864865,0.0,1.0
CIN,NL,9,0,38,13,2,0,2,9,5,9,8,5,7,7,4,0.34210526315789475,0.4318181818181818,0.5526315789473685,0.9844497607655502,0.0,0.0
CIN,NL,7,0,35,10,3,0,3,7,4,7,5,4,4,4,0,0.2857142857142857,0.358974358974359,0.6285714285714286,0.9875457875457876,1.0,0.0
CIN,NL,6,0,38,12,3,0,1,6,3,5,9,5,4,4,0,0.3157894736842105,0.35714285714285715,0.47368421052631576,0.8308270676691729,1.0,1.0
CIN,NL,3,0,32,7,1,0,2,3,3,7,7,4,4,4,0,0.21875,0.32432432432432434,0.4375,0.7618243243243243,0.0,1.0
CIN,NL,7,1,30,10,3,0,1,6,5,8,5,5,4,4,1,0.3333333333333333,0.4444444444444444,0.5333333333333333,0.9777777777777777,1.0,0.0
CIN,NL,1,1,32,8,3,0,1,1,2,5,7,3,2,2,0,0.25,0.29411764705882354,0.4375,0.7316176470588236,0.0,1.0
CIN,NL,4,1,29,10,0,0,2,4,7,5,11,4,0,0,0,0.3448275862068966,0.47368421052631576,0.5517241379310345,1.0254083484573502,1.0,0.0
CIN,NL,8,1,35,12,1,0,2,8,4,7,8,4,2,2,0,0.34285714285714286,0.4,0.5428571428571428,0.9428571428571428,1.0,1.0
CIN,NL,15,1,43,19,3,1,3,15,5,8,9,3,6,6,0,0.4418604651162791,0.5,0.7674418604651163,1.2674418604651163,1.0,1.0
CIN,NL,12,1,39,18,2,1,6,12,2,3,5,3,2,2,1,0.46153846153846156,0.4878048780487805,1.0256410256410255,1.513445903689806,1.0,1.0
CIN,NL,0,1,34,6,1,0,0,0,6,6,11,6,2,2,0,0.17647058823529413,0.3,0.20588235294117646,0.5058823529411764,0.0,1.0
CIN,NL,4,0,36,9,0,1,0,4,3,7,8,4,12,12,1,0.25,0.3076923076923077,0.3055555555555556,0.6132478632478633,0.0,0.0
CIN,NL,9,0,40,14,2,1,3,9,2,8,8,5,8,8,0,0.35,0.38636363636363635,0.675,1.0613636363636365,1.0,0.0
CIN,NL,1,0,28,4,1,0,0,1,0,5,3,5,4,4,0,0.14285714285714285,0.2,0.17857142857142858,0.37857142857142856,0.0,1.0
CIN,NL,2,0,35,12,1,0,0,2,4,7,11,5,2,2,1,0.34285714285714286,0.41025641025641024,0.37142857142857144,0.7816849816849817,0.0,0.0
CIN,NL,5,0,37,10,4,0,0,5,2,7,8,3,0,0,1,0.2702702702702703,0.325,0.3783783783783784,0.7033783783783785,1.0,0.0
CIN,NL,5,0,42,14,3,0,1,5,1,5,10,3,4,4,0,0.3333333333333333,0.3488372093023256,0.47619047619047616,0.8250276854928018,1.0,1.0
CIN,NL,5,1,32,8,2,1,1,5,3,8,5,5,6,6,0,0.25,0.32432432432432434,0.46875,0.7930743243243243,0.0,1.0
CIN,NL,0,1,32,7,3,0,0,0,2,5,7,5,3,3,0,0.21875,0.2647058823529412,0.3125,0.5772058823529411,0.0,0.0
CIN,NL,6,1,34,12,6,0,1,6,3,6,8,4,3,3,0,0.35294117647058826,0.42105263157894735,0.6176470588235294,1.0386996904024768,1.0,0.0
CIN,NL,7,1,35,13,2,1,0,7,4,6,9,6,6,6,1,0.37142857142857144,0.425,0.4857142857142857,0.9107142857142857,1.0,1.0
CIN,NL,5,1,42,14,1,0,1,5,3,5,11,5,6,6,0,0.3333333333333333,0.3695652173913043,0.42857142857142855,0.7981366459627328,0.0,1.0
CIN,NL,11,1,36,12,1,1,3,11,3,7,9,4,5,5,0,0.3333333333333333,0.4318181818181818,0.6666666666666666,1.0984848484848484,1.0,0.0
CIN,NL,3,1,32,5,0,0,2,3,0,12,2,4,7,7,0,0.15625,0.15625,0.34375,0.5,0.0,1.0
CIN,NL,0,1,35,8,0,0,0,0,2,12,10,5,12,12,0,0.22857142857142856,0.2702702702702703,0.22857142857142856,0.4988416988416988,0.0,0.0
CIN,NL,2,1,34,9,1,0,1,2,2,8,9,4,6,6,1,0.2647058823529412,0.2972972972972973,0.38235294117647056,0.6796502384737679,0.0,0.0
CIN,NL,7,1,32,10,2,0,3,7,3,7,4,3,1,1,0,0.3125,0.37142857142857144,0.65625,1.0276785714285714,1.0,0.0
CIN,NL,0,0,33,6,2,0,0,0,0,7,6,3,1,1,0,0.18181818181818182,0.18181818181818182,0.24242424242424243,0.42424242424242425,0.0,1.0
CIN,NL,1,0,31,5,0,0,0,1,1,9,4,2,5,5,0,0.16129032258064516,0.1875,0.16129032258064516,0.34879032258064513,0.0,0.0
CIN,NL,0,0,28,3,0,0,0,0,5,7,8,3,1,1,0,0.10714285714285714,0.2647058823529412,0.10714285714285714,0.37184873949579833,0.0,0.0
CIN,NL,6,0,40,9,1,0,3,6,2,14,7,6,4,4,0,0.225,0.2619047619047619,0.475,0.736904761904762,1.0,0.0
CIN,NL,4,0,40,13,3,0,0,3,1,5,11,2,2,2,1,0.325,0.34146341463414637,0.4,0.7414634146341463,1.0,1.0
CIN,NL,3,0,34,9,1,0,0,3,4,4,10,3,0,0,0,0.2647058823529412,0.375,0.29411764705882354,0.6691176470588236,1.0,1.0
CIN,NL,10,1,34,12,3,0,2,9,4,10,6,3,3,3,0,0.35294117647058826,0.4,0.6176470588235294,1.0176470588235293,1.0,1.0
CIN,NL,6,1,29,8,0,0,0,6,5,6,6,6,4,4,0,0.27586206896551724,0.37142857142857144,0.27586206896551724,0.6472906403940887,1.0,1.0
CIN,NL,3,1,30,4,0,0,1,3,4,10,5,4,5,5,1,0.13333333333333333,0.2571428571428571,0.23333333333333334,0.49047619047619045,0.0,1.0
CIN,NL,7,1,31,11,4,0,1,7,2,5,6,2,3,3,0,0.3548387096774194,0.37142857142857144,0.5806451612903226,0.9520737327188941,1.0,0.0
CIN,NL,6,1,39,10,2,1,1,6,3,4,7,6,9,9,1,0.2564102564102564,0.32558139534883723,0.4358974358974359,0.7614788312462731,0.0,1.0
CIN,NL,4,1,37,13,2,0,2,4,0,10,9,4,3,3,0,0.35135135135135137,0.35135135135135137,0.5675675675675675,0.9189189189189189,1.0,0.0
CIN,NL,3,0,43,16,2,1,0,3,2,9,13,4,2,2,0,0.37209302325581395,0.4,0.46511627906976744,0.8651162790697675,1.0,1.0
CIN,NL,12,0,36,9,2,0,2,11,8,10,5,3,0,0,0,0.25,0.38636363636363635,0.4722222222222222,0.8585858585858586,1.0,1.0
CIN,NL,1,0,30,5,2,0,0,1,2,6,5,4,3,3,0,0.16666666666666666,0.21875,0.23333333333333334,0.45208333333333334,0.0,1.0
CIN,NL,14,0,43,16,1,1,7,14,3,5,5,4,3,3,1,0.37209302325581395,0.41304347826086957,0.9302325581395349,1.3432760364004044,1.0,0.0
CIN,NL,8,0,36,11,3,1,2,8,4,4,6,4,4,3,2,0.3055555555555556,0.3902439024390244,0.6111111111111112,1.0013550135501355,1.0,1.0
CIN,NL,0,0,30,3,1,0,0,0,3,5,7,3,3,3,1,0.1,0.18181818181818182,0.13333333333333333,0.3151515151515152,0.0,1.0
CIN,NL,3,0,35,7,1,0,2,3,1,9,7,2,1,1,0,0.2,0.24324324324324326,0.4,0.6432432432432433,1.0,0.0
CIN,NL,3,0,41,7,3,0,1,2,1,10,4,6,3,3,1,0.17073170731707318,0.19047619047619047,0.3170731707317073,0.5075493612078978,0.0,1.0
CIN,NL,7,0,43,15,1,0,1,7,6,11,13,3,9,9,0,0.3488372093023256,0.44,0.4418604651162791,0.8818604651162791,0.0,0.0
CIN,NL,0,0,35,6,2,0,0,0,3,12,7,4,1,1,0,0.17142857142857143,0.23684210526315788,0.22857142857142856,0.46541353383458645,0.0,0.0
CIN,NL,0,0,29,6,1,0,0,0,4,5,8,3,1,1,0,0.20689655172413793,0.3235294117647059,0.2413793103448276,0.5649087221095335,0.0,0.0
CIN,NL,3,1,31,8,4,0,0,3,2,10,6,3,2,2,0,0.25806451612903225,0.30303030303030304,0.3870967741935484,0.6901270772238515,1.0,0.0
CIN,NL,8,1,27,5,0,0,4,8,5,6,2,3,1,1,0,0.18518518518518517,0.3235294117647059,0.6296296296296297,0.9531590413943356,1.0,1.0
CIN,NL,0,1,35,8,1,0,0,0,1,8,10,5,1,1,1,0.22857142857142856,0.2702702702702703,0.2571428571428571,0.5274131274131274,0.0,1.0
CIN,NL,7,1,32,10,1,0,2,7,3,4,4,4,2,2,1,0.3125,0.37142857142857144,0.53125,0.9026785714285714,1.0,0.0
CIN,NL,8,1,33,9,3,0,1,7,4,5,5,6,7,7,1,0.2727272727272727,0.35135135135135137,0.45454545454545453,0.8058968058968059,1.0,1.0
