Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20110401,CHA,AL,1,CLE,AL,1,15,10,54,CLE08,41721,204800010,4321,45,18,6,0,2,15,0,0,1,2,0,14,0,0,0,0,6,5,10,10,0,0,27,11,0,0,1,0,43,17,2,0,2,10,0,0,0,2,0,2,0,0,1,0,8,4,15,15,0,0,27,4,0,0,0,0,buehm001,carmf001,,buehm001,carmf001,,1,Apr 1,1,CHW,"L,10-15",9,18,15,15,0,2,14,2,1,15,48,169,120,2,2,0,0,45,6,0,0,0,0,0,0,4,Mike Winters,"R.Hernandez (99-1-L), J.Germano (99), F.Herrmann (99), V.Pestano (99)"
20110402,CHA,AL,2,CLE,AL,2,8,3,54,CLE08,9853,140001200,30000000,35,11,2,0,0,8,0,1,0,5,0,3,1,0,1,0,6,3,2,2,0,0,27,10,2,1,0,0,35,7,1,0,1,3,0,0,0,5,0,11,0,0,0,0,10,3,8,8,0,0,27,12,0,0,1,0,jacke001,carrc003,,jacke001,carrc003,,2,Apr 2,1,CHW,"L,3-8",9,11,8,8,0,5,3,0,0,11.5,41,145,84,1,1,1,0,35,2,0,0,0,1,0,1,3,Mike Everitt,"C.Carrasco (99-26-L), C.Durbin (99), R.Perez (99)"
20110403,CHA,AL,3,CLE,AL,3,1,7,51,CLE08,8726,1000000,00000223x,31,7,1,0,0,1,1,0,1,2,0,2,0,0,0,0,7,4,7,7,1,0,24,8,0,0,0,0,32,11,1,0,1,7,1,2,0,3,0,9,0,0,0,0,7,3,1,1,0,0,27,18,1,0,0,1,mastj001,dankj001,,dankj001,mastj001,,3,Apr 3,1,CHW,"W,7-1",9,7,1,1,0,2,2,0,1,8,35,119,79,0,0,0,0,31,1,0,0,1,0,0,0,3,Mark Wegner,"J.Masterson (99-57-W), T.Sipp (99-H), C.Perez (99)"
20110405,BOS,AL,4,CLE,AL,4,1,3,51,CLE08,9025,10000000,00021000x,29,4,1,0,0,1,0,0,0,4,0,3,0,0,2,0,5,4,3,3,0,0,24,5,1,0,0,0,28,5,3,0,0,3,0,1,0,6,0,12,3,0,0,0,8,3,1,1,0,0,27,11,1,0,2,0,tomlj001,beckj002,perec002,beckj002,tomlj001,,4,Apr 5,1,BOS,"W,3-1",9,4,1,1,0,4,3,0,0,6.25,33,125,75,0,0,0,0,29,1,0,0,0,0,1,2,3,Dan Iassogna,"J.Tomlin (99-67-W), T.Sipp (1-H), C.Perez (1-Sv)"
20110406,BOS,AL,5,CLE,AL,5,4,8,51,CLE08,9523,20000200,21000401x,34,7,1,0,1,4,0,0,1,3,1,11,2,0,0,0,7,4,8,8,0,0,24,9,0,0,1,0,31,8,0,0,3,8,0,0,3,4,0,4,0,0,1,0,6,6,4,4,0,0,27,4,0,0,0,0,perer002,matsd001,,matsd001,talbm001,,5,Apr 6,1,BOS,"W,8-4",9,7,4,4,0,3,11,1,1,5.8,38,175,113,4,0,2,0,34,1,0,1,0,0,0,0,6,Dale Scott,"M.Talbot (99-49), C.Durbin (3), R.Perez (3-W), F.Herrmann (4), T.Sipp (0-H), V.Pestano (4)"
20110407,BOS,AL,6,CLE,AL,6,0,1,51,CLE08,10594,0,00000001x,30,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,7,2,1,1,0,0,24,12,0,0,0,0,24,3,1,0,0,1,2,0,0,4,0,9,1,1,0,0,5,4,0,0,0,0,27,14,0,0,0,0,perer002,bardd001,perec002,lestj001,carmf001,,6,Apr 7,1,BOS,"W,1-0",9,4,0,0,0,4,4,0,0,4.83,34,142,83,2,0,0,0,30,0,0,0,0,0,0,0,4,Jerry Meals,"R.Hernandez (5-75), C.Durbin (0), R.Perez (0-W), C.Perez (1-Sv)"
20110408,CLE,AL,7,SEA,AL,7,12,3,54,SEA03,45727,100(10)10000,10002,42,17,4,0,2,11,0,1,0,3,0,9,0,0,1,0,7,3,2,2,0,0,27,8,1,0,1,0,33,6,1,0,0,3,0,0,1,6,0,9,0,0,0,0,10,5,11,11,1,0,27,11,1,0,1,0,carrc003,vargj001,,carrc003,vargj001,,7,Apr 8,@,SEA,"W,12-3",9,6,3,2,1,6,9,0,1,4.43,40,166,94,0,0,0,0,33,1,0,0,0,0,1,0,3,Sam Holbrook,"C.Carrasco (5-63-W), J.Germano (6), F.Herrmann (1)"
20110409,CLE,AL,8,SEA,AL,8,2,1,54,SEA03,30309,200000,100,30,7,0,0,0,1,0,1,0,3,1,3,0,0,3,0,5,4,1,1,1,0,27,6,1,0,0,0,33,6,3,0,0,1,0,0,0,2,0,13,0,0,0,0,7,3,1,1,0,0,27,13,1,0,3,0,mastj001,fistd001,perec002,mastj001,fistd001,,8,Apr 9,@,SEA,"W,2-1",9,6,1,1,0,2,13,0,0,4,35,158,100,1,1,0,0,33,3,0,0,0,0,0,0,4,Greg Gibson,"J.Masterson (5-69-W), R.Perez (1-H), T.Sipp (2-H), C.Perez (1-Sv)"
20110410,CLE,AL,9,SEA,AL,9,6,4,54,SEA03,21128,221100000,100300,37,11,4,0,2,5,0,0,0,1,0,12,0,0,0,0,5,5,4,4,0,0,27,5,0,0,1,0,30,5,0,0,2,4,0,1,0,3,0,6,0,0,1,0,3,4,6,6,2,0,27,9,1,0,0,0,tomlj001,bedae001,perec002,tomlj001,bedae001,,9,Apr 10,@,SEA,"W,6-4",9,5,4,4,0,3,6,2,0,4,34,141,90,1,0,0,0,30,0,0,0,0,1,0,1,5,Todd Tichenor,"J.Tomlin (4-57-W), C.Durbin (2), R.Perez (0-H), T.Sipp (0-H), C.Perez (0-Sv)"
20110411,CLE,AL,10,ANA,AL,10,4,0,54,ANA01,32864,130000000,0,31,6,1,0,2,4,0,0,0,5,0,4,1,1,1,0,5,2,0,0,0,0,27,13,0,0,1,0,31,5,1,0,0,0,0,0,0,2,0,5,0,0,1,0,6,4,4,4,0,0,27,15,0,0,1,0,talbm001,chatt001,,talbm001,chatt001,,10,Apr 11,@,LAA,"W,4-0",9,5,0,0,0,2,5,0,0,3.6,33,121,77,1,0,0,0,31,1,0,0,0,0,0,1,2,Tim McClelland,"M.Talbot (4-74-W), V.Pestano (4)"
20110412,CLE,AL,11,ANA,AL,11,0,2,51,ANA01,43529,0,00100010x,28,1,0,0,0,0,0,0,0,2,0,8,0,1,0,0,3,2,2,2,0,0,24,9,0,0,0,0,28,4,1,0,2,2,0,0,0,3,0,6,0,0,0,0,5,1,0,0,0,0,27,8,1,0,0,0,hared001,carmf001,,carmf001,hared001,,11,Apr 12,@,LAA,"L,0-2",8,4,2,2,0,3,6,2,0,3.49,31,123,75,2,0,0,0,28,1,0,0,0,0,0,0,2,Ted Barrett,"R.Hernandez (4-66-L), F.Herrmann (3)"
20110413,CLE,AL,12,ANA,AL,12,3,4,71,ANA01,31049,1.0001E+11,300000001,40,7,1,1,0,3,0,1,0,4,0,7,2,0,1,0,6,5,4,4,1,0,35,13,1,0,2,0,37,6,1,0,1,3,1,1,0,5,1,9,0,0,2,0,5,5,3,3,2,0,36,17,0,0,2,0,takah001,durbc001,,carrc003,sante001,,12,Apr 13,@,LAA,"L,3-4",11.2,6,4,4,0,5,9,1,0,3.45,44,159,99,1,0,0,0,37,1,0,1,1,1,0,2,5,Brian Runge,"C.Carrasco (4-58), V.Pestano (1), T.Sipp (2), C.Perez (2), C.Durbin (2-L)"
20110415,BAL,AL,12,CLE,AL,13,2,8,51,CLE08,16346,100001,00400130x,34,8,0,0,0,2,0,0,1,1,0,4,0,0,1,0,7,4,8,8,0,0,24,10,0,0,2,0,32,12,1,1,1,8,0,1,0,3,1,7,0,1,1,0,4,3,2,2,0,0,27,12,0,0,1,0,mastj001,britz001,,britz001,mastj001,,13,Apr 15,1,BAL,"W,8-2",9,8,2,2,0,1,4,0,1,3.34,36,120,88,0,0,0,0,34,0,0,0,0,0,0,1,3,Brian O'Nora,"J.Masterson (5-67-W), R.Perez (4), J.Smith (99)"
