Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
38935,20100405,buehm001,CHA,9,28,0,0,1,1,2,0,1,1,2,6,2,0,0,5,0,3,27,4,0,0,6,0,4,0,0,0,5,0,AL,AL,51,westj001,CHI12,,,westj001,1,4,0,0,CLE,14,30,0,0,0,1,0,0,1,0,4,0,6,0,0,4,24,0,0,0,7,6,0,0,1,4,buehm001,0.13333333333333333,0.21428571428571427,0.16129032258064516,0.37142857142857144,0.13333333333333333,0.5,0.2946236559139785,0.8714285714285714,0.0,
19514,20100407,peavj001,CHA,9,26,0,0,0,0,0,0,2,2,0,2,1,5,0,4,0,5,27,3,1,0,3,2,2,5,0,0,7,0,AL,AL,54,willr003,CHI12,perec002,,carmf001,2,12,0,5,CLE,12,36,0,0,1,2,2,0,0,2,10,0,3,1,0,4,27,5,0,3,8,3,0,0,6,0,carmf001,0.2777777777777778,0.07692307692307693,0.4090909090909091,0.2647058823529412,0.3333333333333333,0.19230769230769232,0.7424242424242424,0.4570135746606335,1.0,0.0
18637,20100408,floyg001,CHA,12,37,0,0,0,1,0,2,0,3,1,6,1,5,1,11,0,6,33,3,0,2,3,1,12,5,0,0,7,1,AL,AL,66,putzj001,CHI12,perec002,,mastj001,3,10,3,5,CLE,12,41,0,0,0,0,4,0,1,0,11,0,3,1,0,7,33,5,0,1,16,3,0,0,4,1,lewij003,0.2682926829268293,0.16216216216216217,0.3333333333333333,0.3111111111111111,0.36585365853658536,0.24324324324324326,0.6991869918699187,0.5543543543543543,1.0,1.0
45010,20100409,porcr001,DET,10,32,0,0,0,3,2,0,0,4,0,7,0,2,0,6,0,4,27,2,0,0,5,1,2,2,0,0,3,1,AL,AL,51,huffd001,DET05,valvj001,,huffd001,4,5,0,2,CLE,7,30,0,0,1,0,1,1,3,0,7,1,2,0,0,2,24,2,0,1,6,2,0,1,4,0,porcr001,0.23333333333333334,0.21875,0.3235294117647059,0.2857142857142857,0.43333333333333335,0.28125,0.7568627450980392,0.5669642857142857,0.0,1.0
35332,20100410,bondj001,DET,12,26,0,0,1,0,0,0,2,5,1,6,1,2,1,9,0,4,27,4,1,0,4,0,5,2,0,0,9,2,AL,AL,51,talbm001,DET05,perrr001,,talbm001,5,6,0,2,CLE,9,30,0,0,0,2,0,0,0,2,3,0,4,0,0,4,24,1,0,0,9,4,0,0,3,0,bondj001,0.1,0.23076923076923078,0.22857142857142856,0.43243243243243246,0.1,0.34615384615384615,0.32857142857142857,0.7785862785862786,0.0,0.0
26081,20100411,verlj001,DET,11,42,0,0,0,2,2,0,1,6,2,18,0,8,0,18,0,3,27,7,0,0,9,1,7,8,0,0,9,0,AL,AL,53,perec002,DET05,,,westj001,6,3,0,8,CLE,10,34,0,0,0,1,1,0,2,0,10,3,9,0,1,6,26,8,1,0,3,9,0,0,3,1,cokep001,0.29411764705882354,0.42857142857142855,0.34210526315789475,0.5471698113207547,0.5882352941176471,0.47619047619047616,0.9303405572755419,1.0233602875112309,0.0,0.0
42061,20100412,carmf001,CLE,14,34,0,0,0,2,2,0,0,7,0,7,1,4,0,6,0,4,30,2,1,0,2,1,7,4,0,0,3,1,AL,AL,60,wrigj001,CLE08,felin001,,hardr001,7,9,1,4,TEX,11,36,0,0,0,1,1,1,2,1,8,1,2,0,0,5,30,3,0,3,5,2,0,1,5,1,franf001,0.2222222222222222,0.20588235294117646,0.3333333333333333,0.2631578947368421,0.3888888888888889,0.35294117647058826,0.7222222222222222,0.6160990712074303,0.0,0.0
10071,20100414,mastj001,CLE,11,31,0,0,0,0,2,2,1,8,2,5,0,4,0,12,0,4,27,2,0,0,2,1,12,4,0,0,8,0,AL,AL,54,mastj001,CLE08,felin001,,lewic001,8,10,1,6,TEX,6,41,0,0,1,1,3,0,0,0,15,1,2,0,0,5,27,6,0,2,13,2,0,0,1,1,lewic001,0.36585365853658536,0.16129032258064516,0.38095238095238093,0.36585365853658536,0.5121951219512195,0.22580645161290322,0.8931475029036005,0.5916601101494886,0.0,0.0
10198,20100415,huffd001,CLE,9,32,0,0,0,1,1,0,1,9,1,6,1,2,0,7,0,1,27,3,0,0,3,0,3,2,0,0,1,0,AL,AL,51,harrm001,CLE08,,,harrm001,9,2,1,2,TEX,9,29,0,0,0,1,0,3,1,0,4,1,1,0,0,2,24,2,0,0,4,1,0,0,1,1,huffd001,0.13793103448275862,0.1875,0.16666666666666666,0.23529411764705882,0.2413793103448276,0.3125,0.40804597701149425,0.5477941176470589,1.0,0.0
10421,20100416,talbm001,CLE,19,31,0,0,0,2,1,1,2,10,0,8,1,1,0,5,0,1,27,4,0,0,6,0,5,1,0,0,4,0,AL,AL,51,buehm001,CLE08,,,buehm001,11,1,1,2,CHA,9,29,0,0,1,2,0,1,2,0,6,1,3,0,0,3,24,1,0,0,2,3,0,0,0,1,talbm001,0.20689655172413793,0.25806451612903225,0.20689655172413793,0.34285714285714286,0.3103448275862069,0.3870967741935484,0.5172413793103449,0.7299539170506912,1.0,1.0
