Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20150406","COL","NL",1,"MIL","NL",1,10,0,54,"MIL06",46032,"402400000","000000000",42,16,6,0,2,10,1,0,0,1,0,6,0,0,1,0,7,3,0,0,0,0,27,8,0,0,2,0,33,8,0,0,0,0,0,0,1,0,0,9,0,0,2,0,7,5,9,9,2,0,27,12,3,0,2,0,"kendk001","lohsk001","","kendk001","lohsk001",
"20150407","COL","NL",2,"MIL","NL",2,5,2,54,"MIL06",30222,"000311000","000020000",38,12,6,0,0,5,0,1,0,2,0,6,1,0,0,0,9,4,2,2,0,0,27,13,0,0,1,0,31,6,3,0,0,1,0,0,1,1,0,7,0,0,1,0,4,4,5,5,0,0,27,10,1,0,0,0,"lylej001","garzm001","hawkl001","lylej001","garzm001",
"20150408","COL","NL",3,"MIL","NL",3,5,4,60,"MIL06",28720,"0000101201","0020000020",38,10,4,0,3,5,0,0,0,0,0,7,0,2,0,0,3,6,4,4,0,0,30,16,0,0,2,0,36,8,1,0,1,4,0,0,0,5,0,8,1,0,2,0,7,4,5,5,0,0,30,10,0,0,0,0,"hawkl001","rodrf003","axfoj001","butle001","peraw001",
"20150410","CHN","NL",3,"COL","NL",4,1,5,51,"DEN02",49303,"001000000","01002200x",30,5,0,0,0,1,0,1,2,4,0,7,1,0,1,0,9,4,5,5,0,0,24,8,1,0,0,0,34,11,2,0,1,5,0,0,0,3,1,7,0,0,0,0,8,5,1,1,1,0,27,12,0,0,1,0,"bergc001","woodt004","","woodt004","matzt001",
"20150411","CHN","NL",4,"COL","NL",5,9,5,54,"DEN02",43812,"122013000","021000020",36,12,1,2,3,9,0,1,2,5,0,8,0,1,1,0,8,5,5,5,0,0,27,11,1,0,2,0,38,12,3,0,1,5,0,0,0,2,0,10,0,0,2,0,8,4,8,8,0,0,27,9,1,0,1,0,"hammj002","kendk001","","hammj002","kendk001",
"20150412","CHN","NL",5,"COL","NL",6,6,5,54,"DEN02",41363,"010020003","040010000",33,7,2,0,1,6,0,1,0,4,0,8,3,0,1,0,5,5,5,5,1,0,27,9,0,0,0,0,37,11,4,1,0,5,0,0,0,1,0,8,1,0,0,0,6,4,4,4,1,0,27,11,4,0,2,0,"ramin001","hawkl001","rondh001","hendk001","lylej001",
"20150413","COL","NL",7,"SFN","NL",8,2,0,54,"SFO03",42019,"000100100","000000000",35,11,2,0,0,1,0,0,0,3,1,5,0,1,2,0,9,5,0,0,0,0,27,13,0,0,1,0,31,5,1,0,0,0,0,0,2,6,0,6,1,0,1,0,12,4,1,1,0,0,27,15,1,0,2,0,"butle001","hestc001","betar001","butle001","hestc001",
"20150414","COL","NL",8,"SFN","NL",9,4,1,54,"SFO03",41051,"020100001","000000010",32,9,2,1,0,3,2,0,1,2,0,6,0,1,1,0,6,6,1,1,0,0,27,11,0,0,0,0,32,6,0,0,0,1,0,1,0,4,0,8,1,0,0,0,9,4,4,4,1,0,27,14,0,0,1,0,"obers001","hudst001","ottaa001","bergc001","hudst001",
"20150415","COL","NL",9,"SFN","NL",10,4,2,54,"SFO03",41188,"310000000","100000010",32,6,0,0,1,4,1,1,0,1,0,10,1,0,0,0,4,4,2,2,0,0,27,10,1,0,1,0,33,7,0,1,1,2,0,0,1,2,0,7,2,0,1,0,7,4,3,3,0,0,27,10,1,0,0,0,"matzt001","linct001","ottaa001","matzt001","linct001",
"20150417","COL","NL",10,"LAN","NL",10,3,7,51,"LOS03",48950,"000120000","30012010x",34,7,1,0,2,3,0,0,0,1,0,16,1,0,0,0,5,4,7,7,1,0,24,7,0,0,1,0,32,10,4,0,1,6,0,1,0,5,1,9,1,0,1,0,7,4,1,1,1,0,27,4,1,1,0,0,"kersc001","kendk001","","kendk001","kersc001",
"20150418","COL","NL",11,"LAN","NL",11,3,6,51,"LOS03",45912,"100000200","01102020x",31,5,2,0,1,3,0,0,1,2,0,5,0,0,1,0,4,3,6,6,1,0,24,8,0,0,1,0,31,9,4,0,0,6,1,0,0,5,0,8,1,0,1,0,7,4,3,3,2,0,27,11,1,0,1,0,"greiz001","lylej001","peraj002","lylej001","greiz001",
"20150419","COL","NL",12,"LAN","NL",12,0,7,51,"LOS03",44666,"000000000","02000500x",29,4,0,0,0,0,0,0,0,3,0,9,0,1,1,0,5,3,5,5,0,0,24,6,1,0,0,0,36,14,7,0,3,7,1,0,0,2,0,6,0,1,0,0,8,3,0,0,0,0,27,10,0,0,1,0,"mccab001","butle001","","butle001","mccab001",
"20150420","SDN","NL",14,"COL","NL",13,14,3,54,"DEN02",22586,"540050000","000200001",44,17,5,1,1,14,0,1,0,1,0,10,0,0,1,0,5,3,3,3,0,0,27,14,0,1,1,0,34,9,1,1,0,3,0,0,0,4,0,6,0,0,1,0,8,7,12,12,2,0,27,10,1,0,1,0,"despo001","delaj001","","despo001","delaj001",
"20150421","SDN","NL",15,"COL","NL",14,7,6,54,"DEN02",22600,"002000140","000230001",36,13,4,0,1,7,0,0,1,7,0,5,1,1,2,0,10,4,6,6,0,0,27,10,0,0,0,0,33,7,1,2,1,6,0,1,0,1,0,6,0,0,0,0,2,5,7,7,0,0,27,15,1,0,3,0,"maurb001","logab001","kimbc001","morrb001","matzt001",
"20150422","SDN","NL",16,"COL","NL",15,4,5,52,"DEN02",22705,"100001200","210000011",33,7,2,0,2,4,0,0,0,1,0,4,0,0,1,0,3,4,5,5,1,0,25,12,1,0,2,0,32,11,4,0,2,5,0,0,0,4,1,8,1,1,2,0,6,3,4,4,0,0,27,17,0,0,1,0,"ottaa001","kells001","","shiej002","kendk001",
"20150423","SDN","NL",17,"COL","NL",16,1,2,51,"DEN02",31676,"000100000","10001000x",31,7,1,0,0,1,0,0,0,3,0,7,0,2,1,0,6,4,2,2,1,0,24,9,0,0,0,0,31,8,1,0,1,2,1,0,0,5,0,10,1,0,0,0,11,4,1,1,0,0,27,13,0,0,1,0,"lylej001","rosst001","axfoj001","rosst001","lylej001",
"20150424","SFN","NL",18,"COL","NL",17,4,6,51,"DEN02",31453,"021010000","02100300x",35,12,3,0,1,4,0,0,0,3,1,5,0,0,3,0,7,3,6,6,1,0,24,11,0,0,0,0,38,15,7,0,1,6,0,0,0,3,1,4,0,1,0,0,11,5,4,4,0,0,27,13,0,0,4,0,"butle001","hestc001","ottaa001","hestc001","butle001",
"20150425","SFN","NL",19,"COL","NL",18,5,4,66,"DEN02",36474,"10010200001","01100100100",42,12,4,0,2,5,2,0,0,7,0,10,2,0,2,0,13,6,4,4,0,0,33,15,0,0,2,0,42,12,0,0,2,4,0,0,0,0,0,3,0,1,2,0,5,7,5,5,1,0,33,14,0,0,2,0,"machj002","browb005","","hudst001","delaj001",
"20150427","COL","NL",19,"ARI","NL",19,5,4,54,"PHO01",17444,"310001000","000021010",32,11,1,0,1,5,0,1,0,5,1,5,0,1,3,0,6,4,3,3,1,0,27,12,1,0,1,0,35,9,2,0,0,3,1,0,0,4,0,6,1,0,1,0,9,5,5,5,0,0,27,16,0,0,3,0,"matzt001","andec001","axfoj001","matzt001","andec001",
"20150428","COL","NL",20,"ARI","NL",20,5,12,51,"PHO01",18792,"010201001","30023013x",39,13,3,0,0,5,0,0,0,2,0,11,0,0,0,0,9,3,12,12,1,0,24,12,1,0,1,0,37,15,5,1,2,12,0,0,0,3,0,1,0,0,0,0,4,6,5,5,0,0,27,8,0,0,0,0,"chafa001","kendk001","","kendk001","brada001",
"20150429","COL","NL",21,"ARI","NL",21,1,9,51,"PHO01",19633,"100000000","20005011x",31,5,2,0,0,1,0,0,0,0,0,6,0,0,0,0,3,4,8,8,0,0,24,12,1,0,2,0,34,13,1,0,1,8,1,0,0,5,0,5,2,0,2,0,7,2,0,0,0,0,27,9,1,0,1,0,"collj001","lylej001","","lylej001","collj001",
"20150501","COL","NL",22,"SDN","NL",24,3,14,51,"SAN02",30186,"000011001","10041008x",32,6,2,0,2,3,0,0,0,3,0,9,0,0,1,0,5,5,11,11,0,0,24,16,4,0,0,0,39,14,2,0,0,13,0,1,1,4,0,4,2,0,0,0,7,4,3,3,0,0,27,9,0,0,1,0,"kenni001","butle001","","butle001","kenni001",
"20150502","COL","NL",23,"SDN","NL",25,2,4,51,"SAN02",28058,"011000000","10002100x",33,7,2,0,1,2,0,0,0,1,0,7,0,0,1,0,5,4,4,4,0,0,24,9,1,0,0,0,32,8,2,0,0,4,0,0,1,4,1,11,0,0,0,0,9,3,2,2,0,0,27,9,0,0,1,0,"morrb001","delaj001","kimbc001","delaj001","morrb001",
"20150503","COL","NL",24,"SDN","NL",26,6,8,51,"SAN02",34197,"100220001","20031200x",37,11,1,0,4,6,0,0,1,1,0,12,0,1,0,0,6,4,8,8,0,0,24,7,0,0,0,0,31,7,2,0,3,8,0,0,3,1,0,4,1,0,0,0,3,5,6,6,0,1,27,6,0,0,0,0,"shiej002","kendk001","kimbc001","kendk001","shiej002",
"20150506","ARI","NL",25,"COL","NL",25,13,7,54,"DEN02",0,"031502011","000020131",41,19,4,0,2,13,0,1,0,8,0,7,2,0,4,0,10,4,7,7,0,0,27,6,0,0,1,0,37,12,3,1,3,7,0,1,1,2,0,7,0,0,0,0,7,7,13,13,1,0,27,15,0,0,4,0,"collj001","matzt001","","collj001","matzt001",
"20150506","ARI","NL",26,"COL","NL",26,5,1,54,"DEN02",22621,"000130010","000100000",37,12,3,0,1,5,1,0,0,1,1,10,3,0,1,0,7,3,1,1,0,0,27,7,0,0,1,0,31,5,2,0,0,1,0,0,0,1,0,7,1,0,1,0,4,4,5,5,1,0,27,7,0,0,1,0,"ray-r002","lylej001","","ray-r002","lylej001",
"20150508","LAN","NL",29,"COL","NL",27,2,1,31,"DEN02",32974,"200000","00010x",17,5,1,0,0,2,0,1,1,4,0,3,1,1,1,0,5,1,0,0,0,0,15,11,1,0,2,0,18,6,1,0,0,0,0,0,1,1,0,1,1,0,2,0,4,1,2,2,0,0,16,8,0,0,1,0,"andeb004","butle001","","andeb004","butle001",
"20150510","LAN","NL",30,"COL","NL",28,9,5,54,"DEN02",30710,"010130040","000500000",32,9,3,0,1,9,1,1,0,10,0,9,0,0,1,0,8,4,5,5,0,0,27,12,0,0,0,0,34,9,1,0,0,5,1,0,0,4,1,9,0,1,0,0,7,6,9,9,0,0,27,11,1,1,2,0,"baezp001","obers001","","kersc001","delaj001",
"20150512","COL","NL",29,"ANA","AL",33,2,5,51,"ANA01",28150,"001100000","00020003x",29,5,2,0,0,2,1,1,1,1,0,8,0,1,0,0,4,3,5,5,0,0,24,10,0,0,0,0,34,10,4,0,0,5,0,0,1,1,0,7,1,0,0,0,7,2,2,2,0,0,27,8,0,1,0,0,"wilsc004","betar001","streh001","kendk001","wilsc004",
