Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20170403,COL,NL,1,MIL,NL,1,7,5,54,MIL06,43336,20200201,50000,34,10,3,0,1,6,0,0,1,2,0,8,1,1,1,0,3,6,5,5,0,0,27,7,0,0,2,0,31,7,4,0,0,5,1,0,1,6,0,14,2,1,1,0,7,7,5,5,0,0,27,18,3,0,1,0,estec001,marij001,hollg001,grayj003,guerj003,,1,Apr 3,@,MIL,"W,7-5",9,7,5,5,0,6,14,0,1,5,39,155,92,1,1,2,1,31,4,0,0,1,0,0,1,6,Joe West,"J.Gray (99-35), S.Oberg (99), C.Estevez (99-W), M.Dunn (99-H), A.Ottavino (99-H), G.Holland (99-Sv)"
20170404,COL,NL,2,MIL,NL,2,6,5,54,MIL06,21458,4020000,10202000,34,12,4,0,0,6,1,0,0,8,1,4,1,0,2,0,10,6,5,5,0,0,27,7,0,0,1,0,34,9,3,0,1,5,0,0,0,2,0,14,0,0,1,0,4,4,6,6,0,0,27,14,0,0,2,0,andet002,daviz001,hollg001,andet002,daviz001,,2,Apr 4,@,MIL,"W,6-5",9,9,5,5,0,2,14,1,0,5,36,152,103,3,0,0,0,34,3,0,0,0,0,0,1,6,Hunter Wendelstedt,"T.Anderson (99-40-W), J.McGee (99), C.Estevez (0-H), A.Ottavino (0-H), M.Dunn (0-H), G.Holland (0-Sv)"
20170405,COL,NL,3,MIL,NL,3,1,6,51,MIL06,21824,1,00030102x,29,5,2,0,0,1,1,0,1,6,0,9,0,1,1,0,9,2,6,6,0,1,24,14,0,0,2,0,30,10,1,1,3,6,0,0,0,1,0,7,0,1,1,0,1,5,1,1,1,0,27,14,0,0,1,0,peraw001,chatt001,felin001,chatt001,peraw001,,3,Apr 5,@,MIL,"L,1-6",8,10,6,6,0,1,7,3,0,5.54,31,132,82,0,0,0,1,30,1,1,0,0,0,0,1,2,Andy Fletcher,"T.Chatwood (99-46-L), J.Lyles (99)"
20170406,COL,NL,4,MIL,NL,4,2,1,54,MIL06,23828,1000001,100,30,5,2,0,2,2,2,0,0,2,0,7,0,0,0,0,5,5,1,1,0,0,27,7,0,0,2,0,30,5,1,0,1,1,0,0,1,5,0,10,0,0,2,0,8,4,2,2,0,0,27,13,0,1,0,0,dunnm002,felin001,hollg001,senza001,andec001,,4,Apr 6,@,MIL,"W,2-1",9,5,1,1,0,5,10,1,1,4.37,36,162,101,1,0,0,0,30,1,0,0,0,0,0,2,5,Alan Porter,"A.Senzatela (99-66), C.Estevez (1-H), A.Ottavino (1-BSv), M.Dunn (1-W), G.Holland (1-Sv)"
20170407,LAN,NL,5,COL,NL,5,1,2,51,DEN02,49169,100000,10001000x,30,5,2,0,0,1,1,0,0,3,0,11,0,0,1,0,6,4,2,2,1,0,24,6,2,0,2,0,30,6,1,0,1,2,0,0,0,1,0,11,0,1,0,0,5,4,1,1,0,1,27,12,0,0,1,0,freek001,ryu-h001,mcgej001,ryu-h001,freek001,,5,Apr 7,1,LAD,"W,2-1",9,5,1,1,0,3,11,0,0,3.68,34,140,82,0,0,0,0,30,2,0,0,1,0,0,1,4,Adrian Johnson,"K.Freeland (99-64-W), C.Estevez (0-H), S.Oberg (3-H), J.McGee (2-Sv)"
20170408,LAN,NL,6,COL,NL,6,2,4,51,DEN02,48012,10010,10000300x,32,7,2,0,1,2,0,0,0,3,0,7,0,1,1,0,6,3,4,4,0,1,24,9,0,0,0,0,33,9,1,1,3,4,0,0,0,0,0,7,0,0,0,0,5,5,2,2,1,0,27,13,0,0,1,0,dunnm002,kersc001,hollg001,kersc001,grayj003,,6,Apr 8,1,LAD,"W,4-2",9,7,2,2,0,3,7,1,0,3.4,35,161,92,1,0,0,1,32,2,0,0,0,0,0,1,5,Gabe Morales,"J.Gray (4-54), M.Dunn (1-W), A.Ottavino (1-H), J.McGee (0-H), G.Holland (1-Sv)"
20170409,LAN,NL,7,COL,NL,7,10,6,54,DEN02,33529,220101301,2020002,40,15,3,1,1,9,1,0,0,5,0,8,1,0,1,0,9,5,6,6,0,0,27,6,1,0,0,0,35,9,0,1,1,6,1,1,0,2,0,11,0,0,0,0,6,4,9,9,2,0,27,9,2,1,2,0,maedk001,andet002,,maedk001,andet002,,7,Apr 9,1,LAD,"L,6-10",9,15,10,9,1,5,8,1,0,4.21,46,190,115,0,0,1,0,40,3,1,0,1,0,1,1,4,Gary Cederstrom,"T.Anderson (4-36-L), S.Oberg (1), J.Lyles (3), C.Rusin (99)"
20170410,SDN,NL,8,COL,NL,8,5,3,54,DEN02,20504,1003010,1002,32,9,1,1,2,5,0,1,0,3,0,10,0,1,2,0,4,6,3,3,0,0,27,9,0,0,3,0,32,8,1,0,2,3,0,0,0,3,0,8,0,0,3,0,5,4,5,5,1,0,27,11,0,0,3,0,diazm004,chatt001,,cosaj001,chatt001,,8,Apr 10,1,SDP,"L,3-5",9,9,5,5,0,3,10,2,0,4.31,36,142,91,1,1,0,1,32,1,1,0,0,1,0,2,4,Cory Blaser,"T.Chatwood (4-42-L), C.Estevez (2), M.Dunn (1), S.Oberg (0)"
20170411,SDN,NL,9,COL,NL,9,2,3,51,DEN02,20664,100001000,00010110x,31,5,0,1,1,2,0,1,0,2,0,10,0,0,0,0,5,3,3,3,0,0,24,6,2,0,0,0,29,4,1,0,3,3,0,0,0,2,0,7,0,0,0,0,4,3,2,2,1,0,27,8,0,0,0,0,senza001,diazm004,hollg001,weavj003,senza001,,9,Apr 11,1,SDP,"W,3-2",9,5,2,2,0,2,10,1,0,4.05,34,127,84,0,0,0,0,31,0,1,0,0,1,0,0,3,Jeff Nelson,"A.Senzatela (4-63-W), A.Ottavino (2-H), G.Holland (2-Sv)"
20170412,SDN,NL,10,COL,NL,10,6,0,54,DEN02,20968,400020000,0,32,8,2,0,1,6,0,1,1,4,1,6,0,0,3,0,5,5,0,0,0,0,27,6,0,0,1,0,29,3,2,0,0,0,0,0,0,6,0,7,0,0,1,0,8,4,6,6,0,0,27,15,1,0,3,0,lee-z001,freek001,,lee-z001,freek001,,10,Apr 12,1,SDP,"L,0-6",9,8,6,6,0,4,6,1,1,4.25,38,120,73,1,0,0,0,32,2,0,1,0,1,1,3,4,Laz Diaz,"K.Freeland (4-23-L), J.Lyles (2), J.McGee (3), S.Oberg (1)"
