Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win
20100405,COL,NL,1,MIL,NL,1,5,3,54,MIL06,45808,35,10,3,0,1,4,0,1,0,3,1,5,0,1,2,0,7,6,3,3,1,0,27,10,2,0,3,0,37,12,2,0,1,3,0,1,1,2,0,7,1,0,2,0,11,2,4,4,1,0,27,12,2,0,2,0,jimeu001,gally001,moraf001,jimeu001,gally001,,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.36585365853658536,0.45714285714285713,0.4594594594594595,0.7904761904761904,0.8253131179960449,1.0
20100406,COL,NL,2,MIL,NL,2,5,7,51,MIL06,37344,37,11,3,1,1,5,1,0,0,0,0,11,0,0,0,0,6,4,7,7,0,0,24,9,1,1,2,0,30,7,1,0,2,6,0,0,0,6,0,6,2,0,2,0,5,4,5,5,0,0,27,8,0,0,0,0,wolfr001,smitg002,hofft001,smitg002,wolfr001,,0.3055555555555556,0.2916666666666667,0.2972972972972973,0.3611111111111111,0.5135135135135135,0.4666666666666667,0.8108108108108107,0.8277777777777777,0.0
20100407,COL,NL,3,MIL,NL,3,4,5,51,MIL06,35793,32,8,2,0,1,3,1,0,0,5,1,9,1,1,1,0,7,4,4,4,0,0,24,8,1,1,0,0,31,8,4,0,0,5,1,1,0,1,0,10,0,0,0,0,5,7,4,4,4,0,27,7,0,0,1,0,cofft001,cooka002,hofft001,cooka002,david002,,0.32,0.2857142857142857,0.35135135135135137,0.2727272727272727,0.40625,0.3870967741935484,0.7576013513513513,0.6598240469208211,0.0
20100409,SDN,NL,4,COL,NL,4,0,7,51,DEN02,49509,28,2,0,0,0,0,0,0,1,1,0,12,0,1,0,0,3,2,7,7,0,0,24,10,1,0,1,0,34,12,3,0,1,7,1,0,0,3,0,5,0,1,1,0,7,3,0,0,0,0,27,11,0,0,0,0,delaj001,richc002,,richc002,delaj001,,0.07692307692307693,0.4,0.13333333333333333,0.40540540540540543,0.07142857142857142,0.5294117647058824,0.2047619047619048,0.9348171701112876,1.0
20100410,SDN,NL,5,COL,NL,5,5,4,84,DEN02,36090,52,15,3,1,0,5,1,0,1,6,1,8,1,1,2,0,13,7,4,4,0,0,42,18,0,0,2,0,49,9,2,0,3,4,0,0,0,3,1,12,0,0,2,0,6,7,5,5,1,0,42,20,0,0,2,0,staut001,corpm001,bellh001,latom001,hammj002,,0.3488372093023256,0.2,0.3728813559322034,0.23076923076923078,0.38461538461538464,0.40816326530612246,0.7574967405475881,0.6389324960753533,0.0
20100411,SDN,NL,6,COL,NL,6,2,4,51,DEN02,39576,33,8,2,0,0,2,1,0,1,3,0,10,0,1,1,0,9,2,4,4,0,0,24,11,0,0,2,0,28,8,1,1,1,4,1,0,0,6,0,4,1,1,2,0,7,5,2,2,1,0,27,9,1,0,1,0,jimeu001,garlj001,moraf001,garlj001,jimeu001,,0.2857142857142857,0.38095238095238093,0.32432432432432434,0.4117647058823529,0.30303030303030304,0.5,0.6273546273546273,0.9117647058823528,1.0
20100413,NYN,NL,7,COL,NL,7,3,11,51,DEN02,25110,33,9,1,0,1,3,0,1,0,3,0,11,0,0,1,0,7,5,11,11,0,0,24,5,1,0,0,0,33,10,4,0,1,10,1,0,1,9,0,11,1,0,0,0,9,3,3,3,2,0,27,9,0,1,1,0,smitg002,mainj001,,mainj001,smitg002,,0.3103448275862069,0.45454545454545453,0.32432432432432434,0.46511627906976744,0.3939393939393939,0.5151515151515151,0.7182637182637183,0.9802677942212824,1.0
20100414,NYN,NL,8,COL,NL,8,5,6,57,DEN02,26310,38,8,1,0,2,5,0,1,0,5,1,6,3,0,1,0,9,6,6,6,1,0,27,8,1,0,1,0,39,12,4,0,2,5,0,0,2,2,0,6,0,0,1,0,10,6,4,4,0,0,30,12,3,0,1,0,florr001,mejij001,,niesj001,cooka002,,0.25806451612903225,0.34285714285714286,0.29545454545454547,0.37209302325581395,0.39473684210526316,0.5641025641025641,0.6901913875598087,0.9361955873583778,1.0
20100415,NYN,NL,9,COL,NL,9,5,0,54,DEN02,26195,33,8,2,0,0,3,0,0,0,6,0,7,1,2,1,0,7,3,0,0,0,1,27,8,0,0,1,0,29,5,0,0,0,0,1,0,0,2,0,9,0,1,1,0,5,3,4,4,2,0,27,11,1,0,1,0,pelfm001,delaj001,,pelfm001,delaj001,,0.2962962962962963,0.19230769230769232,0.358974358974359,0.22580645161290322,0.30303030303030304,0.1724137931034483,0.662004662004662,0.3982202447163515,0.0
20100416,COL,NL,10,ATL,NL,10,5,9,51,ATL02,27692,35,9,3,0,1,5,0,0,0,4,0,11,0,1,1,0,7,5,9,9,1,0,24,11,0,1,2,0,34,13,2,0,1,9,1,1,0,6,1,6,0,0,2,0,9,3,4,4,1,0,27,11,1,0,1,0,lowed001,hammj002,,hammj002,lowed001,,0.2903225806451613,0.52,0.3333333333333333,0.4634146341463415,0.42857142857142855,0.5294117647058824,0.7619047619047619,0.992826398852224,0.0
20100417,COL,NL,11,ATL,NL,11,4,0,54,ATL02,32602,34,9,3,0,0,4,0,1,0,3,0,5,0,0,1,0,7,1,0,0,0,1,27,8,0,0,1,0,25,0,0,0,0,0,0,0,0,6,0,7,1,0,1,0,4,3,4,4,0,0,27,9,0,0,1,0,jimeu001,kawak001,,jimeu001,kawak001,,0.3,0.0,0.3157894736842105,0.1935483870967742,0.35294117647058826,0.0,0.6687306501547987,0.1935483870967742,1.0
20100418,COL,NL,12,ATL,NL,12,3,4,53,ATL02,26546,30,5,1,0,2,3,1,0,0,3,0,10,1,0,1,0,4,5,4,4,1,1,26,9,0,0,0,0,30,8,2,1,0,4,1,1,0,11,1,6,0,0,0,0,13,2,3,3,0,0,27,7,1,0,1,0,oflae001,moraf001,,smitg002,jurrj001,,0.19230769230769232,0.5,0.24242424242424243,0.4523809523809524,0.4,0.4,0.6424242424242425,0.8523809523809525,0.0
20100419,COL,NL,13,WAS,NL,13,2,5,51,WAS11,11623,31,6,3,0,0,2,0,0,0,1,0,5,0,0,1,0,3,5,5,5,0,0,24,8,0,0,0,0,28,8,2,0,1,5,0,1,0,7,1,2,0,2,0,0,7,2,2,2,0,0,27,11,0,0,2,0,stamc001,cooka002,cappm001,cooka002,stamc001,,0.2,0.42105263157894735,0.21875,0.4166666666666667,0.2903225806451613,0.4642857142857143,0.5090725806451613,0.8809523809523809,0.0
20100420,COL,NL,14,WAS,NL,14,10,4,54,WAS11,15037,40,14,3,2,2,10,1,0,0,5,1,10,0,0,0,0,9,5,4,4,1,0,27,9,0,0,0,0,39,12,3,0,1,4,0,0,0,4,0,10,0,0,0,0,12,6,10,10,0,0,27,8,0,0,0,0,delaj001,olses001,,delaj001,olses001,,0.42424242424242425,0.34285714285714286,0.4222222222222222,0.37209302325581395,0.675,0.46153846153846156,1.0972222222222223,0.8336314847942755,1.0
20100421,COL,NL,15,WAS,NL,15,4,6,51,WAS11,11191,37,13,1,0,1,4,1,1,0,3,0,8,1,0,1,0,11,3,5,5,0,0,24,10,2,0,1,0,33,10,3,0,0,5,1,1,0,2,1,6,1,0,1,0,7,3,4,4,0,0,27,10,0,0,1,0,clipt001,betar001,cappm001,hammj002,lannj001,,0.40625,0.35714285714285715,0.3902439024390244,0.3333333333333333,0.4594594594594595,0.3939393939393939,0.8497033618984839,0.7272727272727273,0.0
20100422,COL,NL,16,WAS,NL,16,2,0,54,WAS11,15518,29,4,0,0,2,2,0,0,0,2,0,6,0,0,1,0,2,3,0,0,1,0,27,15,0,0,1,0,32,7,2,0,0,0,0,0,0,2,0,6,0,1,1,0,7,2,2,2,0,0,27,12,0,0,2,0,jimeu001,hernl003,moraf001,jimeu001,hernl003,,0.14814814814814814,0.23333333333333334,0.1935483870967742,0.2647058823529412,0.3448275862068966,0.28125,0.5383759733036708,0.5459558823529411,1.0
20100424,FLO,NL,17,COL,NL,17,4,1,54,DEN02,0,33,10,2,0,2,4,0,1,1,2,0,5,0,1,1,0,6,2,1,1,0,0,27,9,0,0,2,0,31,7,0,0,0,1,0,0,0,1,0,9,0,1,2,0,4,3,4,4,0,0,27,13,0,0,2,0,nolar001,smitg002,nunel001,nolar001,smitg002,,0.3448275862068966,0.23333333333333334,0.35135135135135137,0.25,0.5454545454545454,0.22580645161290322,0.8968058968058967,0.4758064516129033,0.0
