Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20180330,PIT,NL,1,DET,AL,1,13,10,78,DET05,42516,3010240003,2.00004E+11,52,17,3,1,1,11,0,1,0,4,0,10,1,2,0,1,6,8,10,10,1,0,39,9,2,0,1,0,53,14,7,0,0,9,0,0,0,9,0,9,0,0,1,0,13,7,11,11,0,0,39,9,3,1,2,0,braus002,wilsa001,,novai001,zimmj003,,1,Mar 30,1,PIT,"L,10-13",13,17,13,11,2,4,10,1,0,7.62,58,215,130,4,3,1,2,52,3,1,0,0,1,0,0,7,Mike Everitt,"J.Zimmermann (99-51), W.Saupold (99), D.VerHagen (99), D.Stumpf (99-BSv), S.Greene (99), J.Jimenez (99), A.Wilson (99-L)"
20180401,PIT,NL,2,DET,AL,2,1,0,54,DET05,14858,100000000,0,28,6,3,0,0,1,0,0,1,3,0,4,0,1,2,0,4,4,0,0,0,0,27,12,0,0,3,0,26,2,1,0,0,0,0,0,0,6,0,5,0,1,2,0,5,2,1,1,0,0,27,16,0,0,3,0,willt002,fulmm001,rivef001,willt002,fulmm001,,2,1,1,PIT,"L,0-1",9,6,1,1,0,3,4,0,1,4.91,32,113,68,0,0,0,1,28,3,0,0,0,0,0,2,2,Lance Barrett,"M.Fulmer (99-71-L), S.Greene (1)"
20180401,PIT,NL,3,DET,AL,3,8,6,54,DET05,18438,3050000,200101002,36,10,1,0,3,7,0,1,0,2,0,10,1,1,0,0,4,5,6,6,0,0,27,10,0,0,0,0,39,12,4,2,1,6,0,0,0,2,0,9,0,0,0,0,8,5,8,8,2,0,27,4,0,0,1,0,kuhlc001,farmb001,rivef001,kuhlc001,carpr001,,3,1,1,PIT,"L,6-8",9,10,8,8,0,2,10,3,0,5.81,39,174,107,0,0,1,1,36,1,0,0,0,1,0,0,5,Nic Lentz,"R.Carpenter (99-39), B.Farmer (99-L), D.VerHagen (1), W.Saupold (1), J.Jimenez (1)"
20180402,KCA,AL,3,DET,AL,4,1,6,51,DET05,15476,1000000,00104010x,30,5,1,1,0,1,0,1,0,2,0,4,0,1,0,0,5,4,6,6,0,0,24,9,1,0,0,0,34,10,2,1,0,6,0,1,0,3,2,6,0,0,0,0,8,4,1,1,1,0,27,8,0,0,1,0,lirif001,hammj002,,hammj002,lirif001,,4,Apr 2,1,KCR,"W,6-1",9,5,1,1,0,2,4,0,0,4.72,33,132,78,1,0,0,1,30,1,1,0,0,1,0,0,4,Tom Hallion,"F.Liriano (99-63-W), J.Jimenez (0), D.Stumpf (2), W.Saupold (0)"
20180403,KCA,AL,4,DET,AL,5,1,0,54,DET05,15083,10000000,0,30,5,1,0,0,1,0,1,0,1,0,3,0,0,1,0,4,3,0,0,0,0,27,7,1,0,1,0,30,3,0,0,0,0,0,0,0,1,0,8,0,0,0,0,4,4,1,1,0,0,27,6,0,0,1,0,junij001,boydm001,herrk001,junij001,boydm001,,5,Apr 3,1,KCR,"L,0-1",9,5,1,1,0,1,3,0,0,4.04,32,122,78,1,0,0,0,30,1,0,0,0,1,0,1,4,Phil Cuzzi,"M.Boyd (99-61-L), A.Wilson (3), D.Stumpf (0), D.VerHagen (1)"
20180405,DET,AL,6,CHA,AL,6,9,7,60,CHI12,33318,101100132,2110201000,45,17,3,0,1,9,0,1,0,2,0,6,1,1,2,0,9,5,7,7,0,0,30,10,0,0,0,0,39,11,4,2,0,7,0,1,1,5,0,12,1,0,0,0,9,7,9,9,0,0,30,9,1,0,2,0,jimej003,infag001,grees005,zimmj003,shiej002,,6,Apr 5,@,CHW,"W,9-7",10,11,7,7,0,5,12,0,1,4.42,46,168,110,3,1,1,0,39,4,2,0,0,1,0,0,5,Marvin Hudson,"J.Zimmermann (5-23), W.Saupold (2), D.Norris (99), J.Jimenez (2-W), S.Greene (3-Sv)"
20180407,DET,AL,7,CHA,AL,7,6,1,54,CHI12,16625,2012001,100,33,6,2,0,0,6,0,0,4,8,0,9,4,0,0,0,12,5,1,1,1,0,27,7,1,0,1,0,34,8,3,0,0,1,0,1,0,4,0,7,0,0,1,0,11,4,6,6,0,0,27,4,0,0,0,0,fulmm001,gioll001,,fulmm001,gioll001,,7,Apr 7,@,CHW,"W,6-1",9,8,1,1,0,4,7,0,0,3.97,39,160,96,3,0,0,0,34,3,0,0,0,1,1,1,5,James Hoye,"M.Fulmer (5-57-W), A.Wilson (3), J.Jimenez (1), D.Stumpf (3), B.Farmer (5)"
20180408,DET,AL,8,CHA,AL,8,1,0,54,CHI12,11131,100000000,0,27,2,0,0,0,1,0,1,0,5,0,9,2,1,0,0,5,5,0,0,0,0,27,8,1,0,3,0,28,3,0,0,0,0,0,0,1,2,0,9,1,1,2,0,4,3,0,0,0,0,27,7,0,1,0,0,fierm001,loper003,grees005,fierm001,loper003,,8,Apr 8,@,CHW,"W,1-0",9,3,0,0,0,2,9,0,1,3.51,31,128,86,0,0,1,1,28,0,0,0,0,0,1,2,5,Jeff Kellogg,"M.Fiers (99-71-W), A.Wilson (0-H), D.Stumpf (0-H), J.Jimenez (0-H), S.Greene (2-Sv)"
20180409,DET,AL,9,CLE,AL,10,0,2,51,CLE08,9843,0,00002000x,28,2,0,0,0,0,0,0,1,1,0,14,0,0,1,0,3,3,2,2,0,0,24,9,0,0,1,0,26,4,1,0,1,2,0,0,0,5,0,7,0,1,1,0,5,2,0,0,0,0,27,9,0,0,1,0,klubc001,lirif001,milla002,lirif001,klubc001,,9,Apr 9,@,CLE,"L,0-2",8,4,2,2,0,5,7,1,0,3.39,31,139,80,2,0,0,1,26,1,0,0,0,0,0,1,3,Jeff Nelson,"F.Liriano (6-59-L), B.Farmer (1), D.VerHagen (5)"
20180410,DET,AL,10,CLE,AL,11,1,2,51,CLE08,10078,100,10000001x,33,6,3,0,0,1,0,0,1,2,0,7,1,0,0,0,8,2,2,2,0,0,24,8,0,0,1,0,27,4,0,0,2,2,0,0,1,1,0,6,0,0,1,0,3,6,1,1,0,0,27,12,1,0,0,0,milla002,wilsa001,allec002,boydm001,tomlj001,,10,Apr 10,@,CLE,"L,1-2",8,4,2,2,0,1,6,2,1,3.29,29,117,73,0,0,0,0,27,0,0,0,0,0,0,1,2,Laz Diaz,"M.Boyd (6-70), A.Wilson (1-L)"
