Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20100405","FLO","NL",1,"NYN","NL",1,1,7,51,"NYC20",41245,"000001000","20000410x",32,6,2,0,0,1,1,0,0,2,0,7,2,0,0,0,7,5,6,6,1,0,24,8,3,0,1,0,32,9,3,1,1,7,0,1,1,4,0,5,2,0,0,0,7,3,1,1,0,0,27,6,1,0,0,0,"santj003","Johan Santana","johnj009","Josh Johnson","","(none)","johnj009","Josh Johnson","santj003","Johan Santana",
"20100407","FLO","NL",2,"NYN","NL",2,7,6,60,"NYC20",38863,"1020111001","1000002300",45,17,2,0,3,7,2,0,0,3,1,7,0,0,0,0,13,5,6,6,0,1,30,10,1,0,0,0,33,6,1,1,0,4,0,2,1,9,1,6,1,0,0,0,9,7,7,7,1,0,30,8,0,0,0,0,"nunel001","Leo Nunez","takah001","Hisanori Takahashi","woodt003","Tim Wood","nolar001","Ricky Nolasco","mainj001","John Maine",
"20100408","FLO","NL",3,"NYN","NL",3,3,1,54,"NYC20",25982,"100011000","000100000",35,9,4,0,0,3,0,0,0,4,0,3,0,0,1,0,9,3,1,1,0,0,27,9,0,0,0,0,34,7,1,0,0,1,0,0,1,0,0,7,0,0,0,0,7,5,3,3,0,0,27,13,0,0,1,0,"roben001","Nate Robertson","niesj001","Jon Niese","nunel001","Leo Nunez","roben001","Nate Robertson","niesj001","Jon Niese",
"20100409","LAN","NL",4,"FLO","NL",4,7,3,54,"MIA01",40666,"000000403","000001002",35,8,5,0,0,5,1,0,0,5,1,5,3,0,0,0,7,3,2,2,1,0,27,13,2,0,0,0,34,7,2,0,0,3,1,0,0,3,1,10,1,0,0,0,8,4,5,5,1,0,27,11,2,0,0,0,"kuroh001","Hiroki Kuroda","volsc001","Chris Volstad","","(none)","kuroh001","Hiroki Kuroda","volsc001","Chris Volstad",
"20100410","LAN","NL",5,"FLO","NL",5,6,7,52,"MIA01",25308,"003000021","100300003",36,12,3,0,1,6,1,1,0,4,0,10,1,1,1,0,9,5,7,7,0,0,25,11,0,0,0,0,34,10,2,0,1,7,0,1,1,4,2,9,0,0,0,0,8,5,6,6,1,0,27,11,2,0,1,0,"veraj001","Jose Veras","sherg001","George Sherrill","","(none)","padiv001","Vicente Padilla","johnj009","Josh Johnson",
"20100411","LAN","NL",6,"FLO","NL",6,5,6,51,"MIA01",18758,"000401000","00030120x",35,11,0,1,0,3,2,1,0,2,0,9,1,1,0,0,8,3,5,5,3,0,24,10,1,0,0,0,31,5,1,0,1,6,0,0,0,5,0,13,1,0,0,0,6,3,4,4,0,0,27,8,2,0,0,0,"hensc002","Clay Hensley","weavj002","Jeff Weaver","nunel001","Leo Nunez","haegc001","Charlie Haeger","sanca004","Anibal Sanchez",
"20100412","CIN","NL",7,"FLO","NL",7,6,5,60,"MIA01",10119,"0201200001","0130001000",39,11,1,0,3,6,1,0,0,3,0,7,1,1,0,0,7,6,5,5,1,1,30,18,0,0,1,0,42,13,4,0,0,4,0,0,1,3,0,6,0,0,1,0,11,6,6,6,0,0,30,10,1,0,1,0,"massn001","Nick Masset","badeb001","Burke Badenhop","cordf002","Francisco Cordero","cuetj001","Johnny Cueto","nolar001","Ricky Nolasco",
"20100413","CIN","NL",8,"FLO","NL",8,10,8,66,"MIA01",10681,"03030002002","01004003000",43,13,4,0,2,10,1,0,1,6,1,8,0,0,2,0,8,6,8,8,0,0,33,12,0,0,0,0,44,11,3,0,1,8,0,0,1,3,0,12,0,0,0,0,7,6,7,7,0,0,33,11,1,0,2,0,"owinm001","Micah Owings","meyed002","Dan Meyer","cordf002","Francisco Cordero","arrob001","Bronson Arroyo","roben001","Nate Robertson",
"20100414","CIN","NL",9,"FLO","NL",9,3,5,51,"MIA01",14390,"000100200","11011100x",32,5,1,0,1,3,0,0,0,4,0,8,2,0,0,0,6,3,5,5,0,0,24,14,1,0,2,0,32,9,2,0,2,5,0,0,1,6,0,5,1,0,2,0,10,3,3,3,0,0,27,9,0,0,0,0,"volsc001","Chris Volstad","bailh001","Homer Bailey","badeb001","Burke Badenhop","bailh001","Homer Bailey","volsc001","Chris Volstad",
"20100415","CIN","NL",10,"FLO","NL",10,2,10,51,"MIA01",12912,"001000001","01214101x",34,7,1,1,0,2,0,0,0,2,0,14,3,0,0,0,7,4,10,10,2,1,24,12,0,0,1,0,38,15,6,0,1,10,0,1,0,5,0,8,0,0,1,0,10,3,2,2,0,0,27,6,1,0,0,0,"johnj009","Josh Johnson","haraa001","Aaron Harang","","(none)","haraa001","Aaron Harang","johnj009","Josh Johnson",
