Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20140331","COL","NL",1,"MIA","NL",1,1,10,51,"MIA02",37116,"000001000","00105103x",32,6,0,0,1,1,0,0,0,1,0,10,0,0,1,0,5,3,10,10,0,0,24,8,0,0,0,0,35,14,5,0,1,10,2,1,1,2,0,11,0,0,0,0,7,3,1,1,0,0,27,9,0,0,1,0,"fernj003","delaj001","","delaj001","fernj003",
"20140401","COL","NL",2,"MIA","NL",2,3,4,51,"MIA02",15906,"000200010","02000200x",34,9,4,0,0,3,0,1,0,2,0,8,1,0,0,0,7,3,3,3,0,0,24,14,1,0,1,0,27,5,2,0,0,4,0,1,0,1,0,4,1,0,0,0,1,5,3,3,0,0,27,9,0,0,0,0,"eovan001","andeb004","cishs001","andeb004","eovan001",
"20140402","COL","NL",3,"MIA","NL",3,6,5,54,"MIA02",15866,"300300000","100003001",36,12,1,0,0,5,1,1,0,4,0,6,0,0,2,0,9,5,5,5,2,0,27,9,0,0,0,0,35,8,2,0,1,4,0,0,1,4,0,11,0,0,0,0,8,3,3,3,1,0,27,15,3,0,3,0,"lylej001","alvah001","hawkl001","lylej001","alvah001",
"20140403","COL","NL",4,"MIA","NL",4,5,8,51,"MIA02",15378,"103010000","10100114x",36,10,0,1,1,5,0,0,0,3,0,5,2,0,1,0,7,3,8,8,0,1,24,9,1,0,0,0,36,13,3,1,0,8,1,0,0,4,0,7,1,0,0,0,9,4,5,5,1,0,27,18,1,0,1,0,"ramoa001","belim001","cishs001","moraf001","turnj002",
"20140404","SDN","NL",4,"MIA","NL",5,2,8,51,"MIA02",17783,"000002000","20302001x",33,7,1,0,0,2,0,0,0,4,0,3,0,0,1,0,8,4,8,8,1,0,24,11,0,0,0,0,35,13,3,0,1,8,0,1,0,4,0,5,1,0,0,0,8,2,2,2,0,0,27,10,0,0,1,0,"koeht001","stule002","handb001","stule002","koeht001",
"20140405","SDN","NL",5,"MIA","NL",6,0,5,51,"MIA02",35188,"000000000","00100112x",32,5,1,0,0,0,0,0,0,3,0,10,2,1,1,0,8,4,5,5,0,0,24,8,0,1,0,0,33,10,3,0,0,5,0,1,0,5,1,8,0,0,0,0,10,4,0,0,2,0,27,12,1,0,1,0,"fernj003","casha001","","casha001","fernj003",
"20140406","SDN","NL",6,"MIA","NL",7,4,2,54,"MIA02",22496,"000000310","000100100",33,7,0,0,1,4,0,1,1,1,1,10,1,0,1,0,5,5,2,2,0,0,27,8,0,0,1,0,30,5,1,1,0,2,1,0,0,1,0,8,1,0,0,0,3,3,3,3,0,0,27,7,2,0,1,0,"kenni001","eovan001","streh001","kenni001","eovan001",
"20140408","MIA","NL",8,"WAS","NL",7,0,5,51,"WAS11",21728,"000000000","10000202x",30,4,0,0,0,0,0,0,0,4,0,8,0,1,0,0,7,4,3,3,1,0,24,10,1,0,0,0,31,8,2,0,0,4,0,0,0,3,0,9,0,0,0,0,5,5,0,0,0,0,27,8,0,0,0,0,"gonzg003","alvah001","","alvah001","gonzg003",
"20140409","MIA","NL",9,"WAS","NL",8,7,10,51,"WAS11",21190,"230000110","00031204x",39,14,3,1,2,7,0,1,0,6,0,11,1,0,0,0,12,5,9,9,0,0,24,7,3,0,0,0,36,11,1,1,2,9,0,0,1,4,1,7,0,0,0,0,7,6,7,7,0,0,27,10,0,0,0,0,"clipt001","marmc001","sorir001","handb001","zimmj003",
"20140410","MIA","NL",10,"WAS","NL",9,1,7,51,"WAS11",20869,"000000100","00200005x",31,3,0,0,1,1,0,0,1,1,0,17,1,0,0,0,5,4,7,7,0,0,24,9,0,0,1,0,33,10,3,0,2,7,0,0,0,4,0,9,2,0,1,0,6,4,1,1,0,0,27,8,2,0,0,0,"stras001","koeht001","","koeht001","stras001",
"20140411","MIA","NL",11,"PHI","NL",10,3,6,51,"PHI13",22283,"020000010","20103000x",30,7,1,0,1,3,1,1,1,7,0,9,1,0,1,0,10,3,6,6,0,0,24,9,0,0,1,0,31,10,2,1,0,5,1,0,0,7,0,7,1,0,1,0,9,5,3,3,1,0,27,13,0,0,1,0,"diekj001","fernj003","papej001","fernj003","burna001",
"20140412","MIA","NL",12,"PHI","NL",11,4,5,59,"PHI13",27760,"0100102000","2020000001",42,13,0,0,2,3,1,0,0,3,0,8,0,0,0,0,12,5,5,5,0,0,29,9,0,0,1,0,36,9,3,0,1,5,0,0,0,2,0,9,1,1,1,0,4,6,3,3,0,0,30,9,1,0,1,0,"roseb003","jennd003","","eovan001","pettj001",
"20140413","MIA","NL",13,"PHI","NL",12,3,4,51,"PHI13",34272,"110010000","00102001x",32,6,1,0,1,3,2,0,0,3,0,10,0,0,0,0,7,3,4,4,0,0,24,8,1,0,1,0,34,13,2,0,2,4,1,0,0,6,1,8,1,0,1,0,13,4,2,2,0,0,27,7,1,0,0,0,"basta001","dunnm002","papej001","alvah001","kendk001",
"20140414","WAS","NL",13,"MIA","NL",14,9,2,54,"MIA02",18788,"131000400","010001000",42,16,6,3,2,9,1,0,1,1,0,8,0,0,0,0,9,2,2,2,1,0,27,10,0,1,1,0,34,8,2,0,1,2,0,0,0,2,0,10,0,0,0,0,7,4,9,9,0,0,27,12,1,0,0,0,"zimmj003","handb001","","zimmj003","handb001",
"20140415","WAS","NL",14,"MIA","NL",15,2,11,51,"MIA02",19931,"000000011","33005000x",31,5,0,0,1,1,0,0,0,5,0,6,0,0,1,0,7,5,11,11,1,0,24,3,2,0,0,0,37,15,1,1,1,9,2,0,0,4,1,11,0,0,0,0,8,2,1,1,2,0,27,13,1,0,1,0,"koeht001","stras001","","stras001","koeht001",
