Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100405,FLO,NL,1,NYN,NL,1,1,7,51,NYC20,41245,32,6,2,0,0,1,1,0,0,2,0,7,2,0,0,0,7,5,6,6,1,0,24,8,3,0,1,0,32,9,3,1,1,7,0,1,1,4,0,5,2,0,0,0,7,3,1,1,0,0,27,6,1,0,0,0,santj003,johnj009,,johnj009,santj003,,0.1875,0.28125,0.23529411764705882,0.3684210526315789,0.25,0.53125,0.4852941176470588,0.8996710526315791,0.0,
20100407,FLO,NL,2,NYN,NL,2,7,6,60,NYC20,38863,45,17,2,0,3,7,2,0,0,3,1,7,0,0,0,0,13,5,6,6,0,1,30,10,1,0,0,0,33,6,1,1,0,4,0,2,1,9,1,6,1,0,0,0,9,7,7,7,1,0,30,8,0,0,0,0,nunel001,takah001,woodt003,nolar001,mainj001,,0.37777777777777777,0.18181818181818182,0.4166666666666667,0.35555555555555557,0.6222222222222222,0.2727272727272727,1.0388888888888892,0.6282828282828283,1.0,0.0
20100408,FLO,NL,3,NYN,NL,3,3,1,54,NYC20,25982,35,9,4,0,0,3,0,0,0,4,0,3,0,0,1,0,9,3,1,1,0,0,27,9,0,0,0,0,34,7,1,0,0,1,0,0,1,0,0,7,0,0,0,0,7,5,3,3,0,0,27,13,0,0,1,0,roben001,niesj001,nunel001,roben001,niesj001,,0.2571428571428571,0.20588235294117646,0.3333333333333333,0.22857142857142856,0.37142857142857144,0.23529411764705882,0.7047619047619047,0.4638655462184874,1.0,1.0
20100409,LAN,NL,4,FLO,NL,4,7,3,54,MIA01,40666,35,8,5,0,0,5,1,0,0,5,1,5,3,0,0,0,7,3,2,2,1,0,27,13,2,0,0,0,34,7,2,0,0,3,1,0,0,3,1,10,1,0,0,0,8,4,5,5,1,0,27,11,2,0,0,0,kuroh001,volsc001,,kuroh001,volsc001,,0.22857142857142856,0.20588235294117646,0.325,0.2702702702702703,0.37142857142857144,0.2647058823529412,0.6964285714285714,0.5349761526232115,0.0,1.0
20100410,LAN,NL,5,FLO,NL,5,6,7,52,MIA01,25308,36,12,3,0,1,6,1,1,0,4,0,10,1,1,1,0,9,5,7,7,0,0,25,11,0,0,0,0,34,10,2,0,1,7,0,1,1,4,2,9,0,0,0,0,8,5,6,6,1,0,27,11,2,0,1,0,veraj001,sherg001,,padiv001,johnj009,,0.3333333333333333,0.29411764705882354,0.3902439024390244,0.375,0.5,0.4411764705882353,0.8902439024390244,0.8161764705882353,1.0,0.0
20100411,LAN,NL,6,FLO,NL,6,5,6,51,MIA01,18758,35,11,0,1,0,3,2,1,0,2,0,9,1,1,0,0,8,3,5,5,3,0,24,10,1,0,0,0,31,5,1,0,1,6,0,0,0,5,0,13,1,0,0,0,6,3,4,4,0,0,27,8,2,0,0,0,hensc002,weavj002,nunel001,haegc001,sanca004,,0.3142857142857143,0.16129032258064516,0.34210526315789475,0.2777777777777778,0.37142857142857144,0.2903225806451613,0.7135338345864661,0.5681003584229392,1.0,1.0
20100412,CIN,NL,7,FLO,NL,7,6,5,60,MIA01,10119,39,11,1,0,3,6,1,0,0,3,0,7,1,1,0,0,7,6,5,5,1,1,30,18,0,0,1,0,42,13,4,0,0,4,0,0,1,3,0,6,0,0,1,0,11,6,6,6,0,0,30,10,1,0,1,0,massn001,badeb001,cordf002,cuetj001,nolar001,,0.28205128205128205,0.30952380952380953,0.3333333333333333,0.3695652173913043,0.5384615384615384,0.40476190476190477,0.8717948717948718,0.7743271221532091,0.0,1.0
20100413,CIN,NL,8,FLO,NL,8,10,8,66,MIA01,10681,43,13,4,0,2,10,1,0,1,6,1,8,0,0,2,0,8,6,8,8,0,0,33,12,0,0,0,0,44,11,3,0,1,8,0,0,1,3,0,12,0,0,0,0,7,6,7,7,0,0,33,11,1,0,2,0,owinm001,meyed002,cordf002,arrob001,roben001,,0.3023255813953488,0.25,0.4,0.3125,0.5348837209302325,0.38636363636363635,0.9348837209302324,0.6988636363636364,0.0,0.0
20100414,CIN,NL,9,FLO,NL,9,3,5,51,MIA01,14390,32,5,1,0,1,3,0,0,0,4,0,8,2,0,0,0,6,3,5,5,0,0,24,14,1,0,2,0,32,9,2,0,2,5,0,0,1,6,0,5,1,0,2,0,10,3,3,3,0,0,27,9,0,0,0,0,volsc001,bailh001,badeb001,bailh001,volsc001,,0.15625,0.28125,0.25,0.41025641025641024,0.28125,0.53125,0.53125,0.9415064102564102,1.0,0.0
20100415,CIN,NL,10,FLO,NL,10,2,10,51,MIA01,12912,34,7,1,1,0,2,0,0,0,2,0,14,3,0,0,0,7,4,10,10,2,1,24,12,0,0,1,0,38,15,6,0,1,10,0,1,0,5,0,8,0,0,1,0,10,3,2,2,0,0,27,6,1,0,0,0,johnj009,haraa001,,haraa001,johnj009,,0.20588235294117646,0.39473684210526316,0.25,0.45454545454545453,0.29411764705882354,0.631578947368421,0.5441176470588236,1.0861244019138756,1.0,1.0
