Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20100405","SFN","NL",1,"HOU","NL",1,5,2,54,"HOU03",43836,"030000110","000000002",32,10,1,0,1,5,2,1,0,2,0,6,0,0,2,0,5,4,2,2,0,0,27,11,0,0,0,0,36,9,2,0,0,2,0,0,0,0,0,9,0,0,0,0,7,4,5,5,0,0,27,14,0,0,2,0,"linct001","Tim Lincecum","oswar001","Roy Oswalt","wilsb001","Brian Wilson","linct001","Tim Lincecum","oswar001","Roy Oswalt",
"20100406","SFN","NL",2,"HOU","NL",2,3,0,54,"HOU03",24237,"000003000","000000000",31,8,0,0,0,3,1,1,0,4,0,6,0,0,3,0,7,5,0,0,0,0,27,8,0,0,0,0,31,4,2,0,0,0,0,0,1,2,0,7,0,0,0,0,7,4,3,3,0,0,27,14,1,0,3,0,"zitob001","Barry Zito","rodrw002","Wandy Rodriguez","wilsb001","Brian Wilson","zitob001","Barry Zito","rodrw002","Wandy Rodriguez",
"20100407","SFN","NL",3,"HOU","NL",3,10,4,54,"HOU03",21599,"021000124","000100300",43,19,3,1,2,8,2,0,0,4,0,3,0,0,2,0,12,3,3,3,0,0,27,13,1,0,0,0,35,7,2,1,0,4,0,0,0,0,0,6,0,0,0,0,4,6,9,9,1,0,27,12,1,0,2,0,"affej001","Jeremy Affeldt","gervs001","Samuel Gervacio","","(none)","cainm001","Matt Cain","myerb001","Brett Myers",
"20100409","PHI","NL",4,"HOU","NL",4,8,0,54,"HOU03",27288,"300220100","000000000",41,16,6,0,1,8,0,0,0,5,0,6,0,0,2,0,11,4,0,0,1,0,27,10,1,0,1,0,35,8,1,0,0,0,0,0,0,2,0,10,0,0,1,0,10,5,8,8,0,0,27,8,0,0,2,0,"happj001","J.A. Happ","norrb001","Bud Norris","","(none)","happj001","J.A. Happ","norrb001","Bud Norris",
"20100410","PHI","NL",5,"HOU","NL",5,9,6,54,"HOU03",35138,"013000302","005000001",36,11,1,1,2,9,1,1,0,6,0,8,1,0,0,0,8,4,6,6,0,0,27,11,0,0,0,0,38,11,2,0,2,6,0,0,0,1,0,3,0,0,0,0,6,5,9,9,0,1,27,10,1,0,0,0,"moyej001","Jamie Moyer","lyonb003","Brandon Lyon","","(none)","moyej001","Jamie Moyer","paulf001","Felipe Paulino",
"20100411","PHI","NL",6,"HOU","NL",6,2,1,54,"HOU03",28619,"110000000","000001000",32,6,2,0,1,2,0,0,0,2,0,10,1,0,0,0,5,1,0,0,0,0,27,11,1,0,2,0,32,7,0,0,0,0,1,0,0,0,0,8,0,1,1,0,5,4,2,2,0,0,27,6,0,0,1,0,"hallr001","Roy Halladay","oswar001","Roy Oswalt","","(none)","hallr001","Roy Halladay","oswar001","Roy Oswalt",
"20100412","HOU","NL",7,"SLN","NL",7,0,5,51,"STL10",46918,"000000000","10300010x",31,7,0,0,0,0,0,0,0,1,0,7,1,0,2,0,5,4,5,5,0,0,24,19,2,0,2,0,32,11,2,1,1,5,0,0,0,4,0,2,0,1,2,0,7,2,0,0,0,0,27,13,0,0,2,0,"waina001","Adam Wainwright","rodrw002","Wandy Rodriguez","","(none)","rodrw002","Wandy Rodriguez","waina001","Adam Wainwright",
"20100414","HOU","NL",8,"SLN","NL",8,1,2,51,"STL10",35883,"100000000","20000000x",28,4,1,0,0,1,1,1,0,2,0,4,0,0,1,0,4,3,1,1,0,0,24,7,2,0,1,0,29,5,0,0,0,1,1,0,0,2,0,7,0,0,1,0,6,4,0,0,0,0,27,13,2,0,1,0,"pennb002","Brad Penny","myerb001","Brett Myers","franr001","Ryan Franklin","myerb001","Brett Myers","pennb002","Brad Penny",
"20100415","HOU","NL",9,"SLN","NL",9,5,1,54,"STL10",35371,"002000030","000100000",34,9,3,0,0,5,0,0,0,0,0,2,0,1,1,0,2,4,0,0,0,0,27,7,1,0,1,0,33,6,3,0,0,1,0,0,0,3,0,12,0,0,1,0,8,3,5,5,0,0,27,16,0,0,1,0,"norrb001","Bud Norris","lohsk001","Kyle Lohse","","(none)","norrb001","Bud Norris","lohsk001","Kyle Lohse",
"20100416","HOU","NL",10,"CHN","NL",10,2,7,51,"CHI11",37291,"000200000","00100060x",32,6,0,1,0,2,1,0,1,0,0,8,0,0,1,0,5,4,7,7,0,0,24,12,0,0,2,0,32,11,4,1,1,7,0,1,0,3,0,4,1,0,2,0,5,3,0,0,0,0,27,9,1,0,1,0,"silvc001","Carlos Silva","paulf001","Felipe Paulino","","(none)","paulf001","Felipe Paulino","silvc001","Carlos Silva",
"20100417","HOU","NL",11,"CHN","NL",11,4,3,54,"CHI11",40471,"020010100","000000030",33,6,0,0,1,4,1,0,0,1,0,3,0,0,0,0,4,4,3,3,1,0,27,8,2,0,0,0,38,9,4,0,0,3,0,0,0,0,0,9,0,0,0,0,8,5,4,4,0,0,27,13,1,0,0,0,"oswar001","Roy Oswalt","gorzt001","Tom Gorzelanny","lindm001","Matt Lindstrom","oswar001","Roy Oswalt","gorzt001","Tom Gorzelanny",
