Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,CLE,AL,1,HOU,AL,1,0,2,51,HOU03,43753,0,00000101x,29,3,0,0,0,0,0,0,0,3,0,7,0,0,1,0,5,2,2,2,0,0,24,10,0,0,0,0,25,3,0,0,0,2,0,1,0,2,0,7,1,0,0,0,2,3,0,0,0,0,27,13,0,0,1,0,keucd001,klubc001,gregl001,klubc001,keucd001,,1,Apr 6,1,CLE,"W,2-0",9,3,0,0,0,3,7,0,0,0,32,122,81,0,0,0,0,29,0,0,0,0,0,0,1,3,Ted Barrett,"D.Keuchel (99-72-W), T.Sipp (99-H), L.Gregerson (99-Sv)"
20150408,CLE,AL,2,HOU,AL,2,2,0,54,HOU03,23078,100010,0,33,7,0,0,2,2,1,0,0,0,0,8,0,0,0,0,5,5,0,0,0,0,27,7,0,0,1,0,30,4,1,0,0,0,0,0,0,3,0,13,1,0,1,0,6,4,2,2,0,0,27,10,0,0,0,0,carrc003,felds001,allec002,carrc003,felds001,,2,Apr 8,1,CLE,"L,0-2",9,7,2,2,0,0,8,2,0,1,34,127,86,0,0,0,0,33,0,0,0,1,0,0,0,4,Angel Hernandez,"S.Feldman (99-65-L), J.Thatcher (99), P.Neshek (99), W.Harris (99)"
20150409,CLE,AL,3,HOU,AL,3,5,1,54,HOU03,22593,110110100,1,36,11,3,1,2,5,0,1,0,3,0,7,2,0,2,0,8,4,1,1,0,0,27,4,0,0,0,0,28,1,0,0,1,1,0,0,0,7,0,16,2,0,0,0,7,3,5,5,0,0,27,8,1,0,2,0,bauet001,wojca001,,bauet001,wojca001,,3,Apr 9,1,CLE,"L,1-5",9,11,5,5,0,3,7,2,0,2.33,40,161,102,2,0,2,0,36,3,1,0,0,1,0,2,3,Scott Barry,"A.Wojciechowski (99-30-L), S.Deduno (99), C.Qualls (99)"
20150410,HOU,AL,4,TEX,AL,5,5,1,54,ARL02,48885,100010102,1000,34,10,2,0,2,5,1,0,0,2,0,7,1,0,0,0,5,4,1,1,0,0,27,15,0,1,0,0,32,6,3,0,0,1,0,0,0,2,0,8,0,1,0,0,6,6,5,5,0,0,27,10,2,0,2,0,mchuc001,holld003,,mchuc001,holld003,,4,Apr 10,@,TEX,"W,5-1",9,6,1,1,0,2,8,0,0,2,34,119,82,0,0,0,1,32,3,0,0,0,0,0,0,4,Cory Blaser,"C.McHugh (99-60-W), P.Neshek (1-H), C.Qualls (0-H), L.Gregerson (3)"
20150411,HOU,AL,5,TEX,AL,6,2,6,51,ARL02,36833,1001000,11003001x,38,11,2,0,1,2,0,0,0,4,0,9,0,0,0,0,13,4,2,2,0,0,24,15,3,0,0,0,33,9,4,1,0,4,1,0,1,4,1,4,1,0,0,0,9,6,2,2,0,0,27,5,0,0,0,0,gally001,carmf001,,carmf001,gally001,,5,Apr 11,@,TEX,"L,2-6",8,9,6,2,4,4,4,0,1,2.05,39,144,93,3,3,1,0,33,4,1,1,1,0,1,0,4,Jeff Nelson,"R.Hernandez (99-40-L), J.Thatcher (2), W.Harris (2), T.Sipp (4)"
20150412,HOU,AL,6,TEX,AL,7,6,4,84,ARL02,35276,4E+12,22000000,50,11,1,1,3,6,0,0,0,3,1,9,3,0,3,0,5,8,4,4,1,0,42,16,0,0,1,0,49,9,1,0,0,4,0,1,4,7,0,9,0,0,1,0,15,7,6,6,0,0,42,15,1,0,4,0,harrw002,verrl001,dedus001,keucd001,lewic001,,6,Apr 12,@,TEX,"W,6-4",14,9,4,4,0,7,9,0,4,2.17,61,225,136,3,2,0,0,49,1,0,0,0,1,0,1,8,Laz Diaz,"D.Keuchel (5-57), P.Neshek (1-H), J.Thatcher (0), C.Qualls (1-BSv), T.Sipp (0), L.Gregerson (1), W.Harris (0-W), S.Deduno (2-Sv)"
20150413,OAK,AL,8,HOU,AL,7,8,1,54,HOU03,19279,310040000,100000,37,12,2,0,3,8,0,0,0,2,0,4,0,0,3,0,4,4,1,1,0,0,27,10,0,0,1,0,31,5,1,0,1,1,0,0,0,4,0,11,0,0,1,0,7,2,7,7,0,0,27,13,2,0,3,0,kazms001,felds001,,kazms001,felds001,,7,Apr 13,1,OAK,"L,1-8",9,12,8,7,1,2,4,3,0,2.82,39,156,103,0,0,0,0,37,2,0,0,0,0,1,3,2,Tim Timmons,"S.Feldman (4-16-L), A.Wojciechowski (3)"
20150414,OAK,AL,9,HOU,AL,8,4,0,54,HOU03,18935,100002001,0,31,7,3,0,0,4,0,1,2,2,0,7,1,0,2,0,5,5,0,0,0,0,27,13,0,0,2,0,33,8,0,0,0,0,0,0,1,4,0,7,0,0,2,0,11,4,4,4,0,0,27,11,0,0,2,0,gravk001,peacb001,,gravk001,peacb001,,8,Apr 14,1,OAK,"L,0-4",9,7,4,4,0,2,7,0,2,2.96,36,143,91,1,1,1,0,31,3,0,0,0,1,0,2,4,Todd Tichenor,"B.Peacock (99-46-L), J.Thatcher (1), P.Neshek (1), S.Deduno (1)"
20150415,OAK,AL,10,HOU,AL,9,1,6,51,HOU03,19777,10000000,20101011x,35,8,1,1,0,1,0,0,0,0,0,13,1,0,0,0,7,3,6,6,0,0,24,6,0,0,0,0,30,8,2,1,3,6,0,0,0,2,0,11,1,0,0,0,2,4,1,1,0,0,27,7,0,0,0,0,mchuc001,pomed001,,pomed001,mchuc001,,9,Apr 15,1,OAK,"W,6-1",9,8,1,1,0,0,13,0,0,2.75,35,140,99,1,0,1,0,35,1,1,0,0,0,0,0,4,Tim Welke,"C.McHugh (4-64-W), T.Sipp (2-H), C.Qualls (2), L.Gregerson (2)"
20150417,ANA,AL,10,HOU,AL,10,6,3,54,HOU03,22660,102030,11100,31,6,0,1,2,6,0,1,0,3,0,9,0,0,1,0,2,6,3,3,0,0,27,11,1,0,1,0,34,8,1,0,1,3,0,1,0,1,0,5,1,0,1,0,6,4,6,6,0,0,27,14,0,0,1,0,ramoc001,qualc001,streh001,weavj003,carmf001,,10,Apr 17,1,LAA,"L,3-6",9,6,6,6,0,3,9,2,0,3.06,35,149,91,0,0,0,0,31,0,1,0,0,1,0,1,4,Toby Basner,"R.Hernandez (5-59), W.Harris (4), C.Qualls (1-L), S.Deduno (2)"
