Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20120406,KCA,AL,1,ANA,AL,1,0,5,51,ANA01,44106,0,00000005x,31,4,1,0,0,0,0,0,0,0,0,11,0,0,0,0,4,3,5,5,1,0,24,9,0,0,2,0,31,9,1,1,0,5,0,0,0,1,1,8,0,1,1,0,3,2,0,0,0,0,27,8,2,0,0,0,weavj003,crowa001,,chenb001,weavj003,,1,Apr 6,@,LAA,"L,0-5",8,9,5,5,0,1,8,0,0,5.62,32,124,87,3,3,0,1,31,1,1,1,0,0,0,1,3,Jerry Layne,"B.Chen (99-70), A.Crow (99-L), G.Holland (99)"
20120407,KCA,AL,2,ANA,AL,2,6,3,54,ANA01,40022,210011010,201,35,12,3,0,2,5,1,1,0,2,0,9,1,0,1,0,6,4,3,3,0,0,27,11,1,0,2,0,31,9,3,0,0,3,0,1,0,2,0,6,0,0,2,0,4,5,5,5,0,0,27,8,1,0,1,0,hochl001,hared001,,hochl001,hared001,,2,Apr 7,@,LAA,"W,6-3",9,9,3,3,0,2,6,0,0,4.24,34,129,83,2,2,0,0,31,3,0,0,0,1,0,2,4,Bob Davidson,"L.Hochevar (99-57-W), T.Collins (99), G.Holland (0), J.Broxton (99)"
20120408,KCA,AL,3,ANA,AL,3,7,3,54,ANA01,32227,300021100,101000010,36,10,2,0,2,7,0,0,1,2,0,5,2,0,0,0,5,5,3,3,2,1,27,11,1,0,1,0,38,11,3,0,1,3,0,0,0,4,0,10,0,0,1,0,12,5,6,6,2,0,27,13,1,0,1,0,sancj002,sante001,broxj001,sancj002,sante001,,3,Apr 8,@,LAA,"W,7-3",9,11,3,3,0,4,10,1,0,3.81,42,175,105,4,0,0,0,38,3,0,0,0,0,0,1,5,Hunter Wendelstedt,"J.Sanchez (99-52-W), J.Mijares (99), K.Herrera (99), A.Crow (1-H), J.Broxton (0-Sv)"
20120409,KCA,AL,4,OAK,AL,5,0,1,51,OAK01,10054,0,01000000x,27,3,3,0,0,0,0,0,0,4,0,1,0,2,0,0,4,3,1,1,1,0,24,11,1,0,1,0,29,7,0,0,0,1,0,0,0,5,0,4,1,0,1,0,9,2,0,0,0,0,27,12,0,0,1,0,milot001,mendl001,balfg001,mendl001,milot001,,4,Apr 9,@,OAK,"L,0-1",8,7,1,1,0,5,4,0,0,3.18,34,140,83,2,0,1,0,29,0,0,0,0,0,0,1,3,James Hoye,"L.Mendoza (99-53-L), T.Collins (1), J.Mijares (0)"
20120410,KCA,AL,5,OAK,AL,6,3,0,44,OAK01,10670,20010,0000000x,27,7,2,0,1,3,0,1,0,2,0,3,0,2,0,0,4,2,0,0,0,0,21,6,0,0,1,0,20,1,1,0,0,0,0,0,0,4,0,10,0,0,0,0,3,3,3,3,0,0,23,9,0,0,1,0,duffd001,godfg001,crowa001,duffd001,godfg001,,5,Apr 10,@,OAK,"W,3-0",7,1,0,0,0,4,10,0,0,2.63,24,114,69,0,0,0,0,20,1,0,0,0,0,0,0,2,Jim Joyce,"D.Duffy (99-74-W), A.Crow (1-Sv)"
20120411,KCA,AL,6,OAK,AL,7,4,5,71,OAK01,12390,1100100001,10200000002,47,10,3,0,2,4,0,0,0,3,0,8,0,0,0,0,10,6,2,2,0,0,35,9,2,0,0,0,42,6,3,0,1,4,0,0,3,5,0,12,2,0,0,0,10,6,4,4,0,0,36,9,1,0,0,0,caria001,broxj001,,chenb001,mccab001,,6,Apr 11,@,OAK,"L,4-5",11.2,6,5,2,3,5,12,1,3,2.39,50,207,132,1,0,2,0,42,3,0,0,0,0,1,0,6,Jim Reynolds,"B.Chen (4-50), K.Herrera (2), J.Mijares (1), G.Holland (3), T.Collins (1), J.Broxton (2-BL)"
20120413,CLE,AL,6,KCA,AL,7,8,3,54,KAN06,40230,700000001,100200000,38,11,2,1,1,8,0,0,0,3,0,8,2,0,1,0,6,4,3,3,2,0,27,12,0,0,3,0,36,12,2,0,0,3,0,0,0,1,0,5,0,0,3,0,7,3,8,8,1,0,27,5,1,0,1,0,lowed001,hochl001,,lowed001,hochl001,,7,Apr 13,1,CLE,"L,3-8",9,11,8,8,0,3,8,1,0,3.21,41,156,103,0,0,2,0,38,2,1,0,0,0,1,1,3,Paul Emmel,"L.Hochevar (5-18-L), E.Teaford (99), K.Herrera (1)"
20120414,CLE,AL,7,KCA,AL,8,11,9,60,KAN06,21788,51300002,20222100,42,14,4,1,2,11,0,1,1,6,2,6,1,1,0,0,9,8,8,8,1,0,30,15,2,0,2,0,39,11,5,1,1,8,0,1,1,1,0,4,0,1,2,0,3,7,11,11,0,0,30,14,0,0,0,0,valdl001,hollg001,perec002,gomej002,sancj002,,8,Apr 14,1,CLE,"L,9-11",10,14,11,11,0,6,6,2,1,4.14,50,193,116,3,0,1,1,42,4,1,2,0,1,0,0,7,Gary Darling,"J.Sanchez (5-23), T.Collins (2), K.Herrera (0), J.Mijares (2), A.Crow (3), J.Broxton (2), G.Holland (2-L)"
20120415,CLE,AL,8,KCA,AL,9,13,7,54,KAN06,21182,6040030,30101002,40,15,3,0,4,13,0,0,0,7,1,6,1,0,2,0,7,5,7,7,2,1,27,10,0,0,0,0,40,13,4,1,0,7,0,0,0,4,0,7,1,0,0,0,10,4,9,9,0,0,27,11,1,0,2,0,jimeu001,mendl001,,jimeu001,mendl001,,9,Apr 15,1,CLE,"L,7-13",9,15,13,9,4,7,6,4,0,4.69,47,185,109,2,2,1,0,40,3,0,1,0,0,0,2,4,Jerry Meals,"L.Mendoza (5-13-L), J.Mijares (0), L.Coleman (99), M.Maier (99)"
20120416,DET,AL,10,KCA,AL,10,3,2,54,KAN06,14039,100020000,100000001,32,7,2,0,2,3,0,0,0,3,1,9,0,0,1,0,5,1,2,2,0,0,27,12,0,0,0,0,33,7,1,0,0,2,1,0,1,2,0,9,2,0,0,0,8,3,3,3,0,0,27,9,0,0,1,0,verlj001,duffd001,,verlj001,duffd001,,10,Apr 16,1,DET,"L,2-3",9,7,3,3,0,3,9,2,0,4.52,35,135,89,1,0,0,0,32,2,0,1,0,0,0,1,3,Wally Bell,"D.Duffy (5-54-L), A.Crow (1), G.Holland (1)"
