Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,CHA,AL,1,KCA,AL,1,1,10,51,KAN06,40085,100,01201051x,28,5,1,0,1,1,0,0,1,2,0,3,0,0,3,0,3,3,10,10,1,0,24,7,0,0,2,0,34,13,3,0,2,9,1,0,2,5,1,3,2,0,1,0,8,4,1,1,0,0,27,16,0,0,3,0,venty001,samaj001,,samaj001,venty001,1,Apr 6,1,CHW,"W,10-1",9,5,1,1,0,2,3,1,1,1,31,115,76,0,0,0,0,28,1,0,0,0,0,0,3,4,Jerry Layne,"Y.Ventura (99-61-W), K.Herrera (99-H), W.Davis (99), R.Madson (99)"
20150408,CHA,AL,2,KCA,AL,2,5,7,51,KAN06,23385,30101000,10301002x,34,10,3,0,1,5,0,1,0,0,0,10,0,1,0,0,3,4,7,7,0,0,24,10,0,0,1,0,37,14,1,0,2,7,0,0,2,2,0,5,2,0,1,0,10,5,5,5,0,0,27,9,0,0,0,0,daviw001,putnz001,hollg001,quinj001,duffd001,2,Apr 8,1,CHW,"W,7-5",9,10,5,5,0,0,10,1,0,3,35,121,93,2,1,0,1,34,3,0,0,0,1,0,0,5,Hunter Wendelstedt,"D.Duffy (99-36), J.Frasor (99-BSv), K.Herrera (1), W.Davis (1-W), G.Holland (99-Sv)"
20150409,CHA,AL,3,KCA,AL,3,1,4,51,KAN06,20236,100,10000300x,30,4,2,0,0,1,0,0,1,1,0,7,0,0,0,0,4,4,4,4,1,0,24,10,1,0,0,0,31,8,3,1,1,4,2,0,0,2,0,2,2,0,0,0,7,2,1,1,0,0,27,11,0,0,1,0,volqe001,dankj001,hollg001,dankj001,volqe001,3,Apr 9,1,CHW,"W,4-1",9,4,1,1,0,1,7,0,1,2.33,32,105,66,0,0,0,0,30,2,0,0,0,0,0,0,2,Bob Davidson,"E.Volquez (99-74-W), G.Holland (0-Sv)"
20150410,KCA,AL,4,ANA,AL,4,4,2,54,ANA01,44489,100011001,1001000,35,9,1,0,1,4,1,0,3,2,0,6,0,0,0,0,10,4,2,2,0,0,27,10,0,0,1,0,33,7,2,0,1,2,0,0,0,2,0,9,0,0,1,0,6,6,4,4,0,0,27,8,2,0,0,0,vargj001,santh001,daviw001,vargj001,santh001,4,Apr 10,@,LAA,"W,4-2",9,7,2,2,0,2,9,1,0,2.25,35,150,94,0,0,0,0,33,2,0,0,0,0,0,1,4,Bill Miller,"J.Vargas (99-56-W), J.Frasor (1-H), K.Herrera (1-H), W.Davis (1-Sv)"
20150411,KCA,AL,5,ANA,AL,5,6,4,54,ANA01,44154,510000,100030000,36,12,1,0,2,6,0,0,2,4,0,8,1,2,1,0,9,3,4,4,0,0,27,11,0,0,0,0,32,6,1,0,1,4,0,0,0,1,0,3,0,1,0,0,2,5,6,6,0,0,27,10,0,0,1,0,guthj001,weavj003,hollg001,guthj001,weavj003,5,Apr 11,@,LAA,"W,6-4",9,6,4,4,0,1,3,1,0,2.6,33,113,76,0,0,0,1,32,1,0,0,0,0,0,0,3,Doug Eddings,"J.Guthrie (99-50-W), W.Davis (0-H), G.Holland (1-Sv)"
20150412,KCA,AL,6,ANA,AL,6,9,2,54,ANA01,37060,40021200,100001000,41,14,3,2,1,9,0,1,1,1,1,9,0,0,1,0,8,3,2,2,0,0,27,9,1,0,1,0,30,5,1,0,1,1,0,0,0,3,0,9,0,1,1,0,4,4,8,8,1,0,27,6,1,0,1,0,venty001,wilsc004,,venty001,wilsc004,6,Apr 12,@,LAA,"W,9-2",9,5,2,2,0,3,9,1,0,2.5,33,129,77,1,0,0,1,30,1,0,0,0,0,0,1,3,Jim Wolf,"Y.Ventura (5-58-W), J.Frasor (1), C.Young (99)"
20150413,KCA,AL,7,MIN,AL,7,12,3,54,MIN04,40123,11003061,100001100,38,13,3,0,1,10,0,2,2,4,1,5,0,0,1,0,7,3,3,3,0,0,27,9,0,0,2,0,31,7,2,0,1,3,0,1,0,1,0,7,0,0,2,0,3,6,10,10,0,0,27,12,2,1,1,0,duffd001,may-t001,,duffd001,may-t001,7,Apr 13,@,MIN,"W,12-3",9,7,3,3,0,1,7,1,0,2.57,33,125,88,0,0,0,0,31,2,0,0,0,1,0,2,3,Paul Nauert,"D.Duffy (4-51-W), R.Madson (6-H), F.Morales (99)"
20150415,KCA,AL,8,MIN,AL,8,1,3,51,MIN04,21362,100000,10020000x,34,9,0,0,0,1,0,0,1,0,0,5,0,0,2,0,7,2,3,3,0,0,24,9,1,0,0,0,28,5,0,0,1,3,0,1,0,1,0,7,0,1,0,0,3,4,1,1,0,0,27,13,0,0,2,0,gibsk002,volqe001,perkg001,volqe001,gibsk002,8,Apr 15,@,MIN,"L,1-3",8,5,3,3,0,1,7,1,0,2.66,30,109,80,1,0,0,1,28,0,0,0,0,1,1,0,2,Mike Estabrook,"E.Volquez (5-63-L), F.Morales (1)"
20150416,KCA,AL,9,MIN,AL,9,5,8,51,MIN04,17449,201000002,02210003x,37,10,3,0,1,5,1,0,0,4,0,3,1,0,0,0,10,4,7,7,1,0,24,7,1,0,1,0,37,14,2,0,2,7,0,1,0,2,0,2,0,0,1,0,8,6,5,5,2,0,27,12,2,0,0,0,milot001,vargj001,perkg001,vargj001,milot001,9,Apr 16,@,MIN,"L,5-8",8,14,8,7,1,2,2,2,0,3.19,40,138,94,3,0,0,0,37,2,0,0,0,1,1,1,4,Dana DeMuth,"J.Vargas (5-21-L), J.Frasor (3), C.Young (3), R.Madson (2)"
20150417,OAK,AL,11,KCA,AL,10,4,6,51,KAN06,39228,10200100,00300102x,33,8,2,0,3,4,1,0,0,2,0,4,2,0,1,0,5,3,6,6,0,0,24,12,0,0,2,0,36,15,1,1,0,6,0,1,0,1,0,5,1,0,2,0,8,4,4,4,0,0,27,11,0,0,1,0,daviw001,oterd001,hollg001,grays001,guthj001,10,Apr 17,1,OAK,"W,6-4",9,8,4,4,0,2,4,3,0,3.27,36,111,71,0,0,2,0,33,2,0,0,1,0,0,1,4,Chad Fairchild,"J.Guthrie (5-44), K.Herrera (6), W.Davis (5-W), G.Holland (5-Sv)"
