Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20160404","LAN","NL",1,"SDN","NL",1,15,0,54,"SAN02",44317,"201005340","000000000",42,17,7,1,0,13,0,1,2,4,0,10,0,0,0,0,7,3,0,0,0,0,27,6,0,0,0,0,31,4,1,0,0,0,0,0,0,2,0,10,0,0,0,0,6,5,14,14,2,0,27,10,2,0,0,0,"kersc001","rosst001","","kersc001","rosst001",
"20160405","LAN","NL",2,"SDN","NL",2,3,0,54,"SAN02",28329,"000300000","000000000",33,6,2,1,0,3,0,0,0,2,0,10,1,0,1,0,5,4,0,0,0,0,27,9,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,4,3,3,1,0,27,7,1,0,1,0,"kazms001","shiej002","jansk001","kazms001","shiej002",
"20160406","LAN","NL",3,"SDN","NL",3,7,0,54,"SAN02",30054,"400100011","000000000",36,11,1,1,2,7,0,1,0,3,0,9,0,0,1,0,6,4,0,0,0,0,27,14,1,0,0,0,32,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,4,7,7,0,0,27,8,0,0,1,0,"maedk001","casha001","","maedk001","casha001",
"20160407","LAN","NL",4,"SFN","NL",4,6,12,51,"SFO03",41940,"021010020","00003405x",39,13,3,0,1,6,0,0,0,0,0,5,0,0,1,0,6,5,12,12,1,0,24,10,1,0,1,0,39,17,2,1,1,12,1,0,0,3,0,6,0,0,1,0,7,5,6,6,0,0,27,10,0,0,1,0,"hestc001","wooda002","","wooda002","peavj001",
"20160408","LAN","NL",5,"SFN","NL",5,2,3,57,"SFO03",41742,"0000200000","0000000201",38,9,1,0,0,2,0,0,0,2,0,5,1,0,1,0,8,4,3,3,0,0,27,12,0,0,1,0,28,2,0,0,2,3,0,0,0,5,0,6,0,0,1,0,3,6,2,2,0,0,30,14,0,0,1,0,"garcj002","blanj001","","strir001","cainm001",
"20160409","LAN","NL",6,"SFN","NL",6,3,2,60,"SFO03",41224,"0010000011","0100100000",41,10,6,0,0,3,0,0,2,3,1,11,0,0,0,0,13,3,2,2,0,0,30,9,0,0,0,0,35,5,0,0,2,2,0,0,0,2,1,9,1,0,0,0,5,7,3,3,0,0,30,7,1,0,0,0,"hatcc002","kontg001","jansk001","kersc001","bumgm001",
"20160410","LAN","NL",7,"SFN","NL",7,6,9,51,"SFO03",41656,"500100000","20310300x",35,10,1,0,0,6,1,1,1,3,0,9,0,0,0,0,8,5,9,9,0,0,24,12,0,0,1,0,34,12,3,0,3,9,0,1,1,3,0,4,0,0,0,0,6,4,6,6,0,0,27,5,0,0,0,0,"cuetj001","colel001","garcj002","kazms001","cuetj001",
"20160412","ARI","NL",8,"LAN","NL",8,4,2,54,"LOS03",53279,"000000112","010000001",35,9,3,1,2,4,0,0,2,3,1,6,0,1,0,0,9,4,2,2,0,0,27,10,0,0,1,0,34,9,2,0,0,2,1,0,1,1,0,4,0,0,1,0,8,4,4,4,1,0,27,11,1,0,0,0,"clipt001","hatcc002","ziegb001","corbp001","maedk001",
"20160413","ARI","NL",9,"LAN","NL",9,1,3,51,"LOS03",44244,"001000000","00012000x",29,5,0,0,1,1,0,0,0,4,0,5,0,1,1,0,5,5,2,2,0,0,24,12,3,0,2,0,31,7,1,0,1,2,0,0,3,1,0,8,0,1,0,0,8,3,1,1,0,0,27,15,0,0,1,0,"wooda002","delar003","jansk001","delar003","wooda002",
"20160414","ARI","NL",10,"LAN","NL",10,2,5,51,"LOS03",40879,"000011000","00000050x",32,6,2,0,0,2,0,0,0,1,0,9,1,0,1,0,4,4,5,5,0,0,24,10,1,0,3,0,29,8,1,0,0,5,0,0,0,5,0,6,0,0,3,0,5,4,2,2,0,0,27,16,0,0,1,0,"howej003","delgr001","jansk001","ray-r002","strir001",
