Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20130401","MIA","NL",1,"WAS","NL",1,0,2,51,"WAS11",45274,"000000000","10010000x",29,3,1,0,0,0,0,0,0,1,0,6,0,0,0,0,3,3,2,2,0,0,24,8,0,0,1,0,26,5,0,0,2,2,2,0,0,2,0,5,0,0,1,0,4,3,0,0,0,0,27,12,0,0,1,0,"stras001","nolar001","sorir001","nolar001","stras001",
"20130403","MIA","NL",2,"WAS","NL",2,0,3,51,"WAS11",26269,"000000000","00001011x",28,4,1,0,0,0,1,0,0,3,0,8,0,1,2,0,5,3,2,2,2,0,24,7,1,0,1,0,28,6,2,1,1,3,1,0,1,4,0,6,0,1,1,0,7,4,0,0,0,0,27,10,1,0,2,0,"gonzg003","slowk001","sorir001","slowk001","gonzg003",
"20130404","MIA","NL",3,"WAS","NL",3,1,6,51,"WAS11",25123,"010000000","20100030x",33,8,0,0,1,1,0,0,0,3,0,3,0,0,2,0,8,4,5,5,1,0,24,7,2,0,0,0,31,9,1,0,1,6,1,0,0,3,0,8,0,1,0,0,5,4,1,1,0,0,27,12,0,0,2,0,"zimmj003","leblw001","","leblw001","zimmj003",
"20130405","MIA","NL",4,"NYN","NL",4,7,5,54,"NYC20",24935,"010000501","000000302",37,11,4,0,1,7,1,1,0,3,1,5,2,0,0,0,8,5,5,5,0,0,27,11,0,1,1,0,35,10,2,0,1,5,0,0,2,7,0,5,1,0,1,0,12,5,4,3,0,0,27,14,1,1,0,0,"sanaa001","hefnj001","","sanaa001","hefnj001",
"20130406","MIA","NL",5,"NYN","NL",5,3,7,51,"NYC20",28474,"100010100","10000231x",36,11,0,0,0,2,0,0,0,2,0,8,0,0,1,0,8,3,6,6,0,0,24,9,2,0,1,0,30,9,1,1,1,7,0,2,0,5,1,4,2,0,1,0,6,5,2,2,0,0,27,15,1,0,1,0,"lyonb003","webbr001","","nolar001","niesj001",
"20130407","MIA","NL",6,"NYN","NL",6,3,4,52,"NYC20",29780,"001200000","000011002",36,13,4,0,0,3,1,0,1,4,0,10,0,0,2,0,12,5,4,4,0,0,25,2,0,0,0,0,31,6,1,0,1,4,0,0,1,4,0,13,1,0,0,0,7,6,3,3,0,1,27,13,0,0,2,0,"rices001","cishs001","","fernj003","laffa001",
"20130408","ATL","NL",7,"MIA","NL",7,2,0,54,"MIA02",34439,"000101000","000000000",36,10,1,0,1,2,1,0,0,0,0,6,0,0,0,0,8,3,0,0,0,0,27,14,1,0,1,0,29,2,0,0,0,0,0,0,1,4,0,8,0,0,1,0,7,3,2,2,0,0,27,8,0,0,0,0,"mahop002","slowk001","kimbc001","mahop002","slowk001",
"20130409","ATL","NL",8,"MIA","NL",8,3,2,54,"MIA02",14222,"200000010","010000010",35,8,3,0,1,3,0,0,0,1,0,9,0,0,0,0,6,3,1,1,0,0,27,16,1,0,2,0,29,4,1,0,0,2,0,1,0,5,1,2,1,0,1,0,6,3,3,3,0,0,27,5,1,0,0,0,"medlk001","leblw001","kimbc001","medlk001","leblw001",
"20130410","ATL","NL",9,"MIA","NL",9,8,0,54,"MIA02",13810,"000061001","000000000",37,13,1,0,2,8,1,1,0,5,0,6,1,0,2,0,9,3,0,0,0,0,27,9,0,0,1,0,33,7,2,0,0,0,0,0,0,2,0,6,0,0,1,0,8,4,8,8,0,0,27,12,2,0,2,0,"minom001","sanaa001","","minom001","sanaa001",
"20130412","PHI","NL",10,"MIA","NL",10,3,1,60,"MIA02",17923,"0000010002","0000010000",38,10,4,1,0,3,2,0,0,2,2,4,0,1,0,0,9,5,1,1,0,0,30,13,0,0,2,0,31,4,0,0,0,1,0,0,1,3,0,5,1,0,2,0,4,5,3,3,0,0,30,13,1,0,0,0,"aumop001","raucj001","papej001","lannj001","nolar001",
"20130413","PHI","NL",11,"MIA","NL",11,1,2,52,"MIA02",20037,"000000100","000010001",32,5,1,0,0,0,0,0,0,4,0,8,0,0,0,0,8,4,1,1,0,0,25,7,1,0,1,0,28,4,0,1,0,1,1,0,0,4,0,9,1,0,1,0,6,5,1,1,0,0,27,11,2,0,0,0,"cishs001","aumop001","","hamec001","fernj003",
"20130414","PHI","NL",12,"MIA","NL",12,2,1,54,"MIA02",21412,"000001001","000000100",35,12,2,0,1,2,0,0,1,3,1,5,1,1,3,0,10,2,1,1,0,0,27,11,0,0,1,0,29,5,1,0,0,1,2,0,0,2,0,2,0,0,0,0,5,3,2,2,0,0,27,12,0,0,4,0,"hallr001","raucj001","papej001","hallr001","slowk001",
"20130415","WAS","NL",13,"MIA","NL",13,10,3,54,"MIA02",15933,"402220000","000002100",40,16,5,0,1,10,1,0,0,2,1,8,0,0,0,0,6,1,3,3,0,0,27,15,0,0,1,0,31,6,2,0,0,3,1,0,1,1,0,6,0,0,1,0,4,4,10,10,0,0,27,13,0,0,0,0,"zimmj003","leblw001","","zimmj003","leblw001",
"20130416","WAS","NL",14,"MIA","NL",14,2,8,51,"MIA02",16200,"000002000","00043010x",33,8,4,0,0,2,0,0,0,3,1,4,0,0,2,0,7,4,4,4,0,0,24,9,1,0,1,0,35,11,1,0,1,8,0,0,0,1,0,3,2,0,1,0,4,3,2,2,0,0,27,14,0,0,2,0,"sanaa001","hared001","","hared001","sanaa001",
"20130417","WAS","NL",15,"MIA","NL",15,6,1,54,"MIA02",22302,"020011101","000010000",38,11,1,1,1,6,0,1,0,1,0,10,1,0,0,0,7,3,1,1,0,0,27,10,1,0,0,0,35,7,2,0,0,1,0,0,0,0,0,8,0,0,0,0,7,4,5,5,0,0,27,7,1,0,0,0,"detwr001","nolar001","","detwr001","nolar001",
"20130418","MIA","NL",16,"CIN","NL",16,1,11,51,"CIN09",14916,"000100000","00144200x",31,6,1,0,1,1,1,0,0,3,0,12,0,0,1,0,7,4,11,11,2,0,24,9,2,0,1,0,34,12,1,0,1,8,0,1,0,8,1,11,0,0,1,0,8,5,1,1,0,0,27,9,0,0,1,0,"cingt001","fernj003","","fernj003","cingt001",
"20130419","MIA","NL",17,"CIN","NL",17,2,1,54,"CIN09",26112,"001000001","100000000",32,7,1,0,1,2,1,0,0,1,0,12,0,0,0,0,5,4,1,1,0,0,27,7,0,0,1,0,29,5,1,1,0,1,0,1,0,2,0,8,0,1,1,0,4,3,2,2,0,0,27,11,0,0,0,0,"dunnm002","chapa001","cishs001","slowk001","latom001",
"20130420","MIA","NL",18,"CIN","NL",18,2,3,77,"CIN09",35645,"0000200000000","0011000000001",44,8,2,0,0,2,2,0,0,2,1,10,1,0,0,0,7,7,3,3,0,0,38,11,0,0,1,0,48,13,2,0,1,3,1,1,0,8,2,14,1,1,0,0,17,5,2,2,0,0,39,11,1,0,1,0,"simoa001","cishs001","","leblw001","arrob001",
"20130421","MIA","NL",19,"CIN","NL",19,6,10,51,"CIN09",28882,"010001004","10100080x",36,11,3,0,1,6,2,0,0,3,0,14,0,0,0,0,8,3,10,10,0,0,24,6,2,0,1,0,33,11,3,0,1,8,1,0,2,6,0,5,0,0,1,0,8,4,6,6,0,0,27,9,0,0,0,0,"ondrl001","sanaa001","","sanaa001","bailh001",
"20130423","MIA","NL",20,"MIN","AL",16,3,4,51,"MIN04",25716,"000200010","10030000x",32,6,2,0,0,3,0,0,2,1,0,8,0,0,1,0,5,2,4,4,0,1,24,5,0,0,1,0,30,7,0,1,1,4,0,0,1,3,0,3,1,0,1,0,6,3,3,3,0,0,27,9,0,0,1,0,"corrk001","fernj003","perkg001","fernj003","corrk001",
"20130423","MIA","NL",21,"MIN","AL",17,8,5,54,"MIN04",23300,"310010210","003001010",42,16,4,0,0,8,0,0,0,2,0,2,0,0,0,0,9,4,4,4,1,0,27,5,1,1,1,0,35,9,1,1,0,3,0,1,0,4,0,8,0,0,1,0,8,4,8,8,0,0,27,12,0,0,1,0,"nolar001","pelfm001","cishs001","nolar001","pelfm001",
"20130425","CHN","NL",21,"MIA","NL",22,4,3,54,"MIA02",15394,"100101001","120000000",34,6,3,0,2,4,0,0,1,0,0,9,0,0,0,0,4,4,3,3,0,0,27,10,0,0,0,0,31,6,0,0,0,3,2,0,1,5,1,5,2,0,0,0,9,4,4,4,0,0,27,8,1,0,0,0,"camps002","cishs001","marmc001","jacke001","slowk001",
"20130426","CHN","NL",22,"MIA","NL",23,4,2,54,"MIA02",16017,"202000000","000100100",35,10,2,0,2,4,0,0,1,1,0,3,1,1,0,0,6,4,2,2,1,0,27,10,0,0,2,0,33,9,2,0,1,2,0,1,0,2,0,4,0,0,2,0,7,3,4,4,0,0,27,8,0,0,0,0,"felds001","leblw001","gregk001","felds001","leblw001",
"20130427","CHN","NL",23,"MIA","NL",24,3,2,54,"MIA02",27519,"110000100","110000000",32,8,3,0,0,2,0,0,0,4,0,5,0,1,2,0,6,5,2,2,1,0,27,10,0,0,1,0,31,5,0,0,2,2,0,0,0,3,0,6,0,0,1,0,5,4,3,3,1,0,27,12,1,0,2,0,"woodt004","sanaa001","gregk001","woodt004","sanaa001",
"20130428","CHN","NL",24,"MIA","NL",25,4,6,51,"MIA02",19817,"102000001","20000211x",34,7,2,0,1,4,0,0,0,2,0,2,0,0,0,0,5,2,6,6,0,0,24,11,0,0,0,0,30,7,1,0,3,6,0,0,0,3,1,8,1,1,0,0,3,3,4,4,0,0,27,13,0,0,0,0,"nolar001","villc001","cishs001","villc001","nolar001",
"20130429","NYN","NL",24,"MIA","NL",26,3,4,89,"MIA02",15605,"000200000000001","001000001000002",54,11,2,0,1,3,2,0,0,6,2,16,1,0,1,0,14,9,4,4,0,0,44,20,0,0,5,0,52,16,2,0,0,3,1,2,1,6,1,9,2,0,5,0,14,7,3,3,2,0,45,18,1,0,1,0,"raucj001","marcs001","","harvm001","fernj003",
"20130430","NYN","NL",25,"MIA","NL",27,1,2,51,"MIA02",15018,"000010000","000000002",29,4,2,0,0,1,0,1,0,0,0,8,0,0,1,0,2,2,2,2,1,0,24,11,0,1,2,0,27,5,0,0,0,1,1,0,1,1,1,8,0,0,2,0,4,2,1,1,0,0,27,8,0,0,1,0,"webbr001","hefnj001","","hefnj001","slowk001",
"20130501","NYN","NL",26,"MIA","NL",28,7,6,54,"MIA02",16188,"000104200","300100200",39,13,2,0,2,7,0,0,1,3,0,9,0,1,1,0,9,5,4,4,0,0,27,18,2,0,1,0,38,13,3,0,0,4,0,0,0,2,0,2,0,0,1,0,7,5,7,7,0,0,27,13,1,0,1,0,"gee-d001","ramoa001","parnb001","gee-d001","leblw001",
