Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20130401,COL,NL,1,MIL,NL,1,4,5,59,MIL06,45781,20100010,10000301,40,12,0,0,3,4,0,0,0,1,0,11,0,0,1,0,7,5,5,5,0,0,29,12,0,0,0,0,34,8,1,0,1,5,0,1,1,5,1,8,1,1,0,0,7,5,4,4,0,0,30,11,0,0,1,0,hendj001,ottaa001,,chacj001,gally001,,1,Apr 1,1,COL,"W,5-4",10,12,4,4,0,1,11,3,0,3.6,41,158,96,0,0,0,0,40,0,0,0,0,0,0,1,5,Wally Bell,"Y.Gallardo (99-37), A.Figaro (99), B.Badenhop (99), J.Axford (99-BSv), J.Henderson (99-W)"
20130402,COL,NL,2,MIL,NL,2,8,4,54,MIL06,24753,11020310,22000000,38,14,0,0,2,8,0,2,0,2,0,11,0,0,1,0,7,6,4,4,0,0,27,10,2,0,3,0,34,9,2,0,1,4,0,0,0,4,1,5,0,0,2,0,7,6,8,8,2,0,27,4,0,0,1,0,escae001,gonzm001,betar001,delaj001,estrm001,,2,Apr 2,1,COL,"L,4-8",9,14,8,8,0,2,11,2,0,5.68,42,155,100,3,3,0,0,38,0,0,0,0,2,0,1,6,Larry Vanover,"M.Estrada (99-41), B.Kintzler (99), M.Gonzalez (99-L), B.Badenhop (0), T.Gorzelanny (99), C.Narveson (99)"
20130403,COL,NL,3,MIL,NL,3,7,3,54,MIL06,25766,20020003,2000100,38,15,2,0,3,7,1,0,0,4,0,8,0,1,2,0,9,4,3,3,0,0,27,13,0,0,0,0,35,9,3,0,1,3,0,0,0,2,0,5,0,0,0,0,7,6,7,7,0,0,27,12,1,0,2,0,nicaj001,peraw001,,nicaj001,peraw001,,3,Apr 3,1,COL,"L,3-7",9,15,7,7,0,4,8,3,0,6.11,43,159,94,5,0,0,1,38,2,0,0,1,0,1,2,6,Tony Randazzo,"W.Peralta (99-41-L), A.Figaro (1), M.Gonzalez (0), J.Henderson (1), J.Axford (1), T.Gorzelanny (0)"
20130405,ARI,NL,4,MIL,NL,4,3,1,54,MIL06,24623,100200,100000,30,6,3,0,0,1,2,0,0,3,0,8,0,0,0,0,5,4,1,1,0,0,27,11,0,0,2,0,31,7,0,0,1,1,0,0,0,3,0,13,0,0,2,0,6,5,2,2,0,0,27,7,0,1,1,0,milew001,badeb001,putzj001,milew001,lohsk001,,4,Apr 5,1,ARI,"L,1-3",9,6,3,2,1,3,8,0,0,5.11,35,143,91,2,2,0,0,30,3,0,0,2,0,0,0,5,Chris Conroy,"K.Lohse (99-63), B.Badenhop (2-L), M.Gonzalez (1), T.Gorzelanny (1), B.Kintzler (2)"
20130406,ARI,NL,5,MIL,NL,5,9,2,54,MIL06,30115,100320210,110000000,43,16,2,0,3,8,0,0,0,3,0,3,0,0,1,1,11,4,2,2,0,0,27,15,0,0,2,0,34,10,2,0,0,2,0,1,0,1,0,5,0,0,2,0,7,4,7,7,1,0,27,11,3,0,1,0,corbp001,fierm001,,corbp001,fierm001,,5,Apr 6,1,ARI,"L,2-9",9,16,9,7,2,3,3,3,0,5.48,47,181,117,0,0,0,0,43,2,0,0,0,0,2,1,4,Sam Holbrook,"M.Fiers (99-25-L), C.Narveson (3), A.Figaro (2), B.Kintzler (0)"
20130407,ARI,NL,6,MIL,NL,6,8,7,66,MIL06,37733,200220002,210010201,43,14,3,0,2,8,1,1,0,3,0,9,0,1,0,0,7,6,7,7,1,0,33,9,0,0,2,0,47,16,3,0,1,7,0,0,2,1,0,12,1,0,1,0,10,6,8,8,0,0,33,13,0,0,1,0,sippt001,axfoj001,bellh001,kenni001,gally001,,6,Apr 7,1,ARI,"L,7-8",11,14,8,8,0,3,9,2,0,5.68,48,188,119,0,0,0,1,43,3,0,0,1,1,0,0,6,Paul Nauert,"Y.Gallardo (5-39), B.Badenhop (1), T.Gorzelanny (1), J.Henderson (3), J.Axford (3-L), M.Gonzalez (1)"
20130408,MIL,NL,7,CHN,NL,7,7,4,54,CHI11,40083,410000200,20000002,37,12,6,0,0,7,0,1,0,8,3,10,0,0,1,0,12,4,4,4,0,0,27,6,1,0,0,0,37,9,2,1,1,4,0,0,0,1,0,10,0,0,0,0,7,4,7,7,1,0,27,11,0,1,1,0,estrm001,jacke001,hendj001,estrm001,jacke001,,7,Apr 8,@,CHC,"W,7-4",9,9,4,4,0,1,10,1,0,5.45,38,156,106,2,1,0,0,37,2,1,0,0,0,1,0,4,Hunter Wendelstedt,"M.Estrada (5-64-W), T.Gorzelanny (0), B.Kintzler (1), J.Henderson (0-Sv)"
20130409,MIL,NL,8,CHN,NL,8,3,6,51,CHI11,30065,30000000,00001023x,37,9,2,1,0,2,0,0,0,3,0,8,2,0,1,0,10,4,5,5,1,0,24,12,1,0,0,0,32,9,3,0,0,6,1,1,0,4,1,5,0,0,0,0,8,4,2,2,0,0,27,8,3,0,1,0,marmc001,axfoj001,fujik001,peraw001,woodt004,,8,Apr 9,@,CHC,"L,3-6",8,9,6,5,1,4,5,0,0,5.47,38,123,74,5,4,0,0,32,3,0,1,1,1,1,0,4,Alan Porter,"W.Peralta (5-55), M.Gonzalez (1-BSv), J.Axford (1-L), A.Figaro (2)"
20130412,MIL,NL,9,SLN,NL,10,0,2,51,STL10,42528,0,01000010x,29,2,0,0,0,0,0,0,1,1,0,10,1,0,0,0,4,2,2,2,0,0,24,13,0,0,1,0,28,6,1,0,1,2,1,0,0,0,0,2,0,0,1,0,3,3,0,0,0,0,27,10,0,0,0,0,mills001,lohsk001,boggm001,lohsk001,mills001,,9,Apr 12,@,STL,"L,0-2",8,6,2,2,0,0,2,1,0,5.16,29,94,65,0,0,0,0,28,1,0,0,1,0,0,1,2,Bill Miller,"K.Lohse (6-59-L), T.Gorzelanny (3)"
20130413,MIL,NL,10,SLN,NL,11,0,8,51,STL10,44696,0,00100700x,31,4,2,0,0,0,0,0,0,0,0,12,0,0,0,0,4,5,5,5,1,0,24,8,1,0,1,0,34,10,1,0,0,7,0,0,1,0,0,5,0,0,1,0,3,1,0,0,1,0,27,8,0,0,0,0,waina001,gally001,,gally001,waina001,,10,Apr 13,@,STL,"L,0-8",8,10,8,5,3,0,5,0,1,5.2,35,127,89,4,3,0,0,34,1,0,0,0,0,1,1,5,CB Bucknor,"Y.Gallardo (5-35-L), B.Badenhop (5), M.Gonzalez (3), J.Axford (3), M.Fiers (6)"
20130414,MIL,NL,11,SLN,NL,12,4,3,60,STL10,42645,211,21000000,40,12,2,0,2,4,1,0,0,2,0,7,0,0,3,0,9,6,3,3,0,0,30,11,1,0,1,0,35,8,2,0,1,3,1,0,0,4,1,9,1,0,1,0,7,6,4,4,0,0,30,16,1,0,3,0,kintb001,salaf001,badeb001,estrm001,garcj004,,11,Apr 14,@,STL,"W,4-3",10,8,3,3,0,4,9,1,0,4.95,40,148,91,3,0,1,0,35,2,0,1,1,0,0,1,6,Todd Tichenor,"M.Estrada (5-52), T.Gorzelanny (1), J.Henderson (5), B.Kintzler (5-W), M.Gonzalez (0-H), B.Badenhop (0-Sv)"
20130416,SFN,NL,14,MIL,NL,12,8,10,51,MIL06,29075,3121001,01800001x,36,12,2,0,1,8,1,2,0,5,0,5,1,0,1,0,9,4,10,10,0,0,24,4,0,0,0,0,36,12,1,0,3,10,0,0,1,2,0,12,1,0,0,0,5,6,7,7,0,0,27,8,1,0,1,0,kintb001,zitob001,hendj001,zitob001,peraw001,,12,Apr 16,1,SFG,"W,10-8",9,12,8,7,1,5,5,1,0,5.12,44,180,104,6,2,1,0,36,2,0,0,1,2,1,1,6,Jordan Baker,"W.Peralta (6-24), M.Fiers (2), B.Kintzler (1-W), J.Axford (2-H), T.Gorzelanny (1-H), J.Henderson (1-Sv)"
