Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100405,COL,NL,1,MIL,NL,1,5,3,54,MIL06,45808,35,10,3,0,1,4,0,1,0,3,1,5,0,1,2,0,7,6,3,3,1,0,27,10,2,0,3,0,37,12,2,0,1,3,0,1,1,2,0,7,1,0,2,0,11,2,4,4,1,0,27,12,2,0,2,0,jimeu001,gally001,moraf001,jimeu001,gally001,,1,Apr 5,1,COL,"L,3-5",9.0,10,5,4,1,3,5,1,0,4.0,39,141,81,0,0,0,1,35,3,0,1,0,1,2,2,2,Jerry Crawford,"Y.Gallardo (99-52-L), C.Narveson (99)",0.2857142857142857,0.32432432432432434,0.3333333333333333,0.36585365853658536,0.45714285714285713,0.4594594594594595,0.7904761904761904,0.8253131179960449,0.0,,1.4444444444444444,0.1282051282051282,0.07692307692307693,0.3
20100406,COL,NL,2,MIL,NL,2,5,7,51,MIL06,37344,37,11,3,1,1,5,1,0,0,0,0,11,0,0,0,0,6,4,7,7,0,0,24,9,1,1,2,0,30,7,1,0,2,6,0,0,0,6,0,6,2,0,2,0,5,4,5,5,0,0,27,8,0,0,0,0,wolfr001,smitg002,hofft001,smitg002,wolfr001,,2,Apr 6,1,COL,"W,7-5",9.0,11,5,5,0,0,11,1,0,4.5,38,128,94,2,0,0,0,37,3,1,0,1,0,0,0,4,Brian O'Nora,"R.Wolf (99-48-W), M.Stetter (99-H), L.Hawkins (99-H), T.Hoffman (99-Sv)",0.2972972972972973,0.23333333333333334,0.2972972972972973,0.3611111111111111,0.5135135135135135,0.4666666666666667,0.8108108108108107,0.8277777777777777,1.0,0.0,1.2222222222222223,0.2894736842105263,0.0,0.4
20100407,COL,NL,3,MIL,NL,3,4,5,51,MIL06,35793,32,8,2,0,1,3,1,0,0,5,1,9,1,1,1,0,7,4,4,4,0,0,24,8,1,1,0,0,31,8,4,0,0,5,1,1,0,1,0,10,0,0,0,0,5,7,4,4,4,0,27,7,0,0,1,0,cofft001,cooka002,hofft001,cooka002,david002,,3,Apr 7,1,COL,"W,5-4",9.0,8,4,4,0,5,9,1,0,4.33,38,160,91,5,0,1,1,32,2,0,1,1,0,0,1,7,Phil Cuzzi,"D.Davis (99-35), T.Coffey (99-W), C.Narveson (1-H), M.Stetter (0-H), C.Villanueva (99-H), L.Hawkins (0-H), T.Hoffman (0-Sv)",0.25,0.25806451612903225,0.35135135135135137,0.2727272727272727,0.40625,0.3870967741935484,0.7576013513513513,0.6598240469208211,1.0,1.0,1.4444444444444444,0.23684210526315788,0.13157894736842105,0.3181818181818182
20100409,SLN,NL,4,MIL,NL,4,5,4,54,MIL06,34018,32,7,3,0,2,5,0,1,0,4,1,10,0,0,0,0,5,4,4,4,1,0,27,12,0,0,1,0,31,7,2,0,0,4,1,0,2,4,0,3,0,0,1,0,7,5,5,5,0,0,27,9,0,0,1,0,reyed001,hofft001,franr001,lohsk001,bushd001,,4,Apr 9,1,STL,"L,4-5",9.0,7,5,5,0,4,10,2,0,4.5,37,154,96,0,0,0,0,32,3,0,1,0,1,0,0,5,Jeff Kellogg,"D.Bush (99-53), C.Narveson (1-H), T.Coffey (1-H), L.Hawkins (1-H), T.Hoffman (1-BL)",0.21875,0.22580645161290322,0.2972972972972973,0.35135135135135137,0.5,0.2903225806451613,0.7972972972972974,0.6416739319965127,0.0,1.0,1.2222222222222223,0.2702702702702703,0.10810810810810811,0.23809523809523808
20100410,SLN,NL,5,MIL,NL,5,7,1,54,MIL06,42039,35,8,1,0,2,7,0,0,0,3,0,9,0,0,0,0,4,3,1,1,0,0,27,15,0,0,0,0,31,4,1,0,0,1,0,0,0,4,0,7,0,0,0,0,7,4,7,7,1,0,27,12,1,0,0,0,garcj004,gally001,,garcj004,gally001,,5,Apr 10,1,STL,"L,1-7",9.0,8,7,7,0,3,9,2,0,5.0,38,146,85,0,0,0,0,35,1,0,0,0,0,0,0,4,Larry Vanover,"Y.Gallardo (4-36-L), C.Vargas (99), C.Villanueva (2), M.Parra (99)",0.22857142857142856,0.12903225806451613,0.2894736842105263,0.22857142857142856,0.42857142857142855,0.16129032258064516,0.7180451127819549,0.3898617511520737,0.0,0.0,1.2222222222222223,0.23684210526315788,0.07894736842105263,0.25
20100411,SLN,NL,6,MIL,NL,6,7,8,52,MIL06,33294,38,10,3,0,3,7,0,0,0,3,0,4,0,0,0,0,7,5,6,6,0,0,25,7,2,0,2,0,36,11,1,0,4,6,0,0,1,4,0,7,0,0,1,0,8,5,5,5,0,0,27,7,1,0,0,0,hofft001,mcclk001,,carpc002,wolfr001,,6,Apr 11,1,STL,"W,8-7",9.0,10,7,5,2,3,4,3,0,5.0,41,148,89,1,0,0,0,38,3,0,0,0,0,1,0,5,Mark Carlson,"R.Wolf (4-50), T.Coffey (1-H), C.Villanueva (0-H), L.Hawkins (1-H), T.Hoffman (1-BW)",0.2631578947368421,0.3055555555555556,0.3170731707317073,0.3902439024390244,0.5789473684210527,0.6666666666666666,0.89602053915276,1.056910569105691,1.0,0.0,1.4444444444444444,0.0975609756097561,0.07317073170731707,0.22580645161290322
20100412,MIL,NL,7,CHN,NL,7,5,9,51,CHI11,41306,32,8,2,1,1,5,0,0,1,5,0,8,0,1,1,0,6,5,8,8,0,0,24,13,1,0,1,0,36,13,1,0,3,9,1,0,0,3,0,10,4,0,0,0,7,4,5,5,0,0,27,11,0,0,2,0,dempr002,david002,,david002,dempr002,,7,Apr 12,@,CHC,"L,5-9",8.0,13,9,8,1,3,10,3,0,5.52,40,161,97,1,1,4,0,36,1,0,0,1,0,1,0,5,Tony Randazzo,"D.Davis (4-24-L), C.Vargas (1), C.Narveson (2), C.Villanueva (0), T.Coffey (0)",0.25,0.3611111111111111,0.3684210526315789,0.41025641025641024,0.46875,0.6388888888888888,0.837171052631579,1.049145299145299,0.0,1.0,2.0,0.25,0.075,0.43478260869565216
20100414,MIL,NL,8,CHN,NL,8,6,7,51,CHI11,39565,37,13,3,2,0,6,1,0,0,2,0,10,0,0,1,0,7,4,7,7,0,0,24,12,0,0,2,0,32,12,2,0,1,7,1,1,1,4,0,4,2,0,2,0,8,5,6,6,0,0,27,9,1,0,1,0,grayj002,hawkl001,marmc001,bushd001,wellr001,,8,Apr 14,@,CHC,"L,6-7",8.0,12,7,7,0,4,4,1,1,5.79,39,141,94,2,1,2,0,32,2,0,0,1,1,0,2,4,Ted Barrett,"D.Bush (4-52), C.Narveson (1-H), T.Coffey (1-H), L.Hawkins (2-BL)",0.35135135135135137,0.375,0.38461538461538464,0.4473684210526316,0.5405405405405406,0.53125,0.9251559251559252,0.9786184210526316,0.0,0.0,2.0,0.10256410256410256,0.10256410256410256,0.39285714285714285
20100415,MIL,NL,9,CHN,NL,9,8,6,54,CHI11,38026,41,14,2,0,2,8,1,1,2,5,0,8,2,0,0,0,15,4,6,6,0,0,27,10,0,0,0,0,36,10,4,0,3,6,0,0,0,4,0,9,0,0,0,0,7,4,6,6,2,0,27,9,3,0,0,0,narvc001,samaj001,hofft001,suppj001,zambc001,,9,Apr 15,@,CHC,"W,8-6",9.0,10,6,6,0,4,9,3,0,5.81,40,165,95,0,0,0,0,36,4,0,0,0,0,0,0,4,Angel Campos,"J.Suppan (99-42), C.Narveson (0-BW), C.Villanueva (2-H), T.Hoffman (3-Sv)",0.34146341463414637,0.2777777777777778,0.42857142857142855,0.35,0.5365853658536586,0.6388888888888888,0.9651567944250872,0.9888888888888888,1.0,0.0,1.5555555555555556,0.225,0.1,0.2916666666666667
20100416,MIL,NL,10,WAS,NL,10,3,5,51,WAS11,17234,33,8,1,0,1,3,1,1,0,3,0,6,3,0,0,0,8,4,5,5,1,0,24,12,0,0,3,0,29,10,0,1,1,5,1,0,2,4,0,6,2,1,3,0,7,4,2,2,0,0,27,14,1,0,1,0,brunb001,hawkl001,cappm001,gally001,lannj001,,10,Apr 16,@,WSN,"L,3-5",8.0,10,5,5,0,4,6,1,2,5.79,36,146,83,2,0,2,1,29,0,1,0,1,0,0,3,4,Adrian Johnson,"Y.Gallardo (5-53), M.Parra (5), C.Vargas (3), L.Hawkins (1-BL)",0.24242424242424243,0.3448275862068966,0.2972972972972973,0.45714285714285713,0.36363636363636365,0.5172413793103449,0.6609336609336609,0.974384236453202,0.0,1.0,1.75,0.16666666666666666,0.1111111111111111,0.4090909090909091
20100417,MIL,NL,11,WAS,NL,11,0,8,51,WAS11,18673,31,4,2,0,0,0,0,0,0,2,0,3,0,0,1,0,6,4,7,7,0,0,24,9,2,0,1,0,31,10,4,0,1,8,1,1,0,4,0,4,1,0,1,0,5,1,0,0,0,0,27,11,1,0,1,0,hernl003,wolfr001,,wolfr001,hernl003,,11,Apr 17,@,WSN,"L,0-8",8.0,10,8,7,1,4,4,1,0,5.97,37,146,87,0,0,1,0,31,4,0,0,1,1,0,1,4,Tim McClelland,"R.Wolf (5-44-L), T.Coffey (2), C.Narveson (1), M.Parra (0)",0.12903225806451613,0.3225806451612903,0.18181818181818182,0.3888888888888889,0.1935483870967742,0.5483870967741935,0.375366568914956,0.9372759856630823,0.0,0.0,1.75,0.10810810810810811,0.10810810810810811,0.3333333333333333
20100418,MIL,NL,12,WAS,NL,12,11,7,54,WAS11,18789,37,11,3,0,1,11,0,1,3,5,0,9,0,0,0,0,8,4,7,7,0,0,27,12,0,0,1,0,41,16,4,0,0,7,0,0,0,1,0,7,0,0,1,0,8,5,11,11,1,0,27,8,0,0,0,0,vargc001,marqj001,,david002,marqj001,,12,Apr 18,@,WSN,"W,11-7",9.0,16,7,7,0,1,7,0,0,6.06,42,161,104,5,2,0,0,41,4,0,0,0,0,0,1,4,Mike Everitt,"D.Davis (5-26), C.Vargas (1-W), M.Parra (0), C.Villanueva (2)",0.2972972972972973,0.3902439024390244,0.41304347826086957,0.40476190476190477,0.4594594594594595,0.4878048780487805,0.872502937720329,0.8925667828106852,1.0,0.0,1.8888888888888888,0.16666666666666666,0.023809523809523808,0.47058823529411764
20100420,MIL,NL,13,PIT,NL,13,8,1,54,PIT08,9386,34,9,3,1,1,8,1,1,0,7,0,4,1,0,0,0,8,3,1,1,0,0,27,15,1,0,3,0,31,6,3,0,0,1,0,0,0,4,0,2,0,0,2,0,7,5,7,7,1,0,27,14,1,0,0,0,bushd001,mortc002,,bushd001,mortc002,,13,Apr 20,@,PIT,"W,8-1",9.0,6,1,1,0,4,2,0,0,5.65,35,124,73,0,0,0,0,31,3,0,0,0,0,1,2,3,Jerry Layne,"D.Bush (5-69-W), C.Narveson (2), M.Parra (1)",0.2647058823529412,0.1935483870967742,0.38095238095238093,0.2857142857142857,0.5,0.2903225806451613,0.8809523809523809,0.5760368663594471,1.0,1.0,1.1111111111111112,0.05714285714285714,0.11428571428571428,0.20689655172413793
20100421,MIL,NL,14,PIT,NL,14,8,0,54,PIT08,12192,39,12,3,2,3,8,0,0,1,5,0,7,2,0,1,0,10,4,0,0,0,0,27,5,0,0,1,0,30,4,1,0,0,0,0,0,1,5,0,13,3,0,1,0,9,3,7,7,1,0,27,14,1,0,1,0,gally001,dukez001,,gally001,dukez001,,14,Apr 21,@,PIT,"W,8-0",9.0,4,0,0,0,5,13,0,1,5.24,36,166,98,0,0,3,0,30,1,0,0,0,0,0,1,4,Mike Winters,"Y.Gallardo (4-68-W), C.Villanueva (2), T.Coffey (3), L.Hawkins (4)",0.3076923076923077,0.13333333333333333,0.4,0.2777777777777778,0.717948717948718,0.16666666666666666,1.117948717948718,0.4444444444444444,1.0,1.0,1.0,0.3611111111111111,0.1388888888888889,0.23529411764705882
20100422,MIL,NL,15,PIT,NL,15,20,0,54,PIT08,13634,52,25,7,1,4,20,0,1,0,6,0,8,2,0,0,0,12,4,0,0,1,0,27,11,0,0,0,0,34,8,2,0,0,0,0,0,0,3,0,7,1,1,0,0,10,6,18,18,0,0,27,9,1,0,0,0,wolfr001,mccud001,,wolfr001,mccud001,,15,Apr 22,@,PIT,"W,20-0",9.0,8,0,0,0,3,7,0,0,4.88,37,146,91,0,0,1,1,34,2,0,0,0,0,0,0,4,Hunter Wendelstedt,"R.Wolf (4-60-W), C.Vargas (3), M.Parra (1), T.Hoffman (6)",0.4807692307692308,0.23529411764705882,0.5254237288135594,0.2972972972972973,0.8846153846153846,0.29411764705882354,1.4100391134289438,0.5914149443561209,1.0,1.0,1.2222222222222223,0.1891891891891892,0.08108108108108109,0.2962962962962963
20100423,CHN,NL,17,MIL,NL,16,8,1,54,MIL06,37848,38,13,2,1,2,7,2,0,0,3,0,9,0,2,0,0,8,2,1,1,0,0,27,16,1,0,1,0,33,8,3,0,0,1,0,0,2,2,0,7,1,0,1,0,9,5,7,7,1,0,27,12,3,0,1,0,dempr002,suppj001,,dempr002,suppj001,,16,Apr 23,1,CHC,"L,1-8",9.0,13,8,7,1,3,9,2,0,5.01,43,161,100,2,1,0,2,38,2,1,0,2,0,1,0,5,Laz Diaz,"J.Suppan (7-21-L), C.Vargas (0), M.Parra (0), L.Hawkins (1), T.Coffey (1)",0.34210526315789475,0.24242424242424243,0.3902439024390244,0.32432432432432434,0.6052631578947368,0.3333333333333333,0.9955070603337612,0.6576576576576576,0.0,1.0,1.7777777777777777,0.20930232558139536,0.06976744186046512,0.4074074074074074
20100424,CHN,NL,18,MIL,NL,17,5,1,54,MIL06,43410,36,10,2,0,0,5,0,1,0,4,0,7,0,0,1,0,9,5,1,1,0,0,27,12,0,0,0,0,33,7,1,0,0,1,1,0,0,4,0,8,0,0,0,0,10,3,5,5,0,0,27,10,1,0,1,0,lillt001,david002,,lillt001,david002,,17,Apr 24,1,CHC,"L,1-5",9.0,10,5,5,0,4,7,0,0,5.01,41,169,99,1,0,0,0,36,2,0,0,0,1,1,1,3,John Hirschbeck,"D.Davis (5-57-L), T.Coffey (0), C.Narveson (3)",0.2777777777777778,0.21212121212121213,0.34146341463414637,0.2972972972972973,0.3333333333333333,0.24242424242424243,0.6747967479674797,0.5397215397215398,0.0,0.0,1.5555555555555556,0.17073170731707318,0.0975609756097561,0.3333333333333333
20100425,CHN,NL,19,MIL,NL,18,12,2,54,MIL06,38634,42,18,4,0,4,12,0,1,0,4,0,4,1,0,3,0,8,3,2,2,0,0,27,11,1,0,1,0,35,8,3,0,0,2,0,0,1,1,0,7,0,0,1,0,8,6,10,10,0,0,27,9,1,0,3,0,wellr001,bushd001,,wellr001,bushd001,,18,Apr 25,1,CHC,"L,2-12",9.0,18,12,10,2,4,4,4,0,5.3,47,171,113,2,0,1,0,42,4,0,0,0,1,1,3,6,James Hoye,"D.Bush (4-9-L), C.Vargas (1), T.Coffey (0), L.Hawkins (1), C.Villanueva (3), T.Hoffman (2)",0.42857142857142855,0.22857142857142856,0.46808510638297873,0.2702702702702703,0.8095238095238095,0.3142857142857143,1.2776089159067883,0.5845559845559846,0.0,0.0,2.4444444444444446,0.0851063829787234,0.0851063829787234,0.4
20100426,PIT,NL,19,MIL,NL,19,3,17,51,MIL06,25892,36,8,2,0,0,3,0,0,0,4,0,5,0,0,1,1,11,5,17,17,0,0,24,5,1,0,0,0,41,17,3,0,2,17,0,1,1,8,1,12,1,0,0,0,10,4,1,1,2,0,27,7,3,0,1,0,gally001,dukez001,,dukez001,gally001,,19,Apr 26,1,PIT,"W,17-3",9.0,8,3,1,2,4,5,0,0,5.07,41,143,87,0,0,0,0,36,2,0,0,0,0,2,1,4,Tim Welke,"Y.Gallardo (4-59-W), M.Parra (2), C.Villanueva (0), J.Suppan (2)",0.2222222222222222,0.4146341463414634,0.3,0.5098039215686274,0.2777777777777778,0.6341463414634146,0.5777777777777777,1.1439502630320422,1.0,0.0,1.3333333333333333,0.12195121951219512,0.0975609756097561,0.25806451612903225
20100427,PIT,NL,20,MIL,NL,20,7,3,54,MIL06,28991,39,14,3,0,3,7,1,1,0,2,1,5,0,0,0,0,9,5,3,3,0,1,27,9,0,0,1,0,34,8,3,0,2,3,0,0,0,5,0,6,1,0,1,0,9,2,7,7,0,0,27,9,0,0,0,0,donnb001,hofft001,,karsj001,wolfr001,,20,Apr 27,1,PIT,"L,3-7",9.0,14,7,7,0,2,5,3,0,5.16,43,140,90,0,0,0,0,39,3,0,1,1,1,0,0,2,Sam Holbrook,"R.Wolf (4-57), T.Hoffman (1-BL)",0.358974358974359,0.23529411764705882,0.38095238095238093,0.3333333333333333,0.6666666666666666,0.5,1.0476190476190474,0.8333333333333333,0.0,1.0,1.7777777777777777,0.11627906976744186,0.046511627906976744,0.34375
20100428,PIT,NL,21,MIL,NL,21,6,5,84,MIL06,28401,54,13,1,0,4,6,0,0,1,5,1,19,1,0,0,0,12,5,5,5,1,0,42,13,0,0,1,0,49,10,2,0,2,4,0,0,0,8,1,13,1,0,1,0,10,7,6,6,1,0,42,7,0,0,1,0,carrd001,parrm001,,mahop002,narvc001,,21,Apr 28,1,PIT,"L,5-6",14.0,13,6,6,0,5,19,4,1,5.07,60,248,157,0,0,1,0,54,1,0,1,0,0,0,0,7,D.J. Reyburn,"C.Narveson (3-49), C.Villanueva (1-H), T.Coffey (2-H), L.Hawkins (2-H), T.Hoffman (0-BSv), C.Vargas (2), M.Parra (1-L)",0.24074074074074073,0.20408163265306123,0.31666666666666665,0.3157894736842105,0.48148148148148145,0.3673469387755102,0.798148148148148,0.6831364124597208,0.0,0.0,1.2857142857142858,0.31666666666666665,0.08333333333333333,0.2903225806451613
20100429,MIL,NL,22,SDN,NL,22,0,9,51,SAN02,16696,34,9,4,0,0,0,0,0,0,1,0,8,0,0,1,0,8,2,8,8,0,0,24,7,2,0,2,0,36,13,0,0,0,8,0,0,1,2,0,9,0,0,2,0,6,2,0,0,1,0,27,10,1,0,1,0,leblw001,david002,,david002,leblw001,,22,Apr 29,@,SDP,"L,0-9",8.0,13,9,8,1,2,9,0,1,5.23,39,171,102,2,2,0,0,36,0,0,0,0,0,1,2,2,Angel Hernandez,"D.Davis (4-27-L), J.Suppan (2)",0.2647058823529412,0.3611111111111111,0.2857142857142857,0.41025641025641024,0.38235294117647056,0.3611111111111111,0.6680672268907563,0.7713675213675213,0.0,0.0,1.875,0.23076923076923078,0.05128205128205128,0.48148148148148145
20100430,MIL,NL,23,SDN,NL,23,0,3,51,SAN02,29366,33,6,0,0,0,0,0,0,0,3,0,13,1,0,0,0,9,2,3,3,1,0,24,10,0,0,1,0,27,6,1,0,1,3,1,1,0,5,1,5,2,1,0,0,7,4,0,0,0,0,27,9,1,0,0,0,richc002,bushd001,bellh001,bushd001,richc002,,23,Apr 30,@,SDP,"L,0-3",8.0,6,3,3,0,5,5,1,0,5.16,34,134,77,0,0,2,1,27,1,0,1,1,1,0,0,2,Paul Schrieber,"D.Bush (4-52-L), C.Villanueva (1)",0.18181818181818182,0.2222222222222222,0.25,0.3333333333333333,0.18181818181818182,0.37037037037037035,0.4318181818181818,0.7037037037037037,0.0,0.0,1.375,0.14705882352941177,0.14705882352941177,0.22727272727272727
20100501,MIL,NL,24,SDN,NL,24,2,1,54,SAN02,25619,36,9,1,0,2,2,0,0,0,5,1,8,0,0,0,0,12,3,1,1,0,0,27,7,0,0,0,0,33,7,1,0,0,1,0,0,0,2,0,14,0,0,0,0,7,4,2,2,0,1,27,10,0,0,0,0,gally001,latom001,hofft001,gally001,latom001,,24,May 1,@,SDP,"W,2-1",9.0,7,1,1,0,2,14,0,0,4.98,35,149,94,0,0,0,0,33,1,0,0,0,0,0,0,3,Rob Drake,"Y.Gallardo (4-70-W), L.Hawkins (2-H), T.Hoffman (2-Sv)",0.25,0.21212121212121213,0.34146341463414637,0.2571428571428571,0.4444444444444444,0.24242424242424243,0.7859078590785908,0.49956709956709955,1.0,0.0,1.0,0.4,0.05714285714285714,0.3684210526315789
20100502,MIL,NL,25,SDN,NL,25,0,8,51,SAN02,20074,29,3,0,0,0,0,0,0,0,8,0,5,0,0,0,0,10,5,7,7,0,0,24,10,2,0,0,0,33,10,0,1,2,7,1,0,0,9,2,7,4,0,0,0,11,3,0,0,1,0,27,12,0,0,0,0,garlj001,wolfr001,,wolfr001,garlj001,,25,May 2,@,SDP,"L,0-8",8.0,10,8,7,1,9,7,2,0,5.09,43,185,101,2,2,4,0,33,0,1,2,1,0,0,0,5,Joe West,"R.Wolf (4-38-L), C.Vargas (3), C.Villanueva (1), M.Parra (3), T.Coffey (3)",0.10344827586206896,0.30303030303030304,0.2972972972972973,0.4523809523809524,0.10344827586206896,0.5454545454545454,0.40074557315936626,0.9978354978354977,0.0,1.0,2.375,0.16279069767441862,0.20930232558139536,0.3333333333333333
20100504,MIL,NL,26,LAN,NL,26,11,6,54,LOS03,50714,41,15,2,1,2,11,0,0,2,3,0,7,0,0,1,0,8,4,6,6,0,0,27,9,0,0,0,0,32,7,2,0,1,6,0,2,0,2,0,6,0,0,0,0,3,4,11,11,1,0,27,12,0,0,1,0,narvc001,kersc001,,narvc001,kersc001,,26,May 4,@,LAD,"W,11-6",9.0,7,6,6,0,2,6,1,0,5.12,36,143,90,0,0,0,0,32,2,0,0,0,2,0,0,4,Bob Davidson,"C.Narveson (5-53-W), C.Vargas (1), M.Parra (1), T.Coffey (1)",0.36585365853658536,0.21875,0.43478260869565216,0.25,0.6097560975609756,0.375,1.0445387062566278,0.625,1.0,0.0,1.0,0.16666666666666666,0.05555555555555555,0.2222222222222222
20100505,MIL,NL,27,LAN,NL,27,11,3,54,LOS03,35659,39,13,2,1,0,10,1,0,1,7,1,5,1,1,0,0,10,5,3,3,2,0,27,12,0,0,2,0,37,12,0,0,0,3,0,0,1,4,1,9,0,0,2,0,12,4,11,11,0,0,27,11,2,1,1,0,david002,billc001,,david002,billc001,,27,May 5,@,LAD,"W,11-3",9.0,12,3,3,0,4,9,0,1,5.04,42,156,92,2,1,0,0,37,0,0,1,0,0,0,2,5,Alfonso Marquez,"D.Davis (5-44-W), C.Villanueva (2-H), T.Coffey (0-H), L.Hawkins (3), J.Suppan (5)",0.3333333333333333,0.32432432432432434,0.44680851063829785,0.40476190476190477,0.4358974358974359,0.32432432432432434,0.8827059465357338,0.7290862290862291,1.0,1.0,1.7777777777777777,0.21428571428571427,0.09523809523809523,0.42857142857142855
20100506,MIL,NL,28,LAN,NL,28,3,7,52,LOS03,38456,35,8,0,0,0,3,0,0,0,0,0,12,1,0,0,0,5,4,5,5,1,0,25,9,1,0,2,0,31,8,2,0,1,6,0,1,0,7,0,7,1,0,2,0,7,4,3,3,1,0,27,6,0,0,0,0,broxj001,hawkl001,,bushd001,ely-j001,,28,May 6,@,LAD,"L,3-7",8.1,8,7,5,2,7,7,1,0,5.05,39,171,96,0,0,1,0,31,2,0,0,0,1,1,2,4,Tim Timmons,"D.Bush (5-52), C.Vargas (1), J.Suppan (0), L.Hawkins (0-L)",0.22857142857142856,0.25806451612903225,0.22857142857142856,0.38461538461538464,0.22857142857142856,0.41935483870967744,0.45714285714285713,0.8039702233250621,0.0,1.0,1.8518518518518519,0.1794871794871795,0.1794871794871795,0.2916666666666667
