teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win
MIL,NL,3,1,37,12,2,0,1,3,2,7,11,2,4,4,2,0.32432432432432434,0.36585365853658536,0.4594594594594595,0.8253131179960449,0.0
MIL,NL,7,1,30,7,1,0,2,6,6,6,5,4,5,5,0,0.23333333333333334,0.3611111111111111,0.4666666666666667,0.8277777777777777,1.0
MIL,NL,5,1,31,8,4,0,0,5,1,10,5,7,4,4,0,0.25806451612903225,0.2727272727272727,0.3870967741935484,0.6598240469208211,1.0
MIL,NL,4,1,31,7,2,0,0,4,4,3,7,5,5,5,0,0.22580645161290322,0.35135135135135137,0.2903225806451613,0.6416739319965127,0.0
MIL,NL,1,1,31,4,1,0,0,1,4,7,7,4,7,7,1,0.12903225806451613,0.22857142857142856,0.16129032258064516,0.3898617511520737,0.0
MIL,NL,5,0,32,8,2,1,1,5,5,8,6,5,8,8,1,0.25,0.3684210526315789,0.46875,0.8371710526315791,0.0
MIL,NL,6,0,37,13,3,2,0,6,2,10,7,4,7,7,0,0.35135135135135137,0.38461538461538464,0.5405405405405406,0.9251559251559252,0.0
MIL,NL,8,0,41,14,2,0,2,8,5,8,15,4,6,6,0,0.34146341463414637,0.42857142857142855,0.5365853658536586,0.9651567944250872,1.0
MIL,NL,3,0,33,8,1,0,1,3,3,6,8,4,5,5,0,0.24242424242424243,0.2972972972972973,0.36363636363636365,0.6609336609336609,0.0
MIL,NL,0,0,31,4,2,0,0,0,2,3,6,4,7,7,2,0.12903225806451613,0.18181818181818182,0.1935483870967742,0.375366568914956,0.0
MIL,NL,11,0,37,11,3,0,1,11,5,9,8,4,7,7,0,0.2972972972972973,0.41304347826086957,0.4594594594594595,0.8725029377203292,1.0
MIL,NL,8,0,34,9,3,1,1,8,7,4,8,3,1,1,1,0.2647058823529412,0.38095238095238093,0.5,0.8809523809523809,1.0
MIL,NL,8,0,39,12,3,2,3,8,5,7,10,4,0,0,0,0.3076923076923077,0.4,0.717948717948718,1.117948717948718,1.0
MIL,NL,20,0,52,25,7,1,4,20,6,8,12,4,0,0,0,0.4807692307692308,0.5254237288135594,0.8846153846153846,1.4100391134289438,1.0
MIL,NL,1,1,33,8,3,0,0,1,2,7,9,5,7,7,3,0.24242424242424243,0.32432432432432434,0.3333333333333333,0.6576576576576576,0.0
MIL,NL,1,1,33,7,1,0,0,1,4,8,10,3,5,5,1,0.21212121212121213,0.2972972972972973,0.24242424242424243,0.5397215397215398,0.0
MIL,NL,2,1,35,8,3,0,0,2,1,7,8,6,10,10,1,0.22857142857142856,0.2702702702702703,0.3142857142857143,0.5845559845559846,0.0
MIL,NL,17,1,41,17,3,0,2,17,8,12,10,4,1,1,3,0.4146341463414634,0.5098039215686274,0.6341463414634146,1.1439502630320422,1.0
MIL,NL,3,1,34,8,3,0,2,3,5,6,9,2,7,7,0,0.23529411764705882,0.3333333333333333,0.5,0.8333333333333333,0.0
MIL,NL,0,0,34,9,4,0,0,0,1,8,8,2,8,8,2,0.2647058823529412,0.2857142857142857,0.38235294117647056,0.6680672268907563,0.0
MIL,NL,0,0,33,6,0,0,0,0,3,13,9,2,3,3,0,0.18181818181818182,0.25,0.18181818181818182,0.4318181818181818,0.0
MIL,NL,2,0,36,9,1,0,2,2,5,8,12,3,1,1,0,0.25,0.34146341463414637,0.4444444444444444,0.7859078590785908,1.0
MIL,NL,0,0,29,3,0,0,0,0,8,5,10,5,7,7,2,0.10344827586206896,0.2972972972972973,0.10344827586206896,0.4007455731593663,0.0
