Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID
20100405,MIN,AL,1,ANA,AL,1,3,6,51,ANA01,43504,20010000,21001002x,32,7,1,0,1,3,0,1,1,3,0,8,1,0,1,0,7,4,6,6,1,0,24,4,0,0,0,0,33,9,0,0,3,6,0,0,0,3,0,5,1,0,0,0,6,4,3,3,0,0,27,10,0,0,1,0,weavj003,bakes002,fuenb001,bakes002,weavj003
20100406,MIN,AL,2,ANA,AL,2,5,3,54,ANA01,43510,301100000,1020000,32,9,1,0,3,5,0,1,0,5,0,6,0,0,3,0,6,4,3,3,0,0,27,12,0,0,2,0,33,8,1,0,1,3,0,0,0,4,0,6,0,0,1,0,7,3,5,5,1,0,27,16,1,0,3,0,blacn001,saunj001,raucj001,blacn001,saunj001
20100407,MIN,AL,3,ANA,AL,3,4,2,54,ANA01,41533,220000,1001,34,7,0,1,2,4,0,1,0,1,0,7,2,0,0,0,5,3,2,2,0,0,27,12,0,0,0,0,35,9,2,0,0,2,0,0,1,0,0,6,0,1,0,0,7,3,4,4,1,0,27,12,0,0,0,0,pavac001,sante001,raucj001,pavac001,sante001
20100408,MIN,AL,4,ANA,AL,4,10,1,54,ANA01,39709,30034,10000000,37,11,3,0,3,10,1,0,0,6,0,5,0,0,1,0,7,5,1,1,0,0,27,6,0,0,0,0,34,8,1,0,0,1,0,1,0,2,0,9,0,0,0,0,9,4,10,10,0,0,27,17,1,0,1,0,slowk001,pinej001,,slowk001,pinej001
20100409,MIN,AL,5,CHA,AL,4,4,3,66,CHI12,21416,210001,100200000,41,10,1,0,0,3,2,0,0,7,1,12,1,1,0,0,13,5,3,3,1,0,33,18,0,0,2,0,39,10,2,0,0,2,0,0,0,5,0,5,0,2,2,0,8,6,3,3,0,0,33,16,2,0,1,0,duenb001,penat003,raucj001,lirif001,dankj001
20100410,MIN,AL,6,CHA,AL,5,2,1,54,CHI12,28337,200,10000,30,5,1,0,1,2,1,0,0,6,1,5,0,0,0,0,8,4,1,1,0,0,27,7,0,0,1,0,31,6,3,0,0,1,1,0,0,2,0,3,0,0,0,0,6,3,2,2,0,0,27,11,0,0,1,0,bakes002,garcf002,raucj001,bakes002,garcf002
20100411,MIN,AL,7,CHA,AL,6,4,5,51,CHI12,25550,202000000,20010101x,32,10,3,0,0,4,1,0,0,2,0,2,0,0,3,0,4,3,5,5,0,0,24,14,1,0,2,0,31,9,1,0,3,5,0,0,1,1,0,0,0,0,2,0,4,2,4,4,1,0,27,17,0,0,3,0,buehm001,blacn001,jenkb001,blacn001,buehm001
20100412,BOS,AL,7,MIN,AL,8,2,5,51,MIN04,38145,100010,21010010x,31,7,4,0,0,2,0,1,0,1,0,6,0,1,1,0,4,3,5,5,0,0,24,9,0,0,0,0,36,12,2,0,1,5,0,0,0,4,0,7,3,0,0,0,11,4,2,2,0,0,27,10,0,0,1,0,pavac001,lestj001,raucj001,lestj001,pavac001
20100414,BOS,AL,8,MIN,AL,9,6,3,54,MIN04,38164,110010030,2000010,36,10,4,0,1,6,0,0,0,6,1,10,0,1,0,0,9,4,3,3,1,0,27,9,0,1,2,0,34,9,2,0,1,3,0,0,0,7,1,2,0,0,2,0,11,4,6,6,1,0,27,9,0,0,0,0,lackj001,slowk001,papej001,lackj001,slowk001
20100415,BOS,AL,9,MIN,AL,10,0,8,51,MIN04,38341,0,01003220x,32,6,1,0,0,0,0,0,0,3,0,10,0,0,1,0,8,3,7,7,1,0,24,6,3,0,0,0,39,15,5,0,1,7,0,1,0,2,1,4,0,0,0,0,10,3,0,0,0,0,27,11,0,0,1,0,lirif001,waket001,,waket001,lirif001
20100416,KCA,AL,10,MIN,AL,11,3,10,51,MIN04,38532,11001,00202105x,35,9,0,1,1,3,0,0,1,0,0,7,1,0,0,0,6,5,8,8,1,0,24,8,1,0,1,0,32,11,2,0,0,10,0,2,1,9,0,7,0,0,1,0,10,3,3,3,0,0,27,8,0,0,0,0,bakes002,greiz001,,greiz001,bakes002
20100417,KCA,AL,11,MIN,AL,12,5,6,51,MIN04,38564,20120000,05000010x,32,9,3,0,2,5,2,0,0,3,0,5,0,0,1,0,5,3,6,6,0,0,24,12,0,0,2,0,31,9,1,1,2,6,0,0,0,5,1,2,1,0,2,0,6,4,5,5,0,0,27,10,0,0,1,0,duenb001,parrj003,raucj001,mechg001,blacn001
20100418,KCA,AL,12,MIN,AL,13,10,5,54,MIN04,38544,6100003,201000200,41,16,3,0,2,10,1,0,0,1,0,9,4,0,0,0,6,4,3,3,0,0,27,10,2,0,2,0,34,8,1,0,0,5,0,1,0,8,0,7,0,0,1,0,11,4,10,10,1,0,27,10,0,0,0,0,hochl001,pavac001,sorij001,hochl001,pavac001
20100420,CLE,AL,13,MIN,AL,14,1,5,51,MIN04,38985,10000000,10400000x,32,5,1,0,1,1,0,0,0,0,0,9,0,0,0,0,4,4,2,2,1,0,24,10,2,0,2,0,28,6,1,0,0,3,0,1,1,5,0,7,0,0,2,0,6,2,1,1,0,0,27,11,0,0,0,0,slowk001,mastj001,,mastj001,slowk001
20100421,CLE,AL,14,MIN,AL,15,0,6,51,MIN04,39044,0,03000102x,32,7,2,0,0,0,0,0,0,2,0,7,0,0,1,0,7,3,6,6,1,0,24,9,0,0,2,0,28,6,0,1,1,6,0,0,0,6,0,3,0,0,2,0,4,2,0,0,0,0,27,13,0,0,2,0,lirif001,huffd001,,huffd001,lirif001
20100422,CLE,AL,15,MIN,AL,16,8,1,54,MIN04,38810,100203200,100000,35,11,6,0,1,8,0,1,0,4,0,6,0,1,1,0,5,3,0,0,0,1,27,13,1,0,4,0,27,4,1,0,0,1,0,0,0,3,0,4,0,0,4,0,2,5,8,8,0,0,27,14,0,0,1,0,talbm001,bakes002,,talbm001,bakes002
20100423,MIN,AL,17,KCA,AL,16,8,3,54,KAN06,16605,201110012,1001010,38,11,3,0,2,7,0,0,0,7,1,4,3,0,0,0,10,3,3,3,0,0,27,9,0,0,1,0,32,6,1,0,1,3,0,0,1,1,0,7,0,0,1,0,4,5,8,8,1,0,27,13,1,0,0,0,pavac001,mechg001,,pavac001,mechg001
20100424,MIN,AL,18,KCA,AL,17,9,7,72,KAN06,26649,1210200012,2.2101E+11,50,14,6,1,1,8,0,2,0,6,0,11,0,0,0,0,13,7,6,6,0,0,36,15,1,0,3,0,49,18,5,1,0,6,1,1,1,5,1,3,0,1,2,0,14,7,7,7,0,0,36,11,3,0,1,0,raucj001,tejer001,,blacn001,hochl001
20100425,MIN,AL,19,KCA,AL,18,3,4,51,KAN06,15601,20000001,10011100x,37,12,4,0,1,3,0,0,1,4,0,3,0,0,1,0,12,3,4,4,0,0,24,7,0,0,1,0,31,9,3,1,1,4,0,1,0,4,0,5,1,0,1,0,8,4,3,3,1,0,27,13,2,0,1,0,bannb001,slowk001,sorij001,slowk001,bannb001
20100427,MIN,AL,20,DET,AL,21,2,0,54,DET05,22008,1100,0,33,5,2,1,0,0,0,0,1,7,0,10,0,0,1,0,12,2,0,0,0,0,27,10,0,0,1,0,31,5,2,0,0,0,0,0,0,1,0,12,0,0,1,0,5,4,0,0,1,1,27,12,3,0,1,0,lirif001,verlj001,raucj001,lirif001,verlj001
20100428,MIN,AL,21,DET,AL,22,6,11,51,DET05,19900,201300000,10040600x,38,13,2,0,2,6,0,0,0,1,0,8,0,1,0,0,6,5,10,10,1,0,24,10,1,0,1,0,37,13,6,0,1,11,0,0,1,4,0,8,0,0,1,0,7,4,6,6,0,0,27,10,0,0,1,0,thomb001,mahar001,,bakes002,schem001
20100429,MIN,AL,22,DET,AL,23,0,3,51,DET05,25595,0,10001001x,28,4,0,0,0,0,0,0,0,3,0,9,0,1,2,0,4,1,2,2,0,0,24,7,1,0,0,0,30,7,2,0,0,3,0,1,0,2,1,5,2,0,0,0,6,3,0,0,0,0,27,10,0,0,3,0,willd003,pavac001,valvj001,pavac001,willd003
20100430,MIN,AL,23,CLE,AL,22,9,3,54,CLE08,14124,230010201,30000,38,12,1,0,1,8,0,0,0,5,0,3,3,0,2,0,7,5,3,3,0,0,27,11,0,0,2,0,37,12,2,1,0,3,0,0,0,3,0,9,0,0,2,0,10,5,9,9,1,0,27,15,2,0,2,0,slowk001,carmf001,,slowk001,carmf001
20100501,MIN,AL,24,CLE,AL,23,4,5,65,CLE08,13832,21000001000,1100002001,41,12,0,0,2,4,0,0,0,3,0,7,0,0,3,0,7,6,5,5,0,0,32,14,0,0,1,0,40,12,2,0,1,4,1,0,0,5,2,10,0,1,1,0,9,5,4,4,0,0,33,15,0,0,4,0,wrigj001,burna002,,mansj001,mastj001
20100502,MIN,AL,25,CLE,AL,24,8,3,54,CLE08,12619,200020202,200010000,45,20,3,0,3,7,1,0,0,5,0,4,0,0,1,0,16,4,3,3,0,1,27,15,1,0,2,0,33,9,4,0,0,2,0,0,0,4,0,10,1,0,2,0,7,5,7,7,0,0,27,10,1,0,1,0,lirif001,huffd001,,lirif001,huffd001
20100503,DET,AL,27,MIN,AL,26,4,10,51,MIN04,38728,120001,43003000x,35,9,3,1,0,4,0,0,0,3,0,8,0,0,1,0,7,2,10,10,1,0,24,12,0,0,1,0,34,12,3,1,1,10,0,1,0,4,0,2,0,0,1,0,5,2,4,4,1,0,27,7,1,0,1,0,bakes002,schem001,,schem001,bakes002
20100504,DET,AL,28,MIN,AL,27,3,4,52,MIN04,39020,200001,200001001,35,11,2,0,1,3,0,0,0,1,0,2,0,0,2,0,6,4,4,4,1,0,25,11,0,0,2,0,31,8,2,1,0,3,0,0,0,3,0,8,1,0,2,0,5,1,3,3,0,0,27,17,0,0,2,0,blacn001,perrr001,,willd003,blacn001
20100505,DET,AL,29,MIN,AL,28,4,5,51,MIN04,39037,1101001,20120000x,34,8,0,0,4,4,0,0,0,3,0,5,0,0,1,0,6,4,3,3,0,0,24,10,1,0,0,0,32,7,2,0,0,4,0,0,1,5,1,5,1,0,0,0,9,5,4,4,0,0,27,6,0,0,1,0,slowk001,porcr001,raucj001,porcr001,slowk001
20100506,BAL,AL,29,MIN,AL,29,2,0,54,MIN04,38489,20000000,0,31,7,0,0,1,2,0,0,0,3,0,9,1,0,3,0,5,4,0,0,0,0,27,14,1,0,0,0,34,6,1,0,0,0,0,0,0,3,0,2,0,0,0,0,10,2,2,2,0,0,27,12,0,0,3,0,bergb002,pavac001,simoa001,bergb002,pavac001
20100508,BAL,AL,30,MIN,AL,30,7,3,54,MIN04,38608,2300110,200100000,39,12,2,0,0,7,0,0,0,3,0,5,2,0,0,0,8,3,3,3,0,0,27,10,0,0,1,0,33,7,0,1,2,3,0,0,1,1,0,6,0,0,1,0,5,3,7,7,0,0,27,7,0,0,0,0,guthj001,lirif001,,guthj001,lirif001
20100508,BAL,AL,31,MIN,AL,31,1,6,51,MIN04,38863,10000,01000203x,30,4,0,0,1,1,0,0,0,0,0,8,0,0,1,0,2,3,6,6,0,0,24,6,0,0,2,0,32,10,3,0,0,5,0,0,0,5,1,5,0,0,2,0,7,2,1,1,0,0,27,13,0,0,1,0,bakes002,millk004,,millk004,bakes002
20100509,BAL,AL,32,MIN,AL,32,0,6,51,MIN04,38641,0,00330000x,32,6,1,0,0,0,0,0,0,2,0,1,0,0,1,0,7,4,6,6,0,0,24,10,0,0,0,0,34,12,2,1,0,6,0,1,0,1,0,6,1,0,0,0,6,3,0,0,0,0,27,12,0,0,1,0,blacn001,matub001,,matub001,blacn001
20100511,CHA,AL,33,MIN,AL,33,5,2,54,MIN04,38764,50000,101000,36,11,5,0,0,5,0,0,0,2,0,7,1,0,1,0,6,3,2,2,1,0,27,11,0,0,2,0,35,11,3,0,1,2,0,0,0,2,0,5,0,0,2,0,8,5,5,5,0,0,27,5,1,0,2,0,garcf002,slowk001,jenkb001,garcf002,slowk001
20100512,CHA,AL,34,MIN,AL,34,2,3,51,MIN04,38895,200000000,00210000x,32,6,0,0,0,1,0,0,0,1,0,6,3,1,0,0,4,2,3,3,0,0,24,12,0,0,2,0,30,9,2,0,0,3,1,0,1,3,0,4,0,0,2,0,8,4,2,2,0,0,27,12,1,0,0,0,pavac001,dankj001,raucj001,dankj001,pavac001
