Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,MIN,AL,1,DET,AL,1,0,4,51,DET05,45030,0,03000100x,31,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,4,2,4,4,0,0,24,6,0,0,2,0,31,10,1,1,2,4,0,1,0,2,0,6,3,0,2,0,6,2,0,0,0,0,27,9,0,0,1,0,pricd001,hughp001,nathj001,hughp001,pricd001,,1,Apr 6,@,DET,"L,0-4",8,10,4,4,0,2,6,2,0,4.5,34,124,88,0,0,3,0,31,1,1,0,0,1,0,2,2,Joe West,"P.Hughes (99-45-L), J.Graham (99)"
20150408,MIN,AL,2,DET,AL,2,0,11,51,DET05,28280,0,00342011x,31,4,1,0,0,0,0,0,0,2,0,9,0,0,0,0,6,5,10,10,1,0,24,8,1,0,0,0,38,15,5,1,0,10,0,1,0,7,2,2,0,0,0,0,11,5,0,0,0,0,27,7,0,0,0,0,sanca004,nolar001,,nolar001,sanca004,,2,Apr 8,@,DET,"L,0-11",8,15,11,10,1,7,2,0,0,7.88,46,178,106,3,1,0,0,38,5,1,2,0,1,0,0,5,Kerwin Danley,"R.Nolasco (99-21-L), T.Stauffer (99), J.Graham (1), A.Thompson (99), B.Boyer (99)"
20150409,MIN,AL,3,DET,AL,3,1,7,51,DET05,26782,100,21031000x,31,5,1,0,0,0,0,0,0,1,0,5,0,0,1,0,4,5,7,7,0,0,24,4,1,0,1,0,33,10,1,1,1,6,0,0,0,6,0,3,1,0,1,0,8,2,0,0,0,0,27,7,1,0,1,0,grees005,gibsk002,,gibsk002,grees005,,3,Apr 9,@,DET,"L,1-7",8,10,7,7,0,6,3,1,0,7.88,39,149,93,0,0,1,0,33,1,1,0,0,0,0,1,5,Lance Barksdale,"K.Gibson (99-16-L), B.Boyer (0), C.Fien (99), B.Duensing (99), G.Perkins (99)"
20150410,MIN,AL,4,CHA,AL,4,6,0,54,CHI12,38533,100011003,0,36,10,1,0,1,5,0,0,1,9,3,9,1,0,0,0,13,2,0,0,0,0,27,10,0,0,1,0,28,3,2,0,0,0,0,0,0,2,0,7,0,1,0,0,3,4,5,5,2,1,27,9,1,0,0,0,milot001,noesh001,duenb001,milot001,noesh001,,4,Apr 10,@,CHW,"W,6-0",9,3,0,0,0,2,7,0,0,5.73,30,112,74,1,0,0,1,28,2,0,0,0,0,0,0,2,James Hoye,"T.Milone (99-80-W), B.Duensing (0-Sv)"
20150411,MIN,AL,5,CHA,AL,5,4,5,51,CHI12,22317,40000000,02110001x,35,8,2,1,0,4,0,0,0,1,0,10,2,1,0,0,5,4,4,4,0,0,24,13,1,0,1,0,33,10,2,0,2,5,0,0,1,1,0,5,0,0,1,0,6,3,4,4,0,0,27,11,2,0,0,0,dukez001,boyeb001,robed002,pelfm001,samaj001,,5,Apr 11,@,CHW,"L,4-5",8,10,5,4,1,1,5,2,1,5.49,35,126,87,0,0,0,0,33,2,0,0,0,0,1,1,4,John Hirschbeck,"M.Pelfrey (99-38), J.Graham (2), A.Thompson (2), B.Boyer (1-L)"
20150412,MIN,AL,6,CHA,AL,6,2,6,51,CHI12,23057,1000010,20100003x,34,7,2,0,0,2,0,0,0,2,0,10,0,0,1,0,7,4,6,6,0,0,24,5,2,0,0,0,37,12,1,0,2,6,0,0,0,0,0,7,1,0,0,0,7,5,2,2,0,0,27,8,0,0,1,0,salec001,hughp001,,hughp001,salec001,,6,Apr 12,@,CHW,"L,2-6",8,12,6,6,0,0,7,2,0,5.69,37,131,92,1,0,1,0,37,1,0,0,0,0,2,0,4,Sam Holbrook,"P.Hughes (5-48-L), A.Thompson (0), B.Boyer (0), B.Duensing (1)"
20150413,KCA,AL,7,MIN,AL,7,12,3,54,MIN04,40123,11003061,100001100,38,13,3,0,1,10,0,2,2,4,1,5,0,0,1,0,7,3,3,3,0,0,27,9,0,0,2,0,31,7,2,0,1,3,0,1,0,1,0,7,0,0,2,0,3,6,10,10,0,0,27,12,2,1,1,0,duffd001,may-t001,,duffd001,may-t001,,7,Apr 13,1,KCR,"L,3-12",9,13,12,10,2,4,5,1,2,6.36,46,152,95,10,5,0,0,38,3,0,1,0,2,1,1,6,Paul Nauert,"T.May (99-35-L), T.Stauffer (4), B.Duensing (0), J.Graham (1), A.Thompson (0), G.Perkins (3)"
20150415,KCA,AL,8,MIN,AL,8,1,3,51,MIN04,21362,100000,10020000x,34,9,0,0,0,1,0,0,1,0,0,5,0,0,2,0,7,2,3,3,0,0,24,9,1,0,0,0,28,5,0,0,1,3,0,1,0,1,0,7,0,1,0,0,3,4,1,1,0,0,27,13,0,0,2,0,gibsk002,volqe001,perkg001,volqe001,gibsk002,,8,Apr 15,1,KCR,"W,3-1",9,9,1,1,0,0,5,0,1,5.64,35,134,86,2,0,0,0,34,0,0,0,0,0,0,2,4,Mike Estabrook,"K.Gibson (5-55-W), B.Duensing (1-H), C.Fien (5-H), G.Perkins (1-Sv)"
20150416,KCA,AL,9,MIN,AL,9,5,8,51,MIN04,17449,201000002,02210003x,37,10,3,0,1,5,1,0,0,4,0,3,1,0,0,0,10,4,7,7,1,0,24,7,1,0,1,0,37,14,2,0,2,7,0,1,0,2,0,2,0,0,1,0,8,6,5,5,2,0,27,12,2,0,0,0,milot001,vargj001,perkg001,vargj001,milot001,,9,Apr 16,1,KCR,"W,8-5",9,10,5,5,0,4,3,1,0,5.57,42,152,91,4,0,1,0,37,3,0,0,1,0,1,0,6,Dana DeMuth,"T.Milone (5-42-W), T.Stauffer (2-H), A.Thompson (2-H), C.Fien (0-H), B.Duensing (0), G.Perkins (0-Sv)"
20150417,CLE,AL,9,MIN,AL,10,2,3,63,MIN04,21307,1100000,200001,40,8,1,0,1,1,0,0,0,5,1,10,1,0,0,0,10,4,3,3,2,0,30,13,2,0,1,0,35,6,0,0,1,2,2,0,1,4,3,10,1,0,1,0,9,6,2,2,1,0,33,12,0,0,1,0,boyeb001,shawb001,,klubc001,pelfm001,,10,Apr 17,1,CLE,"W,3-2",11,8,2,2,0,5,10,1,0,5.07,45,175,109,1,0,1,0,40,1,0,1,0,0,0,0,6,Mike DiMuro,"M.Pelfrey (5-55), T.Stauffer (0), A.Thompson (0), G.Perkins (0), C.Thielbar (99), B.Boyer (4-W)"
