Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20180329","MIN","AL",1,"BAL","AL",1,2,3,63,"BAL12",45469,"00000000200","00000020001",40,8,0,0,0,2,0,0,0,3,0,11,2,0,1,0,8,5,3,3,2,0,30,9,0,0,1,0,34,5,1,1,1,3,1,0,0,5,2,13,1,0,1,0,7,5,2,2,1,0,33,11,0,1,1,0,"bleir001","rodnf001","","odorj001","bundd001",
"20180331","MIN","AL",2,"BAL","AL",2,6,2,54,"BAL12",17763,"102110100","000000002",34,9,3,0,3,5,0,0,0,4,0,9,0,0,2,0,5,3,2,2,0,0,27,7,0,0,0,0,30,3,1,0,1,2,0,0,0,7,0,11,0,0,0,0,8,4,5,5,0,0,27,11,1,0,2,0,"gibsk002","casha001","","gibsk002","casha001",
"20180401","MIN","AL",3,"BAL","AL",3,7,0,54,"BAL12",17212,"402001000","000000000",38,10,2,0,4,6,0,0,0,3,0,10,1,0,0,0,7,1,0,0,0,0,27,9,0,0,0,0,30,3,1,0,0,0,0,0,0,1,0,6,0,0,0,0,4,5,7,7,2,0,27,10,1,0,0,0,"berrj001","gausk001","","berrj001","gausk001",
"20180402","MIN","AL",4,"PIT","NL",4,4,5,51,"PIT08",30186,"000004000","50000000x",33,7,3,0,1,3,0,0,1,3,0,10,0,0,1,0,6,5,5,5,0,0,24,10,0,0,1,0,27,5,1,0,1,5,1,0,0,11,1,6,0,0,1,0,10,6,4,4,2,1,27,4,0,0,1,0,"tailj001","lynnl001","kontg001","lynnl001","tailj001",
"20180404","MIN","AL",5,"PIT","NL",5,7,3,54,"PIT08",20690,"001104100","200100000",34,9,5,0,1,7,0,1,0,4,0,8,1,0,1,0,5,5,3,3,0,0,27,11,0,0,0,0,34,8,1,0,1,3,0,0,0,4,0,6,1,0,0,0,8,4,7,7,1,0,27,7,0,0,1,0,"roget001","novai001","","odorj001","novai001",
"20180405","SEA","AL",6,"MIN","AL",6,2,4,51,"MIN04",39214,"200000000","00000211x",36,8,0,0,0,2,0,0,0,4,0,7,2,0,1,0,11,4,4,4,1,0,24,2,1,1,0,0,33,8,0,0,3,4,0,0,0,2,0,11,0,0,0,0,7,6,1,1,0,0,27,11,2,0,1,0,"dukez001","altad001","rodnf001","paxtj001","gibsk002",
"20180407","SEA","AL",7,"MIN","AL",7,11,4,54,"MIN04",18416,"000320051","000003001",39,12,3,0,2,10,0,0,0,3,0,12,0,0,0,0,4,6,4,4,0,0,27,8,0,0,0,0,35,9,4,0,0,4,0,0,0,5,0,7,1,0,0,0,9,6,11,11,1,0,27,6,2,0,0,0,"leakm001","berrj001","","leakm001","berrj001",
"20180409","HOU","AL",11,"MIN","AL",8,2,0,54,"MIN04",15521,"000001010","000000000",33,7,2,0,0,2,0,0,0,4,0,13,0,1,0,0,8,4,0,0,1,0,27,7,0,0,1,0,33,6,3,0,0,0,0,0,0,2,0,10,0,0,1,0,8,5,2,2,0,0,27,6,1,0,0,0,"verlj001","roget001","gilek001","verlj001","lynnl001",
"20180410","HOU","AL",12,"MIN","AL",9,1,4,51,"MIN04",15500,"010000000","21000001x",31,7,0,0,0,1,0,0,1,5,0,5,0,0,2,0,9,4,4,4,0,0,24,7,0,0,0,0,31,8,1,0,0,4,0,1,0,7,0,13,0,0,0,0,11,4,1,1,0,0,27,11,0,0,2,0,"odorj001","keucd001","rodnf001","keucd001","odorj001",
"20180411","HOU","AL",13,"MIN","AL",10,8,9,53,"MIN04",15438,"100041002","000800001",38,13,1,0,1,7,0,1,1,7,0,8,0,0,1,0,12,6,9,9,1,0,26,9,0,0,0,0,35,9,1,1,2,9,0,0,0,7,0,12,0,0,0,0,7,5,7,7,0,0,27,7,1,0,1,0,"rodnf001","peacb001","","mccul002","gibsk002",
"20180412","CHA","AL",12,"MIN","AL",11,0,4,51,"MIN04",15474,"000000000","00200020x",30,3,0,0,0,0,0,0,1,0,0,13,0,0,1,0,4,3,3,3,1,0,24,7,2,0,2,0,30,7,3,0,0,4,0,0,0,6,0,6,3,0,1,0,8,3,0,0,0,0,27,8,1,0,1,0,"berrj001","gioll001","","gioll001","berrj001",
"20180417","CLE","AL",15,"MIN","AL",12,6,1,54,"SJU01",19516,"000022110","000000100",39,12,3,0,4,6,0,0,0,1,0,9,0,0,0,0,7,3,1,1,0,0,27,4,1,0,0,0,34,6,2,0,0,1,0,0,0,4,0,9,0,0,0,0,10,5,6,6,0,0,27,6,0,1,0,0,"klubc001","odorj001","","klubc001","odorj001",
"20180418","CLE","AL",16,"MIN","AL",13,1,2,93,"SJU01",19537,"0000000000000100","0000000000000101",58,12,1,0,1,1,0,0,1,2,1,12,1,0,2,0,12,9,1,1,1,0,45,11,2,0,0,0,59,13,1,0,1,2,0,0,0,2,1,15,1,0,0,0,14,8,1,1,1,0,48,20,1,0,2,0,"busea001","tomlj001","","carrc003","berrj001",
"20180420","MIN","AL",14,"TBA","AL",19,7,8,59,"STP01",9786,"0100100410","0010203011",36,7,1,0,3,7,0,0,0,3,0,10,0,1,0,0,2,6,7,7,0,0,29,9,2,0,2,0,38,11,3,0,0,6,0,0,1,7,1,13,2,1,1,0,9,5,7,7,0,0,30,10,0,0,0,0,"coloa001","dukez001","","lynnl001","archc001",
"20180421","MIN","AL",15,"TBA","AL",20,1,10,51,"STP01",10106,"100000000","00200053x",31,9,3,0,0,1,1,1,0,0,0,7,0,0,3,0,5,3,10,10,1,0,24,9,0,0,1,0,35,12,1,1,3,10,0,0,1,2,0,8,0,0,1,0,4,2,1,1,0,0,27,11,0,0,3,0,"snelb001","gibsk002","","gibsk002","snelb001",
"20180422","MIN","AL",16,"TBA","AL",21,6,8,51,"STP01",12515,"011001120","200004002",35,9,1,0,1,6,0,0,1,5,0,10,0,0,1,0,8,6,8,8,0,0,24,6,1,0,1,0,36,14,1,0,3,8,0,0,1,2,0,12,0,0,1,0,7,6,6,6,0,0,27,5,0,0,1,0,"coloa001","reeda001","","hughp001","chiry001",
"20180423","MIN","AL",17,"NYA","AL",21,1,14,51,"NYC21",39249,"000010000","31001036x",32,6,2,0,0,1,1,0,1,3,0,8,0,0,0,0,9,5,14,14,0,0,24,5,0,0,0,0,37,13,4,0,4,14,0,0,0,7,0,8,1,0,0,0,6,3,1,1,0,0,27,7,0,0,0,0,"tanam001","odorj001","","odorj001","tanam001",
"20180424","MIN","AL",18,"NYA","AL",22,3,8,51,"NYC21",39025,"100000110","01112030x",32,5,3,0,0,1,0,0,0,3,0,9,0,1,0,0,5,4,8,8,2,0,24,6,1,0,1,0,35,10,1,0,4,8,0,0,0,3,0,13,0,0,1,0,6,5,1,1,0,0,27,8,4,0,0,0,"sabac001","berrj001","","berrj001","sabac001",
"20180425","MIN","AL",19,"NYA","AL",23,4,7,51,"NYC21",39243,"200100100","10410001x",36,10,1,0,1,4,0,0,0,6,0,9,0,1,0,0,11,6,7,7,0,0,24,6,0,0,0,0,32,11,3,0,2,7,1,2,0,7,2,8,0,0,0,0,11,5,4,4,0,0,27,7,0,0,0,0,"greec003","lynnl001","chapa001","lynnl001","grays001",
"20180426","MIN","AL",20,"NYA","AL",24,3,4,51,"NYC21",40758,"002001000","000000103",35,8,1,0,2,3,0,0,0,4,0,12,0,0,0,0,9,4,3,3,1,0,24,5,2,0,0,0,28,5,1,0,1,4,0,1,0,3,0,12,0,0,0,0,4,3,3,3,0,0,27,7,2,0,0,0,"betad001","rodnf001","","gibsk002","montj004",
"20180427","CIN","NL",26,"MIN","AL",21,15,9,54,"MIN04",25002,"102160104","502100001",45,20,5,1,3,14,0,2,1,6,0,8,0,0,1,0,12,6,8,8,0,0,27,7,1,0,2,0,39,14,5,0,2,8,0,0,0,6,0,9,0,0,2,0,9,6,14,14,1,0,27,7,1,0,1,0,"hernd002","dufft001","","castl003","hughp001",
"20180428","CIN","NL",27,"MIN","AL",22,1,3,51,"MIN04",27115,"010000000","00021000x",32,6,2,0,1,1,0,0,0,5,1,4,0,0,1,0,9,3,2,2,0,0,24,11,2,0,1,0,31,8,3,0,1,3,0,1,0,3,0,6,0,0,0,0,8,4,1,1,0,0,27,3,0,0,1,0,"odorj001","romas001","rodnf001","romas001","odorj001",
"20180429","CIN","NL",28,"MIN","AL",23,8,2,54,"MIN04",25677,"112300100","000001001",41,14,3,0,1,8,0,0,0,4,0,6,1,0,0,0,10,4,2,2,0,0,27,6,0,0,1,0,34,8,5,0,0,2,0,0,0,3,0,9,0,0,1,0,8,4,8,8,0,0,27,9,0,0,0,0,"mahlt001","berrj001","","mahlt001","berrj001",
"20180430","TOR","AL",28,"MIN","AL",24,7,5,54,"MIN04",16456,"020310001","000121100",38,10,2,0,2,6,0,0,0,6,1,7,0,1,0,0,10,5,5,5,0,0,27,9,0,0,0,0,37,10,3,1,1,5,0,0,1,4,0,5,1,0,0,0,10,4,6,6,0,0,27,12,2,1,0,0,"sanca006","lynnl001","osunr001","sanca006","lynnl001",
"20180501","TOR","AL",29,"MIN","AL",25,7,4,60,"MIN04",16245,"0000210103","2000020000",38,10,3,0,2,5,0,1,1,7,2,12,3,0,1,0,10,6,4,4,0,0,30,10,0,0,1,0,37,8,2,0,2,4,0,0,0,1,0,6,0,0,1,0,4,7,7,7,2,0,30,10,0,0,1,0,"clipt001","curtj003","osunr001","estrm001","gibsk002",
"20180502","TOR","AL",30,"MIN","AL",26,0,4,51,"MIN04",16420,"000000000","01100002x",30,6,1,0,0,0,0,0,1,3,0,9,0,2,1,0,7,3,4,4,1,0,24,5,1,0,1,0,32,9,1,0,1,4,0,1,0,3,0,7,2,0,1,0,8,5,0,0,0,0,27,11,0,0,2,0,"romef001","strom001","","strom001","romef001",
"20180503","MIN","AL",27,"CHA","AL",29,5,6,53,"CHI12",13260,"002300000","001211001",33,7,2,0,1,4,0,1,1,2,0,3,0,0,0,0,5,4,4,4,0,0,26,7,2,0,1,0,30,7,2,0,2,5,1,0,1,2,0,14,1,2,0,0,2,5,4,4,0,0,27,8,0,2,0,0,"jonen001","reeda001","","odorj001","loper003",
"20180504","MIN","AL",28,"CHA","AL",30,6,4,54,"CHI12",15935,"023010000","201100000",37,12,3,1,4,6,0,0,0,4,0,11,0,1,0,0,8,5,4,4,0,0,27,10,1,0,0,0,36,9,0,1,2,4,0,0,0,3,0,5,1,0,0,0,8,6,5,5,2,0,27,10,0,1,0,0,"berrj001","fulmc001","rodnf001","berrj001","fulmc001",
"20180505","MIN","AL",29,"CHA","AL",31,8,4,54,"CHI12",23765,"303200000","100010101",36,11,3,0,1,8,0,0,0,8,0,8,0,1,0,0,9,3,4,4,0,0,27,8,0,0,2,0,36,11,4,0,2,3,0,0,0,0,0,11,1,0,2,0,5,4,8,8,0,0,27,10,0,0,0,0,"lynnl001","santh001","","lynnl001","santh001",
"20180506","MIN","AL",30,"CHA","AL",32,5,3,54,"CHI12",17424,"000000311","001001100",32,4,1,0,1,5,0,0,0,3,0,6,1,0,0,0,3,4,3,3,1,0,27,5,1,0,0,0,30,5,2,0,0,2,2,1,0,2,0,12,0,0,0,0,5,5,4,4,1,0,27,7,1,0,0,0,"dukez001","rondb001","rodnf001","gibsk002","shiej002",
"20180507","MIN","AL",31,"SLN","NL",33,6,0,54,"STL10",40182,"200101020","000000000",36,11,5,0,0,6,0,1,1,3,1,10,0,0,0,0,8,3,0,0,0,0,27,10,0,0,1,0,29,4,1,0,0,0,1,0,1,3,0,12,0,0,1,0,7,4,6,6,1,0,27,9,0,0,0,0,"romef001","gantj002","","romef001","gantj002",
