Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
43504,20100405,weavj003,ANA,10,33,0,0,0,1,0,0,0,1,0,9,3,3,0,6,0,4,27,6,0,0,6,1,5,3,0,0,3,0,AL,AL,51,bakes002,ANA01,fuenb001,,bakes002,1,7,0,3,MIN,4,32,0,0,0,0,1,0,1,1,7,1,6,0,0,4,24,3,1,1,8,6,0,0,3,1,weavj003,0.21875,0.2727272727272727,0.2972972972972973,0.3333333333333333,0.34375,0.5454545454545454,0.6410472972972974,0.8787878787878787,0.0,
43510,20100406,saunj001,ANA,16,33,0,0,0,3,1,1,1,2,0,8,1,5,0,7,0,3,27,3,0,0,3,0,6,5,0,0,4,1,AL,AL,54,saunj001,ANA01,raucj001,,blacn001,2,6,0,5,MIN,12,32,0,0,0,2,1,0,3,0,9,3,3,0,0,4,27,5,1,0,6,3,0,0,5,0,blacn001,0.28125,0.24242424242424243,0.3684210526315789,0.32432432432432434,0.59375,0.36363636363636365,0.962171052631579,0.687960687960688,1.0,0.0
41533,20100407,sante001,ANA,12,35,0,0,1,0,2,0,0,3,1,9,0,4,0,7,0,3,27,2,0,0,2,0,6,4,0,0,0,1,AL,AL,54,sante001,ANA01,raucj001,,pavac001,3,5,0,4,MIN,12,34,0,0,0,0,0,0,0,0,7,2,2,0,0,3,27,4,1,2,7,2,0,1,1,0,pavac001,0.20588235294117646,0.2571428571428571,0.2222222222222222,0.2777777777777778,0.4411764705882353,0.3142857142857143,0.6633986928104575,0.5920634920634921,1.0,1.0
39709,20100408,pinej001,ANA,17,34,0,0,0,1,1,1,0,4,0,8,0,10,0,9,0,4,27,1,1,0,1,0,9,10,0,0,2,0,AL,AL,54,pinej001,ANA01,,,slowk001,4,7,1,10,MIN,6,37,0,0,0,0,3,0,1,0,11,3,1,0,0,5,27,10,0,0,5,1,0,0,6,0,slowk001,0.2972972972972973,0.23529411764705882,0.3953488372093023,0.2702702702702703,0.6216216216216216,0.2647058823529412,1.0169704588309239,0.5349761526232115,1.0,1.0
21416,20100409,dankj001,CHA,16,39,0,0,2,1,2,2,2,4,0,10,0,3,0,8,0,6,33,2,0,0,3,0,5,3,0,0,5,0,AL,AL,66,penat003,CHI12,raucj001,,lirif001,5,13,2,4,MIN,18,41,0,0,1,2,1,0,0,0,10,0,3,1,0,5,33,3,0,1,12,3,0,0,7,1,duenb001,0.24390243902439024,0.2564102564102564,0.3541666666666667,0.3409090909090909,0.2682926829268293,0.3076923076923077,0.622459349593496,0.6486013986013985,1.0,1.0
28337,20100410,garcf002,CHA,11,31,0,0,0,1,3,0,0,5,0,6,0,2,0,6,0,3,27,1,0,1,1,0,3,2,0,0,2,0,AL,AL,54,garcf002,CHI12,raucj001,,bakes002,6,8,1,2,MIN,7,30,0,0,0,1,1,0,0,0,5,1,1,1,0,4,27,2,0,0,5,1,0,0,6,0,bakes002,0.16666666666666666,0.1935483870967742,0.3055555555555556,0.24242424242424243,0.3,0.2903225806451613,0.6055555555555556,0.5327468230694037,1.0,1.0
25550,20100411,buehm001,CHA,17,31,0,0,0,3,1,0,2,6,1,9,3,4,0,4,0,2,27,5,0,0,5,0,0,4,0,0,1,1,AL,AL,51,blacn001,CHI12,jenkb001,,blacn001,7,4,1,4,MIN,14,32,0,0,0,2,3,1,3,0,10,0,5,0,0,3,24,4,0,0,2,5,0,0,2,0,buehm001,0.3125,0.2903225806451613,0.35294117647058826,0.3333333333333333,0.40625,0.6129032258064516,0.7591911764705883,0.946236559139785,0.0,1.0
38145,20100412,pavac001,MIN,10,36,0,0,0,1,2,0,0,8,0,12,1,2,0,11,0,4,27,5,0,0,5,3,7,2,0,0,4,0,AL,AL,51,lestj001,MIN04,raucj001,,lestj001,7,4,0,2,BOS,9,31,0,0,1,0,4,0,1,0,7,0,5,0,0,3,24,2,1,0,6,5,0,0,1,0,pavac001,0.22580645161290322,0.3333333333333333,0.24242424242424243,0.4,0.3548387096774194,0.4722222222222222,0.5972629521016618,0.8722222222222222,1.0,0.0
38164,20100414,slowk001,MIN,9,34,0,0,0,0,2,0,2,9,0,9,1,6,1,11,0,4,27,3,0,0,3,0,2,6,0,0,7,1,AL,AL,54,slowk001,MIN04,papej001,,lackj001,8,9,0,6,BOS,9,36,0,0,1,2,4,0,0,0,10,1,3,1,1,4,27,6,0,0,10,3,0,0,6,1,lackj001,0.2777777777777778,0.2647058823529412,0.38095238095238093,0.3902439024390244,0.4722222222222222,0.4117647058823529,0.8531746031746031,0.8020086083213773,0.0,1.0
38341,20100415,lirif001,MIN,11,39,0,0,0,1,5,0,0,10,0,15,1,0,1,10,0,3,27,7,1,0,8,0,4,0,0,0,2,0,AL,AL,51,waket001,MIN04,,,waket001,9,8,0,0,BOS,6,32,0,0,0,0,1,3,1,0,6,0,7,0,0,3,24,0,0,0,10,7,0,0,3,1,lirif001,0.1875,0.38461538461538464,0.2571428571428571,0.40476190476190477,0.21875,0.5897435897435898,0.4758928571428571,0.9945054945054945,1.0,0.0
38532,20100416,bakes002,MIN,8,32,0,0,0,0,2,0,1,11,1,11,0,3,0,10,0,3,27,10,2,0,10,0,7,3,0,0,9,0,AL,AL,51,greiz001,MIN04,,,greiz001,10,6,0,3,KCA,8,35,0,0,0,1,0,1,0,1,9,1,8,0,0,5,24,3,0,1,7,8,0,1,0,1,bakes002,0.2571428571428571,0.34375,0.2777777777777778,0.4772727272727273,0.4,0.40625,0.6777777777777778,0.8835227272727273,1.0,1.0
38564,20100417,blacn001,MIN,10,31,0,0,0,1,1,0,2,12,0,9,2,5,1,6,0,4,27,6,0,0,6,1,2,5,0,1,5,0,AL,AL,51,parrj003,MIN04,raucj001,,mechg001,11,5,2,5,KCA,12,32,0,0,0,2,3,0,1,0,9,2,6,0,0,3,24,5,0,0,5,6,0,0,3,0,duenb001,0.28125,0.2903225806451613,0.34285714285714286,0.3888888888888889,0.5625,0.5806451612903226,0.9053571428571429,0.9695340501792116,1.0,1.0
38544,20100418,pavac001,MIN,10,34,0,0,0,0,1,0,1,13,0,8,0,10,0,11,0,4,27,5,1,0,5,0,7,10,0,0,8,1,AL,AL,54,pavac001,MIN04,sorij001,,hochl001,12,6,1,10,KCA,10,41,0,0,0,2,3,2,0,0,16,2,3,0,0,4,27,10,0,4,9,3,0,0,1,0,hochl001,0.3902439024390244,0.23529411764705882,0.40476190476190477,0.37209302325581395,0.6097560975609756,0.2647058823529412,1.0145180023228804,0.6367989056087551,0.0,1.0
