Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20100404,NYA,AL,1,BOS,AL,1,7,9,51,BOS07,37440,20300200,01001331x,37,12,2,0,2,6,0,0,0,6,0,2,2,0,2,0,9,5,8,8,1,0,24,9,1,1,1,0,34,12,3,1,1,8,0,1,0,4,0,5,0,0,0,0,6,6,7,7,1,0,27,15,0,0,2,0,okajh001,parkc002,papej001,sabac001,beckj002,1,Apr 4,@,BOS,"L,7-9",8,12,9,8,1,4,5,1,0,9,39,170,101,3,2,0,0,34,3,1,0,0,1,0,0,5,Joe West,"C.Sabathia (99-38), D.Robertson (99-BSv), C.Park (99-BL), D.Marte (99), J.Chamberlain (99)"
20100406,NYA,AL,2,BOS,AL,2,6,4,54,BOS07,38000,10030011,102010000,35,9,4,0,1,6,0,1,2,5,0,7,0,0,1,0,10,6,3,3,0,0,27,5,3,0,1,0,35,9,3,0,1,4,0,1,1,1,0,8,2,0,1,0,7,5,5,5,0,0,27,12,1,0,1,0,aceva001,okajh001,rivem002,burna001,lestj001,2,Apr 6,@,BOS,"W,6-4",9,9,4,3,1,1,8,1,1,5.82,38,148,96,2,0,2,0,35,3,0,0,0,1,1,1,6,Angel Hernandez,"A.Burnett (99-43), A.Aceves (99-W), D.Robertson (1), D.Marte (1-H), J.Chamberlain (1-H), M.Rivera (99-Sv)"
20100407,NYA,AL,3,BOS,AL,3,3,1,60,BOS07,38238,1002,10000000,34,6,1,0,1,3,0,0,1,5,0,7,2,1,1,0,7,3,1,1,0,0,30,10,0,0,2,0,35,7,2,0,0,1,0,0,1,3,0,5,0,0,2,0,8,5,3,3,0,0,30,15,0,0,1,0,parkc002,papej001,rivem002,petta001,lackj001,3,Apr 7,@,BOS,"W,3-1",10,7,1,1,0,3,5,0,1,4,39,143,86,0,0,0,0,35,2,0,0,0,0,0,2,3,Paul Schrieber,"A.Pettitte (99-57), C.Park (2-W), M.Rivera (0-Sv)"
20100409,NYA,AL,4,TBA,AL,4,3,9,51,STP01,33221,200010,00050400x,35,8,2,1,0,2,0,0,0,3,0,9,0,0,0,0,8,2,9,9,0,0,24,7,0,0,0,0,34,10,3,0,2,9,0,0,0,3,0,6,3,0,0,0,4,3,3,3,0,0,27,9,1,0,0,0,pricd001,vazqj001,,vazqj001,pricd001,4,Apr 9,@,TBR,"L,3-9",8,10,9,9,0,3,6,2,0,5.4,37,132,81,1,1,3,0,34,3,0,0,0,0,0,0,2,James Hoye,"J.Vazquez (99-23-L), S.Mitre (99)"
20100410,NYA,AL,5,TBA,AL,5,10,0,54,STP01,29892,220042,0,36,14,2,0,1,10,1,0,0,8,0,3,2,1,1,0,8,2,0,0,0,1,27,13,0,0,0,0,29,2,1,0,0,0,0,0,0,2,0,7,2,0,0,0,4,5,10,10,1,0,27,13,0,0,1,0,sabac001,daviw001,,sabac001,daviw001,5,Apr 10,@,TBR,"W,10-0",9,2,0,0,0,2,7,0,0,4.3,31,136,85,1,0,2,0,29,1,0,0,0,0,0,0,2,Wally Bell,"C.Sabathia (5-80-W), D.Robertson (3)"
20100411,NYA,AL,6,TBA,AL,6,7,3,54,STP01,31253,10003210,200000010,36,9,4,0,2,6,0,0,0,4,0,6,2,0,0,0,6,3,3,3,0,0,27,10,0,0,3,0,31,9,0,1,0,3,1,0,0,5,0,3,2,0,2,0,7,4,7,7,1,0,27,4,0,0,0,0,burna001,choar001,,burna001,shiej002,6,Apr 11,@,TBR,"W,7-3",9,9,3,3,0,5,3,0,0,4.08,37,136,76,0,0,2,0,31,0,1,0,1,0,0,2,3,Laz Diaz,"A.Burnett (4-55-W), J.Chamberlain (4), M.Rivera (3)"
20100413,ANA,AL,8,NYA,AL,7,5,7,51,NYC21,49293,14,10110202x,37,11,0,0,2,5,0,0,0,3,0,9,0,0,1,0,8,4,7,7,2,0,24,7,0,0,2,0,34,13,4,0,2,7,0,0,0,9,0,8,1,0,2,0,12,4,5,5,0,0,27,9,0,0,1,0,petta001,sante001,rivem002,sante001,petta001,7,Apr 13,1,LAA,"W,7-5",9,11,5,5,0,3,9,2,0,4.21,40,157,102,0,0,0,0,37,0,0,0,0,0,0,1,4,Hunter Wendelstedt,"A.Pettitte (5-65-W), C.Park (5), D.Robertson (2), M.Rivera (1-Sv)"
20100414,ANA,AL,9,NYA,AL,8,5,3,54,NYC21,42372,2002100,10020,36,10,3,0,0,5,0,0,1,3,0,6,2,1,0,0,8,4,3,3,1,0,27,12,0,0,0,0,34,7,1,1,0,3,0,0,0,2,0,8,0,0,0,0,6,4,5,5,1,0,27,7,0,1,0,0,pinej001,vazqj001,rodnf001,pinej001,vazqj001,8,Apr 14,1,LAA,"L,3-5",9,10,5,5,0,3,6,0,1,4.31,40,155,93,1,1,2,1,36,3,0,0,0,0,0,0,4,Dan Bellino,"J.Vazquez (4-42-L), A.Aceves (7), J.Chamberlain (2), D.Marte (7)"
20100415,ANA,AL,10,NYA,AL,9,2,6,51,NYC21,44722,10001000,01122000x,31,6,0,0,1,2,0,0,0,7,0,11,1,0,1,0,9,4,6,6,0,0,24,9,0,0,0,0,33,9,3,2,3,6,0,0,0,6,0,7,0,0,0,0,9,5,2,2,1,1,27,8,0,0,1,0,hughp001,kazms001,rivem002,kazms001,hughp001,9,Apr 15,1,LAA,"W,6-2",9,6,2,2,0,7,11,1,0,4.05,38,184,111,7,1,1,0,31,0,0,0,0,0,0,1,5,Jerry Layne,"P.Hughes (99-54-W), D.Robertson (1), D.Marte (0), J.Chamberlain (0-H), M.Rivera (1-Sv)"
20100416,TEX,AL,10,NYA,AL,10,1,5,36,NYC21,42145,100000,100301,20,3,1,0,0,1,0,1,1,0,0,9,0,0,0,0,3,1,3,3,0,0,18,6,1,1,1,0,24,7,0,0,0,3,0,0,2,3,0,5,1,1,1,0,6,1,1,1,0,0,18,7,0,0,0,0,sabac001,wilsc004,,wilsc004,sabac001,10,Apr 16,1,TEX,"W,5-1",6,3,1,1,0,0,9,0,1,3.87,22,73,58,1,1,0,0,20,1,0,0,0,1,0,0,1,Tim Timmons,C.Sabathia (5-71-W)
