Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20130401,BOS,AL,1,NYA,AL,1,8,2,54,NYC21,49514,40000103,200000,40,13,1,1,0,8,0,0,0,8,1,8,0,0,0,0,13,6,2,2,2,0,27,6,0,0,1,0,33,6,1,0,0,2,0,0,0,4,0,10,0,0,1,0,8,6,8,8,1,0,27,12,0,0,0,0,lestj001,sabac001,,lestj001,sabac001,,1,Apr 1,1,BOS,"L,2-8",9,13,8,8,0,8,8,0,0,8,48,190,115,4,1,0,0,40,1,1,1,0,0,0,0,6,Ted Barrett,"C.Sabathia (99-36-L), D.Phelps (99), B.Logan (99), S.Kelley (99), J.Chamberlain (99), C.Eppley (99)"
20130403,BOS,AL,2,NYA,AL,2,7,4,54,NYC21,40216,114001000,100030,39,14,3,0,0,7,0,0,2,3,0,7,1,0,2,0,10,4,4,4,0,0,27,9,0,0,1,0,35,9,0,0,2,4,0,0,1,2,0,5,1,0,1,0,7,4,7,7,1,0,27,10,0,0,2,0,buchc001,kuroh001,hanrj001,buchc001,kuroh001,,2,Apr 3,1,BOS,"L,4-7",9,14,7,7,0,3,7,0,2,7.5,44,177,106,5,2,1,0,39,3,0,0,0,0,0,2,4,Alfonso Marquez,"H.Kuroda (99-38-L), C.Eppley (1), A.Warren (99), S.Kelley (1)"
20130404,BOS,AL,3,NYA,AL,3,2,4,51,NYC21,40611,101,02100010x,32,9,2,0,0,2,0,0,0,2,0,4,0,0,3,0,5,3,4,4,0,0,24,9,0,0,0,0,29,8,2,0,2,4,0,0,0,4,0,9,0,2,0,0,5,2,2,2,1,0,27,13,0,0,3,0,petta001,dempr002,rivem002,dempr002,petta001,,3,Apr 4,1,BOS,"W,4-2",9,9,2,2,0,2,4,0,0,5.67,34,114,78,0,0,0,0,32,2,0,0,0,0,0,3,2,Mike DiMuro,"A.Pettitte (99-64-W), M.Rivera (99-Sv)"
20130405,NYA,AL,4,DET,AL,4,3,8,51,DET05,45051,30000,11003120x,32,6,0,0,1,2,0,0,2,2,0,7,0,0,1,0,6,4,8,8,1,0,24,6,0,0,1,0,32,9,0,0,3,8,0,0,1,4,0,8,1,0,1,0,5,2,3,3,1,0,27,15,0,0,1,0,fistd001,novai001,smyld001,novai001,fistd001,,4,Apr 5,@,DET,"L,3-8",8,9,8,8,0,4,8,3,1,6.43,37,157,91,2,2,1,0,32,0,0,0,0,0,0,1,4,Alan Porter,"I.Nova (99-41-L), B.Logan (3), S.Kelley (1), D.Robertson (99)"
20130406,NYA,AL,5,DET,AL,5,4,8,51,DET05,42453,10003000,10004201x,31,6,2,1,1,4,0,0,1,5,0,10,0,0,0,0,6,4,6,6,1,0,24,5,2,0,2,0,37,17,3,0,0,8,0,3,0,3,0,7,0,1,0,0,11,4,4,4,0,0,27,6,0,0,2,0,schem001,hughp001,,hughp001,schem001,,5,Apr 6,@,DET,"L,4-8",8,17,8,6,2,3,7,0,0,6.49,43,169,101,3,2,0,1,37,3,0,0,0,3,1,0,4,Jerry Layne,"P.Hughes (99-36-L), B.Logan (0), D.Phelps (4), J.Chamberlain (4)"
20130407,NYA,AL,6,DET,AL,6,7,0,54,DET05,39829,30000022,0,38,13,3,0,1,7,0,1,0,3,0,4,0,0,1,0,8,3,0,0,0,0,27,7,0,0,0,0,35,8,0,0,0,0,0,0,0,3,0,7,0,0,0,0,11,3,7,7,0,0,27,8,0,0,1,0,sabac001,verlj001,,sabac001,verlj001,,6,Apr 7,@,DET,"W,7-0",9,8,0,0,0,3,7,0,0,5.37,38,155,100,0,0,0,0,35,0,0,0,0,0,0,0,3,Brian O'Nora,"C.Sabathia (5-70-W), D.Robertson (1), M.Rivera (2)"
20130408,NYA,AL,7,CLE,AL,7,11,6,54,CLE08,41567,301121300,300000030,38,13,2,0,3,9,0,1,0,4,0,7,2,1,0,0,5,4,6,6,2,0,27,8,0,0,1,0,33,9,2,1,1,5,0,2,0,8,0,13,0,0,1,0,10,5,10,10,1,0,27,7,1,1,0,0,kuroh001,jimeu001,,kuroh001,jimeu001,,7,Apr 8,@,CLE,"W,11-6",9,9,6,6,0,8,13,1,0,5.46,43,198,116,3,0,0,0,33,2,1,0,0,2,0,1,4,Marvin Hudson,"H.Kuroda (4-48-W), B.Logan (1), S.Kelley (2), J.Chamberlain (1)"
20130409,NYA,AL,8,CLE,AL,8,14,1,54,CLE08,12663,41202041,1000,45,18,6,0,5,14,0,0,1,2,0,6,0,0,2,0,7,2,1,1,0,0,27,12,0,0,1,0,33,7,2,0,1,1,0,0,0,3,0,5,0,0,1,0,8,2,14,14,0,0,27,15,2,0,2,0,petta001,carrc003,,petta001,carrc003,,8,Apr 9,@,CLE,"W,14-1",9,7,1,1,0,3,5,1,0,4.89,36,123,77,0,0,0,0,33,2,0,0,0,0,0,1,2,Jordan Baker,"A.Pettitte (4-64-W), A.Warren (5)"
20130412,BAL,AL,10,NYA,AL,9,2,5,51,NYC21,35033,1000100,00101030x,33,9,1,0,0,2,0,0,0,0,0,9,0,0,2,0,4,4,2,2,0,0,24,13,1,0,1,0,27,6,0,0,0,2,2,0,2,6,1,5,0,0,1,0,8,2,1,1,0,1,27,12,1,0,2,1,sabac001,gonzm003,rivem002,gonzm003,sabac001,,9,Apr 12,1,BAL,"W,5-2",9,9,2,1,1,0,9,0,0,4.44,33,117,83,0,0,0,0,33,1,0,0,0,0,1,2,2,Dan Bellino,"C.Sabathia (4-69-W), M.Rivera (4-Sv)"
20130413,BAL,AL,11,NYA,AL,10,5,3,54,NYC21,41851,112100000,20001000,34,11,3,0,3,5,1,0,1,2,0,7,0,0,1,0,6,4,2,2,0,0,27,12,1,0,1,0,38,11,1,0,2,3,0,0,0,1,0,5,0,0,1,0,9,4,5,5,0,0,27,15,1,0,1,0,hammj002,hughp001,johnj010,hammj002,hughp001,,10,Apr 13,1,BAL,"L,3-5",9,11,5,5,0,2,7,3,1,4.5,38,126,82,1,0,0,0,34,3,0,0,1,0,0,1,4,Larry Vanover,"P.Hughes (6-19-L), D.Phelps (6), J.Chamberlain (4), D.Robertson (5)"
