Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20170402","NYA","AL",1,"TBA","AL",1,3,7,51,"STP01",31042,"020000001","32200000x",36,9,1,0,0,3,0,1,1,1,0,8,0,0,0,0,9,5,7,7,1,0,24,5,1,0,0,0,36,13,2,0,2,6,0,1,0,3,0,10,1,0,0,0,9,4,2,2,0,0,27,9,1,0,0,0,"archc001","tanam001","coloa001","tanam001","archc001",
"20170404","NYA","AL",2,"TBA","AL",2,5,0,54,"STP01",19366,"003001010","000000000",36,9,4,0,2,5,0,0,0,3,0,5,1,0,0,0,7,6,0,0,0,0,27,12,0,0,0,0,32,5,0,0,0,0,0,0,0,3,0,8,0,0,0,0,8,4,5,5,1,0,27,5,0,0,0,0,"sabac001","odorj001","","sabac001","odorj001",
"20170405","NYA","AL",3,"TBA","AL",3,1,4,51,"STP01",12737,"010000000","13000000x",33,8,1,0,1,1,0,0,0,2,0,6,0,0,2,0,7,4,4,4,1,0,24,9,0,1,0,0,31,8,0,0,1,4,0,0,0,2,0,10,2,1,0,0,5,5,1,1,0,0,27,16,0,1,2,0,"cobba001","pinem001","coloa001","pinem001","cobba001",
"20170407","NYA","AL",4,"BAL","AL",3,5,6,51,"BAL12",25248,"102020000","10003020x",35,10,1,0,2,5,0,0,0,4,0,10,2,1,1,0,7,5,5,5,0,0,24,6,2,0,0,0,31,7,1,0,2,6,1,0,0,1,0,9,0,0,0,0,3,6,5,5,0,0,27,13,0,0,1,0,"hartd002","clipt001","britz001","sevel001","jimeu001",
"20170408","NYA","AL",5,"BAL","AL",4,4,5,51,"BAL12",38916,"020020000","00012020x",34,9,1,0,0,3,0,0,0,6,0,8,1,1,0,0,9,5,5,5,0,0,24,8,0,0,1,0,32,10,2,0,0,5,0,0,2,4,0,7,2,1,1,0,9,5,4,4,1,1,27,7,1,0,1,0,"givem001","betad001","britz001","tanam001","gausk001",
"20170409","NYA","AL",6,"BAL","AL",5,7,3,54,"BAL12",42487,"000002014","020010000",34,9,0,1,1,6,0,1,0,11,0,8,1,0,0,0,12,4,2,2,1,0,27,7,0,1,1,0,32,6,0,0,0,3,0,0,0,4,0,8,0,0,1,0,6,6,7,7,0,0,27,7,2,0,0,0,"betad001","odayd001","","sabac001","milew001",
"20170410","TBA","AL",8,"NYA","AL",7,1,8,51,"NYC21",46955,"000000010","00110015x",29,2,1,0,1,1,0,0,0,0,0,12,0,0,0,0,1,2,6,6,1,0,24,8,2,0,1,0,36,10,2,1,3,8,0,0,0,1,0,7,2,0,1,0,5,3,1,1,0,0,27,9,0,0,0,0,"pinem001","cobba001","","cobba001","pinem001",
"20170412","TBA","AL",9,"NYA","AL",8,4,8,51,"NYC21",38002,"200010010","00002420x",35,9,2,0,1,3,0,0,1,2,0,11,0,0,0,0,7,5,4,4,1,0,24,11,2,0,0,0,34,8,0,0,1,6,0,0,0,5,0,1,1,0,0,0,7,6,2,2,0,0,27,8,1,1,0,0,"mitcb001","diazj005","chapa001","snelb001","montj004",
"20170413","TBA","AL",10,"NYA","AL",9,2,3,51,"NYC21",34772,"010010000","10000020x",33,7,0,0,1,2,0,0,0,2,0,15,0,0,0,0,6,5,3,3,2,0,24,12,0,0,1,0,29,7,2,0,2,3,0,0,0,5,1,7,0,0,1,0,7,3,2,2,0,0,27,6,0,0,0,0,"sevel001","cedex001","chapa001","andrm001","sevel001",
"20170414","SLN","NL",10,"NYA","AL",10,3,4,51,"NYC21",39102,"200000100","21001000x",33,6,3,0,1,3,0,0,0,4,0,9,0,0,0,0,7,3,3,3,0,0,24,5,1,0,1,0,32,9,1,0,2,3,0,0,0,4,0,10,2,0,1,0,8,4,3,3,0,0,27,10,0,0,0,0,"tanam001","wachm001","chapa001","wachm001","tanam001",
