teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO
NYA,AL,7,0,37,12,2,0,2,6,6,2,9,5,8,8,1,0.32432432432432434,0.4186046511627907,0.5405405405405406,0.9591451917033312,0.0,,2.0,0.1282051282051282,0.10256410256410256,4.9540000000000015,0.3793103448275862,9.0,12,5
NYA,AL,6,0,35,9,4,0,1,6,5,7,10,6,3,3,3,0.2571428571428571,0.372093023255814,0.4571428571428571,0.8292358803986709,1.0,0.0,1.1111111111111112,0.21052631578947367,0.02631578947368421,3.4123333333333337,0.2962962962962963,5.82,9,8
NYA,AL,3,0,34,6,1,0,1,3,5,7,7,3,1,1,0,0.17647058823529413,0.3,0.29411764705882354,0.5941176470588235,1.0,1.0,1.0,0.1282051282051282,0.07692307692307693,3.2790000000000004,0.2333333333333333,4.0,7,5
NYA,AL,3,0,35,8,2,1,0,2,3,9,8,2,9,9,0,0.2285714285714285,0.2894736842105263,0.3428571428571429,0.6323308270676692,0.0,1.0,1.625,0.16216216216216214,0.08108108108108109,5.9540000000000015,0.3076923076923077,5.4,10,6
NYA,AL,10,0,36,14,2,0,1,10,8,3,8,2,0,0,0,0.3888888888888889,0.5,0.5277777777777778,1.0277777777777777,1.0,0.0,0.4444444444444444,0.2258064516129032,0.06451612903225806,2.190111111111112,0.09090909090909093,4.3,2,7
NYA,AL,7,0,36,9,4,0,2,6,4,6,6,3,3,3,0,0.25,0.325,0.5277777777777778,0.8527777777777779,1.0,1.0,1.5555555555555556,0.08108108108108109,0.13513513513513514,4.0790000000000015,0.32142857142857145,4.08,9,3
NYA,AL,7,1,34,13,4,0,2,7,9,8,12,4,5,5,0,0.38235294117647056,0.5116279069767442,0.6764705882352942,1.1880984952120384,1.0,1.0,1.5555555555555556,0.225,0.075,4.967888888888889,0.3461538461538461,4.21,11,9
NYA,AL,3,1,34,7,1,1,0,3,2,8,6,4,5,5,0,0.2058823529411765,0.25,0.29411764705882354,0.5441176470588236,0.0,1.0,1.4444444444444444,0.15,0.075,3.0789999999999997,0.3333333333333333,4.31,10,6
NYA,AL,6,1,33,9,3,2,3,6,6,7,9,5,2,2,0,0.2727272727272727,0.38461538461538464,0.7575757575757576,1.1421911421911422,1.0,0.0,1.4444444444444444,0.2894736842105263,0.18421052631578946,4.412333333333334,0.2631578947368421,4.05,6,11
NYA,AL,5,1,24,7,0,0,0,3,3,5,6,1,1,1,0,0.2916666666666667,0.4137931034482759,0.2916666666666667,0.7054597701149425,1.0,1.0,0.5,0.4090909090909091,0.0,0.5790000000000002,0.25,3.87,3,9
NYA,AL,7,1,36,13,1,0,2,6,2,4,7,4,3,3,0,0.3611111111111111,0.3947368421052632,0.5555555555555556,0.9502923976608189,1.0,1.0,1.2222222222222223,0.2702702702702703,0.08108108108108109,3.3012222222222225,0.3043478260869565,3.79,8,10
NYA,AL,5,1,28,7,0,0,2,5,8,10,10,2,2,2,0,0.25,0.4358974358974359,0.4642857142857143,0.9001831501831502,1.0,1.0,0.7777777777777778,0.18181818181818185,0.09090909090909093,2.7456666666666667,0.17391304347826084,3.63,4,6
NYA,AL,7,0,31,5,1,0,1,7,10,10,8,5,3,3,0,0.16129032258064516,0.36585365853658536,0.2903225806451613,0.6561762391817467,1.0,1.0,1.4444444444444444,0.2972972972972973,0.13513513513513514,5.190111111111111,0.3157894736842105,3.58,8,11
NYA,AL,3,0,34,8,0,2,0,3,4,7,8,3,1,1,0,0.2352941176470588,0.3157894736842105,0.35294117647058826,0.6687306501547987,1.0,1.0,0.5555555555555556,0.30303030303030304,0.060606060606060615,1.8567777777777776,0.15,3.39,3,10
