Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20120405,ATL,NL,1,NYN,NL,1,0,1,51,NYC20,42080,0,00000100x,31,4,1,1,0,0,0,0,0,3,0,8,0,0,0,0,7,3,1,1,0,0,24,11,1,0,2,0,29,7,1,0,0,1,0,0,0,4,0,6,0,0,2,0,8,5,0,0,0,0,27,6,0,0,0,0,ramir003,hanst001,franf001,hanst001,santj003,,1,Apr 5,1,ATL,"W,1-0",9,4,0,0,0,3,8,0,0,0,34,137,81,1,0,0,0,31,1,1,0,0,0,0,0,5,Gerry Davis,"J.Santana (99-66), R.Ramirez (99-W), T.Byrdak (99-H), J.Rauch (99-H), F.Francisco (99-Sv)"
20120407,ATL,NL,2,NYN,NL,2,2,4,51,NYC20,39526,20000,10011010x,32,7,1,1,1,2,0,0,0,4,0,7,0,0,1,0,7,4,4,4,0,0,24,6,0,1,0,0,37,13,1,0,3,4,0,0,0,3,0,5,0,0,0,0,12,4,2,2,0,0,27,12,0,1,1,0,dickr001,jurrj001,franf001,jurrj001,dickr001,,2,Apr 7,1,ATL,"W,4-2",9,7,2,2,0,4,7,1,0,1,36,136,86,0,0,0,0,32,1,1,0,0,0,0,1,4,Eric Cooper,"R.Dickey (99-53-W), B.Parnell (99-H), J.Rauch (1-H), F.Francisco (1-Sv)"
20120408,ATL,NL,3,NYN,NL,3,5,7,51,NYC20,27855,410,10012300x,30,3,1,0,1,4,0,1,0,4,0,10,1,0,0,0,3,4,7,7,0,0,24,9,0,0,2,0,31,11,5,0,0,7,0,2,0,5,1,9,0,0,1,0,7,4,4,4,0,0,27,9,1,1,0,0,niesj001,minom001,franf001,minom001,niesj001,,3,Apr 8,1,ATL,"W,7-5",9,3,5,4,1,4,10,1,0,2,35,138,91,1,1,1,0,30,1,0,0,0,1,1,0,4,Phil Cuzzi,"J.Niese (99-57-W), M.Acosta (99), T.Byrdak (2-H), F.Francisco (0-Sv)"
20120409,WAS,NL,4,NYN,NL,4,3,4,51,NYC20,23970,102000000,1200001,35,10,1,1,0,3,0,0,0,4,0,10,0,0,2,0,9,3,3,3,0,0,24,7,2,0,0,0,31,7,3,0,1,4,1,0,0,6,1,7,0,1,0,0,10,4,3,3,0,0,27,10,1,0,2,0,raucj001,rodrh002,,jacke001,pelfm001,,4,Apr 9,1,WSN,"W,4-3",9,10,3,3,0,4,10,0,0,2.25,39,154,89,4,0,0,0,35,1,1,0,0,0,1,2,4,Todd Tichenor,"M.Pelfrey (99-44), M.Batista (99), R.Ramirez (3), J.Rauch (1-W)"
20120410,WAS,NL,5,NYN,NL,5,6,2,54,NYC20,26927,100003110,110,37,13,4,0,1,5,1,1,1,4,0,11,0,1,1,0,11,5,2,2,0,0,27,13,0,0,1,0,33,7,3,0,0,2,0,0,0,3,0,10,0,0,1,0,7,3,5,5,0,0,27,8,1,0,2,0,detwr001,gee-d001,,detwr001,gee-d001,,5,Apr 10,1,WSN,"L,2-6",9,13,6,5,1,4,11,1,1,2.8,44,190,119,2,2,0,1,37,4,0,0,1,1,1,1,3,Brian Gorman,"D.Gee (99-43-L), B.Parnell (2), M.Batista (0)"
20120411,WAS,NL,6,NYN,NL,6,4,0,54,NYC20,34614,10000111,0,34,9,1,0,0,3,0,0,1,10,0,10,1,1,0,0,14,4,0,0,1,0,27,4,1,0,0,0,30,3,0,0,0,0,0,0,1,4,0,15,0,0,0,0,8,6,4,4,1,0,27,5,0,1,1,0,stras001,santj003,,stras001,santj003,,6,Apr 11,1,WSN,"L,0-4",9,9,4,4,0,10,10,0,1,3,45,198,106,7,2,1,1,34,1,0,0,0,0,0,0,6,Larry Vanover,"J.Santana (5-58-L), M.Acosta (2), R.Ramirez (1), J.Rauch (1), M.Batista (0), T.Byrdak (2)"
20120413,NYN,NL,7,PHI,NL,7,5,2,54,PHI13,45429,300010001,1000001,31,6,2,0,2,5,0,1,0,3,0,7,0,0,2,0,3,3,1,1,0,0,27,13,1,1,2,0,36,11,2,0,1,1,0,0,0,1,0,11,0,0,2,0,8,3,4,4,0,0,27,13,1,0,2,0,dickr001,lee-c003,,dickr001,lee-c003,,7,Apr 13,@,PHI,"W,5-2",9,11,2,1,1,1,11,1,0,2.71,37,136,98,0,0,0,0,36,2,0,0,0,0,1,2,3,Brian O'Nora,"R.Dickey (5-61-W), B.Parnell (2-H), F.Francisco (4)"
20120414,NYN,NL,8,PHI,NL,8,5,0,54,PHI13,45750,100300001,0,34,10,1,0,2,4,0,0,0,6,1,9,1,1,2,0,8,3,0,0,0,0,27,15,0,0,2,0,31,6,0,0,0,0,0,0,0,1,0,6,0,0,2,0,5,4,5,5,0,0,27,11,0,0,2,0,niesj001,worlv001,,niesj001,worlv001,,8,Apr 14,@,PHI,"W,5-0",9,6,0,0,0,1,6,0,0,2.38,32,138,91,1,0,0,0,31,0,0,0,0,0,0,2,3,Alfonso Marquez,"J.Niese (5-68-W), B.Parnell (0), J.Rauch (2)"
20120415,NYN,NL,9,PHI,NL,9,2,8,51,PHI13,45829,200000000,10000025x,34,9,0,0,1,2,0,0,0,2,0,12,0,1,1,0,7,4,4,3,2,0,24,13,1,0,0,0,37,14,3,0,0,8,1,1,0,4,0,3,2,1,0,0,11,3,2,2,0,0,27,10,0,0,1,0,hamec001,ramir003,,pelfm001,hamec001,,9,Apr 15,@,PHI,"L,2-8",8,14,8,3,5,4,3,0,0,2.48,43,154,96,3,3,2,1,37,3,0,0,1,1,1,0,4,Tom Hallion,"M.Pelfrey (5-52), R.Ramirez (3-BL), M.Acosta (3), M.Batista (3)"
20120416,NYN,NL,10,ATL,NL,10,6,1,54,ATL02,16161,1003101,10000000,32,7,1,0,2,5,2,0,0,2,1,5,0,0,0,0,3,3,1,1,0,0,27,11,1,0,0,0,32,5,0,0,0,1,0,0,0,1,0,7,3,0,0,1,6,2,5,5,1,0,27,12,1,0,0,0,gee-d001,hanst001,,gee-d001,hanst001,,10,Apr 16,@,ATL,"W,6-1",9,5,1,1,0,1,7,0,0,2.33,34,126,82,0,0,3,0,32,0,0,0,0,0,0,0,3,Mike Everitt,"D.Gee (5-69-W), J.Rauch (1), T.Byrdak (4)"
20120417,NYN,NL,11,ATL,NL,11,3,9,51,ATL02,18732,201000,15002001x,37,9,1,0,0,3,0,0,0,3,0,9,0,0,0,0,10,4,7,7,0,0,24,10,2,0,0,0,32,9,3,0,1,8,1,2,0,4,0,6,2,0,0,0,6,3,3,3,0,0,27,8,1,0,0,0,delgr001,santj003,,santj003,delgr001,,11,Apr 17,@,ATL,"L,3-9",8,9,9,7,2,4,6,1,0,2.78,39,159,91,1,0,2,0,32,3,0,0,1,2,1,0,4,Paul Schrieber,"J.Santana (5-25-L), M.Batista (1), R.Ramirez (1), M.Acosta (1)"
20120418,NYN,NL,12,ATL,NL,12,6,14,51,ATL02,17909,12011010,02402222x,39,14,4,0,1,6,0,0,0,5,0,5,2,0,1,0,11,6,14,14,0,0,24,7,1,0,0,0,39,17,5,1,3,14,1,1,0,3,0,12,1,0,0,0,6,4,6,6,0,0,27,13,1,0,1,0,martc005,dickr001,,dickr001,jurrj001,,12,Apr 18,@,ATL,"L,6-14",8,17,14,14,0,3,12,3,0,3.77,44,172,112,2,0,1,0,39,5,1,0,1,1,0,0,6,Tim Welke,"R.Dickey (4-18-L), M.Batista (0), B.Parnell (3), T.Byrdak (1), J.Rauch (1), F.Francisco (4)"
20120420,SFN,NL,13,NYN,NL,13,4,3,60,NYC20,30544,30000001,1100010,38,10,1,0,1,3,1,0,0,4,1,7,1,0,1,0,9,7,3,3,1,0,30,8,0,0,0,0,38,8,0,0,2,3,0,0,0,4,0,9,0,0,0,0,9,5,4,4,1,0,30,14,1,0,1,0,romos001,franf001,hensc002,zitob001,niesj001,,13,Apr 20,1,SFG,"L,3-4",10,10,4,4,0,4,7,1,0,3.76,43,161,103,1,0,1,0,38,1,0,1,1,0,0,1,5,Kerwin Danley,"J.Niese (5-49), R.Ramirez (2), J.Rauch (1), T.Byrdak (1), F.Francisco (1-L)"
20120421,SFN,NL,14,NYN,NL,14,4,5,53,NYC20,33844,1000003,10211,35,9,2,0,0,4,0,0,0,2,0,5,0,0,1,0,6,5,3,3,0,0,26,13,3,0,0,0,31,9,2,0,0,4,3,0,0,3,0,8,0,1,0,0,6,4,4,4,0,0,27,10,0,0,1,0,raucj001,hensc002,,voger001,pelfm001,,14,Apr 21,1,SFG,"W,5-4",9,9,4,4,0,2,5,0,0,3.77,37,133,85,4,2,0,0,35,2,0,0,0,0,0,1,4,Doug Eddings,"M.Pelfrey (5-68), F.Francisco (0-H), T.Byrdak (0-H), J.Rauch (0-BW)"
20120423,SFN,NL,15,NYN,NL,15,6,1,54,NYC20,0,203100000,10000000,36,12,2,1,2,6,1,0,0,5,0,5,2,1,0,0,9,4,1,1,0,0,27,6,0,0,1,0,34,8,2,0,0,1,0,0,0,6,0,13,1,0,1,0,12,5,6,6,0,0,27,13,0,0,1,0,linct001,batim001,,linct001,batim001,,15,1,1,SFG,"L,1-6",9,12,6,6,0,5,5,2,0,3.92,42,158,101,2,0,2,1,36,2,1,0,1,0,0,0,5,Paul Nauert,"M.Batista (4-20-L), M.Acosta (5), J.Hefner (99), B.Parnell (4), R.Ramirez (2)"
20120423,SFN,NL,16,NYN,NL,16,7,2,54,NYC20,23866,300200200,100010,38,13,1,1,2,7,0,1,0,2,0,9,1,0,1,0,7,4,2,2,0,0,27,11,0,0,0,0,31,6,1,0,0,2,1,1,0,4,0,5,0,0,0,0,8,3,7,7,0,0,27,8,0,0,1,0,bumgm001,gee-d001,,bumgm001,gee-d001,,16,1,1,SFG,"L,2-7",9,13,7,7,0,2,9,2,0,4.12,41,142,95,0,0,1,0,38,1,1,0,0,1,0,1,3,Dana DeMuth,"D.Gee (6-26-L), M.Acosta (-1), B.Parnell (-1)"
20120424,MIA,NL,16,NYN,NL,17,1,2,51,NYC20,20192,100,00000011x,30,3,1,0,0,1,0,0,0,3,0,11,1,0,0,0,5,6,2,2,0,0,24,8,0,0,0,0,29,6,1,0,0,2,0,0,0,4,0,11,0,0,0,0,7,4,1,1,0,0,27,6,0,0,0,0,raucj001,mujie001,franf001,johnj009,santj003,,17,Apr 24,1,MIA,"W,2-1",9,3,1,1,0,3,11,0,0,3.93,33,143,89,1,0,1,0,30,1,0,0,0,0,0,0,4,Dan Iassogna,"J.Santana (6-73), R.Ramirez (0), J.Rauch (2-W), F.Francisco (2-Sv)"
20120425,MIA,NL,17,NYN,NL,18,1,5,51,NYC20,20623,10000,00000203x,33,6,1,0,1,1,0,0,0,1,0,9,0,0,1,0,6,3,4,4,0,0,24,9,1,0,1,0,31,8,2,0,1,5,0,0,1,2,1,6,0,0,1,0,5,5,1,1,0,0,27,12,1,0,1,0,dickr001,buehm001,,buehm001,dickr001,,18,Apr 25,1,MIA,"W,5-1",9,6,1,1,0,1,9,1,0,3.77,34,134,90,2,0,0,0,33,1,0,0,0,0,1,1,5,Bill Miller,"R.Dickey (6-73-W), J.Rauch (0-H), B.Parnell (1-H), T.Byrdak (3), M.Acosta (1)"
20120426,MIA,NL,18,NYN,NL,19,2,3,53,NYC20,20660,1010000,100000002,31,6,2,0,1,1,0,0,0,0,0,8,1,0,2,0,2,3,3,3,0,0,26,10,0,0,1,0,30,6,1,1,0,3,0,1,0,6,0,7,0,0,1,0,8,2,2,2,0,0,27,10,0,0,2,0,ramir003,bellh001,,nolar001,niesj001,,19,Apr 26,1,MIA,"W,3-2",9,6,2,2,0,0,8,1,0,3.67,31,121,77,0,0,1,0,31,2,0,0,0,0,0,2,2,Dale Scott,"J.Niese (5-67), R.Ramirez (1-W)"
