Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20130401,SDN,NL,1,NYN,NL,1,2,11,51,NYC20,41053,1001000,02230040x,31,4,1,0,1,2,1,0,1,2,0,6,0,0,0,0,6,5,11,11,2,0,24,9,1,0,0,0,38,13,2,0,1,11,0,0,0,5,0,10,2,0,0,0,8,4,2,2,0,0,27,16,1,0,0,0,niesj001,volqe001,,volqe001,niesj001,1,Apr 1,1,SDP,"W,11-2",9,4,2,2,0,2,6,1,1,2,35,131,81,0,0,0,0,31,1,0,0,1,0,1,0,4,Tim McClelland,"J.Niese (99-60-W), B.Lyon (99), S.Atchison (99), S.Rice (99)"
20130403,SDN,NL,2,NYN,NL,2,4,8,51,NYC20,22239,13,02024000x,31,6,1,0,0,3,0,1,0,2,0,10,0,0,1,0,3,3,7,7,0,0,24,9,1,0,0,0,33,8,2,0,3,8,0,0,0,3,0,4,0,0,0,0,4,5,2,2,0,0,27,7,1,0,1,0,harvm001,richc002,,richc002,harvm001,2,Apr 3,1,SDP,"W,8-4",9,6,4,2,2,2,10,0,0,2,34,140,98,2,0,0,0,31,1,0,0,0,1,1,1,5,Jerry Meals,"M.Harvey (99-83-W), G.Burke (99), J.Edgin (99), L.Hawkins (99), B.Parnell (99)"
20130404,SDN,NL,3,NYN,NL,3,2,1,54,NYC20,21519,100010,1,31,6,1,0,0,1,1,0,1,5,1,5,1,1,0,0,9,6,1,1,1,0,27,10,0,0,1,0,31,5,1,0,1,1,0,0,1,5,0,14,1,0,1,0,9,5,2,2,1,0,27,11,0,0,0,0,stule002,gee-d001,streh001,stule002,gee-d001,3,Apr 4,1,SDP,"L,1-2",9,6,2,2,0,5,5,0,1,2,38,150,82,2,0,1,1,31,1,0,1,1,0,0,0,5,Marvin Hudson,"D.Gee (99-64-L), S.Rice (2), J.Familia (99), J.Edgin (0), B.Lyon (2)"
20130405,MIA,NL,4,NYN,NL,4,7,5,54,NYC20,24935,10000501,302,37,11,4,0,1,7,1,1,0,3,1,5,2,0,0,0,8,5,5,5,0,0,27,11,0,1,1,0,35,10,2,0,1,5,0,0,2,7,0,5,1,0,1,0,12,5,4,3,0,0,27,14,1,1,0,0,sanaa001,hefnj001,,sanaa001,hefnj001,4,Apr 5,1,MIA,"L,5-7",9,11,7,3,4,3,5,1,0,2.25,42,167,101,2,2,2,0,37,4,0,1,1,1,1,0,5,Cory Blaser,"J.Hefner (99-59-L), G.Burke (1), S.Rice (0), S.Atchison (3), L.Hawkins (1)"
20130406,MIA,NL,5,NYN,NL,5,3,7,51,NYC20,28474,100010100,10000231x,36,11,0,0,0,2,0,0,0,2,0,8,0,0,1,0,8,3,6,6,0,0,24,9,2,0,1,0,30,9,1,1,1,7,0,2,0,5,1,4,2,0,1,0,6,5,2,2,0,0,27,15,1,0,1,0,lyonb003,webbr001,,nolar001,niesj001,5,Apr 6,1,MIA,"W,7-3",9,11,3,2,1,2,8,0,0,2.2,38,145,97,1,1,0,0,36,0,0,0,0,0,0,1,5,Jim Joyce,"J.Niese (4-53), S.Atchison (0-H), J.Edgin (1-BSv), B.Lyon (1-W), B.Parnell (2)"
20130407,MIA,NL,6,NYN,NL,6,3,4,52,NYC20,29780,1200000,11002,36,13,4,0,0,3,1,0,1,4,0,10,0,0,2,0,12,5,4,4,0,0,25,2,0,0,0,0,31,6,1,0,1,4,0,0,1,4,0,13,1,0,0,0,7,6,3,3,0,1,27,13,0,0,2,0,rices001,cishs001,,fernj003,laffa001,6,Apr 7,1,MIA,"W,4-3",9,13,3,3,0,4,10,0,1,2.33,42,170,106,4,0,0,0,36,4,0,0,1,0,0,2,6,Jim Wolf,"A.Laffey (99-35), G.Burke (1), J.Edgin (0), S.Atchison (0), L.Hawkins (1), S.Rice (1-W)"
20130408,NYN,NL,7,PHI,NL,7,7,2,54,PHI13,35393,31030000,100010,36,9,4,0,1,7,0,0,1,5,0,9,0,0,0,0,8,2,2,2,0,0,27,7,1,0,1,0,30,4,2,0,0,2,0,1,0,2,0,10,1,0,1,0,4,4,7,7,1,0,27,9,0,0,0,0,harvm001,hallr001,,harvm001,hallr001,7,Apr 8,@,PHI,"W,7-2",9,4,2,2,0,2,10,0,0,2.29,33,139,83,0,0,1,0,30,2,0,0,0,1,1,1,2,Jim Reynolds,"M.Harvey (4-74-W), J.Edgin (0)"
20130409,NYN,NL,8,PHI,NL,8,3,8,51,PHI13,38305,210000,04310000x,35,8,1,1,1,2,0,0,0,0,0,7,0,0,1,0,5,5,8,8,0,0,24,8,2,0,0,0,35,11,2,1,3,8,0,0,0,2,0,7,2,0,0,0,5,2,2,2,0,0,27,10,1,1,1,0,lee-c003,gee-d001,,gee-d001,lee-c003,8,Apr 9,@,PHI,"L,3-8",8,11,8,8,0,2,7,3,0,3.04,37,135,80,0,0,2,0,35,2,1,0,0,0,0,0,5,James Hoye,"D.Gee (4-13-L), G.Burke (1), S.Rice (1), L.Hawkins (1), B.Lyon (2)"
20130410,NYN,NL,9,PHI,NL,9,3,7,51,PHI13,38715,10100010,50000200x,35,11,2,0,3,3,0,0,0,2,0,10,0,1,1,0,7,5,7,7,0,0,24,6,0,0,0,0,33,10,2,0,3,7,0,0,0,3,1,9,0,1,0,0,5,4,3,3,1,0,27,9,0,0,3,0,kendk001,hefnj001,,hefnj001,kendk001,9,Apr 10,@,PHI,"L,3-7",8,10,7,7,0,3,9,3,0,3.53,36,137,87,1,0,0,1,33,2,0,1,0,0,0,0,5,John Hirschbeck,"J.Hefner (4-26-L), J.Edgin (1), L.Hawkins (0), S.Rice (0), B.Parnell (3)"
20130412,NYN,NL,10,MIN,AL,10,16,5,54,MIN04,23735,550000402,200030000,43,15,4,2,1,15,0,1,0,5,0,4,0,0,0,0,6,4,4,4,1,0,27,8,1,0,1,0,33,6,2,0,0,5,0,0,1,4,0,3,0,0,1,0,6,5,10,10,0,0,27,7,2,0,0,0,niesj001,worlv001,,niesj001,worlv001,10,Apr 12,@,MIN,"W,16-5",9,6,5,4,1,4,3,0,1,3.58,38,158,96,0,0,0,0,33,2,0,0,0,0,1,1,4,Mike Everitt,"J.Niese (5-36-W), S.Atchison (4), G.Burke (2), A.Laffey (4)"
20130413,NYN,NL,11,MIN,AL,11,4,2,54,MIN04,28804,40000,101,36,10,2,0,1,4,0,0,0,1,0,5,0,0,0,0,6,2,2,2,0,0,27,6,0,0,1,0,30,4,2,0,1,2,0,0,0,2,0,8,0,0,1,0,3,4,4,4,2,0,27,11,0,0,0,0,harvm001,diams001,parnb001,harvm001,diams001,11,Apr 13,@,MIN,"W,4-2",9,4,2,2,0,2,8,1,0,3.43,32,124,81,0,0,0,0,30,2,0,0,0,0,0,1,2,Marty Foster,"M.Harvey (4-78-W), B.Parnell (2-Sv)"
