Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID
20150406,NYN,NL,1,WAS,NL,1,3,1,54,WAS11,42295,2100,100000,34,5,0,1,0,3,0,0,0,3,0,9,0,0,0,0,7,5,1,1,0,0,27,12,1,0,0,0,31,3,0,0,1,1,0,0,0,1,0,10,0,0,0,0,4,4,0,0,0,0,27,6,2,0,0,0,colob001,schem001,carlb001,colob001,schem001
20150408,NYN,NL,2,WAS,NL,2,1,2,51,WAS11,25999,10000000,20000000x,32,6,0,0,0,1,0,0,0,1,0,6,1,0,0,0,5,2,2,2,0,0,24,9,0,0,0,0,31,7,3,0,1,2,0,0,0,3,2,8,0,0,0,0,8,4,1,1,0,0,27,6,0,0,1,0,zimmj003,degrj001,stord001,degrj001,zimmj003
20150409,NYN,NL,3,WAS,NL,3,6,3,54,WAS11,25327,4002000,201,36,10,0,0,0,6,0,0,1,3,0,9,0,0,2,0,7,5,3,3,0,0,27,7,1,0,0,0,34,7,3,0,0,3,0,0,0,3,0,12,0,1,0,0,7,4,3,3,0,0,27,8,1,0,2,0,harvm001,stras001,,harvm001,stras001
20150410,NYN,NL,4,ATL,NL,4,3,5,51,ATL02,46279,300000,20100002x,33,8,0,0,2,3,0,0,0,2,0,11,1,0,2,0,5,5,3,3,0,0,24,12,2,0,0,0,35,9,3,0,1,4,1,0,0,3,1,7,2,0,0,0,10,6,3,3,0,0,27,10,0,0,2,0,johnj010,montr004,grilj001,niesj001,stule002
20150411,NYN,NL,5,ATL,NL,5,3,5,51,ATL02,36056,300,01004000x,28,3,1,0,0,2,1,0,1,4,0,5,0,0,1,0,4,4,5,5,0,0,24,12,0,0,1,0,31,9,3,1,1,5,1,0,0,0,0,4,0,0,1,0,3,4,1,1,0,0,27,11,1,0,2,0,tehej001,gee-d001,johnj010,gee-d001,tehej001
20150412,NYN,NL,6,ATL,NL,6,4,3,54,ATL02,28192,200100010,20000100,32,9,1,0,1,4,1,1,0,6,1,8,1,0,2,0,9,4,3,3,0,0,27,10,0,0,0,0,34,7,1,1,1,3,0,0,0,0,0,8,1,0,0,0,4,4,4,4,1,0,27,13,0,0,2,0,colob001,jaimj001,famij001,colob001,wooda002
20150413,PHI,NL,7,NYN,NL,7,0,2,51,NYC20,43947,0,00010001x,31,7,0,0,0,0,1,0,0,2,0,5,0,0,2,0,7,2,1,1,0,0,24,3,2,0,0,0,30,6,1,1,0,2,0,1,0,4,1,3,1,0,0,0,9,4,0,0,0,0,27,9,0,0,2,0,degrj001,haraa001,famij001,haraa001,degrj001
20150414,PHI,NL,8,NYN,NL,8,5,6,51,NYC20,39489,101100011,13001010x,33,7,1,0,4,5,1,0,2,1,0,12,1,0,0,1,6,4,6,6,0,0,24,7,0,0,1,0,35,12,4,0,1,6,0,0,2,5,1,7,1,0,1,0,12,5,5,5,0,0,27,7,1,0,0,0,harvm001,buchd001,famij001,buchd001,harvm001
20150415,PHI,NL,9,NYN,NL,9,1,6,51,NYC20,21052,100000000,01112100x,35,9,3,1,0,1,0,0,0,4,0,5,0,0,2,0,11,3,5,5,1,0,24,9,1,0,0,0,37,12,2,0,2,5,0,0,0,5,2,2,0,0,0,0,12,3,1,1,0,0,27,13,1,0,2,0,niesj001,willj003,,willj003,niesj001
20150416,MIA,NL,10,NYN,NL,10,5,7,51,NYC20,20556,200101100,00003220x,33,7,1,1,2,4,0,0,0,3,0,11,1,1,1,0,4,4,7,7,0,0,24,10,0,0,1,0,30,9,2,0,1,7,1,1,0,3,0,6,1,0,1,0,4,5,4,4,0,0,27,12,1,0,1,0,blevj001,dunnm002,famij001,cosaj001,gee-d001
