Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
41245,20100405,santj003,NYN,6,32,0,0,0,0,3,1,0,1,1,9,1,1,0,7,0,3,27,7,1,0,7,2,5,1,0,1,4,0,NL,NL,51,johnj009,NYC20,,,johnj009,1,7,1,1,FLO,8,32,0,0,0,1,2,3,0,0,6,0,6,0,0,5,24,1,0,2,7,6,0,0,2,1,santj003,0.1875,0.28125,0.23529411764705882,0.3684210526315789,0.25,0.53125,0.4852941176470588,0.899671052631579,1.0,
38863,20100407,mainj001,NYN,8,33,0,0,0,0,1,0,0,2,1,6,0,7,1,9,0,7,30,4,2,0,6,1,6,7,0,1,9,1,NL,NL,60,takah001,NYC20,woodt003,,nolar001,2,13,2,7,FLO,10,45,0,1,0,0,2,1,0,0,17,3,6,1,0,5,30,7,0,0,7,6,0,0,3,0,nunel001,0.37777777777777777,0.18181818181818182,0.4166666666666667,0.35555555555555557,0.6222222222222222,0.2727272727272727,1.038888888888889,0.6282828282828283,0.0,1.0
25982,20100408,niesj001,NYN,13,34,0,0,0,1,1,0,0,3,1,7,0,3,0,7,0,5,27,1,0,0,1,0,7,3,0,0,0,0,NL,NL,54,niesj001,NYC20,nunel001,,roben001,3,9,0,3,FLO,9,35,0,0,0,0,4,0,1,0,9,0,1,0,0,3,27,3,0,0,3,1,0,0,4,0,roben001,0.2571428571428571,0.20588235294117646,0.3333333333333333,0.22857142857142856,0.37142857142857144,0.23529411764705882,0.7047619047619047,0.4638655462184874,0.0,0.0
28055,20100409,pelfm001,NYN,11,35,0,0,0,0,1,0,1,4,0,12,4,2,0,9,0,4,27,8,0,0,8,0,6,2,0,0,6,0,NL,NL,51,batim001,NYC20,,,mockg001,4,7,0,2,WAS,7,31,0,0,0,1,1,0,0,0,4,0,8,0,0,5,24,2,0,0,6,8,0,1,5,0,pelfm001,0.12903225806451613,0.34285714285714286,0.25,0.43902439024390244,0.22580645161290322,0.7142857142857143,0.47580645161290325,1.1533101045296168,1.0,0.0
33044,20100410,pereo002,NYN,12,33,0,0,0,3,1,2,1,5,1,8,0,4,0,12,0,4,27,3,1,2,3,0,10,4,0,0,5,2,NL,NL,54,pereo002,NYC20,cappm001,,lannj001,5,6,0,4,WAS,8,31,0,0,0,1,0,2,2,0,5,0,3,1,0,3,27,4,0,0,8,3,0,1,6,0,lannj001,0.16129032258064516,0.24242424242424243,0.2972972972972973,0.35,0.22580645161290322,0.2727272727272727,0.5231037489102005,0.6227272727272727,0.0,1.0
33672,20100411,santj003,NYN,7,33,0,0,0,1,2,0,1,6,0,7,1,5,0,8,0,4,27,2,0,0,2,1,3,5,0,1,4,0,NL,NL,54,santj003,NYC20,cappm001,,hernl003,6,7,1,5,WAS,7,32,0,0,0,1,1,1,0,1,7,1,2,0,0,4,27,5,0,0,6,2,0,1,5,0,hernl003,0.21875,0.21212121212121213,0.34210526315789475,0.2972972972972973,0.40625,0.42424242424242425,0.7483552631578947,0.7215397215397216,0.0,0.0
25110,20100413,smitg002,COL,9,33,0,0,0,1,4,0,0,7,1,10,1,3,0,9,1,3,27,10,0,1,11,1,11,3,0,0,9,2,NL,NL,51,mainj001,DEN02,,,mainj001,7,7,0,3,NYN,5,33,0,0,0,0,1,1,1,0,9,1,11,0,0,5,24,3,1,0,11,11,0,0,3,0,smitg002,0.2727272727272727,0.30303030303030304,0.32432432432432434,0.46511627906976744,0.3939393939393939,0.5151515151515151,0.7182637182637183,0.9802677942212825,0.0,0.0
26310,20100414,cooka002,COL,12,39,0,0,0,1,4,3,1,8,2,12,2,4,0,10,0,6,30,5,0,0,6,0,6,4,0,0,2,0,NL,NL,57,mejij001,DEN02,,,niesj001,8,9,0,5,NYN,8,38,0,0,0,1,1,1,1,0,8,2,6,1,0,6,27,5,1,3,6,6,0,0,5,1,florr001,0.21052631578947367,0.3076923076923077,0.29545454545454547,0.37209302325581395,0.39473684210526316,0.5641025641025641,0.6901913875598087,0.936195587358378,0.0,0.0
26195,20100415,delaj001,COL,11,29,0,0,1,1,0,1,1,9,0,5,0,4,0,5,0,3,27,0,0,1,0,0,9,4,0,0,2,2,NL,NL,54,delaj001,DEN02,,,pelfm001,9,7,0,5,NYN,8,33,0,1,2,1,2,0,1,0,8,0,0,0,0,3,27,3,0,1,7,0,0,0,6,0,pelfm001,0.24242424242424243,0.1724137931034483,0.358974358974359,0.22580645161290322,0.30303030303030304,0.1724137931034483,0.662004662004662,0.39822024471635153,1.0,0.0
40101,20100416,carpc002,SLN,7,28,0,0,0,1,2,1,1,10,1,6,1,2,1,6,0,4,27,4,0,1,4,0,7,2,0,0,4,0,NL,NL,51,nievf001,STL10,franr001,,pereo002,10,8,1,3,NYN,9,34,0,0,0,1,2,0,0,0,9,0,4,0,0,4,24,2,0,0,12,4,0,0,3,0,carpc002,0.2647058823529412,0.21428571428571427,0.32432432432432434,0.3333333333333333,0.3235294117647059,0.39285714285714285,0.6478537360890302,0.7261904761904762,0.0,1.0
