teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win
NYN,NL,7,1,32,9,3,1,1,7,4,5,7,3,1,1,1,0.28125,0.3684210526315789,0.53125,0.8996710526315791,1.0
NYN,NL,6,1,33,6,1,1,0,4,9,6,9,7,7,7,0,0.18181818181818182,0.35555555555555557,0.2727272727272727,0.6282828282828283,0.0
NYN,NL,1,1,34,7,1,0,0,1,0,7,7,5,3,3,0,0.20588235294117646,0.22857142857142856,0.23529411764705882,0.4638655462184874,0.0
NYN,NL,8,1,35,12,1,0,4,8,6,6,9,4,2,2,0,0.34285714285714286,0.43902439024390244,0.7142857142857143,1.1533101045296168,1.0
NYN,NL,3,1,33,8,1,0,0,3,5,10,12,4,4,4,2,0.24242424242424243,0.35,0.2727272727272727,0.6227272727272727,0.0
NYN,NL,3,0,33,9,1,0,1,3,3,11,7,5,11,11,1,0.2727272727272727,0.32432432432432434,0.3939393939393939,0.7182637182637183,0.0
NYN,NL,5,0,38,8,1,0,2,5,5,6,9,6,6,6,1,0.21052631578947367,0.29545454545454547,0.39473684210526316,0.6901913875598087,0.0
NYN,NL,5,0,33,8,2,0,0,3,6,7,7,3,0,0,0,0.24242424242424243,0.358974358974359,0.30303030303030304,0.662004662004662,1.0
NYN,NL,3,0,34,9,2,0,0,2,3,12,8,4,4,4,0,0.2647058823529412,0.32432432432432434,0.3235294117647059,0.6478537360890302,0.0
NYN,NL,2,0,61,9,0,0,0,2,8,16,13,9,1,1,2,0.14754098360655737,0.25,0.14754098360655737,0.3975409836065574,1.0
NYN,NL,3,0,29,4,0,0,0,2,2,9,3,4,5,5,0,0.13793103448275862,0.21875,0.13793103448275862,0.3566810344827586,0.0
NYN,NL,6,1,33,9,1,0,1,5,3,6,7,3,0,0,1,0.2727272727272727,0.35135135135135137,0.3939393939393939,0.7452907452907453,1.0
NYN,NL,4,1,31,9,0,1,1,4,5,9,10,4,0,0,1,0.2903225806451613,0.40540540540540543,0.45161290322580644,0.8570183086312119,1.0
NYN,NL,3,1,33,6,0,1,1,3,3,7,7,4,8,8,1,0.18181818181818182,0.2702702702702703,0.3333333333333333,0.6036036036036037,0.0
NYN,NL,5,1,30,7,2,0,0,3,3,9,5,5,2,2,1,0.23333333333333334,0.30303030303030304,0.3,0.6030303030303029,1.0
NYN,NL,5,1,32,9,2,2,1,4,3,3,8,5,2,2,0,0.28125,0.3333333333333333,0.5625,0.8958333333333333,1.0
NYN,NL,3,1,27,5,2,0,0,3,4,4,5,5,1,1,1,0.18518518518518517,0.28125,0.25925925925925924,0.5405092592592593,1.0
NYN,NL,1,1,20,5,0,0,0,0,2,8,6,1,0,0,0,0.25,0.3181818181818182,0.25,0.5681818181818181,1.0
NYN,NL,4,1,31,8,1,0,1,3,5,5,8,3,0,0,0,0.25806451612903225,0.3611111111111111,0.3870967741935484,0.7482078853046594,1.0
NYN,NL,10,1,32,11,2,2,0,9,6,5,6,4,5,5,1,0.34375,0.4358974358974359,0.53125,0.9671474358974358,1.0
NYN,NL,9,0,37,10,3,1,4,9,2,3,4,3,1,1,0,0.2702702702702703,0.325,0.7297297297297297,1.0547297297297298,1.0
NYN,NL,0,0,29,3,2,0,0,0,1,6,5,3,9,9,1,0.10344827586206896,0.16129032258064516,0.1724137931034483,0.3337041156840934,0.0
NYN,NL,5,0,32,6,1,0,2,5,1,2,3,5,11,11,0,0.1875,0.23529411764705882,0.40625,0.6415441176470589,0.0
NYN,NL,2,0,41,9,3,0,0,2,1,9,7,5,3,3,0,0.21951219512195122,0.23809523809523808,0.2926829268292683,0.5307781649245064,0.0
