Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,TEX,AL,1,OAK,AL,1,0,8,51,OAK01,36067,0,20020031x,28,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,3,4,8,8,2,0,24,6,1,0,0,0,37,11,3,1,2,7,0,0,0,4,0,9,0,0,0,0,9,2,0,0,0,0,27,8,1,0,1,0,grays001,gally001,,gally001,grays001,,1,Apr 6,1,TEX,"W,8-0",9,1,0,0,0,1,5,0,1,0,30,113,76,0,0,0,0,28,0,0,0,0,0,1,0,2,Bill Miller,"S.Gray (99-82-W), E.Scribner (99)"
20150407,TEX,AL,2,OAK,AL,2,3,1,54,OAK01,15025,1020000,1000,34,8,1,0,0,2,0,0,3,0,0,6,0,0,1,0,7,4,1,1,0,0,27,9,1,0,3,0,30,5,0,1,0,1,0,0,0,3,0,7,0,0,3,0,5,4,3,3,0,0,27,11,1,0,1,0,lewic001,hahnj001,felin001,lewic001,hahnj001,,2,Apr 7,1,TEX,"L,1-3",9,8,3,3,0,0,6,0,3,1.5,37,125,85,1,0,0,0,34,1,0,0,0,0,0,1,4,Doug Eddings,"J.Hahn (99-49-L), E.O'Flaherty (99), J.Chavez (99), F.Abad (99)"
20150408,TEX,AL,3,OAK,AL,3,0,10,51,OAK01,19479,0,00512110x,30,3,1,0,0,0,1,0,0,2,0,13,0,0,0,0,6,3,7,7,1,0,24,11,3,1,0,0,39,15,3,1,0,9,0,0,1,3,0,4,0,0,0,0,9,3,0,0,0,0,27,4,1,0,0,0,kazms001,detwr001,,detwr001,kazms001,,3,Apr 8,1,TEX,"W,10-0",9,3,0,0,0,2,13,0,0,1,33,128,85,0,0,0,0,30,1,0,0,1,0,1,0,3,Jim Wolf,"S.Kazmir (99-83-W), D.Otero (99), R.Alvarez (99)"
20150409,TEX,AL,4,OAK,AL,4,10,1,54,OAK01,16045,302300110,10,38,12,1,0,4,9,0,1,2,2,0,5,0,0,1,0,6,3,1,1,0,0,27,8,0,0,2,0,31,6,1,0,0,1,0,0,0,3,0,6,0,0,2,0,6,4,9,9,0,0,27,12,3,0,2,0,martn002,gravk001,,martn002,gravk001,,4,Apr 9,1,TEX,"L,1-10",9,12,10,9,1,2,5,4,2,3,43,143,97,0,0,0,0,38,1,0,0,0,1,1,1,4,Adam Hamari,"K.Graveman (99-16-L), E.Scribner (2), R.Alvarez (0), T.Clippard (99)"
20150410,SEA,AL,4,OAK,AL,5,0,12,51,OAK01,30114,0,32060001x,29,3,0,0,0,0,0,0,0,2,0,7,0,0,1,0,4,4,12,12,1,0,24,11,1,0,0,0,40,16,5,0,1,12,0,0,0,4,2,6,0,0,0,0,8,3,0,0,0,0,27,8,0,0,1,0,pomed001,walkt004,,walkt004,pomed001,,5,Apr 10,1,SEA,"W,12-0",9,3,0,0,0,2,7,0,0,2.4,31,124,77,0,0,0,0,29,0,0,0,0,0,0,1,3,Brian Gorman,"D.Pomeranz (99-79-W), F.Abad (2), R.Alvarez (0)"
20150411,SEA,AL,5,OAK,AL,6,5,4,66,OAK01,24355,100003001,22000,42,10,1,0,2,5,1,0,0,3,0,7,1,0,1,0,8,5,4,4,1,0,33,15,0,0,0,0,42,12,3,0,0,4,2,0,0,3,2,6,0,0,0,0,10,6,3,2,0,0,33,15,1,0,1,0,olsot002,abadf001,rodnf001,happj001,grays001,,6,Apr 11,1,SEA,"L,4-5",11,10,5,2,3,3,7,2,0,2.25,46,174,110,4,2,1,0,42,1,0,0,1,0,0,1,6,Mark Carlson,"S.Gray (4-63), E.O'Flaherty (3-H), D.Otero (2-BSv), T.Clippard (1), F.Abad (0-L), J.Chavez (3)"
20150412,SEA,AL,6,OAK,AL,7,8,7,60,OAK01,32282,43001,3000040,37,7,1,0,2,6,0,1,0,3,0,6,0,0,1,0,3,5,7,7,1,0,30,17,1,0,3,0,41,14,4,1,0,5,0,0,0,4,0,5,0,0,2,0,8,5,5,5,0,0,30,10,2,1,1,0,rodnf001,clipt001,mediy001,hernf002,hahnj001,,7,Apr 12,1,SEA,"L,7-8",10,7,8,5,3,3,6,2,0,2.59,41,147,98,2,0,0,0,37,1,0,0,0,1,2,1,5,Mike DiMuro,"J.Hahn (4-53), E.O'Flaherty (0), E.Scribner (2), R.Alvarez (1), T.Clippard (0-L)"
20150413,OAK,AL,8,HOU,AL,7,8,1,54,HOU03,19279,310040000,100000,37,12,2,0,3,8,0,0,0,2,0,4,0,0,3,0,4,4,1,1,0,0,27,10,0,0,1,0,31,5,1,0,1,1,0,0,0,4,0,11,0,0,1,0,7,2,7,7,0,0,27,13,2,0,3,0,kazms001,felds001,,kazms001,felds001,,8,Apr 13,@,HOU,"W,8-1",9,5,1,1,0,4,11,1,0,2.4,35,138,83,0,0,0,0,31,1,0,0,0,0,0,1,4,Tim Timmons,"S.Kazmir (4-67-W), F.Abad (1), D.Otero (1), J.Chavez (1)"
20150414,OAK,AL,9,HOU,AL,8,4,0,54,HOU03,18935,100002001,0,31,7,3,0,0,4,0,1,2,2,0,7,1,0,2,0,5,5,0,0,0,0,27,13,0,0,2,0,33,8,0,0,0,0,0,0,1,4,0,7,0,0,2,0,11,4,4,4,0,0,27,11,0,0,2,0,gravk001,peacb001,,gravk001,peacb001,,9,Apr 14,@,HOU,"W,4-0",9,8,0,0,0,4,7,0,1,2.14,38,145,93,4,0,0,0,33,0,0,0,0,0,0,2,5,Todd Tichenor,"K.Graveman (4-59-W), E.O'Flaherty (1-H), D.Otero (0-H), F.Abad (0-H), T.Clippard (1)"
20150415,OAK,AL,10,HOU,AL,9,1,6,51,HOU03,19777,10000000,20101011x,35,8,1,1,0,1,0,0,0,0,0,13,1,0,0,0,7,3,6,6,0,0,24,6,0,0,0,0,30,8,2,1,3,6,0,0,0,2,0,11,1,0,0,0,2,4,1,1,0,0,27,7,0,0,0,0,mchuc001,pomed001,,pomed001,mchuc001,,10,Apr 15,@,HOU,"L,1-6",8,8,6,6,0,2,11,3,0,2.54,32,128,80,1,0,1,0,30,2,1,0,0,0,0,0,3,Tim Welke,"D.Pomeranz (4-43-L), E.Scribner (2), R.Alvarez (2)"
