Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20180329,PHI,NL,1,ATL,NL,1,5,8,53,ATL03,40208,100004000,2033,31,6,2,0,1,5,0,0,1,6,0,11,1,0,2,0,6,6,7,7,0,0,26,11,1,1,0,0,34,9,1,0,3,7,1,0,1,4,1,6,0,0,0,0,6,6,5,5,1,0,27,9,0,0,2,0,vizca001,nerih001,,nolaa001,tehej001,,1,Mar 29,@,ATL,"L,5-8",8.2,9,8,7,1,4,6,3,1,7.27,40,137,93,3,2,0,0,34,1,0,1,1,0,0,0,6,Jerry Layne,"A.Nola (99-60), H.Milner (99), L.Garcia (99-H), A.Morgan (99-H), E.Ramos (99-BSv), H.Neris (99-L)"
20180330,PHI,NL,2,ATL,NL,2,5,4,66,ATL03,35123,1101100001,210001000,40,10,2,0,2,5,0,2,0,5,0,10,3,0,1,1,10,9,4,4,0,0,33,14,0,0,2,0,37,9,2,0,0,4,1,1,2,5,0,9,0,1,1,0,9,7,4,4,1,0,33,10,3,0,1,0,hutcd001,carls002,,piven001,foltm001,,2,Mar 30,@,ATL,"W,5-4",11,9,4,4,0,5,9,0,2,5.03,46,185,115,0,0,0,1,37,2,0,0,1,1,0,1,9,Greg Gibson,"N.Pivetta (99-41), V.Arano (99), H.Milner (0), E.Ramos (0-H), A.Morgan (0-H), Y.Rios (99-H), L.Garcia (0-BSv), H.Neris (0), D.Hutchison (99-W)"
20180331,PHI,NL,3,ATL,NL,3,2,15,51,ATL03,37777,200000000,12410502x,31,6,3,0,0,2,1,0,0,4,0,9,0,1,0,0,7,6,11,10,2,0,24,8,4,0,0,0,43,19,5,1,1,14,2,1,0,5,1,5,0,0,0,0,12,4,2,2,0,0,27,7,0,1,0,0,mccab001,velav001,,velav001,mccab001,,3,Mar 31,@,ATL,"L,2-15",8,19,15,10,5,5,5,1,0,6.83,51,181,116,4,4,0,0,43,5,1,1,2,1,3,0,6,Vic Carapazza,"V.Velasquez (99-20-L), H.Milner (0), J.Thompson (99), Y.Rios (0), V.Arano (0), P.Florimon (99)"
20180403,PHI,NL,4,NYN,NL,4,0,2,51,NYC20,21397,0,00000200x,31,3,0,0,0,0,0,0,0,3,0,11,0,0,0,0,7,5,2,2,1,0,24,6,0,0,0,0,30,7,1,0,0,2,0,0,2,1,0,8,0,1,0,0,7,5,0,0,1,0,27,6,1,0,0,0,blevj001,liveb001,famij001,liveb001,harvm001,,4,Apr 3,@,NYM,"L,0-2",8,7,2,2,0,1,8,0,2,5.8,33,127,85,2,0,0,1,30,1,0,0,0,0,0,0,5,Bill Miller,"B.Lively (99-53-L), Y.Rios (2), V.Arano (2), H.Milner (2), E.Ramos (3)"
20180404,PHI,NL,5,NYN,NL,5,2,4,51,NYC20,21328,2000000,20000200x,31,5,2,0,0,1,0,0,0,2,0,15,2,0,1,0,4,5,4,4,0,0,24,10,2,0,1,0,27,5,0,1,1,4,0,0,1,6,0,7,0,1,1,0,6,5,2,2,0,0,27,8,0,0,1,0,gselr001,hutcd001,famij001,nolaa001,syndn001,,5,Apr 4,@,NYM,"L,2-4",8,5,4,4,0,6,7,1,1,5.56,34,152,94,1,0,0,1,27,0,1,0,0,0,0,1,5,Angel Hernandez,"A.Nola (5-51), D.Hutchison (4-L), A.Morgan (4), L.Garcia (4), E.Ramos (0)"
20180405,MIA,NL,7,PHI,NL,6,0,5,51,PHI13,44488,0,20100020x,31,4,1,0,0,0,0,0,0,0,0,12,0,0,1,0,4,3,5,5,0,1,24,8,1,0,0,0,30,6,0,1,1,5,0,0,0,9,2,9,4,1,0,0,10,4,0,0,0,0,27,7,1,0,1,0,piven001,smitc006,,smitc006,piven001,,6,Apr 5,1,MIA,"W,5-0",9,4,0,0,0,0,12,0,0,4.61,31,132,90,1,0,0,0,31,1,0,0,0,0,1,1,4,Paul Nauert,"N.Pivetta (5-70-W), A.Morgan (0-H), L.Garcia (0), H.Neris (5)"
20180407,MIA,NL,8,PHI,NL,7,1,20,51,PHI13,33660,100000000,50480210x,32,5,1,0,0,0,0,0,0,1,0,10,0,0,0,0,5,6,20,20,0,0,24,4,0,0,1,0,42,20,4,0,4,20,0,1,0,6,0,11,0,0,1,0,5,2,1,1,2,0,27,8,1,0,0,0,velav001,peted001,thomj007,peted001,velav001,,7,Apr 7,1,MIA,"W,20-1",9,5,1,1,0,1,10,0,0,4.09,33,137,90,0,0,0,0,32,1,0,0,0,0,0,0,2,Scott Barry,"V.Velasquez (6-65-W), J.Thompson (6-Sv)"
20180408,MIA,NL,9,PHI,NL,8,6,3,54,PHI13,34326,300000030,201000000,31,7,1,0,1,6,0,0,1,5,1,10,0,0,2,1,5,5,3,3,2,0,27,7,0,0,0,0,31,7,3,0,0,3,0,1,0,4,0,5,0,2,0,0,6,7,5,5,0,0,27,11,1,1,2,0,despo001,garcl005,ziegb001,richt001,arrij001,,8,Apr 8,1,MIA,"L,3-6",9,7,6,5,1,5,10,1,1,4.2,38,148,91,4,2,0,0,31,1,0,1,0,0,0,2,7,Carlos Torres,"J.Arrieta (99-49), D.Hutchison (3), H.Milner (4), E.Ramos (3), L.Garcia (2-L), A.Morgan (2), V.Arano (4)"
20180409,CIN,NL,9,PHI,NL,9,5,6,51,PHI13,18127,102101000,21200001x,36,11,1,0,1,5,0,0,0,5,1,11,3,0,1,0,9,5,4,4,2,0,24,7,1,0,0,0,30,6,1,0,3,6,0,1,0,4,0,6,0,0,0,0,5,5,5,5,1,0,27,11,0,0,1,0,garcl005,quack001,nerih001,reedc002,liveb001,,9,Apr 9,1,CIN,"W,6-5",9,11,5,5,0,5,11,1,0,4.29,41,169,106,3,0,3,0,36,1,0,1,0,0,0,1,5,Ron Kulpa,"B.Lively (5-36), A.Morgan (0), Y.Rios (5), L.Garcia (0-W), H.Neris (3-Sv)"
20180410,CIN,NL,10,PHI,NL,10,1,6,51,PHI13,20895,10000,00000114x,29,3,0,0,0,1,0,0,0,3,0,8,2,0,1,0,4,3,6,6,0,0,24,7,1,0,0,0,30,6,3,0,1,6,1,0,1,2,1,11,1,0,0,0,4,2,1,1,0,0,27,10,0,0,1,0,nolaa001,hughj001,,bailh001,nolaa001,,10,Apr 10,1,CIN,"W,6-1",9,3,1,1,0,3,8,0,0,3.96,32,117,77,0,0,2,0,29,0,0,0,0,0,0,1,2,Gabe Morales,"A.Nola (5-75-W), H.Milner (1)"
