Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID
20140331,CHN,NL,1,PIT,NL,1,0,1,57,PIT08,39833,0,1,32,6,1,0,0,0,2,0,0,4,0,11,1,0,1,0,8,5,1,1,0,0,27,11,0,0,3,0,30,6,1,0,1,1,0,0,0,3,0,6,0,0,2,0,5,5,0,0,0,0,30,14,1,0,1,0,morrb002,villc001,,samaj001,lirif001
20140402,CHN,NL,2,PIT,NL,2,3,4,94,PIT08,29762,110010000,1.0001E+14,62,15,1,0,1,3,0,0,2,6,1,17,3,0,1,0,19,9,3,3,0,0,46,21,2,0,2,0,52,8,0,0,0,3,1,0,3,9,1,15,0,0,2,0,15,7,3,3,0,0,48,13,2,0,2,0,pimes001,villc001,,jacke001,mortc002
20140403,CHN,NL,3,PIT,NL,3,3,2,54,PIT08,11418,111000000,200,32,7,1,0,1,2,0,0,0,1,0,7,1,0,1,0,3,5,2,2,0,0,27,6,1,0,1,0,32,6,1,0,0,2,0,0,0,2,0,7,0,0,0,0,5,3,3,3,0,0,27,13,0,0,1,0,hammj002,rodrw002,strop001,hammj002,rodrw002
20140404,SLN,NL,4,PIT,NL,4,2,12,51,PIT08,23342,20000,01020315x,33,6,0,0,1,2,0,0,0,4,0,5,0,0,0,0,8,4,12,12,0,0,24,12,1,0,4,0,36,16,1,2,3,11,0,0,1,4,1,3,2,0,2,0,5,3,2,2,1,0,27,15,0,0,0,0,coleg001,mills001,,mills001,coleg001
20140405,SLN,NL,5,PIT,NL,5,6,1,54,PIT08,30092,300001002,1000000,34,8,1,0,2,6,0,1,0,4,0,7,0,0,0,0,6,4,1,1,0,0,27,11,0,0,0,0,33,6,0,0,0,1,0,0,1,5,0,5,0,0,0,0,11,2,6,6,0,0,27,10,0,0,0,0,kellj001,lirif001,,kellj001,lirif001
20140406,SLN,NL,6,PIT,NL,6,1,2,51,PIT08,25704,1000,00010010x,29,3,0,1,0,1,0,0,0,2,1,7,0,0,1,0,3,2,2,2,0,0,24,11,0,0,2,0,27,6,3,0,0,2,1,0,0,2,0,8,0,1,1,0,4,4,1,1,0,0,27,12,0,0,1,0,watst001,waina001,grilj001,waina001,volqe001
20140408,PIT,NL,7,CHN,NL,7,7,6,54,CHI11,26177,400110010,13001100,34,11,3,1,0,7,1,2,1,7,1,7,2,0,0,0,11,4,6,6,0,0,27,9,1,0,1,0,36,10,0,0,2,6,1,0,0,1,0,8,1,0,1,0,5,6,7,7,0,0,27,12,0,0,0,0,watst001,strop001,grilj001,mortc002,jacke001
20140409,PIT,NL,8,CHN,NL,8,5,7,51,CHI11,28247,10202,10003300x,33,6,0,0,5,5,0,0,0,1,0,10,0,0,0,0,2,3,7,7,0,0,24,8,0,0,1,0,36,14,5,0,2,7,1,0,0,4,1,8,0,0,1,0,10,3,5,5,0,0,27,13,0,0,0,0,hammj002,rodrw002,,rodrw002,hammj002
20140410,PIT,NL,9,CHN,NL,9,5,4,54,CHI11,25502,500,1300000,35,8,1,0,2,5,0,0,0,5,0,13,1,0,0,0,8,4,3,3,1,0,27,6,2,0,1,0,32,6,0,0,0,2,0,0,1,4,0,15,3,1,1,0,6,5,5,5,0,0,27,7,0,0,0,0,coleg001,russj003,grilj001,coleg001,woodt004
20140411,PIT,NL,10,MIL,NL,10,2,4,51,MIL06,27469,200,00022000x,30,4,0,0,1,2,1,0,0,2,0,8,2,0,1,0,4,2,4,4,1,0,24,11,0,0,0,0,30,6,1,0,2,4,0,0,0,2,0,10,0,0,0,0,4,3,1,1,0,0,27,12,1,0,1,0,peraw001,lirif001,rodrf003,lirif001,peraw001
20140412,PIT,NL,11,MIL,NL,11,2,3,51,MIL06,42828,2000000,11000001x,30,8,2,0,0,2,1,0,0,2,0,8,1,0,3,0,4,3,2,2,1,0,24,12,2,0,1,0,31,7,0,0,1,2,1,0,0,2,0,5,0,0,1,0,7,5,2,2,0,0,27,16,0,0,4,0,hendj001,melam001,rodrf003,volqe001,gally001
20140413,PIT,NL,12,MIL,NL,12,1,4,51,MIL06,32152,100000,00110200x,30,4,0,0,0,1,0,1,0,0,0,10,0,0,0,0,3,2,2,2,1,0,24,14,1,0,1,0,28,7,3,0,0,2,1,1,1,3,0,4,1,0,1,0,6,2,1,1,0,0,27,10,0,0,0,0,lohsk001,mortc002,smitw002,mortc002,lohsk001
