Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20150406,PIT,NL,1,CIN,NL,1,2,5,51,CIN09,43633,20,00110003x,34,7,1,0,1,2,0,0,0,1,0,13,0,0,0,0,6,2,5,5,0,1,24,10,0,0,0,0,29,5,0,0,2,4,0,0,0,3,0,8,1,0,0,0,3,5,2,2,0,0,27,7,0,0,0,0,diazj005,watst001,chapa001,lirif001,cuetj001,,1,Apr 6,@,CIN,"L,2-5",8,5,5,5,0,3,8,2,0,5.62,32,111,72,0,0,1,0,29,0,0,0,0,0,0,0,2,John Hirschbeck,"F.Liriano (99-69), T.Watson (99-L)"
20150408,PIT,NL,2,CIN,NL,2,4,5,65,CIN09,30859,1011010000,10110010001,39,8,3,0,0,4,1,1,0,7,2,9,1,0,0,0,11,8,5,5,2,0,32,14,1,0,1,0,42,11,1,0,1,4,1,0,1,3,0,14,4,0,1,0,10,6,4,4,1,1,33,14,0,0,0,0,hoovj002,liz-r001,,coleg001,leakm001,,2,Apr 8,@,CIN,"L,4-5",10.2,11,5,5,0,3,14,1,1,4.82,47,199,127,2,1,4,0,42,1,0,0,1,0,1,1,8,Sam Holbrook,"G.Cole (99-49), J.Hughes (99), A.Bastardo (99-BSv), A.Caminero (99), T.Watson (1), R.Scahill (99), M.Melancon (99), R.Liz (99-L)"
20150409,PIT,NL,3,CIN,NL,3,2,3,52,CIN09,15616,11000,2001,31,6,1,0,1,2,1,0,1,2,0,11,1,0,1,0,6,5,2,2,0,0,25,11,1,0,1,0,31,6,1,0,1,2,0,0,0,2,1,9,2,0,1,0,5,4,2,2,0,0,27,4,0,0,1,0,chapa001,scahr001,,burna001,desca001,,3,Apr 9,@,CIN,"L,2-3",8.1,6,3,2,1,2,9,1,0,4,33,131,84,0,0,2,0,31,1,0,1,0,0,1,1,5,Bill Welke,"A.Burnett (99-58), A.Caminero (0), A.Bastardo (0), T.Watson (0), R.Scahill (0-L)"
20150410,PIT,NL,4,MIL,NL,4,6,2,54,MIL06,27373,30110010,200000,33,10,4,0,2,6,2,2,2,2,1,12,1,0,0,0,8,5,2,2,0,0,27,12,0,0,0,0,35,9,4,1,0,2,0,0,1,2,0,6,0,1,0,0,9,5,6,6,0,0,27,7,0,0,0,0,lockj001,fierm001,,lockj001,fierm001,,4,Apr 10,@,MIL,"W,6-2",9,9,2,2,0,2,6,0,1,3.5,38,136,95,3,0,0,1,35,4,1,0,0,0,0,0,5,Mike Estabrook,"J.Locke (99-51-W), J.Hughes (1-H), A.Bastardo (0), A.Caminero (0-H), M.Melancon (1)"
20150411,PIT,NL,5,MIL,NL,5,0,6,51,MIL06,41108,0,03020010x,26,2,0,0,0,0,0,0,1,2,0,11,0,1,2,0,2,2,6,6,0,0,24,9,0,0,0,0,30,7,5,0,1,6,1,0,0,2,0,6,0,0,0,0,3,3,0,0,0,0,27,10,0,0,2,0,nelsj004,worlv001,,worlv001,nelsj004,,5,Apr 11,@,MIL,"L,0-6",8,7,6,6,0,2,6,1,0,4.09,33,111,73,1,0,0,0,30,5,0,0,1,0,0,0,2,Dana DeMuth,"V.Worley (99-37-L), R.Scahill (1)"
20150412,PIT,NL,6,MIL,NL,6,10,2,54,MIL06,39017,1003006,2000000,39,13,1,0,2,10,1,0,1,0,0,9,0,1,0,0,4,5,2,2,0,0,27,10,0,0,0,0,31,5,2,0,1,2,0,0,0,4,0,9,0,1,0,0,6,5,4,4,0,0,27,11,1,0,0,0,sadlc002,lohsk001,,sadlc002,lohsk001,,6,Apr 12,@,MIL,"W,10-2",9,5,2,2,0,4,9,1,0,3.74,35,148,98,0,0,0,1,31,2,0,0,0,0,0,0,5,Toby Basner,"C.Sadler (99-55-W), J.Hughes (1-H), A.Caminero (1-H), T.Watson (2-H), R.Liz (3)"
20150413,DET,AL,7,PIT,NL,7,4,5,51,PIT08,39933,103,10100030x,32,7,2,0,1,3,0,0,0,2,0,11,0,0,2,0,3,3,5,5,0,0,24,6,0,0,0,0,31,9,1,0,3,5,1,1,0,0,0,10,0,0,0,0,4,4,4,4,0,0,27,11,0,0,2,0,coleg001,sanca004,,sanca004,coleg001,,7,Apr 13,1,DET,"W,5-4",9,7,4,4,0,2,11,1,0,3.77,34,125,88,3,1,0,0,32,2,0,0,0,0,0,2,4,Bob Davidson,"G.Cole (4-68-W), J.Hughes (0-H), T.Watson (0), M.Melancon (2)"
20150414,DET,AL,8,PIT,NL,8,2,0,54,PIT08,31755,101,0,35,9,2,0,0,2,0,0,0,4,0,10,1,0,0,0,10,2,0,0,0,0,27,13,0,0,1,0,29,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,3,2,2,0,0,27,11,0,0,0,0,grees005,burna001,sorij001,grees005,burna001,,8,Apr 14,1,DET,"L,0-2",9,9,2,2,0,4,10,0,0,3.55,39,156,99,3,1,1,0,35,2,0,0,0,0,0,0,3,David Rackley,"A.Burnett (4-62-L), A.Caminero (1), R.Scahill (2)"
20150415,DET,AL,9,PIT,NL,9,1,0,54,PIT08,19509,1000,0,30,5,0,0,1,1,0,0,0,2,0,10,2,1,1,0,4,2,0,0,0,0,27,9,0,0,0,0,28,2,0,0,0,0,0,0,1,0,0,3,0,1,0,0,2,4,1,1,0,0,27,11,0,0,1,0,simoa001,lirif001,sorij001,simoa001,lirif001,,9,Apr 15,1,DET,"L,0-1",9,5,1,1,0,2,10,1,0,3.26,32,136,90,0,0,2,1,30,0,0,0,0,0,0,1,4,Jerry Layne,"F.Liriano (8-66-L), J.Hughes (1), T.Watson (1), M.Melancon (1)"
20150417,MIL,NL,10,PIT,NL,10,3,6,51,PIT08,25664,10001001,00012003x,34,8,3,0,0,3,0,0,0,4,2,9,0,0,1,0,8,4,5,5,0,1,24,13,1,1,1,0,32,11,2,0,1,6,1,0,1,2,1,7,3,1,0,0,6,5,3,3,0,0,27,9,0,0,1,0,worlv001,nelsj004,melam001,nelsj004,worlv001,,10,Apr 17,1,MIL,"W,6-3",9,8,3,3,0,4,9,0,0,3.24,38,135,89,1,0,0,0,34,3,0,2,0,0,0,1,5,Chris Guccione,"V.Worley (5-54-W), J.Hughes (1-H), T.Watson (1-H), A.Bastardo (6), M.Melancon (1-Sv)"
