Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
39024,20100405,dukez001,PIT,14,34,0,0,0,0,4,0,1,1,2,10,3,5,1,6,0,6,27,11,0,1,11,2,3,5,0,0,4,0,NL,NL,51,padiv001,PIT08,,,padiv001,1,10,2,5,LAN,9,37,0,0,0,1,4,2,0,1,12,0,11,0,0,6,24,5,0,0,5,11,0,0,2,1,dukez001,0.32432432432432434,0.29411764705882354,0.375,0.4,0.43243243243243246,0.6764705882352942,0.8074324324324325,1.0764705882352943,1.0,
31061,20100407,ohler001,PIT,13,35,0,0,0,0,0,1,1,2,0,9,1,2,0,13,0,6,30,4,0,1,4,0,7,2,0,0,9,1,NL,NL,58,ortir002,PIT08,,,kersc001,2,12,2,3,LAN,10,34,0,0,0,2,2,1,0,0,5,1,3,1,0,6,28,3,0,3,3,3,0,0,9,0,donnb001,0.14705882352941177,0.2571428571428571,0.32558139534883723,0.4090909090909091,0.29411764705882354,0.34285714285714286,0.6196990424076607,0.7519480519480519,1.0,1.0
9352,20100408,mahop002,PIT,16,34,0,0,0,1,2,3,2,3,0,8,0,10,0,11,0,4,27,2,1,0,2,0,9,10,0,0,5,0,NL,NL,54,mahop002,PIT08,,,billc001,3,6,1,10,LAN,9,38,0,0,0,2,5,2,1,0,16,1,2,0,0,5,27,10,2,0,4,2,0,1,2,0,billc001,0.42105263157894735,0.23529411764705882,0.42857142857142855,0.325,0.6842105263157895,0.29411764705882354,1.112781954887218,0.6191176470588236,0.0,1.0
21316,20100409,loper001,ARI,7,36,0,0,0,1,2,0,2,4,1,14,1,1,0,6,0,4,27,9,0,0,9,1,8,1,0,0,2,0,NL,NL,51,mortc002,PHO01,,,mortc002,4,7,0,1,PIT,11,34,0,0,0,2,1,1,0,0,8,0,9,0,1,4,24,1,0,1,9,9,0,0,1,2,loper001,0.23529411764705882,0.3888888888888889,0.2571428571428571,0.4358974358974359,0.2647058823529412,0.5277777777777778,0.5218487394957982,0.9636752136752137,0.0,0.0
22400,20100410,hared001,ARI,9,29,0,0,0,0,2,1,2,5,0,5,1,5,0,4,0,4,27,3,1,0,3,0,5,5,0,0,4,0,NL,NL,54,hared001,PHO01,doteo001,,dukez001,5,6,1,6,PIT,12,36,0,0,0,2,1,2,0,0,9,2,3,0,0,5,27,5,0,3,10,3,0,0,2,0,dukez001,0.25,0.1724137931034483,0.2894736842105263,0.2647058823529412,0.4444444444444444,0.3448275862068966,0.7339181286549707,0.6095334685598377,1.0,0.0
21093,20100411,jacke001,ARI,13,37,0,0,0,1,1,0,1,6,0,12,4,6,0,4,0,4,27,14,0,0,15,0,7,6,0,1,6,0,NL,NL,51,mccud001,PHO01,,,mccud001,6,7,1,6,PIT,6,37,0,0,0,1,2,1,1,0,12,2,15,0,0,5,24,5,0,1,4,15,0,1,2,1,jacke001,0.32432432432432434,0.32432432432432434,0.358974358974359,0.4186046511627907,0.5945945945945946,0.7297297297297297,0.9535689535689535,1.1483343808925204,0.0,1.0
26011,20100412,zitob001,SFN,11,34,0,0,0,0,4,0,1,7,3,12,1,3,1,10,0,4,27,8,0,0,9,0,8,3,0,1,6,1,NL,NL,51,burrb001,SFO03,,,burrb001,7,7,1,3,PIT,9,33,0,0,0,2,1,0,0,0,7,0,9,0,0,4,24,3,0,1,5,9,0,0,3,1,zitob001,0.21212121212121213,0.35294117647058826,0.2777777777777778,0.4883720930232558,0.24242424242424243,0.6176470588235294,0.5202020202020202,1.1060191518467852,0.0,0.0
28030,20100413,cainm001,SFN,12,36,0,0,0,1,4,1,1,8,0,11,1,5,0,7,0,4,27,5,0,0,5,0,8,5,0,0,3,0,NL,NL,54,affej001,SFO03,doteo001,,mahop002,8,5,0,6,PIT,12,35,0,0,0,1,1,0,1,0,9,2,5,0,0,4,27,6,0,2,5,5,0,1,3,0,meeke001,0.2571428571428571,0.3055555555555556,0.3157894736842105,0.358974358974359,0.5142857142857142,0.5,0.8300751879699247,0.858974358974359,1.0,0.0
29028,20100414,sancj002,SFN,7,32,0,0,0,1,2,0,1,9,0,10,3,0,0,3,0,2,27,6,0,1,6,0,6,0,0,0,0,0,NL,NL,51,mortc002,SFO03,,,mortc002,9,6,0,0,PIT,11,29,0,0,0,1,1,0,1,0,3,0,6,0,0,3,24,0,0,0,13,6,0,0,4,0,sancj002,0.10344827586206896,0.3125,0.21212121212121213,0.3125,0.13793103448275862,0.65625,0.3500522466039707,0.96875,0.0,1.0
14758,20100416,dukez001,PIT,16,30,0,0,0,2,0,0,1,10,0,9,0,3,0,9,0,5,27,3,1,3,4,1,5,3,0,0,5,0,NL,NL,53,massn001,PIT08,,,leakm001,11,9,0,3,CIN,15,31,0,0,0,2,1,2,2,0,7,0,4,0,0,3,26,3,1,2,4,4,0,1,7,0,doteo001,0.22580645161290322,0.3,0.358974358974359,0.3888888888888889,0.3225806451612903,0.3,0.6815550041356493,0.6888888888888889,1.0,0.0
