teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO
PIT,NL,11,1,34,10,4,0,3,11,4,3,6,6,5,5,0,0.29411764705882354,0.4,0.6764705882352942,1.0764705882352943,1.0,,1.5555555555555556,0.11904761904761904,0.047619047619047616,2.967888888888889,0.375,5.0,12,5
PIT,NL,4,1,35,9,0,0,1,4,9,7,13,6,2,2,1,0.2571428571428571,0.4090909090909091,0.34285714285714286,0.7519480519480519,1.0,1.0,1.4,0.06666666666666667,0.2,6.479,0.13333333333333333,3.32,5,3
PIT,NL,2,1,34,8,2,0,0,2,5,9,11,4,10,10,3,0.23529411764705882,0.325,0.29411764705882354,0.6191176470588236,0.0,1.0,2.0,0.09302325581395349,0.046511627906976744,4.301222222222222,0.42857142857142855,5.46,16,4
PIT,NL,1,0,34,8,1,0,0,1,1,9,7,4,9,9,1,0.23529411764705882,0.2571428571428571,0.2647058823529412,0.5218487394957982,0.0,0.0,2.0,0.20512820512820512,0.05128205128205128,3.829,0.48148148148148145,6.5,14,8
PIT,NL,6,0,36,9,1,0,2,5,2,10,6,5,3,3,2,0.25,0.2894736842105263,0.4444444444444444,0.7339181286549707,1.0,0.0,1.0,0.14705882352941177,0.11764705882352941,4.745666666666667,0.16666666666666666,5.8,5,5
PIT,NL,6,0,37,12,2,1,2,5,2,4,7,5,15,15,1,0.32432432432432434,0.358974358974359,0.5945945945945946,0.9535689535689535,0.0,1.0,2.25,0.16279069767441862,0.13953488372093023,10.079,0.3076923076923077,7.47,12,7
PIT,NL,3,0,33,7,1,0,0,3,3,5,7,4,9,9,0,0.21212121212121213,0.2777777777777778,0.24242424242424243,0.5202020202020202,0.0,0.0,2.25,0.18604651162790697,0.13953488372093023,6.079000000000001,0.44,7.82,12,8
PIT,NL,6,0,35,9,1,1,2,6,3,5,5,4,5,5,0,0.2571428571428571,0.3157894736842105,0.5142857142857142,0.8300751879699247,1.0,0.0,1.5555555555555556,0.20512820512820512,0.07692307692307693,3.7456666666666667,0.37037037037037035,7.46,11,8
PIT,NL,0,0,29,3,1,0,0,0,4,13,6,3,6,6,0,0.10344827586206896,0.21212121212121213,0.13793103448275862,0.3500522466039707,0.0,1.0,1.25,0.18181818181818182,0.0,6.454000000000001,0.30434782608695654,7.38,10,6
PIT,NL,4,1,30,9,0,0,0,3,5,5,9,5,3,3,0,0.3,0.3888888888888889,0.3,0.6888888888888889,1.0,0.0,1.5555555555555556,0.10256410256410256,0.1794871794871795,4.523444444444444,0.25,6.93,7,4
PIT,NL,5,1,31,7,2,0,1,5,9,6,9,4,4,4,0,0.22580645161290322,0.4,0.3870967741935484,0.7870967741935484,1.0,1.0,1.0,0.17142857142857143,0.08571428571428572,2.7456666666666667,0.23076923076923078,6.66,6,6
PIT,NL,5,1,29,5,1,0,0,5,3,8,4,4,3,3,1,0.1724137931034483,0.2727272727272727,0.20689655172413793,0.4796238244514106,1.0,1.0,0.7777777777777778,0.2571428571428571,0.05714285714285714,4.634555555555556,0.13636363636363635,6.34,5,9
PIT,NL,1,1,31,6,3,0,0,1,4,2,7,5,7,7,1,0.1935483870967742,0.2857142857142857,0.2903225806451613,0.5760368663594471,0.0,1.0,1.7777777777777777,0.09302325581395349,0.16279069767441862,5.967888888888889,0.26666666666666666,6.39,9,4
PIT,NL,0,1,30,4,1,0,0,0,5,13,9,3,7,7,1,0.13333333333333333,0.2777777777777778,0.16666666666666666,0.4444444444444444,0.0,0.0,1.8888888888888888,0.15555555555555556,0.1111111111111111,7.856777777777777,0.3103448275862069,6.44,12,7
PIT,NL,0,1,34,8,2,0,0,0,3,7,10,6,18,18,1,0.23529411764705882,0.2972972972972973,0.29411764705882354,0.5914149443561209,0.0,0.0,3.4444444444444446,0.13559322033898305,0.1016949152542373,9.079,0.5121951219512195,7.23,25,8
PIT,NL,3,0,32,4,0,0,2,3,1,5,3,2,2,2,1,0.125,0.15151515151515152,0.3125,0.4640151515151515,0.0,0.0,1.0,0.12903225806451613,0.06451612903225806,2.829,0.24,6.94,6,4
PIT,NL,2,0,34,7,0,0,1,2,2,10,7,6,5,5,1,0.20588235294117646,0.25,0.29411764705882354,0.5441176470588236,0.0,0.0,1.875,0.13513513513513514,0.05405405405405406,4.204000000000001,0.42857142857142855,6.87,13,5
PIT,NL,3,0,38,14,1,0,0,3,1,8,9,4,9,9,1,0.3684210526315789,0.38461538461538464,0.39473684210526316,0.7793522267206479,0.0,0.0,2.25,0.16666666666666666,0.19047619047619047,6.329000000000001,0.36,7.04,10,7
PIT,NL,3,0,36,8,2,0,0,3,4,5,11,5,17,17,1,0.2222222222222222,0.3,0.2777777777777778,0.5777777777777777,0.0,0.0,3.125,0.23529411764705882,0.1568627450980392,6.704000000000001,0.5357142857142857,7.63,17,12
PIT,NL,7,0,39,14,3,0,3,7,2,5,9,5,3,3,0,0.358974358974359,0.38095238095238093,0.6666666666666666,1.0476190476190474,1.0,0.0,1.4444444444444444,0.15384615384615385,0.1282051282051282,6.301222222222222,0.23076923076923078,7.39,8,6
PIT,NL,6,0,54,13,1,0,4,6,5,19,12,5,5,5,0,0.24074074074074073,0.31666666666666665,0.48148148148148145,0.798148148148148,1.0,1.0,1.2857142857142858,0.22807017543859648,0.14035087719298245,4.793285714285714,0.23529411764705882,7.07,10,13
PIT,NL,2,0,32,5,0,1,0,2,4,10,7,3,0,0,1,0.15625,0.25,0.21875,0.46875,1.0,1.0,0.8888888888888888,0.17647058823529413,0.11764705882352941,3.079,0.16666666666666666,6.75,4,6
