Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
49192,20100405,hared001,ARI,10,33,0,0,0,0,0,0,1,1,0,8,2,3,0,6,0,3,27,6,0,0,6,1,8,3,0,0,3,0,NL,NL,51,garlj001,PHO01,,,garlj001,1,2,0,3,SDN,4,32,0,0,0,1,2,2,0,0,5,2,2,0,0,4,24,3,0,0,6,2,0,0,0,0,hared001,0.15625,0.24242424242424243,0.15625,0.3055555555555556,0.40625,0.42424242424242425,0.5625,0.7297979797979799,0.0,
19177,20100406,jacke001,ARI,7,34,0,0,0,0,1,0,1,2,0,7,0,6,0,9,0,6,27,3,0,0,3,0,8,6,0,0,5,1,NL,NL,54,jacke001,PHO01,bellh001,,younc003,2,8,0,6,SDN,7,37,0,0,0,1,1,1,0,0,10,2,3,0,0,5,27,6,0,3,10,3,0,1,4,0,younc003,0.2702702702702703,0.20588235294117646,0.34146341463414637,0.3076923076923077,0.5135135135135135,0.23529411764705882,0.8549769281476598,0.5429864253393666,1.0,0.0
17673,20100407,kenni001,ARI,8,31,0,0,0,1,1,1,1,3,0,9,4,3,0,3,0,6,27,5,0,0,5,0,8,3,0,0,1,0,NL,NL,51,corrk001,PHO01,qualc001,,corrk001,3,5,0,3,SDN,8,34,0,0,0,1,2,0,1,0,7,1,5,0,0,4,24,3,0,0,10,5,0,0,1,0,boyeb001,0.20588235294117646,0.2903225806451613,0.22857142857142856,0.3125,0.35294117647058826,0.7096774193548387,0.5815126050420169,1.0221774193548387,0.0,1.0
49509,20100409,delaj001,COL,11,34,0,0,1,0,3,0,1,4,0,12,1,0,0,7,0,3,27,7,0,1,7,0,5,0,0,0,3,0,NL,NL,51,richc002,DEN02,,,richc002,4,3,0,0,SDN,10,28,0,0,1,1,0,1,0,1,2,0,7,0,0,2,24,0,0,0,12,7,0,0,1,0,delaj001,0.07142857142857142,0.35294117647058826,0.13333333333333333,0.40540540540540543,0.07142857142857142,0.5294117647058824,0.20476190476190476,0.9348171701112877,0.0,0.0
36090,20100410,hammj002,COL,20,49,0,0,0,2,2,0,2,5,0,9,3,5,1,6,0,7,42,4,0,0,4,0,12,5,0,0,3,1,NL,NL,84,corpm001,DEN02,bellh001,,latom001,5,13,1,5,SDN,18,52,0,0,1,2,3,0,2,1,15,0,4,1,0,7,42,5,0,1,8,4,0,1,6,0,staut001,0.28846153846153844,0.1836734693877551,0.3728813559322034,0.23076923076923078,0.38461538461538464,0.40816326530612246,0.7574967405475881,0.6389324960753533,1.0,0.0
39576,20100411,jimeu001,COL,9,28,0,0,1,1,1,1,2,6,0,8,1,2,0,7,0,5,27,4,0,1,4,1,4,2,0,1,6,1,NL,NL,51,garlj001,DEN02,moraf001,,garlj001,6,9,1,2,SDN,11,33,0,0,1,2,2,0,1,1,8,0,4,0,0,2,24,2,0,0,10,4,0,0,3,0,jimeu001,0.24242424242424243,0.2857142857142857,0.32432432432432434,0.4117647058823529,0.30303030303030304,0.5,0.6273546273546273,0.9117647058823529,0.0,1.0
42843,20100412,corrk001,SDN,11,44,0,0,0,0,5,0,0,7,0,19,2,2,0,8,1,3,27,17,0,0,17,1,7,2,0,1,5,0,NL,NL,51,jurrj001,SAN02,,,jurrj001,7,7,0,2,ATL,9,31,0,0,0,0,0,1,0,0,4,0,17,0,0,3,24,2,0,0,8,17,0,0,5,0,corrk001,0.12903225806451613,0.4318181818181818,0.25,0.4897959183673469,0.12903225806451613,0.7272727272727273,0.3790322580645161,1.217068645640074,1.0,0.0
24969,20100414,richc002,SDN,6,31,0,0,0,0,0,3,1,8,1,6,0,5,0,10,0,5,27,1,0,0,1,1,11,3,0,0,6,0,NL,NL,54,richc002,SAN02,,,hanst001,8,6,0,6,ATL,7,36,0,0,0,1,3,2,0,0,8,1,1,1,0,4,27,6,0,1,12,1,0,0,3,0,hanst001,0.2222222222222222,0.1935483870967742,0.28205128205128205,0.34210526315789475,0.3888888888888889,0.1935483870967742,0.670940170940171,0.5356536502546689,0.0,1.0
16356,20100415,latom001,SDN,12,32,0,0,0,1,1,0,0,9,0,6,1,6,0,9,0,6,27,2,0,1,2,0,4,6,0,0,5,0,NL,NL,54,latom001,SAN02,,,hudst001,9,6,0,6,ATL,13,35,0,0,0,0,3,0,0,0,9,1,2,1,0,6,27,6,0,2,6,2,0,0,4,0,hudst001,0.2571428571428571,0.1875,0.3333333333333333,0.2972972972972973,0.42857142857142855,0.3125,0.7619047619047619,0.6097972972972974,0.0,0.0
26632,20100416,garlj001,SDN,10,31,0,0,0,0,2,2,2,10,0,8,1,0,1,8,0,4,27,6,0,1,6,0,4,0,0,0,8,1,NL,NL,53,gutij002,SAN02,,,jacke001,10,5,0,3,ARI,14,30,0,0,0,2,1,0,0,0,3,0,6,0,0,4,26,3,0,0,7,6,0,0,5,1,bellh001,0.1,0.25806451612903225,0.22857142857142856,0.41025641025641024,0.13333333333333333,0.41935483870967744,0.3619047619047619,0.8296112489660876,1.0,0.0
