Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20100405,SEA,AL,1,OAK,AL,1,5,3,54,OAK01,30686,111000002,1200,31,6,2,0,1,5,0,1,0,8,1,8,3,2,1,0,8,4,3,3,1,0,27,18,1,0,4,0,28,5,0,0,0,3,0,0,0,7,0,6,1,0,4,0,5,5,2,2,1,0,27,9,4,0,1,0,leagb001,ziegb001,aardd001,hernf002,sheeb001,,1,Apr 5,@,OAK,"W,5-3",9,5,3,3,0,7,6,0,0,3,35,138,79,2,2,1,0,28,0,0,0,0,0,1,4,4,Tim Tschida,"F.Hernandez (99-54), S.White (99-BSv), B.League (99-W), D.Aardsma (99-Sv)"
20100406,SEA,AL,2,OAK,AL,2,1,2,59,OAK01,10090,1000000,1000001,34,5,1,0,0,0,0,0,0,2,0,10,0,0,0,0,5,4,2,2,0,0,29,9,0,0,1,0,38,10,1,0,1,2,0,0,1,4,0,7,0,0,1,0,12,5,1,1,1,1,30,10,0,0,0,0,ramie003,texek001,,sneli001,bradd002,,2,Apr 6,@,OAK,"L,1-2",9.2,10,2,2,0,4,7,1,1,2.41,43,170,104,0,0,0,0,38,1,0,0,0,0,0,1,4,Bob Davidson,"I.Snell (99-62), S.Kelley (99), M.Lowe (99), K.Texeira (99-L)"
20100407,SEA,AL,3,OAK,AL,3,5,6,52,OAK01,18194,200021000,101110101,33,8,0,0,1,5,0,1,0,4,0,6,2,0,1,0,6,4,5,5,0,0,25,10,2,1,0,0,37,14,4,0,1,5,0,2,1,1,0,2,1,0,0,0,10,4,5,5,2,0,27,11,0,0,1,0,blevj001,lowem002,,rowlr002,duchj001,,3,Apr 7,@,OAK,"L,5-6",8.1,14,6,5,1,1,2,1,1,3.33,41,169,104,2,0,1,0,37,4,0,0,0,2,0,0,4,Alfonso Marquez,"R.Rowland-Smith (99-37), S.White (1-H), B.League (1-BSv), M.Lowe (0-L)"
20100408,SEA,AL,4,OAK,AL,4,2,6,51,OAK01,12464,2,00110202x,32,7,1,0,0,2,0,0,0,3,0,8,0,0,1,0,6,3,6,6,3,1,24,7,0,0,0,0,35,11,4,0,0,6,0,0,0,5,1,6,2,0,0,0,10,4,2,2,0,0,27,11,1,1,2,0,andeb004,fistd001,,fistd001,andeb004,,4,Apr 8,@,OAK,"L,2-6",8,11,6,6,0,5,6,0,0,4.11,40,152,93,0,0,2,0,35,4,0,1,0,0,0,0,3,Mike Muchlinski,"D.Fister (99-41-L), J.Colome (99), K.Texeira (1)"
20100409,SEA,AL,5,TEX,AL,4,2,6,51,ARL02,25271,100000010,00010410x,31,6,2,0,1,2,0,0,0,4,0,5,0,1,1,0,6,3,6,6,0,0,24,7,0,0,0,0,35,12,2,0,1,6,0,0,0,1,0,8,0,0,0,0,6,3,2,2,1,0,27,11,0,0,1,0,lewic001,vargj001,,vargj001,lewic001,,5,Apr 9,@,TEX,"L,2-6",8,12,6,6,0,1,8,1,0,4.6,36,131,89,3,2,0,0,35,2,0,0,0,0,0,0,3,Lance Barksdale,"J.Vargas (99-36-L), S.Kelley (2), S.White (1)"
20100410,SEA,AL,6,TEX,AL,5,4,3,54,ARL02,26861,100000003,21000,36,12,1,0,0,3,1,0,1,2,0,6,0,0,1,0,9,3,2,2,1,0,27,12,1,0,1,0,32,7,0,1,1,2,1,0,1,3,0,7,0,0,1,0,7,5,4,4,1,0,27,13,0,0,1,0,lowem002,franf001,aardd001,hernf002,harrm001,,6,Apr 10,@,TEX,"W,4-3",9,7,3,2,1,3,7,1,1,4.15,37,150,98,0,0,0,0,32,0,1,0,1,0,0,1,3,Ed Rapuano,"F.Hernandez (4-57), M.Lowe (2-W), D.Aardsma (4-Sv)"
20100411,SEA,AL,7,TEX,AL,6,2,9,51,ARL02,26846,10010000,14002101x,33,9,2,0,0,2,0,0,0,1,0,5,1,1,1,0,5,4,8,8,1,0,24,9,2,0,1,0,35,16,2,1,1,9,0,3,1,4,0,2,0,0,1,2,12,3,1,1,1,0,27,13,1,0,1,0,felds001,sneli001,,sneli001,felds001,,7,Apr 11,@,TEX,"L,2-9",8,16,9,8,1,4,2,1,1,4.8,45,169,103,0,0,0,0,35,2,1,0,0,3,0,1,4,Todd Tichenor,"I.Snell (4-23-L), J.Colome (2), K.Texeira (2), B.League (3)"
20100412,OAK,AL,8,SEA,AL,8,4,0,54,SEA03,45876,101200,0,28,5,1,0,1,4,1,1,0,7,0,3,1,0,2,0,6,3,0,0,0,0,27,9,0,0,0,0,29,2,1,0,0,0,0,0,1,2,0,5,0,0,0,0,5,3,4,4,0,0,27,10,1,0,2,0,duchj001,rowlr002,,duchj001,rowlr002,,8,Apr 12,1,OAK,"L,0-4",9,5,4,4,0,7,3,1,0,4.7,37,135,78,0,0,1,0,28,1,0,0,1,1,0,2,3,Dale Scott,"R.Rowland-Smith (4-51-L), S.Kelley (2), S.White (2)"
20100413,OAK,AL,9,SEA,AL,9,0,3,51,SEA03,18043,0,00000003x,29,3,0,0,0,0,1,0,0,2,0,4,0,0,2,0,5,4,3,3,1,0,24,9,1,0,1,0,32,9,3,0,1,3,0,0,1,3,0,9,0,0,1,0,9,2,0,0,1,0,27,12,1,0,2,0,fistd001,ziegb001,aardd001,andeb004,fistd001,,9,Apr 13,1,OAK,"W,3-0",9,3,0,0,0,2,4,0,0,4.15,32,115,78,0,0,0,0,29,0,0,0,1,0,1,2,2,Jerry Meals,"D.Fister (4-80-W), D.Aardsma (2-Sv)"
20100414,OAK,AL,10,SEA,AL,10,2,4,51,SEA03,15978,20000000,00002200x,31,5,0,0,1,2,0,0,0,1,0,9,0,1,0,0,3,3,4,4,0,0,24,9,0,0,0,0,33,11,1,0,0,4,1,0,0,6,0,11,0,0,0,0,12,3,2,2,0,0,27,7,0,0,1,0,vargj001,gaudc001,aardd001,gonzg003,vargj001,,10,Apr 14,1,OAK,"W,4-2",9,5,2,2,0,1,9,1,0,3.93,32,132,82,0,0,0,1,31,0,0,0,0,0,0,0,3,Doug Eddings,"J.Vargas (4-60-W), B.League (2-H), D.Aardsma (0-Sv)"
20100416,DET,AL,10,SEA,AL,11,3,11,51,SEA03,39999,200001,00326000x,34,8,3,0,0,3,0,0,0,2,0,10,0,0,1,0,6,3,9,9,0,0,24,1,3,0,0,0,34,12,0,1,0,10,1,3,0,6,0,6,2,0,0,0,9,3,3,3,0,0,27,10,0,1,1,0,hernf002,bondj001,,bondj001,hernf002,,11,Apr 16,1,DET,"W,11-3",9,8,3,3,0,2,10,0,0,3.84,36,139,89,2,0,0,0,34,3,0,0,0,0,0,1,3,Brian Knight,"F.Hernandez (5-65-W), S.White (3), M.Lowe (5)"
20100417,DET,AL,11,SEA,AL,12,2,4,51,SEA03,31647,100100,10100011x,32,7,1,0,1,2,1,0,0,4,0,5,0,0,1,0,8,3,4,4,0,0,24,10,1,0,0,0,29,8,2,1,0,4,0,1,0,2,0,7,3,1,0,0,4,4,2,2,0,0,27,9,0,1,1,0,leagb001,verlj001,aardd001,verlj001,rowlr002,,12,Apr 17,1,DET,"W,4-2",9,7,2,2,0,4,5,1,0,3.69,37,139,89,1,1,0,0,32,1,0,0,1,0,0,1,4,Greg Gibson,"R.Rowland-Smith (4-56), B.League (2-BW), M.Lowe (0-H), D.Aardsma (2-Sv)"
