Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20130401","SEA","AL",1,"OAK","AL",1,2,0,54,"OAK01",36067,"000020000","000000000",31,5,0,0,0,2,0,0,0,4,0,11,1,0,2,0,6,4,0,0,0,0,27,9,0,0,0,0,30,3,2,0,0,0,0,0,0,3,0,8,0,0,0,0,6,3,2,2,0,0,27,12,1,0,2,0,"hernf002","andeb004","wilht001","hernf002","andeb004",
"20130402","SEA","AL",2,"OAK","AL",2,7,1,54,"OAK01",15315,"003010111","010000000",35,9,3,0,2,7,0,0,1,8,0,2,2,0,1,0,10,3,1,1,0,0,27,5,0,0,0,0,30,3,0,0,1,1,0,0,0,1,0,9,0,0,0,0,3,6,7,7,0,0,27,8,0,0,1,0,"iwakh001","parkj001","","iwakh001","parkj001",
"20130403","SEA","AL",3,"OAK","AL",3,2,6,51,"OAK01",15162,"200000000","01120020x",31,5,0,0,2,2,0,0,0,1,0,6,0,0,1,0,3,3,6,6,1,0,24,12,0,0,2,0,31,11,5,0,2,6,0,1,1,4,0,5,1,0,2,0,7,3,2,2,0,0,27,6,0,0,1,0,"milot001","saunj001","","saunj001","milot001",
"20130404","SEA","AL",4,"OAK","AL",4,2,8,51,"OAK01",12134,"000011000","20001302x",33,8,0,0,1,2,1,1,0,2,0,7,0,0,0,0,8,3,8,8,1,0,24,8,0,0,2,0,29,10,4,0,2,8,0,2,1,1,1,2,0,0,2,0,1,4,2,2,0,0,27,6,0,0,0,0,"grifa002","maurb001","","maurb001","grifa002",
"20130405","SEA","AL",5,"CHA","AL",4,8,7,60,"CHI12",15312,"1000500002","0001401001",38,12,4,1,1,8,1,0,0,3,0,9,1,1,2,0,4,6,7,7,1,0,30,11,1,0,0,0,40,10,1,0,2,7,0,1,0,3,0,5,3,0,0,0,7,5,7,7,0,0,30,15,1,0,2,0,"loe-k001","jonen001","wilht001","beavb001","quinj001",
"20130406","SEA","AL",6,"CHA","AL",5,3,4,51,"CHI12",22461,"010000020","00001210x",33,6,1,0,1,2,0,0,0,3,0,8,0,0,1,0,6,3,4,4,1,0,24,8,1,0,1,0,28,6,1,1,1,4,0,2,0,2,1,5,0,0,1,0,4,6,2,2,0,0,27,8,1,1,1,0,"veald001","hernf002","reeda001","hernf002","axeld001",
"20130407","SEA","AL",7,"CHA","AL",6,3,4,58,"CHI12",18708,"2000010000","2000001001",37,7,3,0,2,3,0,0,0,3,1,11,0,0,0,0,7,5,4,4,1,0,28,8,0,0,1,0,33,5,1,0,3,4,0,0,0,0,0,5,0,0,1,0,1,4,3,3,0,0,30,6,1,0,0,0,"reeda001","loe-k001","","iwakh001","salec001",
"20130408","HOU","AL",7,"SEA","AL",8,0,3,51,"SEA03",42589,"000000000","10101000x",33,7,0,0,0,0,0,0,0,1,0,8,0,0,1,0,7,3,3,3,1,0,24,9,1,0,1,0,29,5,1,0,0,3,2,0,0,1,0,3,1,0,1,0,5,4,0,0,0,0,27,10,0,0,1,0,"saunj001","humbp001","wilht001","humbp001","saunj001",
"20130409","HOU","AL",8,"SEA","AL",9,16,9,54,"SEA03",10765,"632201011","000020124",47,22,3,0,5,15,0,0,0,6,0,10,1,0,2,0,10,3,6,6,0,0,27,7,1,0,0,0,36,10,1,0,3,8,0,2,0,4,0,3,0,0,0,0,6,5,16,16,1,0,27,11,0,0,2,0,"clemp002","maurb001","","bedae001","maurb001",
"20130410","HOU","AL",9,"SEA","AL",10,8,3,54,"SEA03",10496,"032000210","001011000",40,16,6,0,3,8,0,1,0,1,0,9,0,1,0,0,7,4,3,3,0,0,27,9,0,0,2,0,31,6,2,0,2,3,0,0,1,4,0,5,0,0,2,0,6,4,8,8,0,0,27,10,0,0,0,0,"peacb001","beavb001","","peacb001","beavb001",
