Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS
20100405,SEA,AL,1,OAK,AL,1,5,3,54,OAK01,30686,31,6,2,0,1,5,0,1,0,8,1,8,3,2,1,0,8,4,3,3,1,0,27,18,1,0,4,0,28,5,0,0,0,3,0,0,0,7,0,6,1,0,4,0,5,5,2,2,1,0,27,9,4,0,1,0,leagb001,ziegb001,aardd001,hernf002,sheeb001,,0.2857142857142857,0.23809523809523808,0.35,0.34285714285714286,0.3548387096774194,0.17857142857142858,0.7048387096774194,0.5214285714285715
20100406,SEA,AL,2,OAK,AL,2,1,2,59,OAK01,10090,34,5,1,0,0,0,0,0,0,2,0,10,0,0,0,0,5,4,2,2,0,0,29,9,0,0,1,0,38,10,1,0,1,2,0,0,1,4,0,7,0,0,1,0,12,5,1,1,1,1,30,10,0,0,0,0,ramie003,texek001,,sneli001,bradd002,,0.15625,0.30303030303030304,0.19444444444444445,0.3488372093023256,0.17647058823529413,0.3684210526315789,0.3709150326797386,0.7172582619339045
20100407,SEA,AL,3,OAK,AL,3,5,6,52,OAK01,18194,33,8,0,0,1,5,0,1,0,4,0,6,2,0,1,0,6,4,5,5,0,0,25,10,2,1,0,0,37,14,4,0,1,5,0,2,1,1,0,2,1,0,0,0,10,4,5,5,2,0,27,11,0,0,1,0,blevj001,lowem002,,rowlr002,duchj001,,0.2857142857142857,0.42424242424242425,0.3157894736842105,0.3902439024390244,0.3333333333333333,0.5675675675675675,0.6491228070175439,0.957811470006592
20100408,SEA,AL,4,OAK,AL,4,2,6,51,OAK01,12464,32,7,1,0,0,2,0,0,0,3,0,8,0,0,1,0,6,3,6,6,3,1,24,7,0,0,0,0,35,11,4,0,0,6,0,0,0,5,1,6,2,0,0,0,10,4,2,2,0,0,27,11,1,1,2,0,andeb004,fistd001,,fistd001,andeb004,,0.2413793103448276,0.3793103448275862,0.2857142857142857,0.4,0.25,0.42857142857142855,0.5357142857142857,0.8285714285714285
20100409,SEA,AL,5,TEX,AL,4,2,6,51,ARL02,25271,31,6,2,0,1,2,0,0,0,4,0,5,0,1,1,0,6,3,6,6,0,0,24,7,0,0,0,0,35,12,2,0,1,6,0,0,0,1,0,8,0,0,0,0,6,3,2,2,1,0,27,11,0,0,1,0,lewic001,vargj001,,vargj001,lewic001,,0.2222222222222222,0.35294117647058826,0.2857142857142857,0.3611111111111111,0.3548387096774194,0.4857142857142857,0.6405529953917051,0.8468253968253968
20100410,SEA,AL,6,TEX,AL,5,4,3,54,ARL02,26861,36,12,1,0,0,3,1,0,1,2,0,6,0,0,1,0,9,3,2,2,1,0,27,12,1,0,1,0,32,7,0,1,1,2,1,0,1,3,0,7,0,0,1,0,7,5,4,4,1,0,27,13,0,0,1,0,lowem002,franf001,aardd001,hernf002,harrm001,,0.375,0.25925925925925924,0.38461538461538464,0.3055555555555556,0.3611111111111111,0.375,0.7457264957264957,0.6805555555555556
20100411,SEA,AL,7,TEX,AL,6,2,9,51,ARL02,26846,33,9,2,0,0,2,0,0,0,1,0,5,1,1,1,0,5,4,8,8,1,0,24,9,2,0,1,0,35,16,2,1,1,9,0,3,1,4,0,2,0,0,1,2,12,3,1,1,1,0,27,13,1,0,1,0,felds001,sneli001,,sneli001,felds001,,0.28125,0.5925925925925926,0.29411764705882354,0.4883720930232558,0.3333333333333333,0.6571428571428571,0.6274509803921569,1.1455149501661128
20100412,OAK,AL,8,SEA,AL,8,4,0,54,SEA03,45876,28,5,1,0,1,4,1,1,0,7,0,3,1,0,2,0,6,3,0,0,0,0,27,9,0,0,0,0,29,2,1,0,0,0,0,0,1,2,0,5,0,0,0,0,5,3,4,4,0,0,27,10,1,0,2,0,duchj001,rowlr002,,duchj001,rowlr002,,0.2631578947368421,0.07692307692307693,0.3333333333333333,0.15625,0.32142857142857145,0.10344827586206896,0.6547619047619048,0.25969827586206895
20100413,OAK,AL,9,SEA,AL,9,0,3,51,SEA03,18043,29,3,0,0,0,0,1,0,0,2,0,4,0,0,2,0,5,4,3,3,1,0,24,9,1,0,1,0,32,9,3,0,1,3,0,0,1,3,0,9,0,0,1,0,9,2,0,0,1,0,27,12,1,0,2,0,fistd001,ziegb001,aardd001,andeb004,fistd001,,0.11538461538461539,0.32142857142857145,0.16129032258064516,0.3611111111111111,0.10344827586206896,0.46875,0.26473859844271413,0.8298611111111112
20100414,OAK,AL,10,SEA,AL,10,2,4,51,SEA03,15978,31,5,0,0,1,2,0,0,0,1,0,9,0,1,0,0,3,3,4,4,0,0,24,9,0,0,0,0,33,11,1,0,0,4,1,0,0,6,0,11,0,0,0,0,12,3,2,2,0,0,27,7,0,0,1,0,vargj001,gaudc001,aardd001,gonzg003,vargj001,,0.16666666666666666,0.4230769230769231,0.1875,0.4358974358974359,0.25806451612903225,0.36363636363636365,0.44556451612903225,0.7995337995337995
