teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO
SEA,AL,5,0,31,6,2,0,1,5,8,8,8,4,3,3,1,0.1935483870967742,0.35,0.3548387096774194,0.7048387096774194,1.0,,1.3333333333333333,0.17142857142857146,0.2,4.0790000000000015,0.2272727272727273,3.0,5,6
SEA,AL,1,0,34,5,1,0,0,0,2,10,5,4,2,2,0,0.14705882352941174,0.19444444444444445,0.17647058823529413,0.3709150326797386,0.0,1.0,1.5217391304347827,0.16279069767441862,0.09302325581395347,4.600739130434783,0.3,2.41,10,7
SEA,AL,5,0,33,8,0,0,1,5,4,6,6,4,5,5,2,0.2424242424242425,0.3157894736842105,0.3333333333333333,0.6491228070175439,0.0,0.0,1.8518518518518519,0.04878048780487805,0.024390243902439025,4.930851851851851,0.3611111111111111,3.33,14,2
SEA,AL,2,0,32,7,1,0,0,2,3,8,6,3,6,6,0,0.21875,0.2857142857142857,0.25,0.5357142857142857,0.0,0.0,2.0,0.15,0.125,3.454,0.3793103448275862,4.11,11,6
SEA,AL,2,0,31,6,2,0,1,2,4,5,6,3,6,6,0,0.1935483870967742,0.2857142857142857,0.3548387096774194,0.6405529953917051,0.0,0.0,1.625,0.2222222222222222,0.027777777777777776,3.079,0.4230769230769231,4.6,12,8
SEA,AL,4,0,36,12,1,0,0,3,2,6,9,3,2,2,1,0.3333333333333333,0.38461538461538464,0.3611111111111111,0.7457264957264957,1.0,0.0,1.1111111111111112,0.1891891891891892,0.08108108108108109,4.301222222222221,0.25,4.15,7,7
SEA,AL,2,0,33,9,2,0,0,2,1,5,5,4,8,8,2,0.2727272727272727,0.29411764705882354,0.3333333333333333,0.6274509803921569,0.0,1.0,2.5,0.04444444444444445,0.08888888888888889,6.0790000000000015,0.42857142857142855,4.8,16,2
SEA,AL,0,1,29,2,1,0,0,0,2,5,5,3,4,4,1,0.06896551724137931,0.15625,0.10344827586206896,0.2596982758620689,0.0,0.0,1.3333333333333333,0.08108108108108109,0.1891891891891892,6.190111111111111,0.16,4.7,5,3
SEA,AL,3,1,32,9,3,0,1,3,3,9,9,2,0,0,1,0.28125,0.3611111111111111,0.46875,0.8298611111111112,1.0,0.0,0.5555555555555556,0.125,0.0625,2.8567777777777783,0.12,4.15,3,4
SEA,AL,4,1,33,11,1,0,0,4,6,11,12,3,2,2,0,0.3333333333333333,0.4358974358974359,0.3636363636363637,0.7995337995337995,1.0,1.0,0.6666666666666666,0.28125,0.03125,2.8567777777777783,0.19047619047619047,3.93,5,9
SEA,AL,11,1,34,12,0,1,0,10,6,6,9,3,3,3,0,0.35294117647058826,0.4186046511627907,0.4117647058823529,0.8303693570451436,1.0,1.0,1.1111111111111112,0.2777777777777778,0.05555555555555555,1.5234444444444446,0.3333333333333333,3.84,8,10
SEA,AL,4,1,29,8,2,1,0,4,2,7,4,4,2,2,0,0.27586206896551724,0.3125,0.4137931034482759,0.7262931034482758,1.0,1.0,1.2222222222222223,0.13513513513513514,0.10810810810810813,4.745666666666667,0.2307692307692308,3.69,7,5
SEA,AL,2,1,30,7,2,0,1,2,4,7,6,5,4,4,1,0.2333333333333333,0.3235294117647059,0.4,0.723529411764706,0.0,1.0,2.0,0.13953488372093026,0.20930232558139536,6.190111111111111,0.2962962962962963,3.71,9,6
SEA,AL,8,1,35,12,5,0,1,8,5,5,8,3,2,2,0,0.3428571428571429,0.425,0.5714285714285714,0.9964285714285714,1.0,0.0,0.6666666666666666,0.15151515151515152,0.030303030303030307,4.0790000000000015,0.16,3.59,5,5
SEA,AL,3,1,31,8,2,0,0,3,2,3,7,3,1,1,1,0.25806451612903225,0.29411764705882354,0.3225806451612903,0.6166982922201139,1.0,1.0,0.6666666666666666,0.2058823529411765,0.05882352941176471,2.190111111111112,0.16,3.41,4,7
SEA,AL,4,1,30,6,1,0,0,4,3,4,6,1,0,0,2,0.2,0.29411764705882354,0.2333333333333333,0.5274509803921569,1.0,1.0,1.0,0.17142857142857146,0.0,1.745666666666667,0.3103448275862069,3.19,9,6
SEA,AL,6,0,35,8,2,1,1,6,3,9,5,5,5,5,2,0.2285714285714285,0.2894736842105263,0.42857142857142855,0.7180451127819549,0.0,1.0,1.4634146341463417,0.05128205128205128,0.05128205128205128,10.030219512195124,0.2,3.31,10,2
SEA,AL,4,0,31,4,2,0,1,4,3,6,3,2,5,5,0,0.12903225806451613,0.2058823529411765,0.2903225806451613,0.4962049335863378,0.0,0.0,1.4634146341463417,0.14705882352941174,0.05882352941176471,5.761926829268293,0.32,3.41,10,5
SEA,AL,2,0,34,8,1,1,1,2,1,7,6,3,3,3,0,0.2352941176470588,0.2571428571428571,0.4117647058823529,0.6689075630252099,0.0,0.0,1.0,0.09090909090909093,0.09090909090909093,5.4540000000000015,0.16,3.41,5,3
SEA,AL,1,0,33,6,2,0,0,1,4,6,9,2,2,2,1,0.18181818181818185,0.2702702702702703,0.2424242424242425,0.5126945126945127,0.0,0.0,1.375,0.1891891891891892,0.08108108108108109,4.0790000000000015,0.2692307692307692,3.36,8,7
SEA,AL,3,0,36,10,2,0,0,3,3,9,9,4,2,2,0,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,1.3333333333333333,0.13157894736842105,0.07894736842105263,2.967888888888889,0.3,3.29,9,5
SEA,AL,6,0,35,11,4,1,0,5,5,8,9,4,5,5,0,0.3142857142857143,0.3809523809523809,0.4857142857142857,0.8666666666666667,1.0,1.0,1.1111111111111112,0.19444444444444445,0.08333333333333333,4.301222222222221,0.25,3.37,7,7
SEA,AL,0,1,41,7,1,0,0,0,3,13,8,5,1,1,1,0.17073170731707318,0.2272727272727273,0.1951219512195122,0.4223946784922393,0.0,1.0,0.5833333333333334,0.30952380952380953,0.047619047619047616,1.4123333333333334,0.1851851851851852,3.22,5,13
SEA,AL,3,1,34,8,0,0,0,3,6,4,11,3,6,6,0,0.2352941176470588,0.35,0.2352941176470588,0.5852941176470587,0.0,0.0,2.0,0.18604651162790686,0.11627906976744184,4.412333333333334,0.4137931034482759,3.33,13,8
SEA,AL,1,1,36,5,1,0,0,1,5,8,8,4,2,2,0,0.1388888888888889,0.2619047619047619,0.16666666666666666,0.4285714285714286,0.0,0.0,0.9090909090909092,0.11904761904761905,0.047619047619047616,2.7153636363636364,0.2352941176470588,3.25,8,5
SEA,AL,2,1,34,8,1,0,0,1,1,12,6,4,4,4,4,0.2352941176470588,0.2571428571428571,0.2647058823529412,0.5218487394957982,0.0,0.0,1.4444444444444444,0.25,0.11363636363636365,3.745666666666666,0.25925925925925924,3.28,8,11
SEA,AL,3,1,34,6,2,0,1,3,2,6,6,3,7,7,1,0.17647058823529413,0.2222222222222222,0.3235294117647059,0.5457516339869282,0.0,0.0,1.5555555555555556,0.14634146341463414,0.07317073170731707,2.7456666666666667,0.34375,3.42,11,6
SEA,AL,0,1,30,4,0,0,0,0,2,9,5,3,8,8,0,0.13333333333333333,0.1875,0.13333333333333333,0.3208333333333333,0.0,0.0,1.8888888888888888,0.11363636363636365,0.11363636363636365,5.0790000000000015,0.3333333333333333,3.58,12,5
SEA,AL,0,1,28,2,1,0,0,0,4,8,5,4,7,7,1,0.07142857142857142,0.1875,0.10714285714285714,0.29464285714285715,0.0,0.0,1.3333333333333333,0.20512820512820512,0.1794871794871795,7.96788888888889,0.09523809523809523,3.7,5,8
SEA,AL,3,1,34,7,2,1,0,3,9,8,12,4,4,4,0,0.2058823529411765,0.3863636363636364,0.3235294117647059,0.7098930481283423,0.0,0.0,1.4,0.06976744186046513,0.04651162790697674,4.379,0.3055555555555556,3.7,12,3
SEA,AL,8,1,33,12,2,1,2,8,7,6,8,3,0,0,1,0.3636363636363637,0.475,0.6666666666666666,1.1416666666666666,1.0,0.0,0.7777777777777778,0.2285714285714285,0.057142857142857134,1.9678888888888888,0.2083333333333333,3.58,5,8
SEA,AL,5,0,35,10,2,0,1,4,5,4,8,2,1,1,1,0.2857142857142857,0.375,0.42857142857142855,0.8035714285714286,1.0,1.0,0.8888888888888888,0.05882352941176471,0.0,2.634555555555556,0.25,3.5,8,2
SEA,AL,2,0,31,7,1,0,0,2,3,4,7,5,5,5,1,0.2258064516129032,0.2857142857142857,0.25806451612903225,0.543778801843318,0.0,1.0,1.625,0.1891891891891892,0.027027027027027032,3.329,0.3928571428571429,3.55,12,7
SEA,AL,5,0,32,8,1,0,3,5,3,6,5,2,6,6,0,0.25,0.3333333333333333,0.5625,0.8958333333333333,0.0,0.0,1.375,0.2571428571428571,0.08571428571428573,5.2040000000000015,0.2857142857142857,3.64,8,9
SEA,AL,4,0,36,10,3,0,3,4,3,6,8,4,3,3,1,0.2777777777777778,0.3333333333333333,0.6111111111111112,0.9444444444444444,1.0,0.0,1.1111111111111112,0.25,0.1111111111111111,3.8567777777777774,0.2272727272727273,3.62,6,9
SEA,AL,2,0,32,6,1,0,1,1,1,10,4,4,3,3,0,0.1875,0.21212121212121213,0.3125,0.5246212121212122,0.0,1.0,1.125,0.0625,0.09375,5.3290000000000015,0.2,3.61,6,2
SEA,AL,1,0,31,6,0,0,0,1,3,4,7,1,2,2,2,0.1935483870967742,0.2857142857142857,0.1935483870967742,0.4792626728110599,0.0,0.0,0.75,0.3125,0.03125,0.9540000000000002,0.25,3.58,5,10
SEA,AL,4,0,31,6,0,0,1,4,4,5,4,4,8,8,1,0.1935483870967742,0.2857142857142857,0.2903225806451613,0.5760368663594471,0.0,0.0,1.875,0.1891891891891892,0.0,4.5790000000000015,0.4642857142857143,3.71,15,7
SEA,AL,5,0,36,10,1,0,1,5,5,9,7,5,6,6,0,0.2777777777777778,0.35714285714285715,0.3888888888888889,0.7460317460317459,0.0,0.0,2.391304347826088,0.20408163265306128,0.12244897959183673,3.1876956521739133,0.5,3.76,16,10
SEA,AL,2,1,38,10,1,0,0,2,2,5,11,2,3,3,0,0.2631578947368421,0.3,0.2894736842105263,0.5894736842105264,0.0,0.0,0.7777777777777778,0.2,0.028571428571428567,2.190111111111112,0.2307692307692308,3.74,6,7
SEA,AL,4,1,28,8,1,0,0,4,5,6,7,3,3,3,0,0.2857142857142857,0.38235294117647056,0.32142857142857145,0.703781512605042,1.0,0.0,0.8888888888888888,0.09090909090909093,0.09090909090909093,4.856777777777777,0.15384615384615385,3.72,5,3
SEA,AL,15,1,40,15,3,0,3,15,4,8,6,3,7,7,1,0.375,0.4222222222222222,0.675,1.0972222222222223,1.0,1.0,1.6666666666666667,0.2272727272727273,0.0,0.8567777777777779,0.4411764705882353,3.8,15,10
SEA,AL,1,1,34,9,2,0,0,1,0,8,6,4,2,2,1,0.2647058823529412,0.2647058823529412,0.3235294117647059,0.5882352941176471,0.0,1.0,1.1111111111111112,0.15789473684210525,0.07894736842105263,4.190111111111111,0.21428571428571427,3.76,7,6
SEA,AL,1,1,31,5,2,0,0,1,3,6,7,4,7,7,0,0.16129032258064516,0.2285714285714285,0.2258064516129032,0.4543778801843318,0.0,0.0,1.5555555555555556,0.14634146341463414,0.04878048780487805,2.4123333333333337,0.375,3.83,12,6
SEA,AL,5,1,30,7,2,0,2,5,2,8,4,3,2,2,1,0.2333333333333333,0.2727272727272727,0.5,0.7727272727272727,1.0,0.0,1.1111111111111112,0.08108108108108109,0.027027027027027032,4.190111111111111,0.25,3.79,9,3
SEA,AL,5,1,34,10,1,0,1,5,2,9,8,4,2,2,1,0.29411764705882354,0.35135135135135137,0.4117647058823529,0.7631160572337043,1.0,1.0,1.3333333333333333,0.1794871794871795,0.05128205128205128,3.634555555555557,0.3103448275862069,3.75,10,7
SEA,AL,8,0,36,11,3,0,1,7,3,4,6,2,2,2,1,0.3055555555555556,0.36585365853658536,0.4722222222222222,0.8380758807588076,1.0,1.0,0.7777777777777778,0.2857142857142857,0.057142857142857134,1.5234444444444446,0.21739130434782608,3.72,5,10
SEA,AL,1,0,34,4,0,0,0,0,3,10,6,2,4,4,1,0.1176470588235294,0.1891891891891892,0.1176470588235294,0.3068362480127186,0.0,1.0,1.3186813186813189,0.17073170731707318,0.0975609756097561,6.046032967032968,0.2222222222222222,3.72,8,7
SEA,AL,7,0,37,13,1,0,1,7,7,5,10,5,8,8,1,0.35135135135135137,0.4545454545454545,0.4594594594594595,0.914004914004914,0.0,0.0,2.345679012345679,0.11627906976744184,0.20930232558139536,9.99258024691358,0.28,3.81,10,5
SEA,AL,4,1,36,10,2,0,0,3,0,9,5,3,5,5,0,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.6111111111111112,0.0,0.0,1.1111111111111112,0.17142857142857146,0.0,6.0790000000000015,0.2692307692307692,3.84,10,6
SEA,AL,7,1,36,13,1,0,1,7,2,6,7,3,1,1,0,0.3611111111111111,0.3947368421052632,0.4722222222222222,0.8669590643274854,1.0,0.0,1.0,0.08571428571428573,0.08571428571428573,4.856777777777777,0.17857142857142858,3.78,6,3
SEA,AL,2,1,35,8,0,0,0,2,1,5,6,3,1,1,0,0.2285714285714285,0.2432432432432433,0.2285714285714285,0.4718146718146719,1.0,1.0,0.7,0.2222222222222222,0.05555555555555555,3.379,0.16,3.72,5,8
SEA,AL,4,1,30,9,1,0,1,4,2,6,5,2,1,1,0,0.3,0.34375,0.43333333333333335,0.7770833333333333,1.0,1.0,0.7777777777777778,0.2647058823529412,0.029411764705882363,1.4123333333333334,0.25,3.67,6,9
SEA,AL,1,1,33,9,1,0,0,1,2,5,7,4,6,6,1,0.2727272727272727,0.3142857142857143,0.30303030303030304,0.6173160173160173,0.0,1.0,1.3333333333333333,0.02631578947368421,0.10526315789473684,7.0790000000000015,0.2,3.71,8,1
SEA,AL,2,1,33,8,1,0,0,2,6,6,11,6,11,11,0,0.2424242424242425,0.375,0.2727272727272727,0.6477272727272727,0.0,0.0,2.4444444444444446,0.1020408163265306,0.20408163265306128,5.634555555555559,0.3636363636363637,3.84,12,5
SEA,AL,4,1,38,12,4,1,0,4,4,7,11,6,8,8,2,0.3157894736842105,0.3809523809523809,0.4736842105263158,0.8546365914786966,0.0,0.0,2.1111111111111107,0.14583333333333334,0.020833333333333332,4.745666666666667,0.42105263157894735,3.92,18,7
SEA,AL,4,0,35,10,0,0,1,4,2,6,7,1,2,2,1,0.2857142857142857,0.32432432432432434,0.3714285714285713,0.6957528957528958,1.0,0.0,0.7777777777777778,0.2,0.0,1.5234444444444446,0.25,3.88,7,7
