Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20170402,SFN,NL,1,ARI,NL,1,5,6,53,PHO01,49016,10011101,3012,34,11,2,1,2,5,0,2,0,5,0,7,2,1,0,0,9,5,6,6,0,0,26,9,0,0,1,0,38,13,1,1,1,6,0,0,0,0,0,12,0,0,1,0,6,6,5,5,2,0,27,8,0,0,0,0,rodnf001,melam001,,bumgm001,greiz001,,1,Apr 2,@,ARI,"L,5-6",8.2,13,6,6,0,0,12,1,0,6.23,38,124,89,3,0,0,0,38,1,1,0,0,0,0,1,5,Greg Gibson,"M.Bumgarner (99-64), D.Law (99-BSv), T.Blach (99), H.Strickland (99), M.Melancon (99-BL)"
20170404,SFN,NL,2,ARI,NL,2,8,4,54,PHO01,19378,21050000,220000,43,15,5,0,1,8,0,1,0,4,0,12,0,0,0,0,13,5,4,4,0,0,27,7,0,0,0,0,34,7,0,0,2,4,0,0,0,4,0,11,1,0,0,0,7,4,6,6,0,1,27,6,2,0,0,0,cuetj001,corbp001,,cuetj001,corbp001,,2,Apr 4,@,ARI,"W,8-4",9,7,4,4,0,4,11,2,0,5.09,38,154,104,1,0,1,0,34,0,0,0,0,0,0,0,5,Tim Timmons,"J.Cueto (99-42-W), C.Gearrin (99), G.Kontos (99), D.Law (1), H.Strickland (1)"
20170405,SFN,NL,3,ARI,NL,3,6,8,51,PHO01,14675,12010020,00103220x,36,10,0,2,1,5,0,1,0,2,0,11,1,0,0,0,6,4,5,5,1,0,24,14,1,1,0,0,36,12,7,0,0,6,0,0,0,4,0,7,3,2,0,0,8,6,6,6,1,0,27,6,0,0,0,0,walkt004,moorm003,rodnf001,moorm003,walkt004,,3,Apr 5,@,ARI,"L,6-8",8,12,8,5,3,4,7,0,0,5.26,40,152,101,3,1,3,2,36,7,0,0,0,0,1,0,4,Jim Wolf,"M.Moore (99-35-L), C.Gearrin (0), N.Ramirez (99), G.Kontos (0)"
20170406,SFN,NL,4,ARI,NL,4,3,9,51,PHO01,15308,1101000,00020403x,31,4,2,0,1,3,0,0,0,5,0,7,1,0,0,0,6,3,9,9,0,0,24,8,0,0,1,0,34,11,2,0,3,9,0,0,0,5,0,10,0,0,1,0,6,5,3,3,0,0,27,12,1,1,0,0,delaj001,samaj001,,samaj001,ray-r002,,4,Apr 6,@,ARI,"L,3-9",8,11,9,9,0,5,10,3,0,6.42,39,141,88,2,1,0,0,34,2,0,0,0,0,0,1,3,D.J. Reyburn,"J.Samardzija (99-35-L), H.Strickland (1), T.Blach (3)"
20170407,SFN,NL,5,SDN,NL,5,6,7,51,SAN02,43441,100004010,10201030x,33,8,2,0,2,5,0,0,0,2,0,8,0,0,2,0,2,5,7,7,1,0,24,10,2,0,1,0,31,8,2,0,2,7,2,0,0,7,0,5,1,0,1,0,9,5,6,6,0,1,27,15,0,0,2,0,torrj001,kontg001,maurb001,cainm001,perdl002,,5,Apr 7,@,SDP,"L,6-7",8,8,7,7,0,7,5,2,0,6.7,40,143,77,5,0,1,0,31,2,0,0,2,0,2,1,5,Greg Gibson,"M.Cain (99-35), C.Gearrin (1), N.Ramirez (1-H), G.Kontos (1-BL), D.Law (2)"
20170408,SFN,NL,6,SDN,NL,6,1,2,51,SAN02,42397,1,11000000x,32,5,2,0,0,1,0,0,0,1,0,7,0,0,0,0,5,1,2,2,0,0,24,8,1,0,0,0,30,6,3,0,0,2,1,0,1,2,0,5,0,0,0,0,8,3,1,1,0,0,27,12,0,0,0,0,chacj001,bumgm001,buchr001,bumgm001,chacj001,,6,Apr 8,@,SDP,"L,1-2",8,6,2,2,0,2,5,0,1,5.98,34,114,79,1,1,0,0,30,3,0,0,1,0,1,0,1,Paul Emmel,M.Bumgarner (5-65-L)
20170409,SFN,NL,7,SDN,NL,7,5,3,54,SAN02,40537,23000000,2010,35,8,1,0,2,4,0,0,0,4,0,5,1,0,0,0,7,3,3,3,0,0,27,6,0,0,1,0,33,7,0,0,2,3,0,0,1,5,0,8,0,0,1,0,9,3,4,4,0,0,27,8,1,1,0,0,cuetj001,richc002,melam001,cuetj001,richc002,,7,Apr 9,@,SDP,"W,5-3",9,7,3,3,0,5,8,2,1,5.52,39,143,92,0,0,0,0,33,0,0,0,0,0,0,1,3,Brian O'Nora,"J.Cueto (4-63-W), D.Law (1-H), M.Melancon (6-Sv)"
20170410,ARI,NL,8,SFN,NL,8,1,4,51,SFO03,42129,10000,00030010x,31,4,2,0,1,1,0,0,1,0,0,5,0,0,0,0,4,3,3,3,1,0,24,8,2,0,0,0,29,6,3,0,0,2,1,1,1,4,0,5,0,0,0,0,8,2,1,1,0,0,27,9,0,0,0,0,moorm003,walkt004,melam001,walkt004,moorm003,,8,Apr 10,1,ARI,"W,4-1",9,4,1,1,0,0,5,1,1,4.92,32,108,70,0,0,0,0,31,2,0,0,0,0,0,0,2,Fieldin Culbreth,"M.Moore (4-77-W), M.Melancon (0-Sv)"
20170411,ARI,NL,9,SFN,NL,9,4,3,54,SFO03,41562,3000010,12,35,9,1,1,0,4,1,0,1,4,0,12,0,0,0,0,10,4,3,3,0,0,27,6,0,0,1,0,36,10,3,0,0,3,0,0,1,6,0,11,1,0,1,0,13,4,4,4,0,0,27,6,0,0,0,0,ray-r002,samaj001,rodnf001,ray-r002,samaj001,,9,Apr 11,1,ARI,"L,3-4",9,9,4,4,0,4,12,0,1,4.81,41,160,101,1,0,0,0,35,1,1,0,1,0,0,0,4,Mark Carlson,"J.Samardzija (4-55-L), T.Blach (4), N.Ramirez (3), H.Strickland (4)"
20170412,ARI,NL,10,SFN,NL,10,2,6,51,SFO03,41656,100000010,00003030x,34,8,1,1,0,2,0,1,0,3,0,12,2,0,0,0,9,4,6,6,2,1,24,4,2,1,0,0,35,9,3,1,0,6,0,0,0,5,1,7,0,0,0,0,10,5,2,2,0,0,27,9,1,0,0,0,cainm001,mills001,,mills001,cainm001,,10,Apr 12,1,ARI,"W,6-2",9,8,2,2,0,3,12,0,0,4.52,38,148,91,2,0,2,0,34,1,1,0,0,1,0,0,5,CB Bucknor,"M.Cain (4-56-W), C.Gearrin (4-H), G.Kontos (4-H), D.Law (2), H.Strickland (0)"
