Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Winning Pitcher Name,Losing Pitcher ID,Losing Pitcher Name,Saving Pitcher ID,Saving Pitcher Name,Visiting Starter Pitcher ID,Visiting Starter Pitcher Name,Home Starter Pitcher ID,Home Starter Pitcher Name
"20180329","SFN","NL",1,"LAN","NL",1,1,0,54,"LOS03",53595,"000010000","000000000",34,8,2,0,1,1,0,0,0,2,0,11,0,0,1,0,8,5,0,0,1,0,27,11,0,0,2,0,31,6,0,0,0,0,0,0,0,5,0,10,2,0,2,0,9,4,1,1,0,0,27,9,0,0,1,0,"blact002","Ty Blach","kersc001","Clayton Kershaw","strih001","Hunter Strickland","blact002","Ty Blach","kersc001","Clayton Kershaw",
"20180330","SFN","NL",2,"LAN","NL",2,1,0,54,"LOS03",53478,"000000001","000000000",31,2,0,0,1,1,1,0,0,0,0,5,0,0,0,0,4,3,0,0,0,0,27,6,0,0,1,0,27,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,2,1,1,0,0,27,12,4,0,0,0,"watst001","Tony Watson","jansk001","Kenley Jansen","strih001","Hunter Strickland","cuetj001","Johnny Cueto","wooda002","Alex Wood",
"20180331","SFN","NL",3,"LAN","NL",3,0,5,51,"LOS03",45938,"000000000","20120000x",34,9,1,0,0,0,0,0,0,3,0,11,1,0,2,0,10,4,3,3,0,0,24,9,3,0,2,0,26,4,1,1,0,3,0,2,0,3,0,5,0,0,2,0,2,4,0,0,0,1,27,8,0,0,2,0,"maedk001","Kenta Maeda","holld003","Derek Holland","","(none)","holld003","Derek Holland","maedk001","Kenta Maeda",
"20180401","SFN","NL",4,"LAN","NL",4,0,9,51,"LOS03",41866,"000000000","00010404x",31,6,2,0,0,0,1,0,0,3,1,7,1,0,1,0,8,4,9,9,0,0,24,10,0,0,0,0,36,13,3,0,1,8,0,0,1,0,0,7,0,1,0,0,4,4,0,0,0,0,27,11,0,0,1,0,"hillr001","Rich Hill","strac001","Chris Stratton","","(none)","strac001","Chris Stratton","hillr001","Rich Hill",
"20180403","SEA","AL",4,"SFN","NL",5,6,4,54,"SFO03",40901,"400020000","000100210",34,12,2,0,0,6,1,1,0,5,0,7,2,0,2,0,8,4,4,4,0,0,27,13,0,0,2,0,33,9,1,0,2,4,0,1,0,0,0,4,0,0,2,0,3,5,6,6,0,0,27,10,0,0,2,0,"gonzm005","Marco Gonzales","blact002","Ty Blach","diaze006","Edwin Diaz","gonzm005","Marco Gonzales","blact002","Ty Blach",
"20180404","SEA","AL",5,"SFN","NL",6,1,10,51,"SFO03",42582,"000001000","31005010x",34,10,2,0,0,1,0,0,0,4,0,5,0,0,2,0,10,3,10,10,2,0,24,9,1,0,0,0,34,12,0,0,4,9,1,1,0,7,0,4,0,0,0,0,9,4,1,1,0,0,27,11,0,0,2,0,"cuetj001","Johnny Cueto","hernf002","Felix Hernandez","","(none)","hernf002","Felix Hernandez","cuetj001","Johnny Cueto",
"20180407","LAN","NL",8,"SFN","NL",7,5,7,81,"SFO03",42308,"00100210000001","10020100000003",53,12,1,0,1,4,0,0,0,9,1,10,0,0,2,0,15,10,7,7,0,0,39,11,0,0,1,0,55,17,3,0,2,7,0,0,0,2,1,18,2,1,0,0,11,9,4,4,0,0,42,14,1,1,2,0,"gomer002","Roberto Gomez","fontw001","Wilmer Font","","(none)","hillr001","Rich Hill","strac001","Chris Stratton",
"20180408","LAN","NL",9,"SFN","NL",8,2,1,60,"SFO03",42374,"0001000001","0000000100",37,10,2,0,0,2,0,0,0,4,1,5,1,1,2,0,9,5,1,1,0,0,30,9,0,0,2,0,36,8,2,0,0,1,0,0,0,0,0,9,1,0,1,0,5,5,2,2,0,0,30,14,0,0,2,0,"fielj002","Josh Fields","johnp001","Pierce Johnson","jansk001","Kenley Jansen","kersc001","Clayton Kershaw","blact002","Ty Blach",
"20180409","ARI","NL",10,"SFN","NL",9,2,1,54,"SFO03",36997,"200000000","000000010",30,5,0,1,0,2,0,1,0,1,0,11,0,1,0,0,3,3,1,1,1,0,27,12,0,0,2,0,30,5,1,0,0,1,0,0,0,0,0,12,0,0,2,0,2,3,2,2,0,0,27,9,0,0,0,0,"godlz001","Zack Godley","holld003","Derek Holland","brada001","Archie Bradley","godlz001","Zack Godley","holld003","Derek Holland",
"20180410","ARI","NL",11,"SFN","NL",10,4,5,52,"SFO03",37869,"200000101","000003011",32,6,3,0,1,4,0,0,1,7,0,9,1,0,1,0,9,4,4,4,0,0,25,12,1,0,0,0,29,8,0,0,0,4,1,2,0,7,2,12,4,0,0,0,9,6,4,4,0,0,27,4,0,0,1,0,"strih001","Hunter Strickland","delaj001","Jorge de la Rosa","","(none)","corbp001","Patrick Corbin","beedt001","Tyler Beede",
"20180411","ARI","NL",12,"SFN","NL",11,7,3,54,"SFO03",35041,"000211300","000030000",36,9,4,0,2,7,0,0,0,1,0,9,1,0,0,0,3,6,3,3,0,0,27,11,0,0,1,0,32,6,1,0,1,3,0,0,0,4,1,10,0,0,1,0,6,4,7,7,0,0,27,9,0,0,0,0,"salaf001","Fernando Salas","suara002","Andrew Suarez","","(none)","ray-r002","Robbie Ray","suara002","Andrew Suarez",
"20180412","SFN","NL",12,"SDN","NL",14,7,0,54,"SAN02",22288,"300004000","000000000",36,10,2,0,0,5,1,0,1,8,0,7,0,0,0,0,12,2,0,0,0,0,27,7,0,0,1,0,27,1,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,4,3,3,0,0,27,10,1,0,1,0,"strac001","Chris Stratton","mitcb001","Bryan Mitchell","","(none)","strac001","Chris Stratton","mitcb001","Bryan Mitchell",
"20180413","SFN","NL",13,"SDN","NL",15,1,5,51,"SAN02",31675,"000000100","00002210x",35,10,0,0,0,1,0,0,1,1,0,8,0,0,2,0,9,3,4,4,0,0,24,11,2,0,0,0,34,8,2,0,1,5,0,0,1,1,0,6,0,0,0,0,7,4,0,0,0,0,27,12,1,0,2,0,"rosst001","Tyson Ross","blact002","Ty Blach","handb001","Brad Hand","blact002","Ty Blach","rosst001","Tyson Ross",
"20180414","SFN","NL",14,"SDN","NL",16,4,5,51,"SAN02",41117,"000310000","20001020x",34,9,1,2,2,4,0,0,0,3,0,11,0,1,0,0,6,6,5,5,0,0,24,8,1,0,1,0,34,11,2,0,2,5,0,1,0,4,0,9,0,0,1,0,10,4,4,4,0,0,27,10,0,0,1,0,"cimba001","Adam Cimber","gearc001","Cory Gearrin","handb001","Brad Hand","holld003","Derek Holland","richc002","Clayton Richard",
"20180415","SFN","NL",15,"SDN","NL",17,1,10,51,"SAN02",34316,"010000000","00231130x",32,7,2,0,0,1,0,1,0,1,0,12,0,0,1,0,6,5,9,9,0,0,24,10,1,0,1,0,35,11,3,1,1,9,0,0,1,7,0,12,3,0,1,0,9,3,1,1,0,0,27,5,0,0,1,0,"luccj001","Joey Lucchesi","beedt001","Tyler Beede","","(none)","beedt001","Tyler Beede","luccj001","Joey Lucchesi",
"20180417","SFN","NL",16,"ARI","NL",16,0,1,51,"PHO01",19669,"000000000","00000001x",28,1,0,0,0,0,0,0,0,1,0,8,0,0,0,0,2,2,1,1,0,0,24,6,0,0,0,0,26,3,0,0,0,1,1,0,1,1,0,12,0,0,0,0,4,1,0,0,0,0,27,11,0,0,0,0,"corbp001","Patrick Corbin","watst001","Tony Watson","","(none)","cuetj001","Johnny Cueto","corbp001","Patrick Corbin",
"20180418","SFN","NL",17,"ARI","NL",17,4,3,60,"PHO01",16976,"0000020002","0000000111",37,9,1,0,2,4,0,0,1,5,0,13,1,1,1,0,9,4,3,3,0,0,30,12,1,0,2,0,39,10,6,1,0,3,0,0,0,3,1,10,0,0,2,0,9,5,4,4,0,0,30,9,0,0,1,0,"strih001","Hunter Strickland","boxbb001","Brad Boxberger","gearc001","Cory Gearrin","strac001","Chris Stratton","ray-r002","Robbie Ray",
"20180419","SFN","NL",18,"ARI","NL",18,1,3,51,"PHO01",18736,"010000000","00100110x",31,5,1,0,1,1,0,0,0,1,0,6,0,1,0,0,4,3,3,3,0,0,24,8,0,0,0,0,30,7,1,0,2,3,1,0,0,3,0,4,0,0,0,0,7,3,1,1,0,0,27,11,0,0,0,0,"greiz001","Zack Greinke","blact002","Ty Blach","boxbb001","Brad Boxberger","blact002","Ty Blach","greiz001","Zack Greinke",
"20180420","SFN","NL",19,"ANA","AL",20,8,1,54,"ANA01",37494,"010060010","000000010",36,9,3,0,3,8,0,0,1,2,0,10,0,0,1,0,4,4,1,1,0,0,27,6,0,0,1,0,31,5,1,0,1,1,0,0,0,4,0,6,1,0,1,0,7,5,8,8,0,0,27,11,2,0,1,0,"samaj001","Jeff Samardzija","heana001","Andrew Heaney","","(none)","samaj001","Jeff Samardzija","heana001","Andrew Heaney",
"20180421","SFN","NL",20,"ANA","AL",21,3,4,51,"ANA01",42666,"020000010","01100200x",34,7,1,0,1,3,0,0,0,3,1,17,0,1,0,0,7,3,4,4,0,0,24,6,0,0,1,0,29,6,3,0,3,4,0,0,0,2,0,7,1,0,1,0,3,5,3,3,2,0,27,4,0,0,1,0,"richg002","Garrett Richards","holld003","Derek Holland","middk001","Keynan Middleton","holld003","Derek Holland","richg002","Garrett Richards",
"20180422","SFN","NL",21,"ANA","AL",22,4,2,54,"ANA01",44544,"003010000","000000020",39,13,0,0,2,3,0,0,0,2,0,9,1,0,1,0,10,5,2,2,0,0,27,7,1,0,2,0,32,6,0,0,1,2,0,0,2,3,0,11,0,0,2,0,8,7,4,4,1,0,27,6,0,0,1,0,"cuetj001","Johnny Cueto","barrj003","Jaime Barria","strih001","Hunter Strickland","cuetj001","Johnny Cueto","barrj003","Jaime Barria",
"20180423","WAS","NL",23,"SFN","NL",22,2,4,51,"SFO03",36983,"001000100","00011200x",31,5,0,1,0,2,0,2,0,4,0,8,2,0,0,0,8,5,4,4,0,0,24,8,0,0,0,0,31,6,3,0,1,4,0,0,0,3,0,7,0,0,0,0,6,4,2,2,0,0,27,9,2,0,0,0,"strac001","Chris Stratton","gonzg003","Gio Gonzalez","strih001","Hunter Strickland","gonzg003","Gio Gonzalez","strac001","Chris Stratton",
"20180424","WAS","NL",24,"SFN","NL",23,3,4,51,"SFO03",37147,"000300000","10200100x",30,6,1,0,1,3,1,0,0,3,1,6,0,0,2,0,4,3,4,4,2,0,24,8,0,0,0,0,30,7,0,0,2,3,0,0,1,3,0,4,0,0,0,0,6,4,3,3,0,1,27,18,0,0,2,0,"moror001","Reyes Moronta","roart001","Tanner Roark","strih001","Hunter Strickland","roart001","Tanner Roark","blact002","Ty Blach",
"20180425","WAS","NL",25,"SFN","NL",24,15,2,54,"SFO03",35126,"300322230","010001000",46,18,4,0,1,14,0,0,1,6,1,6,2,0,0,0,11,4,2,2,2,0,27,6,0,1,0,0,34,7,3,1,0,2,0,0,1,3,0,11,0,0,0,0,9,5,12,12,3,0,27,11,2,1,0,0,"schem001","Max Scherzer","samaj001","Jeff Samardzija","","(none)","schem001","Max Scherzer","samaj001","Jeff Samardzija",
"20180427","LAN","NL",24,"SFN","NL",25,4,6,51,"SFO03",41936,"000400000","02000040x",33,8,3,0,0,4,1,0,0,7,0,7,2,1,0,0,10,5,6,6,1,1,24,9,0,0,0,0,32,9,1,0,2,5,0,1,0,3,0,9,0,0,0,0,6,6,4,4,0,0,27,8,0,0,0,0,"dysos001","Sam Dyson","cingt001","Tony Cingrani","strih001","Hunter Strickland","ryu-h001","Hyun-Jin Ryu","holld003","Derek Holland",
"20180428","LAN","NL",25,"SFN","NL",26,15,6,54,"SFO03",41809,"332013030","200000310",46,20,6,2,1,14,0,0,3,6,0,8,1,0,0,0,13,6,6,6,1,0,27,9,1,0,0,0,39,12,0,0,2,5,0,0,0,3,0,10,2,0,0,0,9,5,14,14,0,0,27,11,1,0,1,0,"buehw001","Walker Buehler","strac001","Chris Stratton","","(none)","buehw001","Walker Buehler","strac001","Chris Stratton",
"20180428","LAN","NL",26,"SFN","NL",27,3,8,51,"SFO03",40608,"200000100","00003140x",30,5,1,0,1,2,1,0,0,5,0,6,0,0,1,0,6,3,8,8,0,0,24,6,1,0,1,0,33,9,2,0,0,8,0,0,0,4,1,7,0,0,1,0,5,5,3,3,0,0,27,10,0,0,1,0,"cuetj001","Johnny Cueto","wooda002","Alex Wood","","(none)","wooda002","Alex Wood","cuetj001","Johnny Cueto",
"20180429","LAN","NL",27,"SFN","NL",28,2,4,51,"SFO03",42020,"000001100","30100000x",33,8,2,0,0,2,0,0,0,1,0,6,1,0,1,0,5,3,4,4,0,0,24,11,0,0,1,0,28,6,2,1,1,4,0,0,0,5,0,5,0,1,1,0,5,4,2,2,0,0,27,13,0,0,2,0,"blact002","Ty Blach","maedk001","Kenta Maeda","strih001","Hunter Strickland","maedk001","Kenta Maeda","blact002","Ty Blach",
"20180430","SDN","NL",30,"SFN","NL",29,5,6,53,"SFO03",35470,"000113000","300000003",36,10,2,0,0,4,0,1,0,5,0,6,2,0,1,0,10,5,6,6,0,0,26,7,1,0,0,0,36,10,2,1,0,6,0,0,1,5,0,10,2,0,0,0,10,5,3,3,0,0,27,14,2,0,1,0,"johnp001","Pierce Johnson","handb001","Brad Hand","","(none)","lauee001","Eric Lauer","samaj001","Jeff Samardzija",
"20180501","SDN","NL",31,"SFN","NL",30,3,2,54,"SFO03",36735,"100100001","000010100",29,5,0,1,2,3,0,0,0,1,0,6,0,0,3,0,0,4,2,2,2,0,27,8,0,0,0,0,33,6,2,0,0,2,0,0,0,5,0,10,1,0,0,0,9,3,3,3,0,0,27,9,0,0,3,0,"yatek001","Kirby Yates","strih001","Hunter Strickland","handb001","Brad Hand","rosst001","Tyson Ross","suara002","Andrew Suarez",
"20180502","SDN","NL",32,"SFN","NL",31,4,9,51,"SFO03",36475,"002010001","30220200x",34,8,1,0,1,4,1,0,0,4,0,9,0,0,0,0,8,4,8,8,1,0,24,6,1,1,0,0,38,14,5,0,1,9,0,1,1,4,0,8,0,0,0,0,11,6,4,4,0,0,27,12,1,0,0,0,"holld003","Derek Holland","richc002","Clayton Richard","","(none)","richc002","Clayton Richard","holld003","Derek Holland",
"20180504","SFN","NL",32,"ATL","NL",31,9,4,54,"ATL03",41807,"060000201","201000100",39,13,2,1,2,9,0,0,0,4,0,7,0,0,1,0,7,4,3,3,0,0,27,9,2,0,2,0,32,8,1,0,2,4,0,1,0,3,0,8,0,0,2,0,5,4,9,9,0,0,27,10,0,0,1,0,"strac001","Chris Stratton","foltm001","Mike Foltynewicz","","(none)","strac001","Chris Stratton","foltm001","Mike Foltynewicz",
