Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev,WHIP,KPercent,BBPercent,BABIP
20100405,SFN,NL,1,HOU,NL,1,5,2,54,HOU03,43836,32,10,1,0,1,5,2,1,0,2,0,6,0,0,2,0,5,4,2,2,0,0,27,11,0,0,0,0,36,9,2,0,0,2,0,0,0,0,0,9,0,0,0,0,7,4,5,5,0,0,27,14,0,0,2,0,linct001,oswar001,wilsb001,linct001,oswar001,,1,Apr 5,@,HOU,"W,5-2",9.0,9,2,2,0,0,9,0,0,2.0,36,138,97,1,0,0,0,36,2,0,0,0,0,0,0,4,Tim Welke,"T.Lincecum (99-76-W), S.Romo (99), B.Medders (99), B.Wilson (99-Sv)",0.3125,0.25,0.34285714285714286,0.25,0.4375,0.3055555555555556,0.7803571428571429,0.5555555555555556,1.0,,1.0,0.25,0.0,0.3333333333333333
20100406,SFN,NL,2,HOU,NL,2,3,0,54,HOU03,24237,31,8,0,0,0,3,1,1,0,4,0,6,0,0,3,0,7,5,0,0,0,0,27,8,0,0,0,0,31,4,2,0,0,0,0,0,1,2,0,7,0,0,0,0,7,4,3,3,0,0,27,14,1,0,3,0,zitob001,rodrw002,wilsb001,zitob001,rodrw002,,2,Apr 6,@,HOU,"W,3-0",9.0,4,0,0,0,2,7,0,1,1.0,34,131,87,3,0,0,0,31,2,0,0,0,0,0,0,5,Tim Timmons,"B.Zito (99-70-W), W.Joaquin (99-H), D.Runzler (99-H), S.Romo (0-H), B.Wilson (0-Sv)",0.25806451612903225,0.12903225806451613,0.3333333333333333,0.20588235294117646,0.25806451612903225,0.1935483870967742,0.5913978494623655,0.39943074003795065,1.0,1.0,0.6666666666666666,0.20588235294117646,0.058823529411764705,0.16666666666666666
20100407,SFN,NL,3,HOU,NL,3,10,4,54,HOU03,21599,43,19,3,1,2,8,2,0,0,4,0,3,0,0,2,0,12,3,3,3,0,0,27,13,1,0,0,0,35,7,2,1,0,4,0,0,0,0,0,6,0,0,0,0,4,6,9,9,1,0,27,12,1,0,2,0,affej001,gervs001,,cainm001,myerb001,,3,Apr 7,@,HOU,"W,10-4",9.0,7,4,3,1,0,6,0,0,1.67,35,127,87,1,1,0,0,35,2,1,0,0,0,1,0,3,D.J. Reyburn,"M.Cain (99-53), J.Affeldt (99-BW), G.Mota (99)",0.4418604651162791,0.2,0.48936170212765956,0.2,0.6976744186046512,0.3142857142857143,1.1870361207323108,0.5142857142857142,1.0,1.0,0.7777777777777778,0.17142857142857143,0.0,0.2413793103448276
20100409,ATL,NL,4,SFN,NL,4,4,5,77,SFO03,42940,46,11,1,0,0,4,2,0,0,9,0,14,0,1,1,0,14,6,4,4,0,0,38,18,2,0,3,0,43,9,3,0,1,5,2,0,0,1,0,9,1,0,3,0,3,8,4,4,1,0,39,16,2,0,1,0,affej001,medlk001,,hudst001,sancj002,,4,Apr 9,1,ATL,"W,5-4",13.0,11,4,4,0,9,14,0,0,2.02,57,227,132,7,2,0,1,46,1,0,0,2,0,0,1,8,Tim Tschida,"J.Sanchez (99-41), B.Medders (3), G.Mota (1), W.Joaquin (2), D.Runzler (2), B.Wilson (2), S.Romo (2), J.Affeldt (1-W)",0.2391304347826087,0.20930232558139536,0.36363636363636365,0.22727272727272727,0.2608695652173913,0.3488372093023256,0.6245059288537549,0.5761099365750528,1.0,1.0,1.5384615384615385,0.24561403508771928,0.15789473684210525,0.34375
20100410,ATL,NL,5,SFN,NL,5,7,2,54,SFO03,42985,37,10,2,0,1,6,1,0,1,6,1,5,1,0,1,0,11,4,2,2,0,0,27,18,0,0,2,0,29,6,1,0,0,2,0,0,0,9,2,6,1,2,2,0,9,5,6,6,4,1,27,14,2,0,1,0,lowed001,wellt002,,lowed001,wellt002,,5,Apr 10,1,ATL,"L,2-7",9.0,10,7,6,1,6,5,1,1,2.76,45,161,95,6,2,1,0,37,2,0,1,1,0,2,1,5,Bob Davidson,"T.Wellemeyer (99-43-L), B.Medders (0), D.Runzler (0), W.Joaquin (0), G.Mota (0)",0.2702702702702703,0.20689655172413793,0.38636363636363635,0.39473684210526316,0.40540540540540543,0.2413793103448276,0.7917690417690417,0.6361161524500908,0.0,1.0,1.7777777777777777,0.1111111111111111,0.13333333333333333,0.2903225806451613
20100411,ATL,NL,6,SFN,NL,6,3,6,51,SFO03,38062,33,6,2,0,2,3,0,0,0,1,0,11,0,0,0,0,4,3,4,4,0,0,24,12,2,0,0,0,33,8,0,1,1,5,0,0,0,1,0,4,0,0,0,0,4,2,3,3,0,0,27,9,0,0,0,0,linct001,kawak001,affej001,kawak001,linct001,,6,Apr 11,1,ATL,"W,6-3",9.0,6,3,3,0,1,11,2,0,2.79,34,138,94,0,0,0,0,33,2,0,0,0,0,0,0,2,Alfonso Marquez,"T.Lincecum (5-68-W), J.Affeldt (1-Sv)",0.18181818181818182,0.24242424242424243,0.20588235294117646,0.2647058823529412,0.42424242424242425,0.3939393939393939,0.6301247771836007,0.6586452762923352,1.0,0.0,0.7777777777777778,0.3235294117647059,0.029411764705882353,0.2
20100412,PIT,NL,7,SFN,NL,7,3,9,51,SFO03,26011,33,7,1,0,0,3,1,0,0,3,0,5,1,0,0,0,7,4,9,9,1,0,24,9,0,0,2,0,34,12,4,1,1,8,0,0,3,6,1,8,0,0,1,0,10,4,3,3,1,0,27,11,0,0,0,0,zitob001,burrb001,,burrb001,zitob001,,7,Apr 12,1,PIT,"W,9-3",9.0,7,3,3,0,3,5,0,0,2.82,37,140,83,2,1,1,0,33,1,0,0,1,0,0,0,4,Gary Cederstrom,"B.Zito (5-48-W), S.Romo (2), D.Runzler (1), G.Mota (1)",0.21212121212121213,0.35294117647058826,0.2777777777777778,0.4883720930232558,0.24242424242424243,0.6176470588235294,0.5202020202020202,1.1060191518467852,1.0,1.0,1.1111111111111112,0.13513513513513514,0.08108108108108109,0.25
20100413,PIT,NL,8,SFN,NL,8,6,5,54,SFO03,28030,35,9,1,1,2,6,0,0,0,3,0,5,2,0,1,0,5,4,5,5,0,0,27,12,0,0,1,0,36,11,4,0,1,5,0,0,0,3,0,8,0,0,1,0,7,4,5,5,0,0,27,12,1,0,1,0,meeke001,affej001,doteo001,mahop002,cainm001,,8,Apr 13,1,PIT,"L,5-6",9.0,9,6,5,1,3,5,2,0,3.08,38,131,77,0,0,2,0,35,1,1,0,0,0,0,1,4,Ed Hickox,"M.Cain (5-51), S.Romo (0), J.Affeldt (1-L), B.Medders (2)",0.2571428571428571,0.3055555555555556,0.3157894736842105,0.358974358974359,0.5142857142857142,0.5,0.8300751879699247,0.858974358974359,0.0,1.0,1.3333333333333333,0.13157894736842105,0.07894736842105263,0.25
20100414,PIT,NL,9,SFN,NL,9,0,6,51,SFO03,29028,29,3,1,0,0,0,0,0,0,4,0,13,0,0,1,0,6,3,6,6,0,0,24,11,0,0,1,0,32,10,2,0,3,6,1,0,0,0,0,6,0,0,1,0,3,2,0,0,0,0,27,7,0,0,1,0,sancj002,mortc002,,mortc002,sancj002,,9,Apr 14,1,PIT,"W,6-0",9.0,3,0,0,0,4,13,0,0,2.75,33,126,80,0,0,0,0,29,1,0,0,0,0,0,1,2,Fieldin Culbreth,"J.Sanchez (4-84-W), B.Wilson (4)",0.10344827586206896,0.3125,0.21212121212121213,0.3125,0.13793103448275862,0.65625,0.3500522466039707,0.96875,1.0,0.0,0.7777777777777778,0.3939393939393939,0.12121212121212122,0.1875
20100416,SFN,NL,10,LAN,NL,10,8,10,51,LOS03,49319,34,8,1,0,2,8,0,0,1,3,0,10,0,0,0,0,3,3,10,10,0,0,24,14,0,0,1,0,34,12,0,0,3,9,0,0,0,8,0,4,0,1,1,0,8,3,8,8,0,0,27,7,0,0,1,0,padiv001,wellt002,,wellt002,padiv001,,10,Apr 16,@,LAD,"L,8-10",8.0,12,10,10,0,8,4,3,0,3.48,42,157,92,0,0,0,1,34,0,0,0,0,0,0,1,3,Dan Iassogna,"T.Wellemeyer (5-23-L), W.Joaquin (5), B.Medders (2)",0.23529411764705882,0.35294117647058826,0.3157894736842105,0.47619047619047616,0.4411764705882353,0.6176470588235294,0.7569659442724458,1.0938375350140057,0.0,1.0,2.5,0.09523809523809523,0.19047619047619047,0.3333333333333333
20100417,SFN,NL,11,LAN,NL,11,9,0,54,LOS03,44734,36,12,2,0,0,7,1,2,1,6,0,7,2,0,0,0,10,4,0,0,0,0,27,6,0,0,0,0,35,8,1,0,0,0,0,0,0,2,0,8,0,0,0,0,10,5,7,7,1,0,27,8,2,1,0,0,linct001,haegc001,,linct001,haegc001,,11,Apr 17,@,LAD,"W,9-0",9.0,8,0,0,0,2,8,0,0,3.18,37,156,104,0,0,0,0,35,1,0,0,0,0,0,0,4,Dale Scott,"T.Lincecum (5-69-W), G.Mota (4), D.Runzler (4), B.Medders (0)",0.3333333333333333,0.22857142857142856,0.4222222222222222,0.2702702702702703,0.3888888888888889,0.2571428571428571,0.8111111111111111,0.5274131274131274,1.0,0.0,1.1111111111111112,0.21621621621621623,0.05405405405405406,0.2962962962962963
20100418,SFN,NL,12,LAN,NL,12,1,2,51,LOS03,50433,28,4,1,0,1,1,2,0,1,5,1,10,0,1,0,0,8,2,2,2,0,0,24,9,0,0,0,0,28,5,0,0,1,2,0,0,0,1,0,4,0,1,0,0,3,5,1,1,0,0,27,10,0,0,0,0,tronr001,romos001,broxj001,zitob001,kersc001,,12,Apr 18,@,LAD,"L,1-2",8.0,5,2,2,0,1,4,1,0,3.11,29,116,77,1,1,0,1,28,0,0,0,0,0,0,0,2,Jerry Meals,"B.Zito (5-68), S.Romo (4-BL)",0.14285714285714285,0.17857142857142858,0.29411764705882354,0.20689655172413793,0.2857142857142857,0.2857142857142857,0.5798319327731092,0.4926108374384236,0.0,1.0,0.75,0.13793103448275862,0.034482758620689655,0.17391304347826086
20100419,SFN,NL,13,SDN,NL,13,2,3,57,SAN02,17087,38,10,2,0,1,2,1,0,0,1,0,9,1,0,1,0,8,4,3,3,0,0,27,12,0,0,1,0,31,10,1,1,1,3,3,2,0,2,0,5,1,0,0,0,8,4,2,2,0,1,30,13,1,0,1,0,staut001,affej001,,cainm001,richc002,,13,Apr 19,@,SDP,"L,2-3",9.0,10,3,3,0,2,5,1,0,3.1,38,134,84,1,0,1,0,31,1,1,0,3,2,0,0,4,Gerry Davis,"M.Cain (5-53), D.Runzler (1), G.Mota (1), J.Affeldt (5-L)",0.2631578947368421,0.3225806451612903,0.28205128205128205,0.34285714285714286,0.39473684210526316,0.5161290322580645,0.6767881241565452,0.8589861751152074,0.0,0.0,1.3333333333333333,0.13157894736842105,0.05263157894736842,0.3333333333333333
20100420,SFN,NL,14,SDN,NL,14,0,1,51,SAN02,17822,31,6,1,1,0,0,0,0,0,2,0,4,0,0,2,0,6,2,1,1,0,0,24,2,0,0,0,0,24,1,0,0,0,1,0,1,0,3,1,11,4,0,0,0,3,3,0,0,0,0,27,10,0,0,2,0,latom001,sancj002,bellh001,sancj002,latom001,,14,Apr 20,@,SDP,"L,0-1",8.0,1,1,1,0,3,11,0,0,2.98,28,119,73,0,0,4,0,24,0,0,1,0,1,0,0,2,Brian Knight,"J.Sanchez (5-78-L), S.Romo (1)",0.1935483870967742,0.041666666666666664,0.24242424242424243,0.14285714285714285,0.2903225806451613,0.041666666666666664,0.5327468230694037,0.1845238095238095,0.0,0.0,0.5,0.39285714285714285,0.10714285714285714,0.07142857142857142
20100421,SFN,NL,15,SDN,NL,15,2,5,51,SAN02,14906,31,7,2,0,1,2,0,0,0,2,0,1,0,0,2,0,4,4,5,5,0,0,24,9,2,0,0,0,32,9,2,0,2,5,2,0,0,4,0,3,2,0,0,0,9,3,2,2,1,0,27,14,0,0,3,0,garlj001,wellt002,,wellt002,garlj001,,15,Apr 21,@,SDP,"L,2-5",8.0,9,5,5,0,4,3,2,0,3.13,38,153,84,0,0,2,0,32,2,0,0,2,0,1,0,4,Greg Gibson,"T.Wellemeyer (4-47-L), D.Runzler (1), G.Mota (1), B.Wilson (6)",0.22580645161290322,0.28125,0.2727272727272727,0.3611111111111111,0.3870967741935484,0.53125,0.6598240469208211,0.8923611111111112,0.0,0.0,1.625,0.07894736842105263,0.10526315789473684,0.25925925925925924
