teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev,WHIP,KPercent,BBPercent,FIP,BABIP,ERA,HAllowed,defensiveSO
SFN,NL,5,0,32,10,1,0,1,5,2,6,5,4,2,2,0,0.3125,0.34285714285714286,0.4375,0.7803571428571429,1.0,,1.0,0.25,0.0,1.0790000000000002,0.3333333333333333,2.0,9,9
SFN,NL,3,0,31,8,0,0,0,3,4,6,7,5,0,0,0,0.25806451612903225,0.3333333333333333,0.25806451612903225,0.5913978494623655,1.0,1.0,0.6666666666666666,0.20588235294117646,0.058823529411764705,2.5234444444444444,0.16666666666666666,1.0,4,7
SFN,NL,10,0,43,19,3,1,2,8,4,3,12,3,3,3,1,0.4418604651162791,0.48936170212765956,0.6976744186046512,1.1870361207323108,1.0,1.0,0.7777777777777778,0.17142857142857143,0.0,1.745666666666667,0.2413793103448276,1.67,7,6
SFN,NL,5,1,43,9,3,0,1,5,1,9,3,8,4,4,2,0.20930232558139536,0.22727272727272727,0.3488372093023256,0.5761099365750528,1.0,1.0,1.5384615384615385,0.24561403508771928,0.15789473684210525,3.002076923076923,0.34375,2.02,11,14
SFN,NL,2,1,29,6,1,0,0,2,9,6,9,5,6,6,2,0.20689655172413793,0.39473684210526316,0.2413793103448276,0.6361161524500908,0.0,1.0,1.7777777777777777,0.1111111111111111,0.13333333333333333,5.745666666666667,0.2903225806451613,2.76,10,5
SFN,NL,6,1,33,8,0,1,1,5,1,4,4,2,3,3,0,0.24242424242424243,0.2647058823529412,0.3939393939393939,0.6586452762923352,1.0,0.0,0.7777777777777778,0.3235294117647059,0.029411764705882353,3.856777777777778,0.2,2.79,6,11
SFN,NL,9,1,34,12,4,1,1,8,6,8,10,4,3,3,0,0.35294117647058826,0.4883720930232558,0.6176470588235294,1.1060191518467852,1.0,1.0,1.1111111111111112,0.13513513513513514,0.08108108108108109,2.967888888888889,0.25,2.82,7,5
SFN,NL,5,1,36,11,4,0,1,5,3,8,7,4,5,5,1,0.3055555555555556,0.358974358974359,0.5,0.858974358974359,0.0,1.0,1.3333333333333333,0.13157894736842105,0.07894736842105263,5.856777777777777,0.25,3.08,9,5
SFN,NL,6,1,32,10,2,0,3,6,0,6,3,2,0,0,0,0.3125,0.3125,0.65625,0.96875,1.0,0.0,0.7777777777777778,0.3939393939393939,0.12121212121212122,1.5234444444444446,0.1875,2.75,3,13
SFN,NL,8,0,34,8,1,0,2,8,3,10,3,3,10,10,0,0.23529411764705882,0.3157894736842105,0.4411764705882353,0.7569659442724458,0.0,1.0,2.5,0.09523809523809523,0.19047619047619047,9.954,0.3333333333333333,3.48,12,4
