Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20120404,SLN,NL,1,MIA,NL,1,4,1,54,MIA02,36601,210000010,10,37,13,3,0,0,4,1,0,0,3,2,5,1,1,0,0,10,4,1,1,0,0,27,10,0,0,1,0,30,4,1,0,0,1,0,0,1,0,0,6,0,0,1,0,3,5,4,4,0,0,27,12,0,0,2,0,lohsk001,johnj009,mottj001,lohsk001,johnj009,,1,Apr 4,@,MIA,"W,4-1",9,4,1,1,0,0,6,0,1,1,31,117,76,2,1,0,0,30,1,0,0,0,0,0,1,4,Ed Rapuano,"K.Lohse (99-73-W), F.Salas (99), M.Rzepczynski (99-H), J.Motte (99-Sv)"
20120406,SLN,NL,2,MIL,NL,1,11,5,54,MIL06,46086,14101103,200000003,40,16,4,0,4,11,1,0,0,7,0,6,2,0,0,0,10,4,5,5,1,0,27,8,0,0,2,0,36,10,1,1,1,5,0,0,1,2,0,6,0,0,2,0,7,4,10,10,0,0,27,10,1,0,1,0,garcj004,gally001,,garcj004,gally001,,2,Apr 6,@,MIL,"W,11-5",9,10,5,5,0,2,6,1,1,3,39,139,89,2,0,0,0,36,1,1,0,0,0,0,2,4,Angel Hernandez,"J.Garcia (99-55-W), J.Romero (99), M.Boggs (99), K.McClellan (99)"
20120407,SLN,NL,3,MIL,NL,2,0,6,51,MIL06,42084,0,01000302x,32,6,0,0,0,0,0,0,0,0,0,8,0,0,1,0,5,4,6,6,0,0,24,10,1,0,1,0,31,8,4,0,3,6,1,0,0,1,0,9,0,0,1,0,3,3,0,0,1,0,27,13,0,0,1,0,greiz001,waina001,,waina001,greiz001,,3,Apr 7,@,MIL,"L,0-6",8,8,6,6,0,1,9,3,0,4.15,33,146,91,2,1,0,0,31,4,0,0,1,0,1,1,4,Laz Diaz,"A.Wainwright (99-54-L), V.Marte (99), F.Salas (2), J.Romero (0)"
20120408,SLN,NL,4,MIL,NL,3,9,3,54,MIL06,33211,100110213,10011,41,14,2,0,2,9,0,0,1,3,0,12,0,0,0,0,9,3,3,3,0,0,27,4,0,0,0,0,31,5,1,0,2,3,0,0,0,1,0,13,0,0,0,0,2,5,9,9,0,0,27,8,0,0,0,0,lynnl001,wolfr001,,lynnl001,wolfr001,,4,Apr 8,@,MIL,"W,9-3",9,5,3,3,0,1,13,2,0,3.86,32,137,94,1,0,0,0,31,1,0,0,0,0,0,0,3,Ed Hickox,"L.Lynn (99-73-W), M.Boggs (1), J.Motte (3)"
20120409,SLN,NL,5,CIN,NL,4,7,1,54,CIN09,16909,400000030,10000,33,9,2,0,3,7,0,1,0,7,0,10,0,1,1,0,7,3,0,0,0,0,27,16,2,0,1,0,29,3,0,0,0,0,0,0,0,4,0,5,0,1,1,0,5,4,7,7,1,0,27,10,0,0,2,0,westj001,bailh001,,westj001,bailh001,,5,Apr 9,@,CIN,"W,7-1",9,3,1,0,1,4,5,0,0,3.07,33,113,72,0,0,0,1,29,0,0,0,0,0,1,1,3,CB Bucknor,"J.Westbrook (99-67-W), M.Rzepczynski (4), F.Salas (1)"
20120410,SLN,NL,6,CIN,NL,5,3,1,54,CIN09,17110,100002000,1000,33,9,2,1,2,3,0,0,1,3,0,9,0,0,3,0,7,3,1,1,0,0,27,8,0,0,0,0,30,4,1,1,0,1,0,1,1,1,1,5,0,0,0,0,5,4,3,3,0,0,27,12,0,0,3,0,lohsk001,leakm001,mottj001,lohsk001,leakm001,,6,Apr 10,@,CIN,"W,3-1",9,4,1,1,0,1,5,0,1,2.72,33,127,82,0,0,0,0,30,1,1,1,0,1,0,0,3,Dale Scott,"K.Lohse (5-61-W), M.Boggs (1-H), J.Motte (1-Sv)"
20120411,SLN,NL,7,CIN,NL,6,3,4,52,CIN09,20672,3000000,1020001,33,8,0,1,1,3,1,0,1,2,0,9,0,0,0,0,7,5,4,4,0,0,25,12,0,0,1,0,36,14,2,0,0,4,1,1,0,4,1,7,0,0,1,0,13,5,3,3,0,0,27,7,0,0,0,0,chapa001,rzepm001,,garcj004,cuetj001,,7,Apr 11,@,CIN,"L,3-4",8.1,14,4,4,0,4,7,0,0,2.93,42,137,86,4,1,0,0,36,2,0,1,1,1,0,1,5,Bill Miller,"J.Garcia (4-33), V.Marte (3), K.McClellan (4), M.Rzepczynski (1-L), F.Salas (1)"
20120413,CHN,NL,8,SLN,NL,8,9,5,54,STL10,46882,404100000,50000,35,10,1,0,2,8,0,0,1,4,0,8,1,0,2,0,4,5,5,5,0,0,27,4,0,0,0,0,39,12,2,1,0,5,0,0,0,1,0,8,0,0,0,0,8,5,9,9,0,0,27,14,0,0,2,0,samaj001,waina001,,samaj001,waina001,,8,Apr 13,1,CHC,"L,5-9",9,10,9,9,0,4,8,2,1,3.71,40,125,78,0,0,1,0,35,1,0,0,0,0,0,2,5,Greg Gibson,"A.Wainwright (5-14-L), V.Marte (1), J.Romero (5), K.McClellan (1), F.Salas (1)"
20120414,CHN,NL,9,SLN,NL,9,1,5,51,STL10,46792,1000,00040010x,33,6,1,0,0,1,0,0,0,2,0,9,0,0,0,0,7,2,4,4,0,0,24,7,2,0,0,0,33,7,1,1,1,5,0,0,0,0,0,5,2,0,0,0,4,6,1,1,0,0,27,7,0,0,0,0,lynnl001,volsc001,,volsc001,lynnl001,,9,Apr 14,1,CHC,"W,5-1",9,6,1,1,0,2,9,0,0,3.4,35,141,95,4,0,0,0,33,1,0,0,0,0,0,0,6,Phil Cuzzi,"L.Lynn (5-59-W), J.Romero (0-H), M.Boggs (3-H), F.Salas (0), M.Rzepczynski (2-H), J.Motte (3)"
20120415,CHN,NL,10,SLN,NL,10,3,10,51,STL10,44952,110010,02402020x,33,6,2,0,0,2,0,0,0,1,0,3,0,1,0,0,4,3,10,10,0,0,24,9,0,0,1,0,34,12,2,1,2,10,1,0,2,3,0,6,1,0,1,0,6,3,2,2,1,0,27,14,2,0,1,0,westj001,mahop002,,mahop002,westj001,,10,Apr 15,1,CHC,"W,10-3",9,6,3,2,1,1,3,0,0,3.26,34,121,77,0,0,0,1,33,2,0,0,0,0,2,0,3,Vic Carapazza,"J.Westbrook (5-64-W), K.McClellan (1), V.Marte (1)"
