Date,Visting Team,League,Visiting Team Game Number,Home Team,League,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,
"20170402","CHN","NL",1,"SLN","NL",1,3,4,53,"STL10",47566,"000000003","001000021",34,8,1,0,1,3,0,0,2,0,0,12,0,0,1,0,6,5,4,4,1,0,26,8,0,0,1,0,35,11,2,0,1,4,0,1,0,8,1,8,2,0,1,0,14,2,3,3,0,0,27,5,0,0,1,0,"oh--s001","montm002","","lestj001","martc006",
"20170404","CHN","NL",2,"SLN","NL",2,2,1,54,"STL10",46760,"000200000","000010000",31,5,1,0,0,2,2,0,1,4,1,8,0,0,0,0,9,4,0,0,2,0,27,10,2,0,0,0,31,4,0,0,0,0,0,0,1,3,0,8,0,0,0,0,7,5,2,2,1,0,27,6,0,0,0,0,"arrij001","waina001","daviw001","arrij001","waina001",
"20170406","CHN","NL",3,"SLN","NL",3,6,4,54,"STL10",44039,"000011400","300010000",38,10,1,0,1,6,0,0,1,3,0,7,0,0,0,0,9,5,3,3,1,0,27,12,2,0,1,0,34,7,2,0,0,4,0,1,0,3,0,11,0,0,1,0,7,5,6,6,1,0,27,8,1,0,0,0,"lackj001","cecib001","daviw001","lackj001","lynnl001",
"20170407","CIN","NL",4,"SLN","NL",4,2,0,54,"STL10",44653,"000001001","000000000",32,7,2,0,1,2,0,0,0,3,0,7,2,1,0,0,6,3,0,0,0,0,27,9,0,0,0,0,28,2,0,0,0,0,0,0,0,3,0,8,0,1,0,0,4,2,2,2,0,0,27,9,0,0,0,0,"garra001","leakm001","igler001","garra001","leakm001",
"20170408","CIN","NL",5,"SLN","NL",5,4,10,51,"STL10",46558,"000100021","20040301x",33,7,2,1,2,4,0,0,0,1,0,10,0,0,1,0,3,4,10,10,0,1,24,12,0,0,0,0,33,10,2,0,2,10,1,0,0,12,1,7,0,0,0,0,12,4,4,4,0,0,27,10,0,0,1,0,"wachm001","arrob001","","arrob001","wachm001",
"20170409","CIN","NL",6,"SLN","NL",6,8,0,54,"STL10",45200,"010014101","000000000",36,11,3,1,2,6,1,0,2,4,0,3,0,1,1,0,8,3,0,0,0,0,27,11,0,0,2,0,31,6,2,0,0,0,0,0,0,1,0,9,0,0,2,0,5,5,7,7,1,0,27,11,3,0,2,0,"felds001","martc006","","felds001","martc006",
"20170410","SLN","NL",7,"WAS","NL",7,6,14,51,"WAS11",27413,"021020001","11013107x",39,10,1,0,1,6,0,0,0,0,0,6,1,0,1,0,6,6,13,13,0,0,24,5,1,0,1,0,40,19,4,0,0,14,1,2,0,6,1,8,1,0,1,0,11,4,4,4,0,0,27,9,4,0,2,0,"roart001","waina001","","waina001","roart001",
"20170411","SLN","NL",8,"WAS","NL",8,3,8,51,"WAS11",30663,"100100010","00222011x",31,7,1,0,2,3,1,1,1,1,0,7,0,0,1,0,5,3,5,5,0,0,24,8,2,0,0,0,36,11,4,0,3,7,0,0,1,4,0,5,0,0,0,0,9,3,2,2,0,0,27,9,1,0,1,0,"gonzg003","lynnl001","","lynnl001","gonzg003",
"20170412","SLN","NL",9,"WAS","NL",9,6,1,54,"WAS11",31647,"100020003","000000010",35,8,1,0,1,6,0,1,2,3,0,14,2,0,0,0,8,5,1,1,0,0,27,10,0,0,0,0,34,8,2,0,0,1,0,0,0,0,0,8,0,0,0,0,6,6,4,4,3,0,27,5,2,0,0,0,"leakm001","schem001","","leakm001","schem001",
"20170414","SLN","NL",10,"NYA","AL",10,3,4,51,"NYC21",39102,"200000100","21001000x",33,6,3,0,1,3,0,0,0,4,0,9,0,0,0,0,7,3,3,3,0,0,24,5,1,0,1,0,32,9,1,0,2,3,0,0,0,4,0,10,2,0,1,0,8,4,3,3,0,0,27,10,0,0,0,0,"tanam001","wachm001","chapa001","wachm001","tanam001",
"20170415","SLN","NL",11,"NYA","AL",11,2,3,51,"NYC21",43031,"000000011","10000200x",32,5,0,0,2,2,0,0,1,2,0,10,0,0,0,0,6,4,2,2,2,0,24,1,2,1,0,0,31,5,1,0,0,2,0,0,0,8,0,17,2,0,0,0,12,3,2,2,0,0,27,9,0,0,0,0,"sabac001","martc006","clipt001","martc006","sabac001",
"20170416","SLN","NL",12,"NYA","AL",12,3,9,51,"NYC21",31706,"010000101","03001005x",35,8,1,0,1,3,0,0,0,3,0,8,0,0,1,0,8,5,9,9,0,0,24,11,0,1,4,0,31,13,3,1,2,9,0,1,0,7,0,5,0,2,2,0,6,3,3,3,1,0,27,9,1,0,1,0,"pinem001","waina001","","waina001","pinem001",
"20170417","PIT","NL",13,"SLN","NL",13,1,2,51,"STL10",40172,"000000001","00100010x",32,5,2,0,0,1,0,0,2,1,0,6,0,0,0,0,7,1,2,2,0,0,24,14,1,0,0,0,28,5,0,0,1,2,0,0,0,0,0,3,1,0,0,0,2,3,1,1,0,0,27,7,0,0,0,0,"lynnl001","novai001","oh--s001","novai001","lynnl001",
"20170418","PIT","NL",14,"SLN","NL",14,1,2,51,"STL10",38806,"000001000","10001000x",36,11,2,0,0,1,1,0,0,0,0,3,0,0,1,0,9,2,2,2,0,0,24,10,0,0,0,0,27,4,1,1,0,2,1,0,1,1,0,5,0,0,0,0,4,4,1,1,0,0,27,14,0,0,1,0,"leakm001","kuhlc001","oh--s001","kuhlc001","leakm001",
"20170419","PIT","NL",15,"SLN","NL",15,1,2,51,"STL10",40182,"000100000","00101000x",32,5,0,0,1,1,0,0,0,3,0,6,0,0,0,0,7,3,2,2,0,0,24,6,0,0,0,0,30,8,0,0,2,2,0,0,0,2,0,11,0,1,0,0,6,4,1,1,0,0,27,10,2,0,1,0,"wachm001","coleg001","roset001","coleg001","wachm001",
