Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
42493,20100405,haraa001,CIN,10,39,0,0,0,0,1,1,1,1,0,11,2,10,0,8,0,5,27,6,0,0,6,1,7,10,0,0,2,0,NL,NL,54,haraa001,CIN09,,,carpc002,1,7,1,11,SLN,13,38,0,0,0,1,0,2,0,2,12,4,5,1,0,5,27,10,0,0,5,5,0,0,4,0,carpc002,0.3157894736842105,0.28205128205128205,0.4090909090909091,0.3170731707317073,0.631578947368421,0.46153846153846156,1.0406698564593302,0.7786116322701688,1.0,
28132,20100407,cuetj001,CIN,10,31,0,0,1,0,2,0,0,2,0,6,1,6,0,4,0,6,27,3,0,1,3,1,9,6,0,0,2,0,NL,NL,54,herrd001,CIN09,franr001,,waina001,2,10,1,6,SLN,9,36,0,0,0,0,2,0,0,1,10,0,3,0,0,4,27,6,0,2,8,3,0,0,5,0,waina001,0.2777777777777778,0.1935483870967742,0.38095238095238093,0.24242424242424243,0.3333333333333333,0.3548387096774194,0.7142857142857142,0.5972629521016618,1.0,1.0
13445,20100408,arrob001,CIN,10,31,0,0,0,1,1,2,2,3,0,8,1,1,0,7,0,2,27,2,0,0,2,0,5,1,0,0,3,0,NL,NL,52,mottj001,CIN09,,,pennb002,3,6,0,1,SLN,15,31,0,0,0,2,0,0,0,0,4,1,2,0,0,4,25,1,0,0,8,2,0,0,3,0,cordf002,0.12903225806451613,0.25806451612903225,0.20588235294117646,0.3235294117647059,0.22580645161290322,0.3870967741935484,0.43168880455407965,0.7106261859582543,0.0,1.0
34018,20100409,bushd001,MIL,9,31,0,0,0,1,2,0,1,4,2,7,0,5,0,7,0,5,27,4,0,1,4,0,3,5,0,0,4,0,NL,NL,54,hofft001,MIL06,franr001,,lohsk001,4,5,0,5,SLN,12,32,0,0,0,1,3,0,0,0,7,2,4,1,0,4,27,5,1,0,10,4,0,0,4,1,reyed001,0.21875,0.22580645161290322,0.2972972972972973,0.35135135135135137,0.5,0.2903225806451613,0.7972972972972974,0.6416739319965127,1.0,0.0
42039,20100410,gally001,MIL,12,31,0,0,0,0,1,1,0,5,0,4,0,7,0,7,0,4,27,1,0,0,1,0,7,7,0,0,4,1,NL,NL,54,gally001,MIL06,,,garcj004,5,4,0,7,SLN,15,35,0,0,0,0,1,0,0,0,8,2,1,0,0,3,27,7,0,0,9,1,0,0,3,0,garcj004,0.22857142857142856,0.12903225806451613,0.2894736842105263,0.22857142857142856,0.42857142857142855,0.16129032258064516,0.7180451127819549,0.3898617511520737,1.0,1.0
33294,20100411,wolfr001,MIL,7,36,0,0,0,0,1,1,1,6,1,11,4,5,0,8,0,5,27,6,0,0,8,0,7,5,0,0,4,0,NL,NL,52,mcclk001,MIL06,,,carpc002,6,7,0,7,SLN,7,38,0,0,0,2,3,2,0,0,10,3,6,0,0,5,25,7,0,0,4,6,0,0,3,0,hofft001,0.2631578947368421,0.3055555555555556,0.3170731707317073,0.3902439024390244,0.5789473684210527,0.6666666666666666,0.89602053915276,1.056910569105691,0.0,1.0
46918,20100412,waina001,SLN,13,32,0,0,1,2,2,0,2,7,0,11,1,0,0,7,0,2,27,5,0,0,5,0,2,0,0,1,4,0,NL,NL,51,rodrw002,STL10,,,rodrw002,7,5,0,0,HOU,19,31,0,0,0,2,0,2,2,0,7,0,5,0,0,4,24,0,0,1,7,5,0,0,1,0,waina001,0.22580645161290322,0.34375,0.25,0.4166666666666667,0.22580645161290322,0.5625,0.47580645161290325,0.9791666666666667,1.0,0.0
35883,20100414,pennb002,SLN,13,29,0,0,0,1,0,2,1,8,0,5,0,0,0,6,0,4,27,1,0,1,2,0,7,0,0,0,2,0,NL,NL,51,myerb001,STL10,franr001,,myerb001,8,4,1,1,HOU,7,28,0,0,0,1,1,2,1,0,4,0,1,0,0,3,24,1,1,0,4,1,0,0,2,0,pennb002,0.14285714285714285,0.1724137931034483,0.1935483870967742,0.22580645161290322,0.17857142857142858,0.1724137931034483,0.37211981566820274,0.39822024471635153,1.0,1.0
35371,20100415,lohsk001,SLN,16,33,0,0,0,1,3,0,1,9,0,6,0,5,0,8,0,3,27,1,0,0,1,0,12,5,0,0,3,0,NL,NL,54,lohsk001,STL10,,,norrb001,9,2,0,5,HOU,7,34,0,0,1,1,3,1,1,0,9,0,0,0,0,4,27,5,0,0,2,0,0,0,0,0,norrb001,0.2647058823529412,0.18181818181818182,0.2647058823529412,0.25,0.35294117647058826,0.2727272727272727,0.6176470588235294,0.5227272727272727,0.0,1.0
40101,20100416,carpc002,SLN,7,28,0,0,0,1,2,1,1,10,1,6,1,2,1,6,0,4,27,4,0,1,4,0,7,2,0,0,4,0,NL,NL,51,nievf001,STL10,franr001,,pereo002,10,8,1,3,NYN,9,34,0,0,0,1,2,0,0,0,9,0,4,0,0,4,24,2,0,0,12,4,0,0,3,0,carpc002,0.2647058823529412,0.21428571428571427,0.32432432432432434,0.3333333333333333,0.3235294117647059,0.39285714285714285,0.6478537360890302,0.7261904761904762,1.0,0.0
43709,20100417,garcj004,SLN,25,69,1,0,2,0,3,0,2,11,0,15,0,2,2,22,0,10,60,1,0,2,1,0,19,2,0,0,11,0,NL,NL,120,mathj002,STL10,pelfm001,,santj003,11,13,3,2,NYN,21,61,0,0,2,4,0,2,0,1,9,0,1,2,0,9,60,2,2,1,16,1,0,0,8,0,rodrf003,0.14754098360655737,0.21739130434782608,0.25,0.325,0.14754098360655737,0.2608695652173913,0.3975409836065574,0.5858695652173913,0.0,1.0
